doc_id,doc_str
0,POPOL WUJ
1,OJER TAQ TZIJ
2,"XB'AN PA TINAMIT K'ICHE',"
3,RAMAQ' K'ICHE' WINAQ
4,
5,Versión crítica y actualizada
6,Ajtz'ib'ab'
7,Nab'e
8,Are' uxe' ojer tzij waral K'iche' ub'i'.
9,Waral xchiqatz'ib'aj wi
10,xchiqatikib'a' wi ojer tzij
11,utikarib'al uxe'nab'al puch
12,ronojel xb'an pa tinamit K'iche'
13,ramaq' K'iche' winaq
14,are k'ut xchiqak'am wi
15,uk'utunisaxik uq'alajob'isaxik utzijoxik puch
16,ewaxib'al saqirib'al rumal tz'aqol b'itol
17,alom k'ajolom
18,"Jun Ajpu Wuch', Jun Ajpu Utiw"
19,"Saqinim Aq, Saqinim Tzis,"
20,Tepew Q'ukumatz
21,uk'u'x cho uk'u'x palo
22,ajraxalaq ajraxatzel
23,chuchaxik rachb'ixik rachtzijoxik ri iyom mamon
24,Xpiyakok Xmukane ub'i'
25,"matzanel ch'uqunel,"
26,kamul iyom kamul mamom chuchaxik pa K'iche' tzij.
27,Ta xkitzijoj ronojel
28,ruk' xkib'an chik
29,chi saqil k'olem saqil tzij
30,wa'e xchiqatz'ib'aj chupan chik uch'ab'al dios
31,pa kristyano'il chik
32,xchiqelesaj
33,rumal maja b'i chik ilb'al re Popo Wuj.
34,Ilb'al saq petenaq ch'aqa palo.
35,Utzijoxik qamujib'al
36,ilb'al saq k'aslem chuchaxik.
37,K'o nab'e wujil ojer tz'ib'am puch
38,xa ewal uwach ilol re b'isol re
39,nim upeyoxik utzijoxik puch
40,ta chik'istz'uk ronojel kaj ulew
41,ukaj tz'ukuxik ukaj xukutaxik
42,retaxik ukaj che'xik
43,umej k'a'maxik uyuq k'a'maxik upa kaj upa ulew
44,kajtz'uk kajxukut chucha'xik
45,rumal tz'aqol b'itol
46,uchuch uqajaw k'aslem winaqirem ab'anel k'u'xlanel
47,alay rech k'u'xla'y rech
48,saqil amaq'il saqil al saqil k'ajol
49,ajb'is ajna'oj chi rech ronojel
50,a toq'ol wi kaj ulew cho palo.
51,Are utzijoxik wa'e k'a katz'ininoq k'a kachamamoq
52,katz'inonik
53,k'a tolona
54,Wa'e k'ute nab'e tzij nab'e uchan.
55,Majab'i'oq
56,"jun chikop tz'ikin,"
57,"kar tap,"
58,"che' ab'aj,"
59,"jul siwan,"
60,k'im k'iche'laj
61,xa utukel kaj k'olik.
62,Ma wi q'alaj uwach ulew
63,xa utukel remanik palo upa kaj ronojel
64,maja b'i naqi la kamolob'ik kakotzob'ik
65,jun ta kasilob'ik
66,kamalkab'an
67,Xa ma k'o wi
68,naqi la k'olik yakalik
69,xa remanik ja' xa li'anik palo
70,xa utukel remanik
71,xma
72,naqi la lo k'olik
73,xa kachamanik katz'ininik chi q'equ'm chi aq'ab'
74,xa utukel ri tz'aqol b'itol Tepew Q'ukumatz
75,e alom e k'ajolom k'o pa ja'
76,saqtetoj e k'o wi
77,e muqutal pa q'uq' pa raxon
78,are ub'inam wi ri Q'ukumatz
79,e nimaq
80,keje k'ut xax k'o wi ri kaj
81,k'o wi nay puch uk'u'x kaj
82,are ub'i' ri kab'awil chuchaxik.
83,Ta xpe k'ut utzij
84,waral xul kuk' ri Tepew Q'ukumatz
85,waral chi q'equ'mal chi aq'ab'al
86,xch'aw ruk' ri Tepew Q'ukumatz
87,xecha' k'ut
88,ta xena'ojinik ta xeb'isonik
89,xeriqo
90,xkikuch kitzij kina'oj
91,ta xq'alaj
92,xe wi
93,ta xq'alaj puch winaq
94,ta xkina'ojij utz'ukik uwinaqirik che' k'a'm
95,utz'ukukik puch k'aslem winaqirem
96,chi q'equ'mal chi aq'ab'al
97,rumal ri uk'u'x kaj Jun Raqan
98,Kaqulja Juraqan nab'e
99,ukab' k'ut Ch'ipakaqulja
100,rox chik Raxakaqulja.
101,Chi e k'u oxib' ri' uk'u'x kaj
102,ta xe'ul kuk' ri Tepew Q'ukumatz
103,ta xna'ojixik saq k'aslem
104,jupacha ta chawaxoq ta saqiro
105,apachinaq tzuqul q'o'l
106,ta chuxoq
107,kixno'jin taj.
108,Are ri ja' chel taj chijamataj
109,chiwinaqir wa ulew
110,ulaq'el
111,ch'a ta k'ut
112,ta chawaxoq ta saqiroq kaj ulew
113,ma ta k'ut uq'ijilab'al uq'ala'ib'al ri qatz'aq qab'it
114,ta winaqiroq winaq tz'aq winaq b'it
115,xecha k'ut
116,ta xwinaqirik k'u ri ulew kumal
117,xa kitzij xk'oje' wi uwinaqirik
118,chiwinaqir ulew
119,ulew xecha'
120,Lib'ajchi'
121,keje ri xa ta tzutz
122,xa mayuy uwinaqirik chik upupuje'ik
123,ta xtape
124,jusuk' nima'q juyub' xuxik
125,xa kinawal
126,una'ojixik juyub' taq'aj
127,jusuk' rachwinaqirik uk'isisil upachajil uwach.
128,Keje' k'ut xki'kot wi ri Q'ukumatz
129,utz mixatulik uk'u'x kaj at Juraqan at puch Ch'ipiKaqulja RaxaKaqulja
130,xchutzinik qatz'aq qab'it
131,xecha' k'ut.
132,Nab'e k'ut xwinaqir ulew juyub' taq'aj
133,xch'ob'och'ox ub'e ja'
134,xb'inije'ik k'oleje'
135,xa ch'ob'ol chik
136,xek'oje' wi ja'
137,ta xk'utunije'ik nima'q juyub'
138,keje' k'ut uwinaqirik ulew ri'
139,ta xwinaqirik kumal ri uk'u'x kaj uk'u'x ulew
140,ke'ucha'xik
141,ri k'ute nab'e xkino'jij xk'olo
142,xk'olo nay puch ulew chupan ja'
143,keje' k'ut una'ojixik ri'
144,ta xkino'jij
145,ta xkib'isoj rutzinik ub'ana tajik kumal.
146,Ta xkino'jij chik uchikopil juyub'
147,chajal re k'iche'laj
148,ronojel uwinaqil juyub'
149,"ri kyej  tz'ikin,"
150,"koj b'alam,"
151,"kumatz sochoj k'anti',"
152,chajal k'a'm
153,kacha' ri alom k'ajolom
154,xa pa chilolinik
155,ma xa on chitz'ininik uxe' che' k'a'm
156,k'a te utz chik'oje' chajal re
157,xecha' k'ut
158,ta xkino'jij xkitzijoj puch
159,jusuk'u kej tz'ikin
160,ta xkisipaj k'ut rochoch kej tz'ikin.
161,At kej
162,pa b'e ya' pa siwan katwar wi
163,waral katk'oje' wi
164,pa k'im pa saq'ul
165,pa k'echelaj kipoq'o
166,kajkaj ib'inib'al ichakab'al chuxik
167,xe'uchaxik
168,ta xkich'ik k'ut kochoch ch'utitz'ikin nimatz'ikin
169,"ix, ix tz'ikin"
170,chuwi'
171,chi ri' kixpoq' wi kixk'iritaj wi
172,chuq'ab'
173,xe'uchaxik kej tz'ikin
174,ta xkib'ano kib'anoj
175,ronojel xuk'amo uwarab'al uyakalib'al
176,keje k'ut kochoch wi chikop
177,ri ulew xuya'o alom k'ajolom.
178,Xutzininaqa chik ronojel ri kej tz'ikin
179,ta xe'uchax chi k'ut ri kej tz'ikin
180,rumal tz'aqol b'itol alom k'ajolom
181,kixch'awoq kixsik'inoq
182,mixyonolikinik
183,kixch'awajetaj chi jujunal
184,chujutaq
185,xe'uchaxik ri kej tz'ikin
186,koj b'alam
187,kumatz
188,chib'ij na k'ut ri qab'i'
189,kojiq'ajarisaj
190,oj ichuch oj iqajaw
191,kixcha' b'a na k'ut
192,Juraqan Ch'ipikaqulja Raxakaqulja
193,uk'u'x kaj uk'u'x ulew
194,tz'aqol b'itol
195,alom k'ajolom.
196,Kixch'a'oq
197,xe'ucha'xik
198,ma k'u xutzinik
199,xech'awik
200,keje ta ri winaq
201,xa kewachelajik xa kek'aralajik xa kewojonik
202,ma wi xwachinik uwach kich'ab'al
203,jalajoj xkoq'ib'ej chi kijujunal.
204,Ta xkita' ri tz'aqol b'itol
205,ma wi mixutzinik
206,mixech'awik
207,xecha' chik chi kib'il kib'
208,ma wi mixutzin ub'ixik qab'i'
209,rumal oj kajtz'aq oj pu kajb'it
210,ma wi utz xcha' alom k'ajolom
211,xe'uchax k'ut
212,xa kixjalatajik
213,rumal ma wi mixutzinik
214,ma wi mixixch'awik
215,mi k'u xqajal qatzij
216,iwecha' ik'uxun
217,iwarab'al iyakalib'al xiwech
218,mixe'uxik siwan k'echelaj
219,rumal ma wi xutzin qaq'ijiloxik
220,ma wi ix sik'iy qe
221,k'a k'o
222,k'o wi lo q'ijilonel nimanel chiqab'an chik
223,xa chik'am ipatan
224,xa iti'o'jil
225,ta chuxoq.
226,Are k'ut chipatanij xe'ucha'xik
227,ta xepixab'axik
