term_str,n,p,i,h,dh
a,38,0.0014468473956746877,9.432871521129396,0.013647925594079997,4.366091329119192
a',6,0.00022844958879074018,12.095836533851825,0.0027632888822384616,2.584962500721156
a'on,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ab'aj,26,0.0009899482180932074,9.980359316431889,0.009880038921231689,4.103909910282364
ab'ajil,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ab'anel,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ab'anoj,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ab'i',2,7.614986293024673e-05,13.680799034572981,0.0010417909712589844,0.0
ab'ix,5,0.0001903746573256168,12.358870939685618,0.0023528158200741734,0.7219280948873623
ab'ixik,4,0.00015229972586049346,12.680799034572981,0.001931282216657475,0.8112781244591328
ab'ixom,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
abix,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
achaq,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
achb'ilan,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
achb'ilay,2,7.614986293024673e-05,13.680799034572981,0.0010417909712589844,1.0
achij,13,0.0004949741090466037,10.980359316431889,0.005434993569662448,2.4416298737872246
achijab',3,0.00011422479439537009,13.095836533851825,0.0014958692355146008,1.5849625007211559
achijil,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
achijilal,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
achinaq,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
achuch,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
actualizada,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
aj,39,0.0014849223271398112,9.395396815710733,0.013951434503987153,3.0559765574624693
ajache',2,7.614986293024673e-05,13.680799034572981,0.0010417909712589844,1.0
ajal,18,0.0006853487663722206,10.51087403313067,0.007203614552099911,1.5304930567574824
ajam,12,0.00045689917758148037,11.095836533851825,0.005069678586895443,2.4508257945180887
ajaw,135,0.005140115747791654,7.60398343752215,0.039085355013154514,4.024690438804888
ajawab',122,0.00464514163874505,7.750061697010095,0.036000134291624714,4.108180937348513
ajawal,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajawarem,14,0.0005330490405117271,10.873444112515376,0.005796078951234209,2.5495234595978316
ajb'atena,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajb'is,2,7.614986293024673e-05,13.680799034572981,0.0010417909712589844,1.0
ajb'it,10,0.0003807493146512336,11.358870939685618,0.004324882325497113,1.7609640474436812
ajb'ix,5,0.0001903746573256168,12.358870939685618,0.0023528158200741734,1.5219280948873624
ajch'ut,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajchoq',1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajchoq'e,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
aji,12,0.00045689917758148037,11.095836533851825,0.005069678586895443,0.9182958340544893
ajilam,2,7.614986293024673e-05,13.680799034572981,0.0010417909712589844,1.0
ajilan,11,0.000418824246116357,11.221367415935683,0.0046997807483739155,3.4594316186372973
