doc_id,doc_str
0,"ARE' U XE' OJER TZIJ,"
1,Waral K'iche' u b'i'.
2,"WARAL xchiqatz'ib'aj wi,"
3,"Xchiqatikib'a' wi ojer tzij,"
4,"U tikarib'al,"
5,"U xe'nab'al puch,"
6,Ronojel xb'an pa
7,"Tinamit K'iche',"
8,Ramaq' K'iche' winaq.
9,Are' k'ut xchiqak'am wi
10,"U k'utunisaxik,"
11,"U q'alajob'isaxik,"
12,"U tzijoxik puch,"
13,"Awaxib'al,"
14,"Saqirib'al,"
15,"Rumal Tz'aqol,"
16,B'itol;
17,"Alom,"
18,"K'ajolom, ki b'i'."
19,"Junajpu Wuch',"
20,"Junajpu Utiw,"
21,"Saqi Nim Aq,"
22,"Sis,"
23,"Tepew,"
24,"Q'ukumatz,"
25,"U K'u'x Cho,"
26,"U K'u'x Palo,"
27,"Aj Raxa Laq,"
28,"Aj Raxa Sel, chuchaxik,"
29,"Rach b'i'xik,"
30,Rach tzijoxik ri':
31,"I'yom,"
32,"Mamom,"
33,"Xpiyakok,"
34,"Xmuqane, u b'i',"
35,"Matzanel,"
36,"Chuqenel,"
37,"Kamul I'yom,"
38,"Kamul Mamom,"
39,Chuchaxik
40,Pa K'iche' tzij.
41,"Ta xkitzijoj ronojel,"
42,"Ruk' xkib'an chik,"
43,"Chi saqil k'olem,"
44,Saqil tzij.
45,Wa'e xchiqatz'ib'aj
46,"Chupan chik u ch'ab'al Dios,"
47,Pa christianoil chik.
48,"Xchiqelesaj,"
49,Rumal maja b'i chik
50,"Ilb'al re Popo Wuj,"
51,Ilb'al saq
52,"Petenaq ch'aqa palo,"
53,"U tzijoxik qa mujib'al,"
54,"Ilb'al saq k'aslem, chuchaxik."
55,"K'o nab'e wujil ojer tz'ib'am puch,"
56,Xa ewal u wach
57,"Ilol re,"
58,B'isol re.
59,"Nim u pe'oxik,"
60,"U tzijoxik puch,"
61,Ta chik'is
62,"Tz'uk,"
63,"Ronojel kaj,"
64,Ulew.
65,"U kaj tz'ukuxik,"
66,"U kaj xukutaxik,"
67,"Retaxik,"
68,"U kaj che'xik,"
69,"U mej k'a'amaxik,"
70,"U yuq k'a'amaxik,"
71,"U pa kaj,"
72,U pa ulew.
73,"Kaj tz'uk,"
74,"Kaj xukut, chuchaxik,"
75,"Rumal ri Tz'aqol,"
76,"B'itol,"
77,"U chuch,"
78,"U qajaw,"
79,"K'aslem,"
80,"Winaqirem,"
81,"Ab'anel,"
82,"K'u'xlanel,"
83,"Alay rech,"
