doc_id,chap_num,line_num
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,1,6
6,1,7
7,1,8
8,1,9
9,1,10
10,1,11
11,1,12
12,1,13
13,1,14
14,1,15
15,1,16
16,1,17
17,1,18
18,1,19
19,1,20
20,1,21
21,1,22
22,1,23
23,1,24
24,1,25
25,1,26
26,1,27
27,1,28
28,1,29
29,1,30
30,1,31
31,1,32
32,1,33
33,1,34
34,1,35
35,1,36
36,1,37
37,1,38
38,1,39
39,1,40
40,1,41
41,1,42
42,1,43
43,1,44
44,1,45
45,1,46
46,1,47
47,1,48
48,1,49
49,1,50
50,1,51
51,1,52
52,1,53
53,1,54
54,1,55
55,1,56
56,1,57
57,1,58
58,1,59
59,1,60
60,1,61
61,1,62
62,1,63
63,1,64
64,1,65
65,1,66
66,1,67
67,1,68
68,1,69
69,1,70
70,1,71
71,1,72
72,1,73
73,1,74
74,1,75
75,1,76
76,1,77
77,1,78
78,1,79
79,1,80
80,1,81
81,1,82
82,1,83
83,1,84
84,1,85
85,1,86
86,1,87
87,1,88
88,1,89
89,1,90
90,1,91
91,1,92
92,1,93
93,1,94
94,1,95
95,1,96
96,2,97
97,2,98
98,2,99
99,2,100
100,2,101
101,2,102
102,2,103
103,2,104
104,2,105
105,2,106
106,2,107
107,2,108
108,2,109
109,2,110
110,2,111
111,2,112
112,2,113
113,2,114
114,2,115
115,2,116
116,2,117
117,2,118
118,2,119
119,2,120
120,2,121
121,2,122
122,2,123
123,2,124
124,2,125
125,2,126
126,2,127
127,2,128
128,2,129
129,2,130
130,2,131
131,2,132
132,2,133
133,2,134
134,2,135
135,2,136
136,2,137
137,2,138
138,2,139
139,2,140
140,2,141
141,2,142
142,2,143
143,2,144
144,2,145
145,2,146
146,2,147
147,2,148
148,2,149
149,2,150
150,2,151
151,2,152
152,2,153
153,2,154
154,3,155
155,3,156
156,3,157
157,3,158
158,3,159
159,3,160
160,3,161
161,3,162
162,3,163
163,3,164
164,3,165
165,3,166
166,3,167
167,3,168
168,3,169
169,3,170
170,3,171
171,3,172
172,3,173
173,3,174
174,3,175
175,3,176
176,3,177
177,3,178
178,3,179
179,3,180
180,3,181
181,3,182
182,3,183
183,3,184
184,3,185
185,3,186
186,3,187
187,3,188
188,3,189
189,3,190
190,3,191
191,3,192
192,3,193
193,3,194
194,3,195
195,3,196
196,3,197
197,3,198
198,3,199
199,3,200
200,3,201
201,3,202
202,3,203
203,3,204
204,3,205
205,3,206
206,3,207
207,3,208
208,3,209
209,3,210
210,3,211
211,3,212
212,3,213
213,3,214
214,3,215
215,3,216
