chap_num,line_num,eng_str,quc_str
1,1,"THIS ITS ROOT ANCIENT WORD,","ARE' U XE' OJER TZIJ,"
1,2,Here Quiché its name.,Waral K'iche' u b'i'.
1,3,"HERE we shall write,","WARAL xchiqatz'ib'aj wi,"
1,4,"We shall plant ancient word,","Xchiqatikib'a' wi ojer tzij,"
1,5,"Its planting,","U tikarib'al,"
1,6,"Its root-beginning as well,","U xe'nab'al puch,"
1,7,Everything done in,Ronojel xb'an pa
1,8,"Citadel Quiché,","Tinamit K'iche',"
1,9,Its nation Quiché people.,Ramaq' K'iche' winaq.
1,10,This therefore we shall gather,Are' k'ut xchiqak'am wi
1,11,"Its being manifested,","U k'utunisaxik,"
1,12,"Its being declared,","U q'alajob'isaxik,"
1,13,"Its being expressed as well,","U tzijoxik puch,"
1,14,"Means of sowing,","Awaxib'al,"
1,15,"Means of dawning,","Saqirib'al,"
1,16,"By Framer,","Rumal Tz'aqol,"
1,17,Shaper;,B'itol;
1,18,"She Who Has Borne Children,","Alom,"
1,19,"He Who Has Begotten Sons, their names.","K'ajolom, ki b'i'."
1,20,"Hunahpu Possum,","Junajpu Wuch',"
1,21,"Hunahpu Coyote,","Junajpu Utiw,"
1,22,"White Great Peccary,","Saqi Nim Aq,"
1,23,"Coati,","Sis,"
1,24,"Sovereign,","Tepew,"
1,25,"Quetzal Serpent,","Q'ukumatz,"
1,26,"Its Heart Lake,","U K'u'x Cho,"
1,27,"Its Heart Sea,","U K'u'x Palo,"
1,28,"He/She of Blue/Green Plate,","Aj Raxa Laq,"
1,29,"He/She of Blue/Green Bowl, as they are called,","Aj Raxa Sel, chuchaxik,"
1,30,"Together named,","Rach b'i'xik,"
1,31,Together expressed these:,Rach tzijoxik ri':
1,32,"Midwife,","I'yom,"
1,33,"Patriarch,","Mamom,"
1,34,Xpiyacoc,"Xpiyakok,"
1,35,"Xmucane, their names,","Xmuqane, u b'i',"
1,36,"Protector,","Matzanel,"
1,37,"Shelterer,","Chuqenel,"
1,38,"Twice Midwife,","Kamul I'yom,"
1,39,"Twice Patriarch,","Kamul Mamom,"
1,40,They are called,Chuchaxik
1,41,In Quiché words.,Pa K'iche' tzij.
1,42,"Then they expressed everything,","Ta xkitzijoj ronojel,"
1,43,"With it they did also,","Ruk' xkib'an chik,"
1,44,"In light existence,","Chi saqil k'olem,"
1,45,Light words.,Saqil tzij.
1,46,This we shall write,Wa'e xchiqatz'ib'aj
1,47,"Within now his voice God,","Chupan chik u ch'ab'al Dios,"
1,48,In Christianity now.,Pa christianoil chik.
1,49,"We shall bring it forth,","Xchiqelesaj,"
1,50,Because there is not now,Rumal maja b'i chik
1,51,"Means of seeing of Popol Vuh,","Ilb'al re Popo Wuj,"
1,52,Means of seeing clearly,Ilb'al saq
1,53,"Come from across sea,","Petenaq ch'aqa palo,"
1,54,"Its account our obscurity,","U tzijoxik qa mujib'al,"
1,55,"Means of seeing light life, as it is said.","Ilb'al saq k'aslem, chuchaxik."
1,56,"There is original book anciently written also,","K'o nab'e wujil ojer tz'ib'am puch,"
1,57,Merely hidden his face,Xa ewal u wach
1,58,"Witness of it,","Ilol re,"
1,59,Ponderer of it.,B'isol re.
1,60,"Great its performance,","Nim u pe'oxik,"
1,61,"Its account as well,","U tzijoxik puch,"
1,62,When will be completed,Ta chik'is
1,63,"Germination,","Tz'uk,"
1,64,"All sky,","Ronojel kaj,"
1,65,Earth.,Ulew.
