line_num,spa_str,quc_str,line_marker
1,"THIS ITS ROOT ANCIENT WORD,","ARE' U XE' OJER TZIJ,",
2,Here Quiché its name.,Waral K'iche' u b'i'.,
3,"HERE we shall write,","WARAL xchiqatz'ib'aj wi,",
4,"We shall plant ancient word,","Xchiqatikib'a' wi ojer tzij,",
5,"Its planting,","U tikarib'al,",
6,"Its root-beginning as well,","U xe'nab'al puch,",
7,Everything done in,Ronojel xb'an pa,
8,"Citadel Quiché,","Tinamit K'iche',",
9,Its nation Quiché people.,Ramaq' K'iche' winaq.,
10,This therefore we shall gather,Are' k'ut xchiqak'am wi,10
11,"Its being manifested,","U k'utunisaxik,",
12,"Its being declared,","U q'alajob'isaxik,",
13,"Its being expressed as well,","U tzijoxik puch,",
14,"Means of sowing,","Awaxib'al,",
15,"Means of dawning,","Saqirib'al,",
16,"By Framer,","Rumal Tz'aqol,",
17,Shaper;,B'itol;,
18,"She Who Has Borne Children,","Alom,",
19,"He Who Has Begotten Sons, their names.","K'ajolom, ki b'i'.",
20,"Hunahpu Possum,","Junajpu Wuch',",20
21,"Hunahpu Coyote,","Junajpu Utiw,",
22,"White Great Peccary,","Saqi Nim Aq,",
23,"Coati,","Sis,",
24,"Sovereign,","Tepew,",
25,"Quetzal Serpent,","Q'ukumatz,",
26,"Its Heart Lake,","U K'u'x Cho,",
27,"Its Heart Sea,","U K'u'x Palo,",
28,"He/She of Blue/Green Plate,","Aj Raxa Laq,",
29,"He/She of Blue/Green Bowl, as they are called,","Aj Raxa Sel, chuchaxik,",
30,"Together named,","Rach b'i'xik,",30
31,Together expressed these:,Rach tzijoxik ri':,
32,"Midwife,","I'yom,",
33,"Patriarch,","Mamom,",
34,Xpiyacoc,"Xpiyakok,",
35,"Xmucane, their names,","Xmuqane, u b'i',",
36,"Protector,","Matzanel,",
37,"Shelterer,","Chuqenel,",
38,"Twice Midwife,","Kamul I'yom,",
39,"Twice Patriarch,","Kamul Mamom,",
40,They are called,Chuchaxik,40
41,In Quiché words.,Pa K'iche' tzij.,
42,"Then they expressed everything,","Ta xkitzijoj ronojel,",
43,"With it they did also,","Ruk' xkib'an chik,",
44,"In light existence,","Chi saqil k'olem,",
45,Light words.,Saqil tzij.,
46,This we shall write,Wa'e xchiqatz'ib'aj,
47,"Within now his voice God,","Chupan chik u ch'ab'al Dios,",
48,In Christianity now.,Pa christianoil chik.,
49,"We shall bring it forth,","Xchiqelesaj,",
50,Because there is not now,Rumal maja b'i chik,50
51,"Means of seeing of Popol Vuh,","Ilb'al re Popo Wuj,",
52,Means of seeing clearly,Ilb'al saq,
53,"Come from across sea,","Petenaq ch'aqa palo,",
54,"Its account our obscurity,","U tzijoxik qa mujib'al,",
55,"Means of seeing light life, as it is said.","Ilb'al saq k'aslem, chuchaxik.",
56,"There is original book anciently written also,","K'o nab'e wujil ojer tz'ib'am puch,",
57,Merely hidden his face,Xa ewal u wach,
58,"Witness of it,","Ilol re,",
59,Ponderer of it.,B'isol re.,
60,"Great its performance,","Nim u pe'oxik,",60
61,"Its account as well,","U tzijoxik puch,",
62,When will be completed,Ta chik'is,
63,"Germination,","Tz'uk,",
64,"All sky,","Ronojel kaj,",
65,Earth.,Ulew.,
66,"Its four cornerings,","U kaj tz'ukuxik,",
67,"Its four sidings,","U kaj xukutaxik,",
68,"Its measurings,","Retaxik,",
69,"Its four stakings,","U kaj che'xik,",
70,"Its doubling over cord measurement,","U mej k'a'amaxik,",70
71,"Its stretching cord measurement,","U yuq k'a'amaxik,",
72,"Its womb sky,","U pa kaj,",
73,Its womb earth.,U pa ulew.,
74,"Four corners,","Kaj tz'uk,",
75,"Four sides, as it is said,","Kaj xukut, chuchaxik,",
76,"By the Framer,","Rumal ri Tz'aqol,",
77,"Shaper,","B'itol,",
78,"Its Mother,","U chuch,",
79,"Its Father,","U qajaw,",
80,"Life,","K'aslem,",80
81,"Creation,","Winaqirem,",
82,"Giver of breath,","Ab'anel,",
83,"Giver of heart,","K'u'xlanel,",
84,"Birth giver of,","Alay rech,",
85,Heartener of,K'u'xlay rech,
86,"Light Forever,","Saqil amaq'il,",
87,"Light Child of Woman,","Saqil al,",
88,"Light Son of Man,","Saqil k'ajol,",
89,"Ponderer,","Aj b'is,",
90,Knower,Aj na'oj,90
91,"To everything,","Chirech ronojel,",
92,Whatever exists:,Atok'ol wi:,
93,"Sky,","Kaj,",
94,"Earth,","Ulew,",
95,"Lake,","Cho,",
96,Sea.,Palo.,
97,THIS ITS ACCOUNT,ARE' U TZIJOXIK,
98,These things.,Wa'e.,
99,"Still be it silent,","K'a katz'ininoq,",
100,"Still be it placid,","K'a kachamamoq,",100
101,"It is silent,","Katz'inonik,",
102,"Still it is calm,","K'a kasilanik,",
103,"Still it is hushed,","K'a kalolinik,",
104,Be it empty as well its womb sky.,Katolona' puch u pa kaj.,
105,"THESE therefore are first words,","WA'E k'ut e nab'e tzij,",
106,First speech.,Nab'e ucha'n.,
107,"There is not yet one person,","Maja b'i'oq jun winaq,",
108,"One animal,","Jun chikop,",
109,"Bird,","Tz'ikin,",
110,"Fish,","Kar,",110
111,"Crab,","Tap,",
112,"Tree,","Che',",
113,"Rock,",Ab'aj,
114,"Hollow,","Jul,",
115,"Canyon,","Siwan,",
116,"Meadow,","K'im,",
117,Forest.,K'eche'laj.,
118,"Merely alone sky exists,","Xa u tukel kaj k'olik,",
119,"Not clear its face earth,","Mawi q'alaj u wach ulew,",
120,"Merely alone is spread out sea,","Xa u tukel remanik palo,",120
121,Its womb sky everything.,U pa kaj ronojel.,
122,There is not anything,Maja b'i naqi la',
123,"Gathered together,","Kamolob'ik,",
124,"It is at rest,","Kakotz'ob'ik,",
125,"Not one stirs,","Jun ta kasilob'ik,",
126,"Scattered it is made to be,","Kamal kab'antaj,",
127,At rest it is made to be in sky.,Kakotz' kab'antaj pa kaj.,
128,There was not yet anything that exists standing erect.,Xma k'o wi naqi la' k'olik yakalik.,
129,"Merely spread out water,","Xa remanik ja',",
130,"Merely tranquil sea,","Xa li'anik palo,",130
131,Merely alone it is spread out.,Xa u tukel remanik.,
132,There was not yet anything that might exist.,Xma k'o wi naqi la' lo k'olik.,
133,"Merely it is placid,","Xa kachamanik,",
134,"It is silent,","Katz'ininik,",
135,"In darkness,","Chi q'equ'm,",
136,In night.,Chi aq'ab'.,
137,"Merely alone the Framer,","Xa u tukel ri Tz'aqol,",
138,"Shaper,","B'itol,",
139,"Sovereign,","Tepew,",
140,"Quetzal Serpent,","Q'ukumatz,",140
141,"They Who Have Borne Children,","E Alom,",
142,"They Who Have Begotten Sons,","E K'ajolom,",
