term_str,n,df,dfidf
a,36,21,43.06314753446933
a'on,2,2,10.885886991697456
ab'aj,31,19,41.70530366569771
ab'ajil,1,1,6.442943495848728
ab'anel,1,1,6.442943495848728
ab'ix,6,2,10.885886991697456
ab'ixik,4,1,6.442943495848728
ab'ixom,1,1,6.442943495848728
achaq,1,1,6.442943495848728
achb'ilan,1,1,6.442943495848728
achb'ilay,2,2,10.885886991697456
achij,13,9,29.45716644965774
achijab,3,3,14.573942985382715
achijil,1,1,6.442943495848728
achijilal,1,1,6.442943495848728
achinaq,1,1,6.442943495848728
ah,5,4,17.77177398339491
aj,219,46,42.29155083041891
ajache,2,2,10.885886991697456
ajal,18,3,14.573942985382715
ajam,13,6,23.147885970765433
ajaw,137,34,46.08634225634522
ajawab,122,34,46.08634225634522
ajawal,1,1,6.442943495848728
ajawarem,17,12,34.295771941530866
aji,13,1,6.442943495848728
ajilam,1,1,6.442943495848728
ajilan,13,11,32.81863064932574
ajilatal,1,1,6.442943495848728
ak'alab,1,1,6.442943495848728
ak'u'wil,1,1,6.442943495848728
akab,2,2,10.885886991697456
akarok,8,8,27.543547966789827
aki,1,1,6.442943495848728
akul,3,3,14.573942985382715
akutek,4,4,17.77177398339491
al,13,10,31.210154009613657
ala,3,3,14.573942985382715
alachinaq,1,1,6.442943495848728
alal,1,1,6.442943495848728
alanel,1,1,6.442943495848728
alaq,1,1,6.442943495848728
alay,2,2,10.885886991697456
alib,2,1,6.442943495848728
alk'u'al,2,2,10.885886991697456
alom,17,11,32.81863064932574
alub'ik,1,1,6.442943495848728
ama,1,1,6.442943495848728
amaq,125,24,44.59154388306173
amaq'el,4,2,10.885886991697456
amaq'il,1,1,6.442943495848728
ana,2,2,10.885886991697456
anab,1,1,6.442943495848728
anilab'ik,1,1,6.442943495848728
anim,5,5,20.60507700480683
anom,1,1,6.442943495848728
apa,27,19,41.70530366569771
apachina,2,2,10.885886991697456
apachinaq,2,2,10.885886991697456
apanoq,14,13,35.652549110199274
aponoq,8,5,20.60507700480683
aq,6,5,20.60507700480683
aq'ab,68,27,45.577511829502015
aq'ab'a,1,1,6.442943495848728
aq'ab'al,7,6,23.147885970765433
aq'ab'il,1,1,6.442943495848728
aq'am,1,1,6.442943495848728
aq'an,1,1,6.442943495848728
aq'anik,1,1,6.442943495848728
aq'anoq,13,9,29.45716644965774
aqaj,2,1,6.442943495848728
aqan,2,1,6.442943495848728
are,371,78,12.288219604945441
astapulul,1,1,6.442943495848728
at,59,21,43.06314753446933
ata,2,2,10.885886991697456
ata'n,2,2,10.885886991697456
atan,1,1,6.442943495848728
ati't,36,7,25.44912001653787
atob,1,1,6.442943495848728
atok'ol,1,1,6.442943495848728
atz'iaq,2,2,10.885886991697456
atz'iyaq,4,2,10.885886991697456
awal,1,1,6.442943495848728
awasinik,1,1,6.442943495848728
awaxib'al,1,1,6.442943495848728
awe,6,2,10.885886991697456
awech,2,1,6.442943495848728
awecha,2,2,10.885886991697456
aweta'm,1,1,6.442943495848728
awi,2,1,6.442943495848728
awib,1,1,6.442943495848728
awila,1,1,6.442943495848728
awilix,35,14,36.89824003307574
awitzmal,1,1,6.442943495848728
awuk,1,1,6.442943495848728
awumal,3,3,14.573942985382715
b'a,102,29,45.963912520913524
b'a'tz,1,1,6.442943495848728
b'alam,193,31,46.15116274931745
b'alami,4,3,14.573942985382715
b'alamil,1,1,6.442943495848728
b'alax,1,1,6.442943495848728
b'am,1,1,6.442943495848728
b'an,1,1,6.442943495848728
b'ana,3,3,14.573942985382715
b'anatajik,1,1,6.442943495848728
b'anik,4,3,14.573942985382715
b'anoj,14,12,34.295771941530866
b'anol,5,5,20.60507700480683
b'aq,43,19,41.70530366569771
b'aqil,10,5,20.60507700480683
b'ate,9,9,29.45716644965774
b'atena,1,1,6.442943495848728
b'atz,26,5,20.60507700480683
b'atz'a,1,1,6.442943495848728
b'ayatajik,1,1,6.442943495848728
b'e,54,19,41.70530366569771
b'e'al,1,1,6.442943495848728
b'e'el,6,5,20.60507700480683
b'e'ik,1,1,6.442943495848728
b'ek,1,1,6.442943495848728
b'ele,1,1,6.442943495848728
b'elej,6,5,20.60507700480683
b'elejeb,18,10,31.210154009613657
b'enam,1,1,6.442943495848728
b'enaq,1,1,6.442943495848728
b'i,330,72,19.65733159726194
b'i'j,1,1,6.442943495848728
b'i'nam,9,9,29.45716644965774
b'i'oq,2,2,10.885886991697456
b'i'xik,3,2,10.885886991697456
b'ichoq,2,1,6.442943495848728
b'ik,3,3,14.573942985382715
b'inib'al,5,5,20.60507700480683
b'inik,1,1,6.442943495848728
b'inowik,1,1,6.442943495848728
b'iq'itajik,1,1,6.442943495848728
b'is,5,4,17.77177398339491
b'isol,1,1,6.442943495848728
b'it,35,12,34.295771941530866
b'itaxik,1,1,6.442943495848728
b'itik,4,4,17.77177398339491
b'itoj,1,1,6.442943495848728
b'itol,20,12,34.295771941530866
b'ix,16,10,31.210154009613657
b'ixik,7,6,23.147885970765433
b'iyik,1,1,6.442943495848728
b'iyo,1,1,6.442943495848728
b'o'j,3,1,6.442943495848728
b'ochi,1,1,6.442943495848728
b'olaj,1,1,6.442943495848728
b'olik,1,1,6.442943495848728
b'olol,1,1,6.442943495848728
b'oqotajinaq,1,1,6.442943495848728
b'uchu,1,1,6.442943495848728
b'us,1,1,6.442943495848728
b'usaj,1,1,6.442943495848728
b'utik,3,2,10.885886991697456
castillan,2,1,6.442943495848728
caxtilan,1,1,6.442943495848728
ch'a,4,2,10.885886991697456
ch'a'oj,3,3,14.573942985382715
ch'a'ojil,1,1,6.442943495848728
ch'ab,9,4,17.77177398339491
ch'ab'a,3,3,14.573942985382715
ch'ab'al,16,8,27.543547966789827
ch'ab'i,3,2,10.885886991697456
ch'ajo'n,1,1,6.442943495848728
ch'ajo'nik,1,1,6.442943495848728
ch'ajom,1,1,6.442943495848728
ch'ak,2,2,10.885886991697456
ch'aka,1,1,6.442943495848728
ch'akab'al,1,1,6.442943495848728
ch'akajoq,1,1,6.442943495848728
ch'akat,2,2,10.885886991697456
ch'akatajik,17,13,35.652549110199274
ch'akatajinaq,1,1,6.442943495848728
ch'akb'al,2,2,10.885886991697456
ch'akik,4,3,14.573942985382715
ch'akimal,1,1,6.442943495848728
ch'akix,1,1,6.442943495848728
ch'ako'n,4,1,6.442943495848728
ch'akob'al,1,1,6.442943495848728
ch'aktik,1,1,6.442943495848728
ch'alami,1,1,6.442943495848728
ch'ami'y,5,3,14.573942985382715
ch'ami'ya,12,3,14.573942985382715
ch'ami'yal,1,1,6.442943495848728
ch'aq,1,1,6.442943495848728
ch'aqa,4,4,17.77177398339491
ch'aqa'p,2,2,10.885886991697456
ch'aqalik,1,1,6.442943495848728
ch'aqimal,1,1,6.442943495848728
ch'ata,2,2,10.885886991697456
ch'atam,2,1,6.442943495848728
ch'awik,1,1,6.442943495848728
ch'ayatajik,1,1,6.442943495848728
ch'ayik,1,1,6.442943495848728
ch'ek,4,4,17.77177398339491
ch'eken,1,1,6.442943495848728
ch'elem,1,1,6.442943495848728
ch'i'pi,7,6,23.147885970765433
ch'ij,2,2,10.885886991697456
ch'ijilal,1,1,6.442943495848728
ch'ipi,2,1,6.442943495848728
ch'itik,1,1,6.442943495848728
ch'o,14,2,10.885886991697456
ch'ob,14,9,29.45716644965774
ch'ob'il,2,2,10.885886991697456
ch'ob'ol,1,1,6.442943495848728
ch'okoch'oj,1,1,6.442943495848728
ch'okoj,11,8,27.543547966789827
ch'okojib,3,1,6.442943495848728
ch'u'j,1,1,6.442943495848728
ch'uch,1,1,6.442943495848728
ch'uk,2,2,10.885886991697456
ch'umil,12,8,27.543547966789827
ch'umila,1,1,6.442943495848728
ch'umilal,1,1,6.442943495848728
ch'uq,1,1,6.442943495848728
ch'ut,2,2,10.885886991697456
ch'uti,26,18,40.91433289931548
ch'uti'koq,1,1,6.442943495848728
ch'uti'n,4,4,17.77177398339491
ch'uti'noq,1,1,6.442943495848728
cha,27,13,35.652549110199274
cha'j,18,9,29.45716644965774
cha'ja,1,1,6.442943495848728
cha'jel,1,1,6.442943495848728
cha'jib'al,1,1,6.442943495848728
cha'jik,1,1,6.442943495848728
cha'joq,1,1,6.442943495848728
cha'om,3,3,14.573942985382715
chab'ij,4,3,14.573942985382715
chach,1,1,6.442943495848728
chachal,1,1,6.442943495848728
chachi,2,1,6.442943495848728
chaim,3,2,10.885886991697456
chaj,13,2,10.885886991697456
chajal,16,6,23.147885970765433
chajalan,1,1,6.442943495848728
chajalib,1,1,6.442943495848728
chajawaxik,1,1,6.442943495848728
chaje,1,1,6.442943495848728
chajeleb,1,1,6.442943495848728
chajem,1,1,6.442943495848728
chajij,1,1,6.442943495848728
chajin,1,1,6.442943495848728
chajkar,4,3,14.573942985382715
chajuj,1,1,6.442943495848728
chak,4,4,17.77177398339491
chak'aqa,1,1,6.442943495848728
chak'oto,1,1,6.442943495848728
chak'uxu,1,1,6.442943495848728
chakab'al,2,2,10.885886991697456
chakachaxinaq,1,1,6.442943495848728
chakal,1,1,6.442943495848728
chakala,1,1,6.442943495848728
chakij,1,1,6.442943495848728
chakom,1,1,6.442943495848728
chalaxik,1,1,6.442943495848728
chalaxoq,4,3,14.573942985382715
chalik'ib'a,1,1,6.442943495848728
cham,2,1,6.442943495848728
chamal,1,1,6.442943495848728
chamaq'ij,1,1,6.442943495848728
chamox,1,1,6.442943495848728
chan,1,1,6.442943495848728
chanik,1,1,6.442943495848728
chanim,4,3,14.573942985382715
chapa,4,4,17.77177398339491
chapam,2,2,10.885886991697456
chapik,1,1,6.442943495848728
chapo,2,2,10.885886991697456
chapom,1,1,6.442943495848728
chaponik,1,1,6.442943495848728
chaq,11,5,20.60507700480683
chaq'ab,4,3,14.573942985382715
chaq'an,3,3,14.573942985382715
chaq'anik,1,1,6.442943495848728
chaqi'j,5,3,14.573942985382715
chata,1,1,6.442943495848728
chati,1,1,6.442943495848728
chatin,1,1,6.442943495848728
chatz'akonisaj,1,1,6.442943495848728
chatz'ub'aj,1,1,6.442943495848728
chatziloj,1,1,6.442943495848728
chawach,2,1,6.442943495848728
chawaj,2,1,6.442943495848728
chawaxok,1,1,6.442943495848728
chawaxoq,7,5,20.60507700480683
chawe,2,1,6.442943495848728
chawech,1,1,6.442943495848728
chawecha'j,1,1,6.442943495848728
chawikiq'ab,1,1,6.442943495848728
chawil,1,1,6.442943495848728
chawila,1,1,6.442943495848728
chaxqab'ano,1,1,6.442943495848728
chay,1,1,6.442943495848728
chaya,1,1,6.442943495848728
chaya'taj,2,2,10.885886991697456
chayekuj,1,1,6.442943495848728
che,99,23,44.14577541520945
che'el,1,1,6.442943495848728
che'nel,1,1,6.442943495848728
che'xik,1,1,6.442943495848728
chel,7,6,23.147885970765433
chela,2,1,6.442943495848728
chelaj,1,1,6.442943495848728
chelik,1,1,6.442943495848728
cheltaj,1,1,6.442943495848728
chi,795,83,5.636037353649687
chi'umar,1,1,6.442943495848728
chi'umarik,1,1,6.442943495848728
chib'an,2,2,10.885886991697456
chib'ana,2,2,10.885886991697456
chib'anatajik,1,1,6.442943495848728
chib'anik,2,1,6.442943495848728
chib'ano,3,3,14.573942985382715
chib'antajoq,1,1,6.442943495848728
chib'aqir,1,1,6.442943495848728
chib'e,25,19,41.70530366569771
chib'ek,5,4,17.77177398339491
chib'eqnaj,1,1,6.442943495848728
chib'i'n,1,1,6.442943495848728
chib'ij,1,1,6.442943495848728
chib'inik,2,2,10.885886991697456
chib'ochi'j,1,1,6.442943495848728
chich'ak,1,1,6.442943495848728
chich'akatajik,2,2,10.885886991697456
chich'ako'nisaj,1,1,6.442943495848728
chich'aw,2,2,10.885886991697456
chich'awik,2,2,10.885886991697456
chich'ilita,1,1,6.442943495848728
chichajin,2,1,6.442943495848728
chichapo,1,1,6.442943495848728
chichapow,1,1,6.442943495848728
chichaq'uxik,1,1,6.442943495848728
chichaqijik,2,1,6.442943495848728
chichi'j,1,1,6.442943495848728
chichu,2,1,6.442943495848728
chijamataj,1,1,6.442943495848728
chijixitajik,1,1,6.442943495848728
chijok,1,1,6.442943495848728
chijoloman,1,1,6.442943495848728
chijure,1,1,6.442943495848728
chik,341,70,21.95623352326333
chik'am,5,5,20.60507700480683
chik'ama,4,3,14.573942985382715
chik'amowik,1,1,6.442943495848728
chik'arinaq,1,1,6.442943495848728
chik'ase,1,1,6.442943495848728
chik'astaj,3,3,14.573942985382715
chik'at,2,1,6.442943495848728
chik'atat,1,1,6.442943495848728
chik'atik,1,1,6.442943495848728
chik'imal,1,1,6.442943495848728
chik'is,1,1,6.442943495848728
chik'isik,1,1,6.442943495848728
chik'iyarik,1,1,6.442943495848728
chik'oje,2,2,10.885886991697456
chik'olob'a,1,1,6.442943495848728
chik'otox,1,1,6.442943495848728
chik'ow,1,1,6.442943495848728
chik'owik,1,1,6.442943495848728
chik'owinik,1,1,6.442943495848728
chik'oxk'otik,1,1,6.442943495848728
chik'ulwachij,1,1,6.442943495848728
chik'ulwachix,1,1,6.442943495848728
chik'utun,1,1,6.442943495848728
chik'utunisaj,1,1,6.442943495848728
chik'utunoq,1,1,6.442943495848728
chika'yik,1,1,6.442943495848728
chikach'ik,1,1,6.442943495848728
chikaj,3,3,14.573942985382715
chikam,4,3,14.573942985382715
chikamije'ik,1,1,6.442943495848728
chikamik,6,4,17.77177398339491
chikamisaj,1,1,6.442943495848728
chikanaj,2,2,10.885886991697456
chikaqtarin,1,1,6.442943495848728
chikaw,1,1,6.442943495848728
chike,47,29,45.963912520913524
chike'ik,1,1,6.442943495848728
chike'x,1,1,6.442943495848728
chikech,24,18,40.91433289931548
chikecha'j,1,1,6.442943495848728
chiki'kot,2,1,6.442943495848728
chikib'a,1,1,6.442943495848728
chikib'ano,15,9,29.45716644965774
chikib'il,1,1,6.442943495848728
chikich'ab'ej,1,1,6.442943495848728
chikich'ikib'a,1,1,6.442943495848728
chikichajij,1,1,6.442943495848728
chikij,8,6,23.147885970765433
chikijoq'ij,1,1,6.442943495848728
chikijujunal,1,1,6.442943495848728
chikik'am,3,3,14.573942985382715
chikik'amo,1,1,6.442943495848728
chikik'at,2,1,6.442943495848728
chikik'oje'ik,2,2,10.885886991697456
chikik'olob'a,1,1,6.442943495848728
chikik'ulelaj,1,1,6.442943495848728
chikik'ulmaj,1,1,6.442943495848728
chikik'ut,1,1,6.442943495848728
chikikamisaj,1,1,6.442943495848728
chikikikij,1,1,6.442943495848728
chikikiro,1,1,6.442943495848728
chikikiy,1,1,6.442943495848728
chikikosij,1,1,6.442943495848728
chikikuch,1,1,6.442943495848728
chikikuyu,1,1,6.442943495848728
chikil,6,3,14.573942985382715
chikilawachij,1,1,6.442943495848728
chikilo,5,3,14.573942985382715
chikilo'o,1,1,6.442943495848728
chikiluk,1,1,6.442943495848728
chikimaj,2,1,6.442943495848728
chikina'b'aj,1,1,6.442943495848728
chikina'o,1,1,6.442943495848728
chikipach,1,1,6.442943495848728
chikipakab'a,1,1,6.442943495848728
chikipaqab'a,2,1,6.442943495848728
chikipisla,1,1,6.442943495848728
chikipixab'aj,1,1,6.442943495848728
chikipus,2,2,10.885886991697456
chikiq'osij,1,1,6.442943495848728
chikiq'u'j,1,1,6.442943495848728
chikiqaq'axow,1,1,6.442943495848728
chikiqumej,1,1,6.442943495848728
chikira,1,1,6.442943495848728
chikiraquj,2,1,6.442943495848728
chikirayij,1,1,6.442943495848728
chikiriq,1,1,6.442943495848728
chikisachix,1,1,6.442943495848728
chikisik'ijoq,1,1,6.442943495848728
chikisipaj,1,1,6.442943495848728
chikisiqo,1,1,6.442943495848728
chikisolwachij,1,1,6.442943495848728
chikiti,1,1,6.442943495848728
chikitijtob'ela,1,1,6.442943495848728
chikitoq'o,1,1,6.442943495848728
chikitzololej,1,1,6.442943495848728
chikitzukuj,1,1,6.442943495848728
chikiwa'ej,1,1,6.442943495848728
chikiwach,35,26,45.30509822039854
chikiwachib'ej,1,1,6.442943495848728
chikiwej,2,2,10.885886991697456
chikiwub'aj,1,1,6.442943495848728
chikixulela,1,1,6.442943495848728
chikiya,4,4,17.77177398339491
chikiya'o,3,2,10.885886991697456
chikiyuq,1,1,6.442943495848728
chikoj,2,2,10.885886991697456
chikojo,1,1,6.442943495848728
chikop,44,19,41.70530366569771
chikopil,2,2,10.885886991697456
chikoq'eb'ej,1,1,6.442943495848728
chikoq'ib'ej,1,1,6.442943495848728
chikoq'otaj,1,1,6.442943495848728
chikowin,1,1,6.442943495848728
chikoyob'ej,1,1,6.442943495848728
chiku'b'e,1,1,6.442943495848728
chikuch'aj,1,1,6.442943495848728
chikuk'a'j,1,1,6.442943495848728
chikuk'aj,1,1,6.442943495848728
chikul,1,1,6.442943495848728
chikunaj,3,2,10.885886991697456
chikuxlab'ij,1,1,6.442943495848728
chikuya'o,1,1,6.442943495848728
chikuyu,1,1,6.442943495848728
chila,63,27,45.577511829502015
chilajajik,1,1,6.442943495848728
chilib'lotik,1,1,6.442943495848728
chilik,1,1,6.442943495848728
chilolinik,1,1,6.442943495848728
chiloq,1,1,6.442943495848728
chiloq'oj,1,1,6.442943495848728
chilu,1,1,6.442943495848728
chimachka'y,1,1,6.442943495848728
chimala,1,1,6.442943495848728
chimalkan,1,1,6.442943495848728
chimalmat,5,3,14.573942985382715
chimalmatib,1,1,6.442943495848728
chimatat,1,1,6.442943495848728
chimatzalaj,1,1,6.442943495848728
chimayo,1,1,6.442943495848728
chimeq'oj,2,1,6.442943495848728
chimich,1,1,6.442943495848728
chimuq,1,1,6.442943495848728
chimuqun,1,1,6.442943495848728
chinamit,19,10,31.210154009613657
chinamital,2,2,10.885886991697456
chinawachir,1,1,6.442943495848728
chinb'ij,1,1,6.442943495848728
chineb'owik,1,1,6.442943495848728
chinkanaj,1,1,6.442943495848728
chinwulij,1,1,6.442943495848728
chinya,1,1,6.442943495848728
chipatanij,1,1,6.442943495848728
chipe,12,10,31.210154009613657
chipetik,2,2,10.885886991697456
chipitz,1,1,6.442943495848728
chipoq'otajik,1,1,6.442943495848728
chipoq'taj,1,1,6.442943495848728
chiporoj,2,1,6.442943495848728
chipuk'ab'in,1,1,6.442943495848728
chipune,1,1,6.442943495848728
chipus,1,1,6.442943495848728
chipusu,4,2,10.885886991697456
chiq'ajaj,1,1,6.442943495848728
chiq'alajob'oq,1,1,6.442943495848728
chiq'atatat,2,1,6.442943495848728
chiq'atoj,1,1,6.442943495848728
chiq'equ'mar,1,1,6.442943495848728
chiq'ijila,1,1,6.442943495848728
chiq'osin,1,1,6.442943495848728
chiq'upuj,1,1,6.442943495848728
chiq'utu,1,1,6.442943495848728
chiqab'an,4,4,17.77177398339491
chiqab'ano,3,3,14.573942985382715
chiqab'ij,5,5,20.60507700480683
chiqach'akb'ej,1,1,6.442943495848728
chiqach'ako,1,1,6.442943495848728
chiqachap,1,1,6.442943495848728
chiqachokonisaj,1,1,6.442943495848728
chiqaj,3,3,14.573942985382715
chiqajik,1,1,6.442943495848728
chiqajujunal,1,1,6.442943495848728
chiqak'astaj,1,1,6.442943495848728
chiqak'oje'ik,1,1,6.442943495848728
chiqak'otaj,1,1,6.442943495848728
chiqakamisaj,1,1,6.442943495848728
chiqakanab'ij,1,1,6.442943495848728
chiqakanaj,1,1,6.442943495848728
chiqakoj,3,2,10.885886991697456
chiqakunaj,1,1,6.442943495848728
chiqanab'ij,1,1,6.442943495848728
chiqaq'aluj,1,1,6.442943495848728
chiqaq'ijila,1,1,6.442943495848728
chiqariq,1,1,6.442943495848728
chiqariqo,2,2,10.885886991697456
chiqasa,1,1,6.442943495848728
chiqata,1,1,6.442943495848728
chiqataqej,1,1,6.442943495848728
chiqatij,1,1,6.442943495848728
chiqatix,2,1,6.442943495848728
chiqatoq'ob'aj,1,1,6.442943495848728
chiqatz'onoj,3,2,10.885886991697456
