chap_num,xom_lines
1,1-96
2,97-154
3,155-274
4,275-339
5,340-433
6,434-517
7,518-679
8,680-837
9,838-907
10,908-984
11,985-1188
12,1189-1385
13,1386-1524
14,1525-1720
15,1721-1732
16,1733-1918
17,1919-2032
18,2033-2267
19,2268-2374
20,2375-2509
21,2510-2663
22,2664-2899
23,2900-3023
24,3024-3272
25,3273-3338
26,3339-3469
27,3470-3556
28,3557-3993
29,3994-4017
30,4018-4037
31,4038-4051
32,4052-4177
33,4178-4241
34,4242-4365
35,4366-4398
36,4399-4447
37,4448-4573
38,4574-4639
39,4640-4772
40,4773-4821
41,4822-4861
42,4862-4939
43,4940-4947
44,4948-5010
45,5011-5071
46,5072-5115
47,5116-5360
48,5361-5374
49,5375-5413
50,5414-5485
51,5486-5601
52,5602-5774
53,5775-5796
54,5797-5870
55,5871-6043
56,6044-6289
57,6290-6503
58,6504-6597
59,6598-6699
60,6700-6775
61,6776-6919
62,6920-7075
63,7076-7206
64,7207-7360
65,7361-7411
66,7412-7450
67,7451-7550
68,7550-7707
69,7708-7787
70,7788-7802
71,7803-7814
72,7815-7822
73,7823-7828
74,7829-7943
75,7944-8032
76,8033-8180
77,8181-8231
78,8232-8325
79,8326-8490
80,8491-8515
81,8516-8555
82,8556-8595
83,8596-8631
84,8632-8663
85,8664-8679
86,8680-8695
87,8696-8716
