gloss_id,term_str,pos,term_def
235,a,adj,masculine youth indicator  a Xuan = the young Juan
236,a,adv interrog,indicator of question [Totonicapán]
237,a,poss pro,your
238,a'<aj>,n,thigh; part of the leg above the knee
239,a'tam,adj,early
240,ab,n,hammock; steam; mist
241,aba'q,n,soot
242,abäj,n,"stone, rock, testicle"
243,abäj tew,n,frost; ice; snow
244,abäjirik,v,to harden
245,abanel,n,operator
246,abanik,v,to invent; to fabricate
247,abir,adv,last year
248,abix,n,corn plant; cornfield
249,abixbal,n,plow
250,abixik,v,to plow
251,abixinik,v,to cultivate a plot of land
252,-ach',n,kind; class
253,-ach' ch'aben,n,confidant; one in whom you can confide
254,-ach' winaq,n,fellow-man
255,ach'i'y,adj,elastic; tough  meat
256,achajil<om>,n,husband
257,achalal,n,brother; older brother of male; family member
258,achalaxik,n,family
259,achalka'n,n,sister-in-law  when persons married to two sisters--concuña
260,-achaq amolo,n,maggot
261,-achaq ch'imil,n,falling star
262,-achaq ixpeq,n,mildew
263,-achaq q'aq',n,hot coals
264,-achaq -xikin,n,ear wax
265,achaq<aj>,n,"buttocks; excrement  human, animal"
266,achel,n,matasano  fruit
267,Achep,n,José
268,achi,n,man
269,achi nim -banik,n,important man
270,achi'l,n,companion; friend; regidor  assistant to mayor on council
271,achi'laj,v,to accompany
272,achi'lik,v,to be together
273,achij -baq'wäch,n,polygamous husband
274,achik',n,dream
275,achik'aj,v,to dream
276,achik'axik,v,to be dreamed about
277,achik'ik,v,to dream
278,achixaj,v,to be jealous
279,achixam,adj,jealous
280,achixam chrij ri rixoqil,adj,jealous about his wife
281,-achoch,n,home; sheath; scabbard; holster
282,-achoch Dios,n,temple
284,-achoch mache't,n,scabbard
285,-achoch q'aq',n,pistol holster
286,aj,of; pertains to,
287,Aj,n,day of sacred calendar
288,äj,n,"ear of corn  ripe, undried ; sweet corn on the cob  boiled, roasted"
289,aj,n,"firecracker, bombs used by the Catholics"
290,äj,n,reed; caña silvestre
291,aj,v,to want
292,aj na,v,to lack  käraj na jubiq’ atz’am --it needs a little salt
293,aj pa che',n,prisoner
294,aj uwo -achoch,n,family member; one who lives in the house
295,aj -wa,v,to have an appetite
296,aja'n q'or,n,atol of green corn
297,ajache',n,matasano  fruit--Casimira edulis
298,ajaj,v,"to work wood  cut, carve"
299,ajan,adj,"carved  wood, stone"
300,ajanel,n,carpenter
301,ajaw,n,owner; lord; king; boss
302,-ajaw chaq'ab,n,large black goat demon with fiery eyes
303,ajawab,n,community elders  permanent office  who choose auxiliary officers
304,ajawal,n,king
305,ajawam,n,freewill; by choice; voluntary; conscience; will
306,Ajawaxel,n,Lord  title for Christian God
307,ajawibal,n,kingdom
308,ajawij,v,to rule over
309,ajawinel,n,king
310,ajawinik,v,to rule
311,ajbe,n,traveller
312,ajbe'il,n,foreigner; traveller
313,ajbinel,n,traveller
314,ajbix,n,singer; specialist diviner uses elegant prayers and Latin liturgy
315,ajch'akap ja,n,stranger
316,ajch'ami'y,n,alcalde auxiliar  small town ; alguacil; constable; policeman
317,ajch'ayal ch'ich',n,blacksmith
318,ajch'ib,n,youngest child in family
319,ajch'o'j,n,soldier
320,ajch'op,n,member of a group
321,ajchak,n,traditional peasant farmer; worker
322,ajchaq'e,n,owner; master
323,ajchaq'im,n,child who has or is going to have a baby brother
324,ajchaq'im ak'al,n,premature baby; child born one year after sibling
325,ajchar,n,sifter  quadrangular
326,ajche',n,matasano fruit
327,ajchikaj,n,celestial; pertaining to the sky
328,ajchila',adv,from there; from way over there
329,ajchiq'ij,n,day laborer
330,ajchoq'e,n,owner; proprietor
331,ajelbal,n,flutist
332,ajibal,n,wants
333,äjij,n,sugar cane
334,ajik',n,servant; someone paid by the month; woman dancer represents moon
335,ajil,n,price; money saved for some purpose
336,ajilabal,n,date  calendar ; number; adding machine
337,-ajilabal q'ij,n,Tzolkin; sacred 260-day calendar
338,ajilabik,v,to count
340,ajilaj,v,to count; to relate; to give an account
341,ajilal,n,value
342,ajilanel,n,counter  person
343,ajilanik,v,to count
344,-ajilbalil,n,date; count; number
345,ajit,n,indigestion
346,ajita',n,indigestion
347,ajitz,n,bad witch
348,Ajitz,n,planet Mercury
349,ajjub,n,bow hunter
350,ajk'ay,n,seller; vendor
351,ajk'iche' winaq,n,Quiché people
352,ajk'ix,n,one who embarasses easily
353,ajk'ot,n,dancer who represents eagles in mythic dances
354,ajkajbalach,n,fortune teller; reader of the stars
355,ajkemal k'ul,n,blanket weaver
356,ajkemal po't,n,blouse weaver  Momostenango
357,ajkemal su't,n,napkin or cape weaver
358,ajkiej,n,horseman
359,ajkiem,n,weaver
360,ajkoj,n,dancer who represents lion in mythic dances
361,ajkotz'i'j,n,witch who places flowers and candles at shrines
362,ajkun,n,witch who heals; doctor
363,Ajmak,n,day in the sacred calendar
364,ajmak,n,one who is guilty; sinner
365,ajmes,n,"espiritista, one who consults spirits, good witch"
366,ajmiq'ina',n,native of Totonicapán
367,ajmox,n,not clever
368,ajnawal mesa,n,spiritualist  revered specialist diviner conducts seances
369,ajortza'm,n,sandal
370,ajpajuyub,n,peasant; peasant farmer; one who works fields in hills
371,ajpatan,n,member of a cofradía
372,ajpätzkar,n,dancer who strikes with chicotes
373,ajpom,n,witch who burns copal
374,ajpop,n,dignitary; official; leader
375,ajpuaq,n,silversmith
376,ajq'ij,n,daykeeper; diviner; zajorín; dancer who represents the sun
377,ajq'ojom,n,marimba player; musician; drummer
378,ajq'ojom,n,town crier who uses drums  mid-level community position
