term_str,n,p,i,h,dh
,7,0.00025837885722722575,11.918224358361996,0.0030794171898912586,2.5216406363433177
!,4,0.00014764506127270044,12.7255792804196,0.0018788689325881592,1.5
',2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
'ek,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
'ri,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
'ut,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
(ch'uti),1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
(xik')?,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-,25,0.0009227816329543777,10.081723090644875,0.009303228896579134,3.077405811425518
-a,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-aji!,10,0.0003691126531817511,11.403651185532238,0.004209231945051026,0.0
-aki!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-amaq',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-apa,14,0.0005167577144544515,10.918224358361996,0.005642076665328065,3.521640636343318
-apachina,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-apachinaq,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-aq'aroq,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-aq'aroq!,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,1.5849625007211559
-aqaroq!,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,0.9182958340544893
-are,14,0.0005167577144544515,10.918224358361996,0.005642076665328065,3.6644977792004614
-at,4,0.00014764506127270044,12.7255792804196,0.0018788689325881592,2.0
-b'alam,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chab'ij,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chak'aqa,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chay,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chi,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chib'ana',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chib'ek,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chib'ij,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chichakonisaj,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chikamisaj,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chikira',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chila',3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,1.5849625007211559
-chiporoj,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chipusu',2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-chiq'ijila',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chiri',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chita',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chiteleb'a'!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chitik'oj,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chiwila',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chopon,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chultakib'ana',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-chuweq,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-ilokab',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-in,7,0.00025837885722722575,11.918224358361996,0.0030794171898912586,2.8073549220576037
-ix,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,1.5849625007211559
-je,4,0.00014764506127270044,12.7255792804196,0.0018788689325881592,1.5
-je'atzaqa,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-jiya'!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-jo',2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-ju,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-jucha,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,0.0
-jucha'lik?,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-jujunal,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-jun,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-junajpu:,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-junal,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-jupa,6,0.00022146759190905065,12.140616779698444,0.0026887531624904277,2.584962500721156
-jusuk',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-k'a,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-k'ate,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-k'ax,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-k'eje,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-k'o,4,0.00014764506127270044,12.7255792804196,0.0018788689325881592,1.5
-kach'awoq!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kacha',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kanurayij!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kaqach'akimaj,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kasik'in,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-katk'ix,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-katk'oje,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-katojoq-,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-katwalijoq!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-katzijonoq!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kaxaqi,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kepetoq!,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-kik',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kil,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kilitz'!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kitoq'ob'a,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kixb'ek,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-kixch'awoq,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kixcha',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kixk'amowan,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kixku'loq,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kixku'uloq!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kixpetoq!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kixtz'ib'anoq,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-kojb'e,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-la,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,1.5849625007211559
-laq'ij,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-ma,26,0.0009596928982725527,10.025139562278508,0.009621055242109891,3.825251737288651
-maja,8,0.0002952901225454009,11.7255792804196,0.0034624477426309173,2.75
-mawi,16,0.0005905802450908018,10.7255792804196,0.0063343152401710325,3.75
-mi,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,1.5849625007211559
-mixb'isonik,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,1.5849625007211559
-mixb'isonik!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-mixeqach'ako!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-mixeqachako!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-mixib'ij,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-mixinulik,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-mixqach'akoyan,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-mixul,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-mixutzinik,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-nab'e,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-naki,56,0.002067030857817806,8.918224358361996,0.01843424494567665,3.6555097723282395
-naki?,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-oj,5,0.00018455632659087555,12.403651185532238,0.0022891722991163883,1.9219280948873623
-ok'a!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-pujuyu!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-q'ala,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,0.9182958340544893
-q'ij,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-qach'opij,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-qak'ulel,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-qitzij,8,0.0002952901225454009,11.7255792804196,0.0034624477426309173,3.0
-qoyob'ej,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-rajawal,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-ri,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,1.5849625007211559
-rumal,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-saqarik,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-ta,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-toq'ob',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-toqob',2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-ujolom,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-ukab',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-ulew!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-utz,60,0.0022146759190905065,8.818688684811082,0.019530537468207033,4.741621479593625
-utz!,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-utz-,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-wa'e,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
-wak,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-we,5,0.00018455632659087555,12.403651185532238,0.0022891722991163883,2.321928094887362
-we!,6,0.00022146759190905065,12.140616779698444,0.0026887531624904277,2.584962500721156
-we-,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-web'a,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-wuqub'ix,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-xa,29,0.0010704266942270781,9.867598285292027,0.010562540612485929,4.349191770915038
-xawi,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,0.9182958340544893
-xax,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-xcha,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-xcha',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-xeqakanaj,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-xere,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,0.9182958340544893
-xikiripat-,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-xkaminaqoq,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-xkojb'e,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-xmakawaj,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-xpurpuweq!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-xqaq'iso,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-xqil,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
-yaklin,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
[]wivinac;inaq,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
];,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
a,13,0.0004798464491362764,11.025139562278508,0.005290374070191222,3.238901256602631
a',3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,0.9182958340544893
ab'aj,26,0.0009596928982725527,10.025139562278508,0.009621055242109891,4.026986833359287
ab'aj;,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ab'ajil,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ab'anel,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ab'anoj!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ab'i,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,0.0
ab'ix,4,0.00014764506127270044,12.7255792804196,0.0018788689325881592,0.0
ab'ix:,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ab'ixik,4,0.00014764506127270044,12.7255792804196,0.0018788689325881592,1.0
ab'ixom,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
abix,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
achaq',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
achb'ilan,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
achb'ilay,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
achij,13,0.0004798464491362764,11.025139562278508,0.005290374070191222,2.4416298737872246
achijab',3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,1.5849625007211559
achijil,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
achijilal,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
achinaq,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
