doc_id,cluster_label,cluster_letter
0,1,A
1,1,A
2,1,A
3,3,B
4,3,B
5,3,B
6,3,B
7,3,B
8,3,B
9,3,B
10,3,B
11,3,B
12,3,B
13,3,B
14,3,B
15,3,B
16,3,B
17,3,B
18,3,B
19,3,B
20,3,B
21,3,B
22,4,C
23,4,C
24,4,C
25,3,B
26,4,C
27,4,C
28,4,C
29,4,C
30,4,C
31,4,C
32,4,C
33,4,C
34,4,C
35,4,C
36,4,C
37,4,C
38,4,C
39,4,C
40,4,C
41,4,C
42,4,C
43,4,C
44,4,C
45,4,C
46,4,C
47,4,C
48,4,C
49,4,C
50,1,A
51,4,C
52,3,B
53,3,B
54,1,A
55,4,C
56,4,C
57,4,C
58,4,C
59,4,C
60,4,C
61,4,C
62,4,C
63,4,C
64,4,C
65,4,C
66,4,C
67,4,C
68,4,C
69,4,C
70,4,C
71,4,C
72,4,C
73,4,C
74,4,C
75,4,C
76,4,C
77,4,C
78,4,C
79,4,C
80,4,C
81,4,C
82,4,C
83,4,C
84,4,C
85,4,C
86,4,C
87,4,C
88,4,C
89,4,C
90,4,C
91,4,C
92,4,C
93,4,C
94,3,B
95,3,B
96,3,B
97,3,B
98,2,D
99,2,D
100,2,D
101,2,D
102,2,D
103,2,D
104,2,D
105,2,D
106,2,D
107,2,D
108,2,D
109,2,D
110,2,D
111,2,D
112,2,D
113,2,D
114,2,D
115,2,D
116,2,D
117,2,D
118,2,D
119,2,D
120,2,D
121,2,D
122,2,D
123,2,D
124,2,D
125,2,D
126,3,B
127,2,D
128,2,D
129,1,A
130,1,A
131,1,A
132,1,A
133,1,A
134,1,A
135,1,A
136,1,A
137,1,A
138,1,A
139,1,A
140,1,A
141,1,A
142,1,A
143,1,A
144,1,A
145,1,A
146,1,A
147,1,A
148,1,A
149,1,A
150,1,A
151,1,A
152,1,A
