para_id,cluster_label,cluster_letter
0,7,A
1,7,A
2,7,A
3,5,B
4,5,B
5,5,B
6,5,B
7,5,B
8,5,B
9,5,B
10,5,B
11,5,B
12,5,B
13,5,B
14,5,B
15,5,B
16,7,A
17,5,B
18,7,A
19,5,B
20,5,B
21,5,B
22,2,C
23,2,C
24,2,C
25,5,B
26,2,C
27,2,C
28,2,C
29,2,C
30,2,C
31,2,C
32,1,D
33,1,D
34,3,E
35,7,A
36,7,A
37,1,D
38,1,D
39,1,D
40,3,E
41,1,D
42,3,E
43,3,E
44,3,E
45,3,E
46,3,E
47,3,E
48,1,D
49,1,D
50,7,A
51,3,E
52,5,B
53,5,B
54,7,A
55,3,E
56,3,E
57,3,E
58,3,E
59,3,E
60,3,E
61,3,E
62,3,E
63,3,E
64,3,E
65,3,E
66,3,E
67,3,E
68,3,E
69,3,E
70,3,E
71,3,E
72,3,E
73,3,E
74,3,E
75,3,E
76,3,E
77,3,E
78,3,E
79,3,E
80,3,E
81,3,E
82,3,E
83,3,E
84,3,E
85,3,E
86,3,E
87,3,E
88,3,E
89,3,E
90,3,E
91,3,E
92,3,E
93,1,D
94,5,B
95,5,B
96,5,B
97,5,B
98,9,F
99,4,G
100,4,G
101,4,G
102,4,G
103,4,G
104,9,F
105,4,G
106,9,F
107,4,G
108,4,G
109,4,G
110,4,G
111,4,G
112,4,G
113,9,F
114,4,G
115,4,G
116,4,G
117,4,G
118,4,G
119,4,G
120,4,G
121,4,G
122,4,G
123,4,G
124,4,G
125,9,F
126,9,F
127,4,G
128,9,F
129,8,H
130,8,H
131,7,A
132,7,A
133,6,I
134,8,H
135,8,H
136,8,H
137,8,H
138,8,H
139,8,H
140,9,F
141,7,A
142,7,A
143,7,A
144,6,I
145,7,A
146,7,A
147,6,I
148,7,A
149,7,A
150,6,I
151,7,A
152,7,A
