term_str,n,gloss
a,38,
a',6,
a'on,1,
ab'aj,26,
ab'ajil,1,
ab'anel,1,
ab'anoj,1,
ab'i',2,
ab'ix,5,
ab'ixik,4,
ab'ixom,1,
abix,1,
achaq,1,
achb'ilan,1,
achb'ilay,2,
achij,13,
achijab',3,
achijil,1,
achijilal,1,
achinaq,1,
achuch,1,
actualizada,1,
aj,39,
ajache',2,
ajal,18,
ajam,12,
ajaw,135,
ajawab',122,
ajawal,1,
ajawarem,14,
ajb'atena,1,
ajb'is,2,
ajb'it,10,
ajb'ix,5,
ajch'ut,1,
ajchoq',1,
ajchoq'e,1,
aji,12,
ajilam,2,
ajilan,11,
ajilatal,1,
ajk'ix,2,
ajk'ixb',19,
ajk'ot,3,
ajk'uwa'l,1,
ajkab',1,
ajkaj,1,
ajkajb',17,
ajkun,1,
ajlab'al,12,
ajlatz'ab',1,
ajloq',2,
ajmak,1,
ajmewa,1,
ajmoken,1,
ajmoxwach,1,
ajmuqulik,1,
ajna'oj,3,
ajnim,3,
ajoxb'al,1,
ajpatan,1,
ajpop,38,
ajpopol,2,
ajposotz'il,1,
ajpoxa,1,
ajpu,144,
ajq'ij,3,
ajq'ol,1,
ajq'ukumatz,1,
ajraxalaq,2,
ajraxatzel,2,
ajsu',5,
ajtojil,1,
ajtoltekat,1,
ajtukur,1,
ajtz'alam,1,
ajtz'aq,8,
ajtz'ib',2,
ajtz'ib'ab',2,
ajtz'ite',1,
ajtza,1,
ajtzik',11,
ajuchan,2,
ajxit,1,
ajxob',2,
ajyamanik,1,
ak'alab',1,
ak'u'x,2,
ak'wil,1,
akam,1,
akul,1,
al,14,
ala,3,
alachinaq,1,
alal,1,
alanel,1,
alaq,1,
alay,2,
alib',2,
alk'wa'l,2,
alom,17,
ama,1,
amaq',101,
amaq'el,4,
amaq'il,1,
anam,1,
anilab'ik,1,
anim,5,
anom,1,
apa,1,
apachinaq,1,
apanoq,15,
apetik,1,
aponoq,6,
aq,6,
aq'ab',69,
aq'ab'a,1,
aq'ab'al,7,
aq'ab'il,1,
aq'anoq,11,
aq'aq',1,
aqaj,2,
aqajaw,2,
aqan,1,
aqanoq,1,
aqaroq,8,
aqawitz,1,
