para_id,term_str,n
0,actualizada,1
0,ajtz'ib'ab',1
0,crítica,1
0,k'iche',2
0,nab'e,1
0,ojer,1
0,pa,1
0,popol,1
0,ramaq',1
0,taq,1
0,tinamit,1
0,tzij,1
0,versión,1
0,winaq,1
0,wuj,1
0,xb'an,1
0,y,1
1,are',1
1,k'iche',1
1,ojer,1
1,tzij,1
1,ub'i',1
1,uxe',1
1,waral,1
2,ajpu,2
2,ajraxalaq,1
2,ajraxatzel,1
2,alom,1
2,aq,1
2,are,1
2,b'itol,1
2,ch'uqunel,1
2,cho,1
2,chuchaxik,2
2,ewaxib'al,1
2,iyom,2
2,jun,2
2,k'ajolom,1
2,k'iche',3
2,k'ut,1
2,kamul,2
2,mamom,1
2,mamon,1
2,matzanel,1
2,ojer,1
2,pa,2
2,palo,1
2,puch,2
2,q'ukumatz,1
2,rachb'ixik,1
2,rachtzijoxik,1
2,ramaq',1
2,ri,1
2,ronojel,1
2,rumal,1
2,saqinim,2
2,saqirib'al,1
2,tepew,1
2,tinamit,1
2,tz'aqol,1
2,tzij,2
2,tzis,1
2,ub'i',1
2,uk'u'x,2
2,uk'utunisaxik,1
2,uq'alajob'isaxik,1
2,utikarib'al,1
2,utiw,1
2,utzijoxik,1
2,uxe'nab'al,1
2,waral,1
2,wi,3
2,winaq,1
2,wuch',1
2,xb'an,1
2,xchiqak'am,1
2,xchiqatikib'a',1
2,xchiqatz'ib'aj,1
2,xmukane,1
2,xpiyakok,1
3,a,1
3,ab'anel,1
3,ajb'is,1
3,ajna'oj,1
3,al,1
3,alay,1
3,amaq'il,1
3,are,1
3,b'i,1
3,b'isol,1
3,b'itol,1
3,ch'aqa,1
3,che'xik,1
3,chi,2
3,chik,4
3,chik'istz'uk,1
3,cho,1
3,chucha'xik,1
3,chuchaxik,1
3,chupan,1
3,dios,1
3,ewal,1
3,ilb'al,3
3,ilol,1
3,k'a,3
3,k'a'maxik,2
3,k'ajol,1
3,k'aslem,2
3,k'o,1
3,k'olem,1
3,k'u'xla'y,1
3,k'u'xlanel,1
3,kachamamoq,1
3,kaj,3
3,kajtz'uk,1
3,kajxukut,1
3,katz'ininoq,1
3,katz'inonik,1
3,kristyano'il,1
3,maja,1
3,nab'e,1
3,nim,1
3,ojer,1
3,pa,1
3,palo,2
3,petenaq,1
3,popo,1
3,puch,2
3,qamujib'al,1
3,re,3
3,rech,3
3,retaxik,1
3,ronojel,3
3,ruk',1
3,rumal,2
3,saq,2
3,saqil,5
3,ta,2
3,tolona,1
3,toq'ol,1
3,tz'aqol,1
3,tz'ib'am,1
3,tz'ukuxik,1
3,tzij,1
3,uch'ab'al,1
3,uchuch,1
3,ukaj,3
3,ulew,3
3,umej,1
3,upa,2
3,upeyoxik,1
3,uqajaw,1
3,utzijoxik,3
3,uwach,1
3,uyuq,1
3,wa'e,2
3,wi,1
3,winaqirem,1
3,wuj,1
3,wujil,1
3,xa,1
3,xchiqatz'ib'aj,1
3,xchiqelesaj,1
3,xkib'an,1
3,xkitzijoj,1
3,xukutaxik,1
4,ab'aj,1
4,alom,1
4,aq'ab',1
4,aq'ab'al,2
4,are,2
4,b'i,1
4,b'itol,1
4,che',2
4,chi,6
4,chikop,1
4,chuchaxik,1
4,e,5
4,ja',2
4,jul,1
4,jun,3
4,k'a'm,1
4,k'ajolom,1
4,k'aslem,1
4,k'iche'laj,1
4,k'im,1
4,k'o,5
4,k'olik,3
4,k'ut,3
4,k'ute,1
4,kab'awil,1
4,kachamanik,1
4,kaj,5
4,kakotzob'ik,1
4,kamalkab'an,1
4,kamolob'ik,1
4,kar,1
4,kasilob'ik,1
4,katz'ininik,1
4,keje,1
4,kina'oj,1
4,kitzij,1
4,kuk',1
4,la,3
4,li'anik,1
4,lo,1
4,ma,2
4,maja,1
4,majab'i'oq,1
4,muqutal,1
4,nab'e,2
4,naqi,3
4,nay,1
4,nimaq,1
4,pa,3
4,palo,2
4,puch,3
4,q'alaj,1
4,q'equ'm,1
4,q'equ'mal,2
4,q'ukumatz,4
4,q'uq',1
4,raqan,1
4,raxon,1
4,remanik,3
4,ri,7
4,ronojel,1
4,ruk',1
4,rumal,1
4,saqtetoj,1
4,siwan,1
4,ta,7
4,tap,1
4,tepew,3
4,tz'aqol,1
4,tz'ikin,1
4,tzij,1
4,ub'i',1
4,ub'inam,1
4,uchan,1
4,uk'u'x,2
4,ulew,1
4,upa,1
4,utukel,4
4,utz'ukik,1
4,utz'ukukik,1
4,utzij,1
4,uwach,1
4,uwinaqirik,1
4,wa'e,1
4,waral,2
4,wi,7
4,winaq,1
4,winaqirem,1
4,xa,8
4,xax,1
4,xch'aw,1
4,xe,1
4,xeb'isonik,1
4,xecha',1
4,xena'ojinik,1
4,xeriqo,1
4,xkikuch,1
4,xkina'ojij,1
4,xma,1
4,xpe,1
4,xq'alaj,2
4,xul,1
4,yakalik,1
5,apachinaq,1
5,ch'ipakaqulja,1
5,chawaxoq,1
5,chi,1
5,chik,1
5,chuxoq,1
5,e,1
5,jupacha,1
5,juraqan,1
5,k'aslem,1
5,k'u,1
5,k'ut,1
5,kaj,1
5,kaqulja,1
5,kixno'jin,1
5,kuk',1
5,nab'e,1
5,oxib',1
5,q'o'l,1
5,q'ukumatz,1
5,raxakaqulja,1
5,ri,1
5,ri',1
5,rox,1
5,saq,1
5,saqiro,1
5,ta,5
5,taj,1
5,tepew,1
5,tzuqul,1
5,uk'u'x,1
5,ukab',1
5,xe'ul,1
5,xna'ojixik,1
6,are,1
6,b'it,1
6,ch'a,1
6,chawaxoq,1
6,chel,1
6,chijamataj,1
6,chiwinaqir,2
6,ja',1
6,k'u,1
6,k'ut,3
6,kaj,1
6,kitzij,1
6,kumal,1
6,ma,1
6,qab'it,1
6,qatz'aq,1
6,ri,3
6,saqiroq,1
6,ta,6
6,taj,1
6,tz'aq,1
6,ulaq'el,1
6,ulew,5
6,uq'ala'ib'al,1
6,uq'ijilab'al,1
6,uwinaqirik,1
6,wa,1
6,wi,1
6,winaq,2
6,winaqiroq,1
6,xa,1
6,xecha,1
6,xecha',1
6,xk'oje',1
6,xwinaqirik,1
7,chik,1
7,jusuk',2
7,juyub',2
7,keje,1
7,kinawal,1
7,lib'ajchi',1
7,mayuy,1
7,nima'q,1
7,rachwinaqirik,1
7,ri,1
7,ta,2
7,taq'aj,1
7,tzutz,1
7,uk'isisil,1
7,una'ojixik,1
7,upachajil,1
7,upupuje'ik,1
7,uwach,1
7,uwinaqirik,1
7,xa,3
7,xtape,1
7,xuxik,1
8,at,2
8,ch'ipikaqulja,1
8,ch'ob'ol,1
8,chik,1
8,chupan,1
8,ja',3
8,juraqan,1
8,juyub',2
8,k'oleje',1
8,k'ut,5
8,k'ute,1
8,kaj,2
8,ke'ucha'xik,1
8,keje',3
8,kumal,2
8,mixatulik,1
8,nab'e,2
8,nay,1
8,nima'q,1
8,puch,2
8,q'ukumatz,1
8,qab'it,1
8,qatz'aq,1
8,raxakaqulja,1
8,ri,3
8,ri',2
8,rutzinik,1
8,ta,4
8,tajik,1
8,taq'aj,1
8,ub'ana,1
8,ub'e,1
8,uk'u'x,3
8,ulew,4
8,una'ojixik,1
8,utz,1
8,uwinaqirik,1
8,wi,2
8,xa,1
8,xb'inije'ik,1
