term_str,df,dp,dh,sig
a,23,0.38333333333333336,0.5302759784947438,True
a',6,0.1,0.33219280948873625,True
a'on,1,0.016666666666666666,0.09844817659347531,True
ab'aj,19,0.31666666666666665,0.5253383093522288,True
ab'ajil,1,0.016666666666666666,0.09844817659347531,True
ab'anel,1,0.016666666666666666,0.09844817659347531,True
ab'anoj,1,0.016666666666666666,0.09844817659347531,True
ab'i',1,0.016666666666666666,0.09844817659347531,True
ab'ix,2,0.03333333333333333,0.1635630198536173,True
ab'ixik,2,0.03333333333333333,0.1635630198536173,True
ab'ixom,1,0.016666666666666666,0.09844817659347531,True
abix,1,0.016666666666666666,0.09844817659347531,True
achaq,1,0.016666666666666666,0.09844817659347531,True
achb'ilan,1,0.016666666666666666,0.09844817659347531,True
achb'ilay,2,0.03333333333333333,0.1635630198536173,True
achij,7,0.11666666666666667,0.3616124952476067,True
achijab',3,0.05,0.21609640474436814,True
achijil,1,0.016666666666666666,0.09844817659347531,True
achijilal,1,0.016666666666666666,0.09844817659347531,True
achinaq,1,0.016666666666666666,0.09844817659347531,True
achuch,1,0.016666666666666666,0.09844817659347531,True
actualizada,1,0.016666666666666666,0.09844817659347531,True
aj,13,0.21666666666666667,0.478064356784609,True
ajache',2,0.03333333333333333,0.1635630198536173,True
ajal,3,0.05,0.21609640474436814,True
ajam,7,0.11666666666666667,0.3616124952476067,True
ajaw,23,0.38333333333333336,0.5302759784947438,True
ajawab',24,0.4,0.528771237954945,True
ajawal,1,0.016666666666666666,0.09844817659347531,True
ajawarem,7,0.11666666666666667,0.3616124952476067,True
ajb'atena,1,0.016666666666666666,0.09844817659347531,True
ajb'is,2,0.03333333333333333,0.1635630198536173,True
ajb'it,4,0.06666666666666667,0.26045937304056793,True
ajb'ix,3,0.05,0.21609640474436814,True
ajch'ut,1,0.016666666666666666,0.09844817659347531,True
ajchoq',1,0.016666666666666666,0.09844817659347531,True
ajchoq'e,1,0.016666666666666666,0.09844817659347531,True
aji,2,0.03333333333333333,0.1635630198536173,True
ajilam,2,0.03333333333333333,0.1635630198536173,True
ajilan,11,0.18333333333333332,0.4487008124447239,True
ajilatal,1,0.016666666666666666,0.09844817659347531,True
ajk'ix,2,0.03333333333333333,0.1635630198536173,True
ajk'ixb',14,0.23333333333333334,0.48989165716188005,True
ajk'ot,3,0.05,0.21609640474436814,True
ajk'uwa'l,1,0.016666666666666666,0.09844817659347531,True
ajkab',1,0.016666666666666666,0.09844817659347531,True
ajkaj,1,0.016666666666666666,0.09844817659347531,True
ajkajb',12,0.2,0.46438561897747244,True
ajkun,1,0.016666666666666666,0.09844817659347531,True
ajlab'al,6,0.1,0.33219280948873625,True
ajlatz'ab',1,0.016666666666666666,0.09844817659347531,True
ajloq',1,0.016666666666666666,0.09844817659347531,True
ajmak,1,0.016666666666666666,0.09844817659347531,True
ajmewa,1,0.016666666666666666,0.09844817659347531,True
ajmoken,1,0.016666666666666666,0.09844817659347531,True
ajmoxwach,1,0.016666666666666666,0.09844817659347531,True
ajmuqulik,1,0.016666666666666666,0.09844817659347531,True
ajna'oj,3,0.05,0.21609640474436814,True
ajnim,3,0.05,0.21609640474436814,True
ajoxb'al,1,0.016666666666666666,0.09844817659347531,True
ajpatan,1,0.016666666666666666,0.09844817659347531,True
ajpop,9,0.15,0.4105448391249309,True
ajpopol,2,0.03333333333333333,0.1635630198536173,True
ajposotz'il,1,0.016666666666666666,0.09844817659347531,True
ajpoxa,1,0.016666666666666666,0.09844817659347531,True
ajpu,32,0.5333333333333333,0.4836749843245432,True
ajq'ij,1,0.016666666666666666,0.09844817659347531,True
ajq'ol,1,0.016666666666666666,0.09844817659347531,True
ajq'ukumatz,1,0.016666666666666666,0.09844817659347531,True
ajraxalaq,2,0.03333333333333333,0.1635630198536173,True
ajraxatzel,2,0.03333333333333333,0.1635630198536173,True
ajsu',3,0.05,0.21609640474436814,True
ajtojil,1,0.016666666666666666,0.09844817659347531,True
ajtoltekat,1,0.016666666666666666,0.09844817659347531,True
ajtukur,1,0.016666666666666666,0.09844817659347531,True
ajtz'alam,1,0.016666666666666666,0.09844817659347531,True
ajtz'aq,4,0.06666666666666667,0.26045937304056793,True
ajtz'ib',2,0.03333333333333333,0.1635630198536173,True
ajtz'ib'ab',2,0.03333333333333333,0.1635630198536173,True
ajtz'ite',1,0.016666666666666666,0.09844817659347531,True
ajtza,1,0.016666666666666666,0.09844817659347531,True
ajtzik',5,0.08333333333333333,0.29874687506009634,True
ajuchan,1,0.016666666666666666,0.09844817659347531,True
ajxit,1,0.016666666666666666,0.09844817659347531,True
ajxob',2,0.03333333333333333,0.1635630198536173,True
ajyamanik,1,0.016666666666666666,0.09844817659347531,True
ak'alab',1,0.016666666666666666,0.09844817659347531,True
ak'u'x,2,0.03333333333333333,0.1635630198536173,True
ak'wil,1,0.016666666666666666,0.09844817659347531,True
akam,1,0.016666666666666666,0.09844817659347531,True
akul,1,0.016666666666666666,0.09844817659347531,True
al,9,0.15,0.4105448391249309,True
ala,3,0.05,0.21609640474436814,True
alachinaq,1,0.016666666666666666,0.09844817659347531,True
alal,1,0.016666666666666666,0.09844817659347531,True
alanel,1,0.016666666666666666,0.09844817659347531,True
alaq,1,0.016666666666666666,0.09844817659347531,True
alay,2,0.03333333333333333,0.1635630198536173,True
alib',1,0.016666666666666666,0.09844817659347531,True
alk'wa'l,2,0.03333333333333333,0.1635630198536173,True
alom,6,0.1,0.33219280948873625,True
ama,1,0.016666666666666666,0.09844817659347531,True
amaq',22,0.36666666666666664,0.5307349582227812,True
amaq'el,3,0.05,0.21609640474436814,True
amaq'il,1,0.016666666666666666,0.09844817659347531,True
anam,1,0.016666666666666666,0.09844817659347531,True
anilab'ik,1,0.016666666666666666,0.09844817659347531,True
anim,5,0.08333333333333333,0.29874687506009634,True
anom,1,0.016666666666666666,0.09844817659347531,True
apa,1,0.016666666666666666,0.09844817659347531,True
apachinaq,1,0.016666666666666666,0.09844817659347531,True
apanoq,13,0.21666666666666667,0.478064356784609,True
apetik,1,0.016666666666666666,0.09844817659347531,True
aponoq,6,0.1,0.33219280948873625,True
aq,6,0.1,0.33219280948873625,True
aq'ab',26,0.43333333333333335,0.5227953802358848,True
aq'ab'a,1,0.016666666666666666,0.09844817659347531,True
aq'ab'al,6,0.1,0.33219280948873625,True
aq'ab'il,1,0.016666666666666666,0.09844817659347531,True
aq'anoq,8,0.13333333333333333,0.3875854127478025,True
aq'aq',1,0.016666666666666666,0.09844817659347531,True
aqaj,1,0.016666666666666666,0.09844817659347531,True
aqajaw,2,0.03333333333333333,0.1635630198536173,True
aqan,1,0.016666666666666666,0.09844817659347531,True
aqanoq,1,0.016666666666666666,0.09844817659347531,True
aqaroq,8,0.13333333333333333,0.3875854127478025,True
aqawitz,1,0.016666666666666666,0.09844817659347531,True
aqi,1,0.016666666666666666,0.09844817659347531,True
are,59,0.9833333333333333,0.02384342047589925,False
are',6,0.1,0.33219280948873625,True
astapulul,1,0.016666666666666666,0.09844817659347531,True
at,22,0.36666666666666664,0.5307349582227812,True
ata,1,0.016666666666666666,0.09844817659347531,True
atala,1,0.016666666666666666,0.09844817659347531,True
atan,4,0.06666666666666667,0.26045937304056793,True
ataqikil,1,0.016666666666666666,0.09844817659347531,True
ati't,8,0.13333333333333333,0.3875854127478025,True
ato'b',1,0.016666666666666666,0.09844817659347531,True
atz'iyaq,2,0.03333333333333333,0.1635630198536173,True
atz'yaq,1,0.016666666666666666,0.09844817659347531,True
atzij,1,0.016666666666666666,0.09844817659347531,True
awal,1,0.016666666666666666,0.09844817659347531,True
awe,2,0.03333333333333333,0.1635630198536173,True
awech,2,0.03333333333333333,0.1635630198536173,True
awecha',2,0.03333333333333333,0.1635630198536173,True
aweta'm,1,0.016666666666666666,0.09844817659347531,True
awib',1,0.016666666666666666,0.09844817659347531,True
awikiq'ab',1,0.016666666666666666,0.09844817659347531,True
awila,1,0.016666666666666666,0.09844817659347531,True
awilix,9,0.15,0.4105448391249309,True
awlix,6,0.1,0.33219280948873625,True
awumal,3,0.05,0.21609640474436814,True
b'a,32,0.5333333333333333,0.4836749843245432,True
b'a',9,0.15,0.4105448391249309,True
b'alam,26,0.43333333333333335,0.5227953802358848,True
b'alamija,2,0.03333333333333333,0.1635630198536173,True
