chunk_60_id,D,B,C,A
1,4.735299779986105e-22,1.7722898576811208e-33,0.0006540636843661098,0.021823307967630653
2,1.3237187082864298e-15,6.841843965684495e-21,1.946500601889737e-30,0.021618350602363227
3,8.768214776930709e-35,1.7869631128108488e-34,1.5349601214309687e-45,0.021250083471176056
4,1.2469014781998223e-12,6.989213903332892e-16,7.065022333540692e-36,0.02270388678559882
5,3.62467116573245e-15,4.7513858941341773e-23,2.274731567519831e-16,0.019934820520637848
6,1.8013850737473278e-19,2.217877997717136e-05,1.1198304356746365e-28,0.015370859382224614
7,8.59453138464281e-25,6.685542287541384e-09,3.374576368301883e-17,0.02061836703378264
8,1.3200662877485527e-30,7.0140657294532e-11,4.852071162612145e-43,0.015826194642529278
9,1.6041950245497702e-19,3.149430861050483e-06,1.2531831711579184e-41,0.01776463925529344
10,1.0429042873193555e-21,1.981732290878732e-16,2.879084783299627e-31,0.021211274713338498
11,1.4279852743950562e-23,6.984384836075848e-07,5.036417748217885e-33,0.01906390698092843
12,1.3472864164486197e-23,0.02076563093295661,2.6212166904581612e-05,4.075830295699996e-21
13,8.402914157041159e-22,0.022493241085565125,5.980839454175697e-26,2.6197331691143304e-16
14,6.979195427653124e-08,0.018653114846010423,3.5521735918865314e-26,2.7007856250024322e-24
15,8.137438882560303e-20,0.017774498625398347,3.7897408356398317e-13,4.675941388930723e-17
16,3.8901483589865025e-17,0.021191288994956054,0.0005369195493655449,3.2724897729622208e-09
17,2.1620614226084285e-28,0.020354812356402782,1.9999001664362017e-21,2.2097576883188743e-07
18,6.330809972710122e-22,0.018999755286215225,1.9964550503606412e-22,2.0551709816706316e-16
19,4.126853981367173e-14,0.02012759151291259,1.1942029367509685e-28,4.152804618263638e-15
20,1.4015813984099955e-20,0.019010272150778638,2.2826848714084885e-35,1.1753891904670251e-14
21,1.7446414940529918e-07,0.021070034252846804,5.476335001374352e-24,2.6897719702924988e-20
22,0.00036601376945428256,0.018962981513308375,6.868593297804129e-32,1.5598062150527703e-10
23,4.271089705457118e-28,0.022862151821639507,1.694696232190449e-38,1.8992568532332748e-23
24,1.0665054720197577e-25,0.015708277020892558,5.326085076377763e-43,3.8328925116612736e-13
25,7.619876498959667e-21,0.022453501667887392,7.16940503497719e-23,2.716750047729093e-22
26,2.1068340871983963e-38,0.015191265401166873,1.743831298958485e-42,6.068705172771639e-30
27,2.9081035011859e-14,0.01815944664959523,1.884908439045895e-38,9.630030244841605e-18
28,1.2061781018813537e-15,0.017238039462232062,3.0789661828816864e-27,4.0898382822533977e-22
29,0.0008734435541702157,0.02198924105448209,2.308754925313704e-33,1.755638550688879e-18
30,2.5631226712562284e-27,0.019219492440578235,2.4722398434079196e-20,1.9567225781751614e-07
31,8.878033526568189e-13,0.023665980835413575,1.5146033881475982e-26,1.682557915099993e-15
32,1.7194275807289627e-16,0.023183588912163926,1.4743308235524984e-16,5.57943867737003e-26
33,1.6338502812698627e-12,0.02046008814500332,7.242709240307704e-05,3.782746460628757e-20
34,0.00276610756021871,0.010018185756849788,0.0035881432890949292,0.004156123636454714
35,0.0006985441813078138,3.6793935765742863e-20,1.6673835442182385e-11,0.021905296070006505
36,0.00532206797775412,2.2119789334487224e-26,4.422722359968939e-25,0.018788794651203283
37,0.008754074979151063,8.134752983440099e-35,0.008968803455220947,0.0060335556183515986
38,0.02311585117352636,4.868974977288083e-17,2.7385785080647074e-08,0.0008003079804435212
39,0.018228098293260532,0.0012567270035506708,3.1759048858876796e-37,7.295259603984365e-11
40,0.02311483380996797,8.134039635716766e-21,2.561430329959024e-25,1.8151144113274566e-21
41,0.024423714676791997,3.5439459487356128e-25,3.54798242989052e-17,3.706664861644684e-10
42,0.02210634229104791,2.462925047452412e-35,6.611648433788895e-17,8.356490396973951e-31
43,0.022928540116356092,1.506978850814597e-32,1.1627545623588907e-26,2.169651468685189e-18
44,0.02251789799736004,2.157403828425515e-37,3.715660331733641e-28,2.4530569227047913e-29
45,0.021229133542940398,4.8271293674719106e-29,1.7309773851647977e-32,8.603650916544376e-24
46,0.020513894095050347,4.340152891646281e-20,3.949199563430195e-19,2.827963034355462e-21
47,0.0180178425350907,6.804445280352525e-05,4.281260004439987e-27,3.7390356440310225e-22
48,0.01886196235478949,1.5651684851595319e-13,0.0003783855706297669,3.67672230241973e-21
49,0.021932788481143557,2.1142657796246546e-24,6.035384351376309e-25,8.227326021631081e-27
50,0.021823513418644653,6.8151730832257265e-19,5.768735893446078e-16,8.815360717263763e-20
51,0.024689004497428214,9.245331588596547e-29,4.4488709134387646e-10,3.6293658987153324e-14
52,0.021463801107378645,4.095648109592817e-28,0.0029286019866629908,2.528767635296914e-33
53,3.60030866265639e-20,1.9108567120891244e-37,0.022435219785115097,5.964976827840271e-39
54,3.433965855795462e-24,1.6302388253154048e-32,0.023408526195657784,1.7127230766855872e-31
55,1.7543293306433523e-30,1.5839025369829723e-31,0.01957386587679389,4.88201105847583e-43
56,1.602756455616186e-15,2.5286928583850448e-20,0.023660199658073994,1.635997785511569e-29
57,1.448822853934894e-29,2.2619568540686952e-27,0.019126364556655267,1.398782297883228e-23
58,1.1898518142629322e-08,5.480289866776438e-32,0.022780334389573446,7.644760634800678e-15
59,1.4981919932394493e-09,7.286180539647717e-46,0.023050945609675712,9.914770023027247e-36
60,2.2768548804900752e-22,2.6274350367932705e-51,0.013875775260604782,7.246926588194874e-36
