doc_id,B,F,E,D,A,C
0,8.47556158257587e-52,1.6668177948253787e-31,1.2421427296500942e-18,9.21236090299199e-72,0.006199439843343001,1.2505176120944216e-76
1,4.7968629795989e-66,1.4371303123087064e-28,1.5778418296954167e-12,1.2853748092016768e-28,0.004114975761003669,5.0779988725301367e-57
2,6.327588240257203e-35,4.387360321946713e-44,1.3815321615159485e-30,1.3576436377859233e-13,0.010877910003573067,1.949152727045925e-43
3,1.3847773335167302e-35,5.948990139543074e-29,4.399992659781103e-18,1.033241946988466e-31,0.012734158042771246,1.2187403122453963e-30
4,2.167514088124656e-14,1.5722534156082178e-18,2.747036104294012e-29,1.4735970116274681e-13,0.014037885857001397,1.5339291785084212e-18
5,7.97111922500308e-31,2.502355587516436e-25,4.6550734036951594e-27,1.7848467525008159e-28,0.00855537209781402,9.810017398388995e-30
6,8.247593644035426e-18,1.3083990311205504e-30,2.6925171353792085e-36,1.2230386215130383e-39,0.008216459886422651,7.644586424890431e-32
7,1.1675620416674237e-39,1.4561796801705757e-37,4.2938634013189093e-72,8.283548153446306e-48,0.006932618002376926,4.83666741235572e-42
8,2.213845606021776e-31,1.817500745072792e-30,1.1496940955920364e-32,5.13504433795081e-37,0.010199843209928505,1.778816551670762e-38
9,1.6437431593048787e-16,1.7111997957488566e-18,8.907945860986237e-52,3.4109020062564847e-35,0.00889025307056835,1.235813589309463e-23
10,7.004342736444989e-08,3.083155481169851e-22,7.8128537951193115e-56,5.832237454239361e-27,0.011851861509266324,1.6419187255525828e-24
11,1.0919351041116088e-15,7.265905244647468e-32,6.221563317010803e-48,4.619888860258832e-32,0.012348222364176957,2.747832934254516e-27
12,1.2871053264131507e-22,5.418213996791684e-26,9.650353674241091e-33,2.4001999436272816e-33,0.011986592203279774,2.1248961836599757e-39
13,6.544565767077698e-19,1.2575779490615044e-27,1.1086856550520817e-36,3.003889527285539e-21,0.013998776697266518,5.8752957646586314e-31
14,3.3074732398460566e-13,2.2571134756956054e-22,2.201400080479425e-25,3.050861082518066e-17,0.01910584722611962,1.3861967242757962e-16
15,1.3598754053078517e-16,1.6213752323704271e-19,2.6473599450421774e-48,1.2666477584654497e-30,0.012772405066586265,4.279483220874604e-28
16,0.00952660042428384,6.491733589844219e-33,1.7795883708842668e-32,5.058455298443551e-33,6.432569052849811e-32,1.954382237193427e-44
17,0.010680717681056986,1.2606041820065682e-36,4.623186898228511e-59,1.2095170496607549e-39,1.259427572240385e-31,1.911865647213712e-31
18,0.007922392875798847,6.691245702189028e-44,7.529048668465324e-36,1.6891094236701068e-48,8.254751192569223e-35,5.118901359704373e-45
19,4.690107590629457e-09,2.219858579647407e-16,1.9468386955047062e-14,1.3882548951391308e-25,0.011863965421676566,2.325710219018882e-18
20,1.439931217865758e-25,6.47359420145991e-15,5.5472320321388025e-12,7.620930232788462e-22,1.7229136511938485e-06,0.011861946822221092
21,1.91563137677976e-41,9.114488147770149e-36,9.807591593587632e-52,5.889262155662553e-43,7.001279309773268e-42,0.007287170772620604
22,6.901669528846936e-18,1.9754477909366055e-08,1.1173324117359912e-09,0.00011670787931168674,1.7512061220172126e-06,0.014314512025976138
23,1.649545906285616e-12,2.2155772852306917e-28,8.44236560921935e-25,1.5757775750427556e-07,3.926087948177549e-21,0.01456608784637898
24,2.3911818706668992e-23,1.641626753018529e-30,6.762160941751271e-18,8.679866786157527e-31,1.3604345113672564e-41,0.009356752802421767
25,1.042714251990342e-16,8.174512662192037e-32,5.113104342852649e-25,6.456703906944875e-33,3.3269373031167865e-33,0.013096291217196684
26,9.669917970921127e-17,4.825560873029365e-27,1.8352832055020636e-40,9.8902432771297e-21,1.052422382738567e-19,0.012763438201592594
27,1.1231502890597638e-19,1.630458058850155e-34,2.268337557289771e-37,7.09442478772954e-31,4.499812969473306e-27,0.014702113575920227
28,7.417688191206699e-13,2.989070625930885e-24,3.546048384473497e-36,9.298472908711291e-23,3.954941397244831e-20,0.01684166875499016
29,1.2288215682806641e-14,1.640985397197952e-22,2.9680074757675002e-43,4.55622140004232e-24,7.487350316772153e-22,0.016391498448436535
30,1.959628624992228e-11,7.443195145441856e-16,5.397135718996894e-19,3.2010473113542744e-08,4.2104632801668014e-07,0.015977479543389114
