para_id,H,I,A,F,B,E,D,G,C
0,7.465676285739061e-73,3.7039870874217827e-103,0.010694565672036518,1.6882131940617514e-188,4.091736404977964e-62,1.6101608968505446e-138,4.465947368732526e-75,3.47847333715361e-99,2.503623586726375e-104
1,1.8841428288330183e-172,1.8124354379951447e-73,0.00579918236472376,4.736809964783809e-65,4.482283388642052e-43,3.590037800213605e-137,5.021496954970225e-154,0.0029623001843813524,9.486773234489795e-156
2,8.508662207763812e-46,6.626748385703726e-83,0.0027299283777293534,0.0013020778269533658,0.012293892889866872,2.6216497471516462e-70,7.258942821483084e-96,5.359250192335548e-43,2.71704882353088e-60
3,5.503472935878022e-35,9.619874874138621e-41,2.3062973553146937e-12,1.7412635199204676e-48,0.017306599471577616,1.071902263982434e-35,1.1102034555333956e-77,5.5447932944442245e-71,4.5275220840506665e-42
4,0.005099349732705519,2.6918951617812083e-27,1.1074316566155054e-45,1.9731257038239785e-20,0.01914310966527132,8.1887031385825e-26,7.41299510429659e-35,1.783268776171999e-26,7.105075608209589e-09
5,8.32422954334864e-55,1.408427506441273e-54,3.047389184288727e-46,2.0066334942164375e-63,0.01448930498284511,1.1084250569142618e-74,7.707339011221001e-46,3.38248681927758e-67,1.3947269966120949e-89
6,3.1899135222139978e-40,4.489835930882384e-61,5.549083313497597e-79,3.167955141141813e-94,0.013485356632138817,1.6084528102766535e-52,8.521957643338012e-52,2.0665368677583606e-55,5.877698993429276e-36
7,3.616049775692358e-48,6.1963194606427255e-65,1.1731526630145086e-130,3.4007652159368967e-93,0.010403537961498227,3.087696458643917e-66,6.673823840042442e-80,3.053819111570425e-86,4.233886374935295e-71
8,2.5303639200702422e-48,2.334523343861715e-61,5.526254796580304e-59,8.400799844077652e-70,0.016091736691895675,7.824012537692186e-65,1.0477023693028296e-90,6.554484094965537e-78,2.533285470990013e-68
9,5.46853285766283e-45,7.527453037909279e-48,2.1962594740719777e-74,2.641840806922265e-94,5.30337253227148e-33,1.361607520072288e-54,8.578054748640068e-70,3.161431365704655e-76,0.01507989882080939
