para_id,H,G,I,A,B,C,D,E,F
0,1.3451407630351277e-39,8.884852256700697e-44,1.7715810882552957e-23,0.020254827553985534,3.5326726959376767e-29,9.417340078235935e-38,1.4363956384999844e-35,5.702917889775508e-39,5.64562247838429e-47
1,1.3451407630351276e-39,8.884852256700696e-44,1.7715810882552957e-23,0.020254827553985534,3.5326726959376767e-29,9.417340078235935e-38,1.4363956384999844e-35,5.702917889775508e-39,5.64562247838429e-47
2,1.3451407630351277e-39,8.884852256700696e-44,1.7715810882552957e-23,0.020254827553985534,3.5326726959376767e-29,9.417340078235935e-38,1.4363956384999844e-35,5.702917889775509e-39,5.64562247838429e-47
3,1.3451407630351276e-39,8.884852256700696e-44,1.7715810882552957e-23,0.020254827553985534,3.5326726959376767e-29,9.417340078235935e-38,1.4363956384999844e-35,5.702917889775508e-39,5.64562247838429e-47
4,1.3451407630351276e-39,8.884852256700696e-44,1.7715810882552957e-23,0.020254827553985534,3.5326726959376767e-29,9.417340078235935e-38,1.4363956384999844e-35,5.702917889775508e-39,5.64562247838429e-47
5,1.3451407630351277e-39,8.884852256700697e-44,1.7715810882552957e-23,0.020254827553985534,3.5326726959376767e-29,9.417340078235935e-38,1.4363956384999844e-35,5.702917889775509e-39,5.64562247838429e-47
6,4.479764769775002e-33,5.1366141813008145e-25,1.4172648706042365e-24,0.01957544825769377,2.826138158365864e-30,2.6233894289567524e-30,1.149132608761048e-36,3.326393343133181e-30,4.2230765168180906e-24
7,4.869309415395371e-33,5.583276284022625e-25,3.904769671873656e-46,0.019516371797146662,1.75622030014905e-39,2.851510240677044e-30,1.7497783761390293e-41,3.615644937692335e-30,4.590300561758795e-24
8,4.869309415395371e-33,5.583276284022625e-25,3.904769671873656e-46,0.019516371797146662,1.75622030014905e-39,2.851510240677044e-30,1.7497783761390293e-41,3.615644937692335e-30,4.590300561758794e-24
9,4.86930941539537e-33,5.583276284022625e-25,3.904769671873656e-46,0.019516371797146662,1.75622030014905e-39,2.851510240677044e-30,1.7497783761390293e-41,3.615644937692335e-30,4.590300561758794e-24
10,4.869309415395371e-33,5.583276284022625e-25,3.9047696718736556e-46,0.019516371797146662,1.75622030014905e-39,2.851510240677044e-30,1.7497783761390293e-41,3.615644937692335e-30,4.590300561758794e-24
11,4.869309415395371e-33,5.583276284022625e-25,3.904769671873656e-46,0.019516371797146662,1.75622030014905e-39,2.851510240677044e-30,1.7497783761390295e-41,3.615644937692335e-30,4.590300561758794e-24
12,3.745622628694795e-34,4.2948279107866346e-26,3.0036689785334253e-47,0.019209109203551854,1.9388345922643862e-33,3.4396573953573683e-28,1.3459835798327613e-42,2.7812653366864116e-31,3.5310004321221496e-25
13,1.5898853686846923e-43,6.012122141845619e-46,1.8316397839989567e-57,0.019183503987418953,2.10040399526806e-33,3.7239192531032515e-28,2.3136963362445286e-49,2.9501915005202125e-47,4.146594870073089e-56
14,4.272051650056703e-22,1.1674587399381473e-20,1.0664011960919006e-47,0.01983358345804411,1.4100228017474246e-24,4.7922827987465787e-17,1.830020648442182e-28,4.124960700917243e-30,1.0873796197453774e-19
15,8.63597537860925e-22,2.3600241194448572e-20,2.155735751052438e-47,0.02049764313233863,2.8503686723545964e-24,9.68762544258945e-17,3.6993965796465617e-28,8.338630234112276e-30,2.198143747442268e-19
16,8.63597537860925e-22,2.360024119444857e-20,2.155735751052438e-47,0.020497643132338626,2.8503686723545964e-24,9.687625442589452e-17,3.6993965796465617e-28,8.338630234112276e-30,2.198143747442268e-19
17,8.63597537860925e-22,2.360024119444857e-20,2.155735751052438e-47,0.02049764313233863,2.8503686723545964e-24,9.687625442589451e-17,3.6993965796465617e-28,8.338630234112276e-30,2.198143747442268e-19
18,8.63597537860925e-22,2.3600241194448572e-20,2.1557357510524382e-47,0.02049764313233863,2.8503686723545964e-24,9.687625442589451e-17,3.6993965796465617e-28,8.338630234112276e-30,2.198143747442268e-19
19,1.6511334946228157e-15,1.0150641373956407e-21,1.3028865212254486e-21,0.0009432913444700453,0.0180106607472776,4.166720620468581e-18,1.5943022220330618e-29,3.647726246237234e-31,9.454381709429111e-21
20,1.7253417027587829e-15,3.450327776981767e-36,1.3614432188086146e-21,6.44440731051652e-05,0.01882012864603165,9.233875747437166e-42,3.306106328227721e-32,6.397001725361487e-33,6.279404916282418e-44
