cluster_letter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
A,1.103136753811556,1.0941391604522483,1.124673957046161,1.07132559998259,1.0615317216972762,1.135593650448696,1.2562502647212945,1.33328800533236,1.32947942183884,1.3115527683394255,1.3348302549043887,1.3497785388170063,1.3182205070103896,1.269804311735772,1.2737916277971086,1.2941566775161186,1.3507936986423017,1.3254408738851586,1.3342631804275964,1.3188722486745064,1.3065131494410223,1.3115405585603004,1.3289732998925474,1.3304276408887603,1.3028929039571386,1.290671581854939,1.2782460348293698,1.299920070607916,1.2976156369527154,1.3084850775648762,1.3400703902940962,1.3524841526674687,1.3080396531083236,1.3568390142268931,1.3272775028816588,1.3300148058247006,1.3226537591700769,1.3087215642717425,1.300202686341976,1.319710901810424,1.3085715880897588,1.3089024069612798,1.3154442044187276,1.255100817986454,1.1491296808414948,1.12502582700148,1.0270258511666894,1.0676417613926068,1.088126249375726,1.2354426571253223,1.2929917139372453,1.2829781929163735,1.2880223892811162,1.2875671881433193,1.2805695220092603,1.2616505169182186,1.241281835088431,1.2790672427383774,1.2987848868174818,1.2933671620052605,1.3017982209217698,1.3237443565531652,1.3401561699362599,1.304109481041767,1.2805666632892836,1.2890879378114628,1.2660475204237147,1.2359201949187069,1.2767700974078597,1.298484648256853,1.315715530069465,1.2992693920105944,1.3029395853493508,1.2936931187722658,1.2702797120159346,1.2958067954346657,1.258118339519153,1.2482286050589575,1.317842789344662,1.3209147665006347
B,1.3134942774525982,1.3133812989818443,1.3046159050984216,1.3164621345007843,1.2936701002488926,1.300634612614524,1.0748298236157519,1.0014041625630783,1.0878188277317296,0.9908320055507611,1.0996553756806344,1.0531160943172682,1.018121874410541,1.0672588800544993,1.0631594209731765,1.320232696206964,1.3071934379670216,1.2957157927683052,1.3541998600598113,1.2701243713054298,1.2691736885456653,1.2853783111012005,1.2559422728629448,1.3111941110535483,1.2877434884750767,1.264915148921245,1.3137108293190876,1.2919073659772728,1.2686214967746545,1.2881242047866275,1.3011293792651162,1.30467603149307,1.3007735865791001,1.3050838274724874,1.283887317200863,1.2487572390349324,1.2634007653808264,1.2996950230710274,1.2763719680461898,1.304969232822148,1.268888037299104,1.3036912605949733,1.2914351265664732,1.2663040197735418,1.301491958463564,1.3248295619935566,1.3047577704811526,1.3077973342701155,1.3129709020570393,1.3372258142183475,1.3238446438629927,1.3313018974081094,1.3244794267803088,1.3172836607318028,1.3281566463870027,1.3214017922977783,1.2952976312603575,1.3468689703255796,1.337381646721658,1.346567596859005,1.3417744586171827,1.3169053711314274,1.3564650149934503,1.322746142770182,1.3254149030360813,1.3373012734045764,1.305004848888729,1.3037302668848614,1.332061106780684,1.3311595421700373,1.3391037435122906,1.3523450059507098,1.339743293554452,1.3268581040614045,1.330149066590869,1.353900376952169,1.3139988225616017,1.3374481330368244,1.3735915153712874,1.349168225480868
C,1.3241882834752425,1.3388901270951754,1.3404755800662282,1.3401351326577797,1.3091899796580486,1.3058337442145056,1.304901234553836,1.288595903406672,1.2579702430562347,1.2887016207603874,1.3227777077734042,1.3364396005701793,1.2701662964740512,1.2806788204697812,1.264631629015123,1.0544687681161233,1.0603433668841564,1.2432922682808623,1.303033743486683,1.0179739061670903,1.0080455832344664,1.0493934420300288,1.0257656218250875,1.0838607663365494,1.2454139243747109,1.2659631196144958,1.279789925503291,1.3035029111920144,1.2765243045429018,1.2684318007503321,1.245578588630496,1.313248172219153,1.2876726080210728,1.0775570636463172,1.2151286241184285,1.278467065704709,1.2369577703118368,1.2794793479092874,1.2442393989802079,1.2469272348873452,1.2847224998444116,1.2637565593717912,1.2116053511854266,1.231329694568117,1.3053772379691475,1.3332551065712932,1.325828495910443,1.3285931781397617,1.3206430300257435,1.3499370670840325,1.3318203929619707,1.3190502478822204,1.3437758774696815,1.327263909846133,1.3447210059756702,1.3365579066811502,1.3266414989884967,1.3416073567025952,1.3424459445908843,1.345945185100541,1.3457504621747851,1.3173426076028616,1.3597721469767612,1.325396417967834,1.3273680795475928,1.3434855128116947,1.3286834228072182,1.3173245521579462,1.3188301208076196,1.3314578391784915,1.3478558045296032,1.3250640325530993,1.3169170909804218,1.3182657158015032,1.3179188591341229,1.3475495884018005,1.3005877477627845,1.3273162515543917,1.3483399441289403,1.325447864360443
D,1.339265266065275,1.3398798265568665,1.3195510278986415,1.3390772717966306,1.3256572447064994,1.3190125665058763,1.3272212133912142,1.3097238315640194,1.2810654742926482,1.2848075369856735,1.3122817776995106,1.325828353208032,1.2773534596585905,1.266295788870557,1.2981767551357488,1.2921053011914858,1.254692487749164,0.941200662913438,1.300729765515925,1.2546777931431596,1.2819717079270119,1.2608049980315759,1.242010022744787,1.2986724165316912,1.2939434662979952,1.2495687947816552,1.2604934545735518,1.2377767067412453,1.2351339340805878,0.9551809875044445,0.9188780412946382,0.9943325091891426,0.8601802355539405,1.2882227733241902,1.235252146561431,1.2159208271446886,1.2300449823368385,1.2670283072989874,1.2688043320007434,1.241566351075608,1.2264490400595705,1.2332785668670843,1.24333023323459,1.2429509005230543,1.2861869888845892,1.3335936520207023,1.3214953790679504,1.3424591637541,1.3297659372867,1.3509254400125432,1.337324288606448,1.3058195976198923,1.3236621299438667,1.2830672705891373,1.3336918127422681,1.3327314456600963,1.3089068427901804,1.3579759004612713,1.3490178955738559,1.3062564696447152,1.3263660768459715,1.304756899818312,1.3454075537833192,1.33564846115132,1.314193203321292,1.340023597598637,1.321122897592767,1.3273680301120634,1.3314853231618708,1.3409819062869854,1.3484786191693285,1.332457988997603,1.3305137206590174,1.3522091495689434,1.3309013648229175,1.36775850446772,1.2888938585020369,1.34423615393577,1.3646360050491815,1.3516524266394643
E,1.3243152663196005,1.3365864372465976,1.3057992010908195,1.322095430144287,1.3164964621136417,1.2792930568160898,1.31326058535904,1.3019153896744569,1.265938425282534,1.280756821510664,1.3081896723926312,1.2977301769013894,1.261183683569138,1.2637431316714225,1.2799481236071328,1.2500712570126644,1.2633607178236634,1.211678807270981,1.1301063759837022,1.1933386291138615,1.2579484951565203,1.2552788187596087,1.2439418986290478,1.309380003444792,1.2777825790287396,1.2393094533310647,1.287165745793884,1.2671219097756017,1.1347646838928285,1.247640008520852,1.2148950256991011,1.3047165559510845,1.2462735136826102,1.2747945766672728,1.060477876835651,1.0570244185961817,1.0758792944337783,1.1136597978857914,1.1280648319342743,1.0841599568093931,1.0830291685795614,1.102718209574017,1.0863745716530138,1.077230795184504,1.2871869054699827,1.3264695296406972,1.2939156332315411,1.31270996981782,1.3129045753179407,1.3258997469239822,1.3033204720516858,1.2623987118938973,1.303767328885445,1.3141049111313259,1.3217531217316463,1.3067966520207026,1.2961979292594485,1.3321428894719205,1.3230579200819645,1.3240045837070398,1.320838251636052,1.28809166832666,1.3218305376553998,1.2860474352440272,1.2961517813554093,1.3248208300692237,1.2963543230762993,1.2956193423200555,1.3059406924867218,1.3091118709677645,1.3185065892529544,1.2961840868202847,1.294762027220956,1.318971836805715,1.3070327229175112,1.3466715818069621,1.306861172997562,1.3195103137854416,1.3429780691966886,1.318961409135411
F,1.3213164013501772,1.328438034054054,1.2591672784553518,1.286910195308735,1.277939171039407,1.262659907355644,1.3229242106650085,1.3102380807855345,1.2912877391316602,1.296855906291046,1.30960650318024,1.3257446620785285,1.2816514300549804,1.2430443625688965,1.2247699788026394,1.268879175953609,1.305441194331462,1.263878153601336,1.3260304738083115,1.2572061552419984,1.2994447669254972,1.2807130672728824,1.1847884802165276,1.272838384987093,0.8329394613009781,0.7830726601782754,0.8116109902146531,0.8518800722535382,1.216656794120781,1.182641360644659,1.2721302383681057,1.3300891730742488,1.25348910230471,1.3200285364399544,1.277252482846753,1.2848558186744004,1.2584574621719646,1.2737663012904075,1.2715696409871016,1.2662368051041888,1.2546790648835104,1.2759289689364173,1.274372806716688,1.234332444247346,1.2474552258858007,1.3393851081778667,1.2757244216971226,1.3241823276103315,1.2990810550012588,1.3198035791878224,1.3345451209749661,1.3100913820416613,1.3336260870253276,1.311053002059126,1.327636805789663,1.298346882141441,1.2734777524417757,1.3160778464120666,1.299440236855179,1.3072867119817932,1.327085675759396,1.3017052063784664,1.3365106663944686,1.3179488806280584,1.3039501604268815,1.3141167995009742,1.306493744130426,1.3031194907512487,1.3029558607726535,1.306348916688127,1.3456710624829533,1.3304969279818528,1.3388805038196376,1.3209845875593262,1.3153132356762813,1.3553428144413773,1.307976330197467,1.330236702966895,1.3692908289769083,1.353471610207496
G,1.3184092131816627,1.304483556069437,1.3090964613743532,1.3113876525526733,1.2936657497547104,1.2836496165451596,1.3011548217627824,1.3323681232807152,1.3415314498864903,1.3400911302009293,1.345024248826975,1.348618344993605,1.327260443297657,1.282164997507972,1.3164353656009096,1.338199506498563,1.353375724791367,1.3298551830526326,1.3202190456323653,1.3258455200360906,1.3384020758251718,1.3270723416149477,1.3137873658380141,1.341614179434387,1.3143806792560206,1.3048292205964378,1.3287241466838775,1.308868681471026,1.2813692629284694,1.3137507252406997,1.3356882661967233,1.3516557341739153,1.3259485024838829,1.3558146397072763,1.3093772363863532,1.3216423389703045,1.3153402164875279,1.2446710849171347,1.315473393017705,1.3357382731896728,1.3231451365847524,1.3189485723051821,1.3200170479278854,1.2724736700107393,1.2948779415636418,1.3265151775067654,1.2170056000161786,1.1270573689061265,1.1866072587990149,0.8691970157446525,0.9393277311544579,0.9216058681656851,0.898985104119167,1.1953771226168743,0.9183821378187302,0.8717790426868453,0.9593470885141151,0.9586676656693369,1.2487275254919594,1.1102611202916006,1.1806070279491345,1.273733246060829,1.2089042882944703,1.183485886482739,1.1339670037777072,1.1777794885435764,1.0877218684080556,1.172848239762727,1.1752124429710222,1.2793519270168006,1.2848517770281016,1.2881215365603276,1.2982071442947472,1.2763893643280109,1.2957660205430597,1.2888994392056885,1.2707463534900247,1.2184166654021031,1.316212731925295,1.3279169915551434
H,1.307575972538878,1.3196195334389915,1.320053803988634,1.3111682236610216,1.2992555153087424,1.2961474170963858,1.307138540604004,1.3439155027501593,1.3406133539600535,1.3333535776464909,1.352153770956878,1.343878260210909,1.327381091515173,1.2833488314449888,1.3105563851366295,1.312239639089674,1.352830863809618,1.310036499763657,1.3406234404593982,1.332713630169398,1.3119267914305122,1.3255205242953625,1.3246148753889546,1.3395957558319245,1.308005126510983,1.3035409856455904,1.3202792794302016,1.3055548335595193,1.2825663311189188,1.3164608722555136,1.3346638468648113,1.3556844195372615,1.3004289743745718,1.3585528062343557,1.3170725491342044,1.3305856466408326,1.3229482652369116,1.2938990202985055,1.315239731420878,1.3128101840240036,1.3088477699823646,1.3055447953019688,1.3217408653756457,1.2524494863361109,1.275684887089527,1.3300989827666259,1.2475234236437318,1.1917973119846068,1.218496216541544,1.1333281122931478,1.1897974160933127,1.1519198530314194,1.1760891470051755,1.1236769639029316,1.166568784437365,1.1340898282311298,1.1684842713697043,1.212512768575063,1.1044595804651793,1.002944737382011,1.039199658298215,1.2461194832785971,1.2082671346222917,1.0339085235528351,1.0514171403590082,1.023985536026144,0.9956757687850842,1.0525753123073407,1.0382047236687861,1.2450263183467913,1.258554911417887,1.260160042407338,1.2737578227354942,1.2407408003810194,1.2409682202649388,1.278420394775782,1.2598402958078574,1.2302198970865463,1.3156651977524931,1.310641674155304
I,1.3605384851273876,1.3629959117292678,1.3353613664019566,1.3399649441188617,1.3370520203517298,1.3075284905714988,1.357155688507104,1.3641057642080414,1.3079768110675283,1.3480471563602365,1.3538186940946204,1.338349347899169,1.325003257670395,1.3012825264210055,1.3344274913338494,1.3362433468518067,1.3594687837087753,1.3245524721718096,1.3445408428917718,1.3532494363351817,1.31626648499913,1.3165508527937155,1.3272496149786606,1.3491734507534963,1.324754417110266,1.2948668495477853,1.3321272849816541,1.3246831939061652,1.331712734866498,1.308251714293597,1.325102580829362,1.3645620983582445,1.302942268351065,1.3502570478977245,1.3087675266395733,1.294762388443504,1.2997517895396724,1.3218451121855468,1.3521436449926694,1.3180426936782796,1.241155364863382,1.2590406072897475,1.2893899507890902,1.2983805797126244,1.339030060533517,1.3682151934024382,1.298599855919433,1.288920965123334,1.3132456024124135,1.2005226180417456,1.2406266368880194,1.1992629829920363,1.2258707780784874,1.321486354671087,1.2485894431533031,1.2441336329506152,1.2805285735735898,1.2910154717434006,1.2424106651125757,1.20037659377126,1.2317624251569605,0.4530641125143589,0.4530641070601554,1.0410759483342025,1.241713400214024,1.2537692609278623,1.2300046671262308,1.259029178537339,1.250304595652903,1.3140010425828923,1.3315241681080803,1.3005933020863543,1.3073750666946409,1.3354497496250777,1.3128175453420488,1.3462512998067657,1.2823765889212464,1.3198382755615314,1.3562473109784299,1.354592958643805
J,1.292325713189925,1.3093041470982618,1.3477650090052675,1.3056032257544137,1.310108640875827,1.3189108364385977,1.3157022158496632,1.360899012748636,1.3203279463844684,1.351080840021992,1.3695864481027609,1.3648354271294207,1.347693391799986,1.3075987759981234,1.3283843477088237,1.282671057344043,1.3337473859960178,1.3301618168849814,1.3138376696451646,1.3205410234218882,1.298145768828922,1.3344773616806327,1.3232724960279836,1.3514801419055793,1.3221249232796473,1.3468457294114822,1.3306612684421462,1.3363729955933865,1.3208644037520847,1.328915420794164,1.346532476369389,1.3712500534711038,1.3289219134344379,1.378734392711735,1.3234531540412153,1.3610210759430024,1.3226214815349115,1.3178485528521646,1.3420816575263086,1.3465610713477518,1.336437019142844,1.285785719521826,1.268149628357286,1.2572131273251688,1.2725170165840451,1.336292390563681,1.283334598123461,1.2526120170509716,1.1925196876480848,1.257925672951476,1.3078581912709206,1.3267255282430293,1.306954101248587,1.2854530520628524,1.2741769725998564,1.2741696008573102,1.2657639783168029,1.2736113736751467,1.2732011885380372,1.295239015516107,1.288538748291134,1.307108916704359,1.3403578666321632,1.257270252350859,1.2693956841260208,1.2552896117517098,1.267689932873611,1.2749674367817916,1.1820419641910147,1.0236817436675592,1.0549907256804807,0.9713047588812654,0.9650007929410499,1.0292530788204006,1.0344697740041957,1.0486444991893706,1.0535378499083814,1.028231433295941,1.0133201615710004,0.9963926774230981
