cluster_letter,cluster_label,n,ord,gloss,top_terms
A,14,9,1,kaj,"kaj, aj, b'it, winaq, tz'aq, ulew, wach"
B,2,4,6,kaqix,"kaqix, kab'raqan, wuqub', k'ajolab', junajpu, tz'ikin, juyub'"
C,1,2,8,sipakna,"sipakna, jul, k'ajolab', much', o', kab'al, tap"
D,5,2,12,ajal,"ajal, junajpu, tukur, kame, wuqub', ch'ami'ya, chowen"
E,6,4,14,xib'alb'a,"xib'alb'a, junajpu, jolom, kame, sotz', ja, chaj"
F,7,3,16,q'apoj,"q'apoj, ati't, xcha', kik', sel, k'at, nu"
G,3,3,19,kati't,"kati't, chowen, qati't, b'atz', che', ix, tz'ikin"
H,9,3,22,ch'o,"ch'o, xpeq, kati't, samajel, k'ate, je', kumatz"
I,8,2,25,ku'lel,"ku'lel, aji, xiti'owik, xcha', q'ala, naqi, xti'"
J,4,5,27,xib'alb'a,"xib'alb'a, kame, kotz'i'j, k'ajolab', b'a, xecha', ajawab'"
K,10,7,38,b'alam,"b'alam, tojil, k'ab'awil, amaq', b'i', kitze, q'ij"
L,13,4,45,amaq',"amaq', b'alam, tojil, aj, awilix, jaq'awitz, kitze"
M,11,2,47,q'apojib',"q'apojib', k'ul, b'alam, xpuch', xtaj, tojil, amaq'"
N,12,2,51,k'ajol,"k'ajol, b'alam, b'i', k'o, chiri', qajaw, pisom"
O,15,5,53,ajaw,"ajaw, nim, ja, ajawab', le', k'iche', tinamit"
P,16,3,56,aj,"aj, pop, k'iq'ab', q'alel, tinamit, ajawab', awe"
