chap_num,cluster_label,cluster_letter
1,4,A
2,4,A
3,4,A
4,4,A
5,4,A
6,4,A
7,4,A
8,4,A
9,2,B
10,2,B
11,2,B
12,2,B
13,2,B
14,2,B
15,4,A
16,2,B
17,2,B
18,2,B
19,2,B
20,2,B
21,2,B
22,2,B
23,2,B
24,2,B
25,2,B
26,2,B
27,2,B
28,2,B
29,4,A
30,2,B
31,4,A
32,2,B
33,2,B
34,2,B
35,4,A
36,2,B
37,2,B
38,2,B
39,4,A
40,4,A
41,4,A
42,4,A
43,3,C
44,4,A
45,4,A
46,4,A
47,3,C
48,3,C
49,3,C
50,3,C
51,3,C
52,3,C
53,4,A
54,4,A
55,3,C
56,3,C
57,3,C
58,3,C
59,3,C
60,3,C
61,3,C
62,3,C
63,3,C
64,3,C
65,3,C
66,4,A
67,4,A
68,4,A
69,4,A
70,1,D
71,1,D
72,1,D
73,4,A
74,4,A
75,4,A
76,4,A
77,4,A
78,4,A
79,4,A
80,4,A
81,4,A
82,1,D
83,4,A
84,1,D
85,4,A
86,1,D
87,4,A
