doc_id,cluster_label,cluster_letter
0,5,A
1,5,A
2,5,A
3,5,A
4,5,A
5,5,A
6,5,A
7,2,B
8,5,A
9,2,B
10,2,B
11,2,B
12,2,B
13,5,A
14,5,A
15,5,A
16,5,A
17,5,A
18,5,A
19,4,C
20,4,C
21,4,C
22,4,C
23,4,C
24,5,A
25,5,A
26,5,A
27,5,A
28,5,A
29,5,A
30,5,A
31,5,A
32,5,A
33,5,A
34,5,A
35,5,A
36,5,A
37,5,A
38,5,A
39,5,A
40,5,A
41,5,A
42,5,A
43,5,A
44,5,A
45,5,A
46,5,A
47,5,A
48,5,A
49,5,A
50,5,A
51,5,A
52,5,A
53,5,A
54,5,A
55,5,A
56,5,A
57,5,A
58,5,A
59,5,A
60,5,A
61,3,D
62,3,D
63,3,D
64,5,A
65,5,A
66,5,A
67,5,A
68,5,A
69,1,E
70,1,E
71,1,E
72,1,E
73,1,E
74,1,E
75,1,E
76,1,E
77,1,E
78,1,E
79,1,E
