chap_num,term_str,n
1,ab'anel,1
1,aj,4
1,al,1
1,alay,1
1,alom,1
1,amaq'il,1
1,aq,1
1,are',2
1,atok'ol,1
1,awaxib'al,1
1,b'i,1
1,b'i',3
1,b'i'xik,1
1,b'is,1
1,b'isol,1
1,b'itol,2
1,ch'ab'al,1
1,ch'aqa,1
1,che'xik,1
1,chi,1
1,chik,4
1,chik'is,1
1,chirech,1
1,cho,2
1,christianoil,1
1,chuch,1
1,chuchaxik,4
1,chupan,1
1,chuqenel,1
1,dios,1
1,ewal,1
1,i'yom,2
1,ilb'al,3
1,ilol,1
1,junajpu,2
1,k'a'amaxik,2
1,k'ajol,1
1,k'ajolom,1
1,k'aslem,2
1,k'iche',4
1,k'o,1
1,k'olem,1
1,k'u'x,2
1,k'u'xlanel,1
1,k'u'xlay,1
1,k'ut,1
1,k'utunisaxik,1
1,kaj,8
1,kamul,2
1,ki,1
1,laq,1
1,maja,1
1,mamom,2
1,matzanel,1
1,mej,1
1,mujib'al,1
1,na'oj,1
1,nab'e,1
1,nim,2
1,ojer,3
1,pa,5
1,palo,3
1,pe'oxik,1
1,petenaq,1
1,popo,1
1,puch,4
1,q'alajob'isaxik,1
1,q'ukumatz,1
1,qa,1
1,qajaw,1
1,rach,2
1,ramaq',1
1,raxa,2
1,re,3
1,rech,2
1,retaxik,1
1,ri,1
1,ri',1
1,ronojel,4
1,ruk',1
1,rumal,3
1,saq,2
1,saqi,1
1,saqil,5
1,saqirib'al,1
1,sel,1
1,sis,1
1,ta,2
1,tepew,1
1,tikarib'al,1
1,tinamit,1
1,tz'aqol,2
1,tz'ib'am,1
1,tz'uk,2
1,tz'ukuxik,1
1,tzij,4
1,tzijoxik,4
1,u,24
1,ulew,3
1,utiw,1
1,wa'e,1
1,wach,1
1,waral,2
1,wi,4
1,winaq,1
1,winaqirem,1
1,wuch',1
1,wuj,1
1,wujil,1
1,xa,1
1,xb'an,1
1,xchiqak'am,1
1,xchiqatikib'a',1
1,xchiqatz'ib'aj,2
1,xchiqelesaj,1
1,xe',1
1,xe'nab'al,1
1,xkib'an,1
1,xkitzijoj,1
1,xmuqane,1
1,xpiyakok,1
1,xukut,1
1,xukutaxik,1
1,yuq,1
2,ab'aj,1
2,aj,1
2,alom,1
2,aq'ab',1
2,are',3
2,b'i,1
2,b'i',1
2,b'i'nam,1
2,b'i'oq,1
2,b'itol,1
2,che',1
2,chi,3
2,chikop,1
2,chuchaxik,1
2,e,7
2,eta'manel,1
2,ja',2
2,jul,1
2,jun,3
2,k'a,4
2,k'ab'awil,1
2,k'ajolom,1
2,k'eche'laj,1
2,k'im,1
2,k'o,6
2,k'oje'ik,1
2,k'olik,3
2,k'u'x,1
2,k'ut,2
2,kab'antaj,2
2,kachamamoq,1
2,kachamanik,1
2,kaj,6
2,kakotz',1
2,kakotz'ob'ik,1
2,kalolinik,1
2,kamal,1
2,kamolob'ik,1
2,kar,1
2,kasilanik,1
2,kasilob'ik,1
2,katolona',1
2,katz'ininik,1
2,katz'ininoq,1
2,katz'inonik,1
2,keje',1
2,ki,1
2,la',3
2,li'anik,1
2,lo,1
2,maja,2
2,mawi,1
2,muqutal,1
2,na'oj,1
2,nab'e,2
2,naqi,3
2,nay,1
2,nima'q,2
2,pa,6
2,palo,2
2,puch,2
2,q'alaj,1
2,q'equ'm,1
2,q'ukumatz,2
2,q'uq',1
2,raxon,1
2,remanik,3
2,ri,4
2,ronojel,1
2,saqtetoj,1
2,siwan,1
2,ta,1
2,tap,1
2,tepew,1
2,tukel,4
2,tz'aqol,1
2,tz'ikin,1
2,tzij,1
2,tzijoxik,1
2,u,11
2,ucha'n,1
2,ulew,1
2,wa'e,2
2,wach,1
2,wi,5
2,winaq,1
2,xa,7
2,xax,1
2,xma,2
2,yakalik,1
3,apachinaq,1
3,aq'ab'al,2
3,are',1
3,at,3
3,b'anatajik,1
3,b'e,1
3,b'i',1
3,b'it,3
3,ch'ata,1
3,ch'i'pi,2
3,ch'ob'ol,1
3,chawaxoq,2
3,che',1
3,cheltaj,1
3,chi,6
3,chijamataj,1
3,chik,3
3,chiwinaqir,2
3,chupan,1
3,chuxoq,1
3,e,2
3,ja',5
3,ju,2
3,jupacha,1
3,juraqan,3
3,juyub',6
3,k'a'am,1
3,k'aslem,2
3,k'isisil,1
3,k'oleje',1
3,k'u,2
3,k'u',1
3,k'u'x,5
3,k'ut,12
3,kab',1
3,kaj,6
3,kaqulja,5
3,ke'uchaxik,1
3,keje',4
3,ki,5
3,kib',2
3,kixno'jintaj,1
3,kuk',2
3,kumal,3
3,laqel,1
3,lib'aj,1
3,ma,1
3,may,1
3,mi,1
3,na'oj,1
3,na'ojixik,1
3,nab'e,3
3,nawal,1
3,nay,1
3,nima'q,2
3,no'jixik,1
3,oxib',1
3,pa,1
3,pachajil,1
3,pe,1
3,pu,1
3,puch,4
3,pupuje'ik,1
3,pus,1
3,q'ala'ib'al,1
3,q'equ'mal,2
3,q'ijilab'al,1
3,q'o'l,1
3,q'ukumatz,4
3,qa,4
3,rach,1
3,raqan,1
3,raxa,2
3,ri,10
3,ri',6
3,rib',1
3,rox,1
3,ruk',1
3,rumal,1
3,rutzinik,1
3,saq,2
3,saqiro,1
3,saqiroq,1
3,suk',2
3,sutz',1
3,ta,23
3,taq,1
3,taq'aj,2
3,tepew,3
3,tz'aq,3
3,tz'ukik,1
3,tz'ukuxik,1
3,tzij,3
3,tzuqul,1
3,u,25
3,uleuj,1
3,ulew,8
3,utz,1
3,wa',1
3,wach,1
3,waral,2
3,wi,7
3,winaq,3
3,winaqirem,1
3,winaqirik,5
3,winaqiroq,1
3,xa,6
3,xatulik,1
