term_str,df,dp,dh,sig
a,15,0.1885,0.4537880332076602,True
a',7,0.0885,0.30958881801024946,True
a'on,2,0.026000000000000002,0.13689895872954588,False
ab'aj,24,0.301,0.5213815469786178,True
ab'ajil,1,0.013500000000000002,0.08384710656373136,False
ab'anel,1,0.013500000000000002,0.08384710656373136,False
ab'ix,2,0.026000000000000002,0.13689895872954588,False
ab'ixik,2,0.026000000000000002,0.13689895872954588,False
ab'ixom,1,0.013500000000000002,0.08384710656373136,False
achaq,1,0.013500000000000002,0.08384710656373136,False
achb'ilan,1,0.013500000000000002,0.08384710656373136,False
achb'ilay,2,0.026000000000000002,0.13689895872954588,False
achij,9,0.1135,0.356303263001628,True
achijab',3,0.0385,0.18091141314273665,True
achijil,1,0.013500000000000002,0.08384710656373136,False
achijilal,1,0.013500000000000002,0.08384710656373136,False
achinaq,1,0.013500000000000002,0.08384710656373136,False
ah,5,0.0635,0.25254582446601,True
aj,46,0.576,0.4584149471345902,True
ajache',2,0.026000000000000002,0.13689895872954588,False
ajal,4,0.051000000000000004,0.21896130607722014,True
ajam,8,0.101,0.33406485299293953,True
ajaw,30,0.376,0.530609482802153,True
ajawab',32,0.401,0.5286486691410739,True
ajawal,1,0.013500000000000002,0.08384710656373136,False
ajawarem,9,0.1135,0.356303263001628,True
aji,1,0.013500000000000002,0.08384710656373136,False
ajilam,1,0.013500000000000002,0.08384710656373136,False
ajilan,12,0.151,0.4118343113458882,True
ajilatal,1,0.013500000000000002,0.08384710656373136,False
ak'alab',1,0.013500000000000002,0.08384710656373136,False
ak'u'wil,1,0.013500000000000002,0.08384710656373136,False
akab',2,0.026000000000000002,0.13689895872954588,False
akarok,8,0.101,0.33406485299293953,True
aki,1,0.013500000000000002,0.08384710656373136,False
akul,3,0.0385,0.18091141314273665,True
akutek,3,0.0385,0.18091141314273665,True
al,10,0.126,0.3765515495064335,True
ala,2,0.026000000000000002,0.13689895872954588,False
ala',1,0.013500000000000002,0.08384710656373136,False
alachinaq,1,0.013500000000000002,0.08384710656373136,False
alal,1,0.013500000000000002,0.08384710656373136,False
alanel,1,0.013500000000000002,0.08384710656373136,False
alaq,1,0.013500000000000002,0.08384710656373136,False
alay,2,0.026000000000000002,0.13689895872954588,False
alib',1,0.013500000000000002,0.08384710656373136,False
alk'u'al,2,0.026000000000000002,0.13689895872954588,False
alom,8,0.101,0.33406485299293953,True
alub'ik,1,0.013500000000000002,0.08384710656373136,False
ama',1,0.013500000000000002,0.08384710656373136,False
amaq',30,0.376,0.530609482802153,True
amaq'el,3,0.0385,0.18091141314273665,True
amaq'il,1,0.013500000000000002,0.08384710656373136,False
ana,2,0.026000000000000002,0.13689895872954588,False
anab',1,0.013500000000000002,0.08384710656373136,False
anilab'ik,1,0.013500000000000002,0.08384710656373136,False
anim,5,0.0635,0.25254582446601,True
anom,1,0.013500000000000002,0.08384710656373136,False
apa,22,0.276,0.5126037124959614,True
apachina,2,0.026000000000000002,0.13689895872954588,False
apachinaq,2,0.026000000000000002,0.13689895872954588,False
apanoq,13,0.1635,0.42716622457331477,True
aponoq,8,0.101,0.33406485299293953,True
aq,6,0.076,0.28255711461260613,True
aq'ab',31,0.3885,0.5299192432948255,True
aq'ab'a',1,0.013500000000000002,0.08384710656373136,False
aq'ab'al,6,0.076,0.28255711461260613,True
aq'ab'il,1,0.013500000000000002,0.08384710656373136,False
aq'am,1,0.013500000000000002,0.08384710656373136,False
aq'an,1,0.013500000000000002,0.08384710656373136,False
aq'anik,1,0.013500000000000002,0.08384710656373136,False
aq'anoq,11,0.1385,0.3950078334278865,True
aqaj,1,0.013500000000000002,0.08384710656373136,False
aqan,1,0.013500000000000002,0.08384710656373136,False
are,21,0.2635,0.5070069725520538,True
are',77,0.9635,0.05168544323099365,False
astapulul,1,0.013500000000000002,0.08384710656373136,False
at,24,0.301,0.5213815469786178,True
ata,2,0.026000000000000002,0.13689895872954588,False
ata'n,2,0.026000000000000002,0.13689895872954588,False
atan,1,0.013500000000000002,0.08384710656373136,False
ati't,10,0.126,0.3765515495064335,True
atob',1,0.013500000000000002,0.08384710656373136,False
atok'ol,1,0.013500000000000002,0.08384710656373136,False
atz'iaq,2,0.026000000000000002,0.13689895872954588,False
atz'iyaq,2,0.026000000000000002,0.13689895872954588,False
awal,1,0.013500000000000002,0.08384710656373136,False
awasinik,1,0.013500000000000002,0.08384710656373136,False
awaxib'al,1,0.013500000000000002,0.08384710656373136,False
awe,3,0.0385,0.18091141314273665,True
awech,1,0.013500000000000002,0.08384710656373136,False
awecha',2,0.026000000000000002,0.13689895872954588,False
aweta'm,1,0.013500000000000002,0.08384710656373136,False
awi,1,0.013500000000000002,0.08384710656373136,False
awib',1,0.013500000000000002,0.08384710656373136,False
awila,1,0.013500000000000002,0.08384710656373136,False
awilix,16,0.201,0.46526125129011486,True
awitzmal,1,0.013500000000000002,0.08384710656373136,False
awuk',1,0.013500000000000002,0.08384710656373136,False
awumal,3,0.0385,0.18091141314273665,True
b'a,38,0.476,0.5097800641645723,True
b'a'tz,1,0.013500000000000002,0.08384710656373136,False
b'alam,32,0.401,0.5286486691410739,True
b'alami,3,0.0385,0.18091141314273665,True
b'alamil,1,0.013500000000000002,0.08384710656373136,False
b'alax,1,0.013500000000000002,0.08384710656373136,False
b'am,1,0.013500000000000002,0.08384710656373136,False
b'an,1,0.013500000000000002,0.08384710656373136,False
b'ana,1,0.013500000000000002,0.08384710656373136,False
b'ana',2,0.026000000000000002,0.13689895872954588,False
b'anatajik,1,0.013500000000000002,0.08384710656373136,False
b'anik,3,0.0385,0.18091141314273665,True
b'anoj,13,0.1635,0.42716622457331477,True
b'anol,5,0.0635,0.25254582446601,True
b'aq,11,0.1385,0.3950078334278865,True
b'aq',13,0.1635,0.42716622457331477,True
b'aqil,5,0.0635,0.25254582446601,True
b'ate,7,0.0885,0.30958881801024946,True
b'atena,1,0.013500000000000002,0.08384710656373136,False
b'atz',9,0.1135,0.356303263001628,True
b'atz'a,1,0.013500000000000002,0.08384710656373136,False
b'ayatajik,1,0.013500000000000002,0.08384710656373136,False
b'e,20,0.251,0.5005544234085401,True
b'e'al,1,0.013500000000000002,0.08384710656373136,False
b'e'el,5,0.0635,0.25254582446601,True
b'e'ik,1,0.013500000000000002,0.08384710656373136,False
b'ek,1,0.013500000000000002,0.08384710656373136,False
b'ele,1,0.013500000000000002,0.08384710656373136,False
b'elej,5,0.0635,0.25254582446601,True
b'elejeb',8,0.101,0.33406485299293953,True
b'enam,1,0.013500000000000002,0.08384710656373136,False
b'enaq,1,0.013500000000000002,0.08384710656373136,False
b'i,47,0.5885,0.4501352224585138,True
b'i',65,0.8135,0.24224870680300647,True
b'i'j,1,0.013500000000000002,0.08384710656373136,False
b'i'nam,9,0.1135,0.356303263001628,True
b'i'oq,2,0.026000000000000002,0.13689895872954588,False
b'i'xik,2,0.026000000000000002,0.13689895872954588,False
b'ichoq',1,0.013500000000000002,0.08384710656373136,False
b'ik,3,0.0385,0.18091141314273665,True
b'inib'al,5,0.0635,0.25254582446601,True
b'inik,1,0.013500000000000002,0.08384710656373136,False
b'inowik,1,0.013500000000000002,0.08384710656373136,False
b'iq'itajik,1,0.013500000000000002,0.08384710656373136,False
b'is,4,0.051000000000000004,0.21896130607722014,True
b'isol,1,0.013500000000000002,0.08384710656373136,False
b'it,11,0.1385,0.3950078334278865,True
b'itaxik,1,0.013500000000000002,0.08384710656373136,False
b'itik,3,0.0385,0.18091141314273665,True
b'itoj,1,0.013500000000000002,0.08384710656373136,False
b'itol,9,0.1135,0.356303263001628,True
b'ix,11,0.1385,0.3950078334278865,True
b'ixik,6,0.076,0.28255711461260613,True
b'iyik,1,0.013500000000000002,0.08384710656373136,False
b'iyo,1,0.013500000000000002,0.08384710656373136,False
b'o'j,1,0.013500000000000002,0.08384710656373136,False
b'ochi',1,0.013500000000000002,0.08384710656373136,False
