chunk_80_id,n_tokens
1,368
2,368
3,367
4,368
5,368
6,368
7,367
8,366
9,366
10,367
11,367
12,365
13,367
14,368
15,368
16,367
17,367
18,366
19,366
20,366
21,366
22,367
23,367
24,367
25,367
26,367
27,367
28,366
29,364
30,366
31,367
32,366
33,367
34,367
35,364
36,367
37,366
38,366
39,366
40,366
41,364
42,366
43,367
44,367
45,366
46,365
47,367
48,365
49,367
50,367
51,366
52,365
53,367
54,367
55,367
56,365
57,366
58,367
59,367
60,366
61,366
62,367
63,366
64,366
65,367
66,367
67,367
68,367
69,366
70,367
71,365
72,367
73,367
74,367
75,367
76,367
77,367
78,366
79,366
80,366
