para_num,cluster_label,cluster_letter
0,1,A
1,2,B
2,5,C
3,1,A
4,5,C
5,5,C
6,5,C
7,5,C
8,5,C
9,5,C
10,5,C
11,4,D
12,4,D
13,4,D
14,4,D
15,4,D
16,1,A
17,4,D
18,4,D
19,4,D
20,2,B
21,4,D
22,4,D
23,4,D
24,1,A
25,4,D
26,4,D
27,4,D
28,4,D
29,5,C
30,5,C
31,4,D
32,5,C
33,5,C
34,5,C
35,4,D
36,4,D
37,4,D
38,5,C
39,5,C
40,4,D
41,4,D
42,5,C
43,5,C
44,5,C
45,1,A
46,1,A
47,1,A
48,5,C
49,5,C
50,5,C
51,3,E
52,1,A
53,1,A
54,3,E
55,3,E
56,3,E
57,1,A
58,3,E
59,3,E
60,1,A
61,3,E
62,3,E
63,1,A
64,3,E
65,3,E
66,3,E
67,3,E
68,3,E
69,3,E
70,3,E
71,3,E
72,2,B
73,3,E
74,5,C
75,5,C
76,2,B
77,1,A
78,2,B
79,2,B
80,2,B
81,5,C
82,5,C
83,5,C
84,1,A
85,2,B
86,5,C
87,5,C
88,1,A
89,2,B
90,1,A
91,1,A
92,2,B
93,2,B
94,2,B
95,2,B
96,1,A
97,2,B
98,2,B
99,1,A
100,2,B
101,2,B
102,2,B
103,2,B
104,2,B
105,2,B
106,2,B
107,2,B
108,2,B
