para_num,n_tokens
0,4
1,4
2,182
3,18
4,130
5,293
6,137
7,467
8,370
9,442
10,227
11,241
12,793
13,694
14,471
15,604
16,35
17,547
18,343
19,775
20,11
21,322
22,494
23,471
24,7
25,702
26,360
27,838
28,256
29,456
30,282
31,1511
32,74
33,73
34,47
35,460
36,223
37,423
38,127
39,173
40,383
41,221
42,409
43,165
44,94
45,9
46,174
47,30
48,141
49,128
50,101
51,695
52,31
53,113
54,244
55,374
56,561
57,74
58,242
59,520
60,8
61,728
62,675
63,15
64,290
65,379
66,241
67,448
68,523
69,400
70,474
71,147
72,91
73,288
74,528
75,253
76,34
77,18
78,41
79,26
80,18
81,341
82,234
83,426
84,14
85,127
86,303
87,374
88,76
89,210
90,13
91,29
92,32
93,18
94,4
95,7
96,1
97,23
98,56
99,28
100,24
101,27
102,8
103,7
104,7
105,5
106,3
107,35
108,51
