chunk_50_id,term_str,n
1,abah,1
1,abanel,1
1,ah,2
1,ahbiz,1
1,ahnaoh,2
1,ahpu,2
1,al,1
1,alay,1
1,alom,2
1,amaquil,1
1,apachinac,1
1,are,4
1,arecut,1
1,areri,1
1,ato,1
1,aεab,1
1,aεabal,2
1,bit,1
1,bitol,3
1,bizol,1
1,bizonic,1
1,ca,1
1,caam,1
1,cabantah,2
1,cabauil,1
1,cabit,1
1,caca,2
1,cacatzinin,1
1,cacazilanic,1
1,cachamanic,1
1,cacotzobic,1
1,caculha,3
1,cah,13
1,calah,1
1,camal,1
1,camaxic,1
1,camolobic,1
1,camuhibal,1
1,camul,2
1,caquiro,1
1,car,1
1,catolona,1
1,catzac,1
1,catzininic,1
1,catzinonic,1
1,cazilobic,1
1,cha,1
1,chaca,1
1,chamam,1
1,chata,1
1,chauaxoc,1
1,che,2
1,cheexic,1
1,chel,1
1,chi,8
1,chic,5
1,chicop,1
1,chihamatah,1
1,chipa,1
1,chiqui,1
1,chiquiz,1
1,chirech,1
1,chivinaquir,2
1,chizaquil,1
1,cho,2
1,christianoil,1
1,chu,1
1,chupan,1
1,chuqhaxic,4
1,chuquenel,1
1,chuxoc,1
1,cool,1
1,cotz,1
1,cu,2
1,cuc,1
1,cumal;,1
1,cuq,2
1,curib,1
1,cut,8
1,cute,1
1,dios,1
1,e,7
1,etamanel,1
1,euaxibal,1
1,eval,1
1,ha,4
1,huiub,1
1,hul,1
1,hun,5
1,hupacha,1
1,huracan,2
1,huyub,2
1,huzuc,2
1,ilbal,3
1,ilol,1
1,iyom,1
1,lianic,1
1,libah,1
1,lolinic,1
1,ma,1
1,mahabi,3
1,mamom,2
1,matzanel,1
1,maui,1
1,mayui,1
1,mucutal,1
1,na,2
1,nabe,4
1,naoh,1
1,naual,1
1,nim,1
1,nimac,3
1,oc,2
1,oher,3
1,oxib,1
1,oε,1
1,pa,9
1,pachahil,1
1,palo,5
1,petenac,1
1,popo,1
1,puch,8
1,pupuheic,1
1,puz,1
1,qahol,1
1,qaholom,2
1,qazlem,3
1,qha,1
1,qhaxic,1
1,qo,5
1,qoheic;,1
1,qol,1
1,qolem,1
1,qolic,2
1,qolic;,1
1,qonaipuch,1
1,qovi,1
1,qucumatz,6
1,quecumal,1
1,quehe,1
1,queheri,1
1,quel,1
1,queεum,1
1,queεumal,1
1,qui,3
1,quib,2
1,quibi,1
1,quiche,4
1,quichelah;,1
1,quihilabal,1
1,quila,1
1,quilalo,1
1,quim,1
1,quixnohintah,1
1,quizizil,1
1,quxlaay,1
1,quxlanel,1
1,rach,1
1,rachbixic,1
1,rachtzihoxic,1
1,ramac,1
1,raxa,1
1,raxalaε,1
1,raxatzel,1
1,raxon,1
1,re,3
1,rech,2
1,remanic,3
1,retaxic,1
1,ri,10
1,ronohel,5
