chunk_80_id,n_tokens
1,337
2,337
3,337
4,337
5,337
6,337
7,337
8,337
9,337
10,337
11,337
12,337
13,337
14,337
15,337
16,337
17,337
18,337
19,337
20,337
21,337
22,337
23,337
24,337
25,336
26,336
27,336
28,336
29,336
30,336
31,336
32,336
33,336
34,336
35,336
36,336
37,336
38,336
39,336
40,336
41,336
42,336
43,336
44,336
45,336
46,336
47,336
48,336
49,336
50,336
51,336
52,336
53,336
54,336
55,336
56,336
57,336
58,336
59,336
60,336
61,336
62,336
63,336
64,336
65,336
66,336
67,336
68,336
69,336
70,336
71,336
72,336
73,336
74,336
75,336
76,336
77,336
78,336
79,336
80,336
