para_num,C,E,D,A,B
0,3.1196789462996265e-23,2.63718932157635e-22,5.238631060428628e-12,0.024037118138019217,3.6806235357148284e-26
1,3.1196789462996265e-23,2.63718932157635e-22,5.238631060428628e-12,0.024037118138019217,3.6806235357148284e-26
2,3.1196789462996265e-23,2.63718932157635e-22,5.238631060428627e-12,0.024037118138019217,3.680623535714828e-26
3,3.1196789462996265e-23,2.63718932157635e-22,5.238631060428628e-12,0.024037118138019217,3.6806235357148284e-26
4,3.096888391661493e-23,5.583140173923382e-21,5.198334140807727e-12,0.02404464304735612,4.792556204973131e-26
5,1.5690684334229414e-24,6.917884803617048e-19,3.150971146007634e-17,0.025015356351816714,1.482318705392942e-24
6,5.656707627657745e-15,2.064877624262837e-15,9.889909437036391e-18,0.023141281468782186,2.775139174545591e-21
7,4.2898868889976755e-15,1.5657800467335313e-15,6.902483897120858e-28,0.022512413773452446,2.107618860626052e-21
8,6.987530438628619e-18,1.7854012494774749e-25,7.936807834051809e-27,0.02352581213179054,4.532085409933113e-16
9,3.4695021975185926e-08,1.4785045411576446e-12,1.241083650705542e-16,0.022612172652247246,0.0008970587623867043
10,2.346950186898322e-20,8.480047853674536e-17,2.194235889786037e-15,0.007840624404013686,0.015465272516916663
11,1.154693386572234e-15,2.990889246830167e-17,7.739006254634736e-16,0.0027653654582412406,0.020112969105601224
12,1.19369535402632e-14,7.064140195479887e-20,2.603686480477123e-19,1.602140372693719e-12,0.023816172943050332
13,1.4030354612922646e-16,1.0302138786678406e-26,1.185753233386945e-28,1.4611069141067628e-17,0.021809621807855187
14,3.7389816895934587e-14,4.50761019600453e-19,2.237457529973325e-21,5.893470627813193e-08,0.02319533209037279
15,0.00044479802087138236,1.103780591487509e-18,1.0353359655580996e-09,0.00039423179201960294,0.02211881991842537
16,0.012211727481240098,5.841579395311091e-18,2.842467832701307e-08,0.010820088935365318,0.0020973236879269063
17,0.017160599068245085,2.9902052274924724e-18,3.283425459714332e-08,0.005538619564961851,0.0010735843376159105
18,0.021887689335033482,5.260544224214649e-22,7.644597823957365e-09,1.0077533289358542e-13,7.80735933199088e-05
19,0.02214901033390164,0.0002064709216927057,3.441671613875699e-13,3.434556496669211e-07,8.100539468533108e-06
20,0.02158197423666692,9.080220513095189e-21,7.85718695135225e-13,7.1939934535744145e-06,1.0268547569450027e-11
21,0.022125296937911335,4.281813734904895e-17,1.0127071765984577e-12,6.456727657934931e-06,4.799141670468132e-06
22,0.02498170582877254,2.5836475088540895e-16,5.6635518924290985e-12,4.259260341858042e-11,0.0007852069415654529
23,0.020633695962803754,1.2269963369334103e-17,3.097397151388111e-12,1.3040519747341049e-05,0.000613785625978234
24,0.02004153978996644,1.6297186388624304e-17,2.4762608209461852e-23,1.8957049957485626e-05,2.6496761348795283e-09
25,0.022372705137658645,3.991485757990974e-13,2.8040252168562283e-13,1.492988334212981e-05,0.00046277589053758065
26,0.020852513939036997,4.6771505129399296e-14,2.2675679862030496e-19,0.0003743651278204284,1.5942851186403085e-16
27,0.020535226062302722,0.0031562622461298734,4.499799624863847e-12,5.844563616622603e-05,4.349443316393278e-09
28,0.024429040192883517,3.38782778070659e-13,9.60957619563437e-26,4.474980521890249e-06,7.983087355504123e-09
29,0.02100250893105854,1.2902574196012325e-21,9.105090117863131e-26,6.616832282158289e-17,0.0005374777653398447
30,0.023414652435948292,6.0993768572799565e-18,7.825788250576878e-21,1.8543153124989884e-08,0.0002805797818561096
31,0.021176794191580833,3.429004825422775e-05,4.408317479648754e-19,2.353299169341987e-09,0.00047296776960358396
32,0.02329377508606219,0.001671261171594257,8.056112685169129e-27,1.6099041099598242e-20,1.5622014558309882e-16
33,0.02329377508606219,0.001671261171594257,8.056112685169129e-27,1.6099041099598242e-20,1.5622014558309882e-16
34,0.02329377508606219,0.0016712611715942569,8.056112685169129e-27,1.6099041099598242e-20,1.5622014558309882e-16
35,0.02370223602898045,0.00040328258707730624,5.425148589296336e-17,0.0015902079675948826,6.027489340567416e-07
36,0.023852953314306372,2.0170421956758507e-22,7.125570216429242e-19,5.032567896502216e-22,9.36551990026175e-10
37,0.022526370349397182,1.1148778411581078e-15,1.6858899178437932e-19,1.527236070142776e-14,0.004801826224251277
38,0.02491041926096829,1.4945341568203096e-16,1.3366581008747005e-18,2.0573627692829115e-15,0.0006437006419063269
39,0.02522911947372341,4.2307260993149023e-22,1.4890637449974087e-18,1.1198938564903822e-17,7.718209908375637e-11
40,0.02411578640139943,2.400592699812775e-18,4.110437953226349e-12,1.6808523614901417e-18,9.874472790099683e-12
41,0.02517119950451219,3.620357506247397e-15,3.029550178229327e-10,3.311888814029519e-16,1.6298346183029103e-11
42,0.009615837906135965,2.7935450607120148e-09,8.777169045823026e-11,0.013787993103675143,4.704941762301965e-12
43,0.0009009544681623745,1.0434333467070982e-09,1.2282063879340492e-13,0.024044478702635763,1.7935773643139454e-09
44,4.0286009818560305e-12,1.5268085352033452e-17,3.4040181445819543e-16,0.025765149439580404,2.4457873149650713e-09
