chap_num,I,F,J,A,C,H,B,D,G,E
1,3.732160902496221e-28,4.732631029567538e-24,1.1414878214082305e-22,0.023310262657927648,9.545522998437328e-21,6.178193967306233e-38,1.931035921405326e-50,7.992665871267033e-39,2.9450549420116846e-34,2.788005265922578e-44
2,8.12047319268546e-25,4.158978783559351e-24,1.0031262349333141e-22,0.02345656252776048,8.388489907717653e-21,5.429321972753768e-38,3.7905422765828085e-40,7.023947842625997e-39,2.5880785982657146e-34,3.1097051838997474e-28
3,6.696684567311195e-24,7.013225683316278e-51,4.732990171032145e-28,0.02451723658404856,5.806387696029466e-47,1.224840021068743e-46,3.127197378040817e-39,7.421349784894282e-43,1.0610743240511562e-41,2.5655067767172914e-27
4,8.462341379348797e-21,3.450782238733631e-15,9.466033781547141e-29,0.02175247915520606,6.656807128604923e-22,0.0015638828652761328,0.0001031008952456045,5.651748670785974e-38,3.4208551039055887e-23,1.1954264621793532e-11
5,1.0576252553044169e-20,4.313477798417038e-15,6.679935356295133e-34,0.021061289797995437,8.321008910756153e-22,0.001954853581595166,0.00012887611905700562,7.064667285108005e-38,4.2760688798819857e-23,1.4942830777241914e-11
6,3.0976471912681664e-22,1.2633616982811423e-16,1.9564664223646915e-35,0.0230464924356414,2.437115580934172e-23,5.7255125820778926e-05,3.7746143656863573e-06,3.2307329090648906e-39,1.2524051112625063e-24,4.376561315510184e-13
7,1.6312434427267613e-22,1.5825461621456698e-28,2.4904940719241594e-37,0.022513930933828995,1.773609146696843e-18,1.0491438529146605e-13,3.6662548358206375e-28,6.919181062842691e-32,0.0010336800105569313,1.5150532464337288e-26
8,1.1237895156025611e-10,6.0974342693017335e-22,1.996679953529302e-17,0.009153858538277297,3.499578789339594e-05,4.386561867728105e-14,0.014650623008904608,1.8259058411621895e-19,0.000359957921731358,5.002897686232573e-27
9,1.1586895138723798e-09,5.800160113452185e-38,9.424329252127017e-15,0.005249068864953337,0.016518011885682606,5.064133908785572e-32,4.371011842481966e-37,6.646574955895684e-17,1.890481464249589e-37,7.762580774337371e-38
10,5.407217731404444e-10,5.268056047347842e-29,4.398020317659275e-15,0.0024495654703115574,0.017444451558473722,7.1410273337289455e-31,2.0402848005057292e-37,3.101734979417986e-17,7.84081811092314e-21,4.586760920914585e-38
11,2.9028411460499007e-25,9.486478280864896e-17,5.0773402008609336e-18,2.0080110955584005e-24,0.018288215282354223,1.1801249682829303e-18,9.546950240927174e-14,1.5738996923536553e-23,0.003128289849359257,1.6294938381901934e-16
12,4.40697356884392e-34,3.1770813620740006e-20,6.715824496437857e-41,1.884670308921507e-24,0.019678372871191684,1.2855477339709133e-24,2.28640935788836e-28,1.6149053119562991e-40,2.0921902438460398e-22,1.0331393549561747e-26
13,6.45960596115529e-34,4.600767435202285e-23,3.3886970556943557e-48,4.6243228730239484e-32,0.022996381384575052,2.365294490961764e-30,1.6466786638903803e-28,2.382100773826131e-39,1.940273699951317e-18,1.116863871783544e-31
14,6.272063670968263e-21,7.102943808893479e-17,9.278966307281032e-22,0.001745070044357772,0.02087183219286476,0.0005090522644424886,1.001472669306257e-09,2.4190933035064703e-24,8.310751896344114e-14,8.232376461146835e-14
15,1.0473073328657275e-22,4.618302735644456e-25,2.4572976034388076e-30,0.005017886232163033,0.01661593455382925,0.0014638080663100367,1.8072130381471512e-31,6.956108467162502e-24,2.3844077464918205e-13,5.778439540636975e-41
16,1.8370800756825054e-23,9.927838807758061e-08,8.890170238834242e-27,0.0008801866013794174,0.0029145983561642314,0.00025676633294290807,2.3539404709405633e-25,0.01882345243598543,4.182486621749948e-14,0.0002474783766885991
17,3.1174331768904807e-43,0.00010613826340197876,1.9018959330422813e-26,2.228410805301846e-27,2.094918587032464e-15,4.018032843011594e-10,7.094091767997236e-18,0.012966135235145186,2.5624478199679088e-20,0.009080433632441941
18,1.801207057113793e-18,0.011027028350442324,4.010500912269565e-22,1.6018524571684475e-27,7.855538501095685e-23,2.8882895641549237e-10,5.099457893088993e-18,1.675896737039942e-18,0.005530138151638421,0.0060237032587426255
19,3.7867947019024425e-27,0.0015026475056186752,4.8056476422787526e-18,2.16901090661497e-16,1.2396797472831662e-18,2.467811139826313e-25,4.200232826596482e-18,0.00030706237998308973,0.023532495469188557,5.359290930636011e-15
20,5.3622475571939976e-33,5.027938702189316e-16,7.506607011159754e-19,3.3882873417561247e-17,1.9364873051227771e-19,1.2525847398793664e-17,6.603666296687888e-19,4.796728186295171e-05,0.026053877728937355,4.848649026859462e-25
21,7.546751397150717e-42,1.0391885909850353e-15,9.175815604378128e-40,3.7042397094334973e-38,6.428495802066869e-24,2.592091829450127e-17,2.072097836875061e-34,4.0353023451512034e-30,0.024307941317627087,1.528627907260231e-24
22,1.3268589688640035e-34,7.058238325323436e-17,2.1208364307222976e-40,7.936931197958592e-36,3.1945789606778403e-27,0.01973386312906082,5.689754259628676e-17,4.461722069771531e-37,0.002510663546789729,3.1288716183986593e-25
