doc_id,I,F,J,A,C,H,B,D,G,E
0,3.732160902496221e-28,4.732631029567538e-24,1.1414878214082305e-22,0.023310262657927645,9.54552299843733e-21,6.178193967306233e-38,1.931035921405326e-50,7.992665871267033e-39,2.9450549420116846e-34,2.788005265922578e-44
1,6.696684567311195e-24,7.013225683316278e-51,4.732990171032145e-28,0.02451723658404856,5.806387696029466e-47,1.224840021068743e-46,3.127197378040817e-39,7.421349784894282e-43,1.0610743240511562e-41,2.5655067767172914e-27
2,1.0576252553044169e-20,4.313477798417038e-15,6.679935356295133e-34,0.021061289797995437,8.321008910756153e-22,0.001954853581595166,0.00012887611905700562,7.064667285108005e-38,4.2760688798819857e-23,1.4942830777241914e-11
3,3.000755612813415e-46,1.5529399223416152e-31,1.940494459862551e-46,0.023106390791087613,3.89381009025922e-33,2.6723695550692082e-21,1.2239324861222596e-44,1.1966312728833988e-39,2.903567581884526e-41,6.205061187259647e-48
4,2.4684098888054013e-22,2.3939238158150005e-28,3.768634424821436e-37,0.02220987606368872,2.6838387465110696e-18,1.5875723825824764e-13,5.547804487411606e-28,1.0470156943115976e-31,0.0015641723933333188,2.2925900068676427e-26
5,1.40989607669954e-10,7.820621544935503e-22,3.492698035007373e-25,0.005510203605005414,5.0958858880039675e-22,1.1827653464883552e-14,0.018791016467942866,5.357882104317315e-20,2.388690908660091e-05,2.2500681144598515e-36
6,1.1586895138723798e-09,5.800160113452185e-38,9.424329252127017e-15,0.005249068864953337,0.016518011885682606,5.064133908785572e-32,4.371011842481966e-37,6.646574955895684e-17,1.890481464249589e-37,7.762580774337371e-38
7,9.747039882640526e-25,9.877605083702064e-29,1.2179965599268607e-48,3.579531388287818e-34,0.018255086272165946,1.2946314533723036e-30,8.986387765223485e-41,2.596850087296946e-39,1.4701533957980887e-20,1.8079185491696475e-38
8,7.349252898806904e-38,2.008143092570521e-16,1.0747956566496379e-17,6.467964187777436e-25,0.015398604378846369,2.4981425154016505e-18,2.0209440863267032e-13,3.3317061422377646e-23,0.006622113566986036,3.449390488814818e-16
9,1.6917639615670013e-42,7.371248707739124e-27,2.6401362066753273e-40,7.409047828194074e-24,0.02427180602455853,5.0537670116708474e-24,9.132646216646171e-34,5.142121671875067e-40,4.44998805386889e-25,3.7043417882908195e-26
10,2.6897144319503576e-42,6.408258953298687e-20,3.0505505806286156e-56,6.519961907162288e-44,0.017304619613873896,3.083112870332108e-33,2.4881199412728376e-28,3.852253677477948e-46,4.2218678330197645e-22,1.8341385707615518e-27
11,1.760420079868521e-33,1.2537730593898586e-22,9.152524581191837e-48,5.930649003896185e-45,0.019707310143807878,6.970732809785892e-38,4.210603701357593e-28,1.2258722213429527e-40,4.806926963943991e-27,3.0340545418939425e-31
12,3.621756504104626e-42,3.6203748659464405e-27,4.78798275397643e-50,7.304662882228568e-32,0.024902785734319085,3.736261321115609e-30,1.6058198612276017e-29,3.691755125443692e-39,3.0648909372643076e-18,5.625967452039175e-34
13,1.0963208641649421e-20,1.2488056070498233e-16,1.6313834769787793e-21,9.759908368525897e-08,0.02288244490358339,4.742713438693336e-13,1.7607413506552942e-09,7.870178566045083e-29,3.2941567709197765e-16,1.4473770571635876e-13
14,1.0473073328657274e-22,4.618302735644456e-25,2.4572976034388076e-30,0.005017886232163033,0.01661593455382925,0.0014638080663100367,1.8072130381471512e-31,6.956108467162502e-24,2.3844077464918205e-13,5.778439540636975e-41
15,9.277462611061408e-45,3.560002340712065e-12,1.4775854863538473e-26,2.2492586762065366e-19,6.174246824524161e-45,5.284874936294185e-23,2.600412522574885e-34,0.023673995721600435,5.552109320472377e-37,7.137933718193685e-35
16,9.865871208942603e-45,4.4528316328283183e-07,1.6028872791522457e-32,1.2934504414840075e-49,3.3192216573761114e-15,2.158314453388062e-25,1.0558113918732331e-24,0.020543746736204058,4.047950150616349e-20,0.0011100133072062166
17,8.282891705550062e-43,0.00028699069625485844,5.156248453529729e-26,6.041469294373894e-27,5.449042754057232e-31,1.0893333485498097e-09,1.923286920884857e-17,6.320731184926122e-18,2.0588276413911716e-22,0.022718708411178627
18,4.2944309822449246e-18,0.021253659808015468,1.7209998394297468e-30,1.0862942298037709e-37,1.0057234862356375e-55,1.1065922500989419e-43,1.4932796048100284e-36,1.5382600638242787e-31,1.2183646781573945e-25,1.871194992756389e-31
19,1.627058578921578e-26,0.006456430491174747,1.2714016909259703e-21,8.582529393280908e-35,2.490433397035125e-22,1.152349069699364e-28,5.640175099514367e-38,3.625736483584959e-26,0.017532140879288474,2.3027283009655825e-14
20,4.4738750730060294e-32,5.00303665270028e-25,6.262975101923727e-18,2.8269442149548445e-16,1.6156403941460167e-18,3.216030973022486e-25,5.474303450664081e-18,0.00040020463524462695,0.025352603028124913,7.693358986981722e-34
21,2.3312644359251645e-40,9.007036016132077e-19,2.586935280215959e-28,5.974894207766897e-28,1.6961293368274351e-34,1.288668321333141e-23,6.44854166310475e-21,5.89112723487036e-26,0.026191869110461494,7.385243022526808e-25
22,1.039776073703249e-49,2.245849721576563e-15,5.88387348256924e-44,2.4060698603737603e-48,1.387158864050188e-23,5.601555155972409e-17,2.39643794114512e-34,8.72092201038856e-30,0.026024618272417956,8.49298531697945e-30
23,1.404608880977667e-41,1.6499831016470535e-24,1.7077612709435882e-39,6.894367857564029e-38,1.843008355700202e-26,3.1202511421127113e-21,1.7927729072189963e-34,1.6984787982061007e-43,0.02282952201848335,2.845090178628662e-24
24,2.8218502393152286e-34,1.503962334705102e-16,5.172190621617187e-41,1.689577940176026e-35,2.5167411429765925e-31,0.02153442189910765,1.9240300232122666e-30,9.506993221982442e-37,3.040196641122227e-31,1.4159973048478595e-32
25,6.032412593694195e-37,1.7867639739658773e-23,1.025203432070178e-58,3.0087939545102945e-49,2.775322787075836e-27,0.02288373291779043,1.3523975170302596e-16,7.478554456680469e-48,4.295685899000681e-30,2.9285948090271244e-40
26,4.95767162246416e-49,1.507945346097172e-38,1.3324866482260841e-44,8.22338819285253e-14,2.229960090427921e-48,0.021997831044908954,4.705935241676447e-34,2.1959217898669826e-35,6.156506477880589e-31,1.6039702644587138e-45
27,1.757770595910708e-24,1.6856760380810632e-26,9.592079024557633e-50,5.732516540061054e-39,9.204100404142746e-37,0.022904583290334575,6.0247483060908485e-33,4.96685735535767e-44,1.1647116423358838e-27,5.9424157904921915e-25
28,3.8262282585918156e-13,1.3821739037062532e-09,2.864252337747244e-35,3.785588934702484e-35,7.362186994433937e-10,0.02378613762359087,4.535909311328137e-25,4.819434963890038e-21,0.0006696083825027624,2.1545894539489328e-05
29,1.8744987979711638e-34,1.2190558574257707e-22,1.7480329739283452e-40,2.859139762601985e-43,2.687227108397865e-29,1.2424338398089328e-16,8.320605569885324e-32,2.9323267025462055e-40,1.5803148465663948e-21,0.02718262194865331
30,2.0092561453727076e-41,5.86462912471767e-12,9.446433528357705e-48,2.6504461161055967e-51,5.574925567029861e-29,1.733364202326881e-27,7.096784787750715e-25,1.568500201260326e-38,2.1724637899740366e-18,0.02396929727821204
31,3.5075990056200945e-40,1.9425905956171347e-18,3.139167817662604e-49,5.1429677459239e-45,7.962891334509123e-11,5.165955325893868e-26,2.3431386150401146e-31,4.948891305586844e-34,2.9070625736244352e-11,0.01844765411925357
32,5.681343796163224e-40,3.702493484949164e-25,1.3857543284105215e-33,3.055855588019836e-28,1.6984915955390094e-33,4.7681065738434796e-20,3.256477236927318e-25,3.0153329708174094e-33,3.282883292099304e-41,0.027634039259122074
33,3.034504835709046e-47,0.01419952731773296,1.7073579831460966e-46,6.360048022569524e-49,4.981661486675592e-19,1.879873780166466e-35,7.190084728897174e-38,0.0020690760074073894,2.936671814490976e-20,3.498107903652328e-19
34,1.691108447097558e-33,0.02647476922678876,5.50130169791163e-42,1.2964601825008097e-44,2.3729817256101203e-18,2.0330039707690378e-36,2.0506563290444773e-21,2.0544500165462402e-14,8.123280359693641e-37,2.4729415158907004e-36
35,4.294969418338032e-43,0.021654529115264505,8.536825123890638e-54,8.013525396481255e-36,1.3836375113110214e-24,2.1123860396024995e-28,6.3453862408153575e-18,1.7953568292644656e-42,3.45699408938255e-30,2.8899984474638303e-22
36,2.6917645873085435e-39,0.024300007683616155,1.753378050016535e-32,6.317729347541487e-42,6.467624617866446e-22,5.750378279500552e-23,1.9480162111066412e-16,2.735929447961333e-33,2.325956104759652e-15,2.0968297804726254e-24
37,1.4900052967083788e-05,0.014633494393004928,6.736815663707919e-42,8.189544106761645e-38,1.697371716241795e-29,1.6607719081200779e-22,9.013876339817874e-23,7.882055746187109e-23,0.010886527002950133,2.5263873355150125e-28
38,1.7162064085004505e-18,0.02713583590873418,3.170944561609398e-23,5.9478635575748585e-06,6.756295707623453e-16,3.8437750531114287e-17,6.150649100876326e-29,3.4184296893052654e-27,2.2417225726424293e-19,6.634880423847863e-28
39,1.3081819169484674e-38,0.02442070008320992,2.3945374108657e-37,6.431030259260332e-41,1.0409845716480371e-30,3.9210869289980545e-24,1.632846905452385e-15,1.1271572978972717e-27,1.1254061970639837e-38,9.078229245673667e-23
40,1.0094135822177145e-39,2.228792984221583e-11,2.0618178375679506e-49,2.9334733983201973e-28,4.8119832540036205e-18,4.7563469529635205e-25,0.028084994643877564,9.169057627309709e-48,2.709341020409819e-35,1.3074143754602784e-25
41,1.9671008414703192e-44,2.0301799249061962e-13,1.6091969417260213e-26,2.714290435972789e-40,1.4126800094837723e-29,7.23940997914285e-26,0.02675153653309135,6.101702078889069e-36,1.4276425775405546e-21,2.5407732120575705e-22
42,1.607038825745157e-41,5.870779089187712e-10,2.760492554311072e-21,6.86385201594909e-52,8.03019646079357e-20,3.2032285977216014e-25,0.02142677434057566,1.046103012575343e-29,1.9397824213339835e-11,2.2375218503127692e-29
43,8.9700880932565e-12,0.013394341102915172,0.00010341516317497182,6.929635430511459e-17,5.02990878138529e-10,0.013522216534980742,5.173831342970472e-09,3.0321728501770515e-17,7.916038938669888e-18,4.172612910721416e-25
44,0.001068319339704166,3.366066869266316e-12,1.997577768731159e-05,0.00043599772904278115,1.3237424204123012e-14,0.019630711379846934,3.0882016636471413e-21,2.895644432900506e-09,4.434106301381713e-26,0.000693168124885886
45,2.1790493518102442e-30,0.0003485065104251452,1.964583716745031e-32,0.02282349761480495,0.0007825339625385653,7.350413443764282e-27,1.6753095430916393e-30,2.2374140782560795e-32,2.987738127266455e-30,3.693792039073497e-27
46,0.001962531583427644,1.672917447714755e-33,3.806457599421749e-34,0.022999124232685474,5.452183257297639e-36,3.1290200404761078e-24,3.752427987226883e-21,2.7343678575293794e-29,5.021825999816092e-32,1.7918348215765447e-31
47,0.01092894612181034,2.43552292162868e-37,0.00035183355514630026,0.016843785183260265,9.462442249933321e-30,1.1059031049616301e-42,4.034531300393599e-30,6.399592394769335e-23,3.362734846571741e-32,8.49774334640641e-42
48,0.01328290217538394,3.9383859886226065e-37,0.004419464859473737,0.00945765936559331,1.5465856464982296e-37,1.4385069653138104e-26,3.998200140656728e-30,3.3574073827837936e-28,3.1709287376968837e-22,1.4909822699135975e-22
49,0.020111412959109645,1.0601972932870381e-16,3.780214954551105e-05,0.005517134908514423,3.647635835720517e-25,6.437307549338183e-26,2.880044313517636e-19,8.711770646440012e-26,3.701056041113997e-27,8.695399257269103e-25
50,0.017883035036976417,2.990740896167906e-26,8.94212743428541e-35,6.2424907781060315e-25,3.626479200170053e-26,4.1997619305066143e-23,4.336023510556579e-18,4.004531434420582e-25,0.0056164802325848005,8.250929099444246e-22
51,0.01265096912738965,5.435286081325329e-05,2.45037000922577e-38,0.0010923009101772747,2.524064382789896e-19,1.483136865063493e-13,0.007257227369873228,1.8224665596059125e-08,0.0020905792187011674,2.100604335426093e-21
52,0.027007660973345927,8.38586137373112e-18,2.9629922671727274e-38,1.538337797413372e-28,3.1854664212261545e-22,2.879510481408699e-35,4.532079556803882e-10,9.433065874750607e-39,9.01388181998509e-16,1.3662822698808011e-09
53,0.022784731186104162,2.3816448191499923e-36,7.322534163248078e-24,9.085040147751312e-21,2.975807917608344e-30,1.5459540479330328e-29,8.749194776091467e-45,7.439186887145987e-32,4.800564292246854e-14,0.0038533257181355023
54,0.023382618881646756,8.576459710625352e-33,1.8120894034801784e-22,9.32498113616408e-33,0.00024706984621549236,3.455468702940723e-32,2.110664514242718e-27,2.1219640902368414e-32,3.5768659990960146e-22,1.2617898639257076e-27
55,0.026772883590991007,3.7106704640937395e-30,7.115737592281605e-32,6.139876400961416e-31,9.8519768988142e-38,4.7501030130699464e-33,5.248590730111219e-42,1.4403808890719746e-47,3.5024739303177685e-30,1.0869147102067628e-48
56,0.027368398652877005,4.101861546558698e-29,2.027827955478163e-23,7.559136987514966e-12,9.433828360429457e-16,1.592163914569529e-07,1.0394237414001039e-32,3.2129939755929976e-23,9.053037977671878e-19,1.362624780077882e-18
57,0.02477138228734548,1.6582019833082795e-37,6.588959944351044e-17,1.718026240232244e-24,2.974979883387848e-46,3.4572141718571474e-18,7.583143243004955e-52,8.339268352801879e-34,3.536260068646325e-47,2.978959188827834e-55
58,0.006349510631094682,1.8925788262268104e-27,1.661328126160157e-11,1.5379523946973535e-30,4.200921980452649e-37,0.01471144940684692,5.984391338994489e-05,0.0012413016827559087,8.416520826447167e-31,8.254232157229958e-40
59,0.016222847067941828,3.6951899443229427e-35,5.30560345044857e-30,5.046840703382538e-32,6.374937893258371e-34,0.005443327540257115,6.617651367703856e-11,0.0023198605782697493,2.6601033051586015e-38,0.0017260254208835443
60,0.016650565160340376,8.484437060548836e-20,3.288878140995718e-16,4.618065177063063e-19,1.0054399331098883e-23,0.0017914641321639393,0.005501819124883617,1.0736448898774706e-10,8.039696261733934e-22,0.00033757446398411685
61,2.113391824256268e-05,2.234662103525304e-40,1.916400066677652e-27,4.0336736795409266e-44,9.655347204796783e-37,1.291446625971837e-36,0.024056791444572956,1.7593804851243737e-26,2.5992927770801185e-19,3.573803088055156e-44
62,0.001294525239441854,1.6228099993634395e-44,3.2760592896564526e-46,4.0260702756489503e-51,4.304190497635223e-50,1.4658806964733333e-37,0.014303614927626978,0.005444596546707026,8.574593475293394e-52,6.837906570576173e-50
63,2.7792265308716e-13,3.3459254506673413e-25,2.8629019246939705e-23,2.1268266272958298e-40,2.8380383627256214e-29,3.5183450875851914e-29,3.8168210100848926e-10,0.02521757383877125,4.292224809468648e-33,1.2237226595623395e-46
64,0.0009255210114825738,3.068454522204695e-16,3.79694516982569e-28,4.149747736348661e-28,6.375918838547942e-29,1.7059918599027529e-22,1.383984595381149e-19,0.02295398840510129,3.835975371479917e-25,1.3796506319956377e-25
65,1.5910389215793823e-08,9.777733488348646e-38,6.021561362658862e-24,3.3155416083533564e-42,6.333621332192873e-28,2.2981635826944764e-25,1.9393245766796879e-38,0.023938889779913874,3.947723286144958e-29,7.311235999843562e-34
66,0.01938459139315843,9.104864946443087e-21,2.6866516991137973e-05,3.589791261059875e-23,0.002217333712943748,4.3702409919416787e-14,6.098827493271876e-10,0.00444105007769899,1.6334460681889856e-34,5.806680461400274e-20
67,0.028064142817511493,7.807277485094116e-23,1.994884976248263e-19,1.6348666377430287e-12,1.2937727312047674e-27,1.8178691362180848e-17,3.1448458200220946e-10,2.4205246218735946e-21,4.05532986822598e-26,1.6002411006784656e-36
68,0.018104031437262236,3.4264619712613456e-20,0.008825842087907123,1.704351788742616e-38,3.273599237554852e-42,0.0007321678347402908,4.0231812159364446e-23,2.921551251607643e-13,1.3661475849147971e-14,8.94682628547728e-27
69,6.35402448956579e-10,2.5371755771314623e-28,0.02148107380791408,1.3289548750974524e-37,2.1393807343823544e-33,2.7696751243619775e-25,4.220953037339746e-39,6.16625562872462e-42,6.31302476264745e-41,1.4957370389751754e-48
70,1.425465893515625e-23,6.032015574464108e-37,0.023292660073274123,2.9240799453469964e-39,1.861605355368621e-32,5.034224356357085e-25,3.7728272399495784e-26,1.357690139848932e-16,3.2525698921254497e-41,4.5352448708813774e-46
71,2.168230544351994e-25,1.425427883094426e-33,0.02348705797727249,2.2572036891245475e-39,2.335943400877355e-46,1.532410127853288e-19,3.8370835751241824e-32,5.216593058041837e-31,3.8956422036499064e-31,3.27888856383643e-34
72,1.1701241446884757e-15,7.323773308800787e-08,0.020587517683548252,3.226262407271238e-36,2.5414370599776775e-37,2.4496850428815517e-22,1.307374455583e-23,4.255725608348725e-27,7.664501188375521e-30,1.7077752917369078e-20
73,6.888847930464566e-10,2.4386101809441794e-26,0.02377431441546139,4.0039783452455836e-14,1.3915587631542438e-24,3.2101443980025192e-18,2.7783853090999032e-39,9.492510882882924e-30,5.852858382079064e-11,7.037703492865253e-47
74,1.0720681959152174e-27,5.770748460682667e-10,0.021658592712483955,7.665576287038837e-25,0.00031019383402187956,4.402835409703857e-12,3.510523826011117e-05,9.691552178720937e-06,0.00013790783525391802,1.0461492443198933e-16
75,1.0640092392201857e-12,1.832917527858706e-42,0.01901127713030858,1.0772216423366377e-28,3.146738980010322e-33,3.7016032521875756e-34,2.1299442708389305e-45,2.870940028632796e-31,3.8456504195741975e-37,1.7562995595190666e-43
76,3.5221441770374464e-15,1.7690483887730433e-35,0.023683929316386697,1.1590584921751335e-09,1.9521485795360732e-25,1.2286799834468904e-25,1.3138368910165519e-32,1.7317152799547498e-29,1.4098900191527569e-11,0.0018241953413248818
77,0.0021766569172766664,1.685354884102821e-45,0.024112155974646853,9.07658074734277e-12,5.593070259714324e-19,1.9154964254847662e-41,1.796008973269345e-41,8.212424927952995e-21,8.566098044025805e-39,1.0410936050498494e-49
78,0.00043343157770003686,2.478261141804753e-48,0.016590812170322686,1.5413207691196237e-22,1.3424055590342036e-56,6.88889670998485e-63,1.8488226701979065e-45,1.0074792259178943e-34,2.130930314498247e-57,1.9092926581174893e-65
79,3.2374659691506864e-13,3.365508879597089e-28,0.015741220946505912,3.9760832868880236e-28,9.876840712007271e-23,5.544437156485475e-35,5.166356089221112e-42,2.1939201298230136e-26,1.744651998066535e-30,1.4500103409360976e-58
