topic_letter,topic_id,top_terms,gloss,ord
A,3,"b'it, k'ajolom, alom, xpiyakok, tz'aqol, b'itol, tz'aq, q'ukumatz, chawaxoq, xmuqane",b'it,0
B,6,"q'apojib', xajoj, tz'i', meb'a', k'ax, b'aqil, chikiya', jab', kame, xjunajpu",q'apojib',5
C,4,"sipakna, kaqix, kab'raqan, much', o', kab'al, k'ajolab', jul, tap, lal",sipakna,6
D,7,"sita'l, ch'ab', ajal, wonon, k'ul, pokob', tukur, kamisanel, amaq', ch'ami'ya",sita'l,15
E,9,"xpeq, uk', iwati't, xe'ik'ow, kati't, xa'n, pach', samajel, xeqaj, a'",xpeq,17
F,1,"chaj, tijob'al, sik', cha, kame, ya'oq, tem, sotz', k'ajolab', xkib'i'j",chaj,18
G,8,"q'apoj, ati't, tew, xkik', wila', k'at, lal, joxb'al, sel, kuchuma",q'apoj,19
H,5,"kati't, qati't, kej, ral, su', chowen, b'atz', k'oy, tz'ikin, qatz",kati't,24
I,0,"tulan, amaq', tojil, kitze, ik'i, majukutaj, xawi, awilix, tamub', k'ab'awil",tulan,48
J,2,"q'alel, pop, ajawarem, k'iq'ab', le', k'iche', ismachi', tuja, tinamit, tzik'",q'alel,69
