doc_id,C,F,E,A,B,D
0,1.2571536428377933e-32,2.975350255599398e-11,8.078700253439019e-29,0.014889753736335382,1.8612082840918676e-27,1.5268129101726644e-35
1,3.678629578123286e-17,1.04869303214269e-23,8.392019713875174e-18,0.012681453579077958,2.8058668515632998e-14,7.324233125580423e-28
2,4.222587083498714e-22,4.249549158710066e-25,1.0760380661681014e-17,0.015075934606088956,1.326185866194906e-23,2.241451690267775e-20
3,1.464850329467726e-16,2.7002954730854644e-39,2.2023966189596596e-15,0.011138762511754538,1.48333969697429e-24,2.3023806702305164e-22
4,6.893246652461385e-19,8.680635862008406e-36,2.3568840099811675e-21,0.015519660663974671,1.736218426260456e-20,2.3211916575462257e-26
5,2.5126744686282643e-18,4.0319665702902887e-28,6.733041819996422e-32,0.01478826497316103,1.9378696010392804e-26,7.0229391287493005e-34
6,5.663280653416711e-13,7.497444651982697e-18,2.6603745871631353e-23,0.01755592839409824,2.0000020730582932e-17,1.2452396579009012e-29
7,1.8987495007447655e-06,1.7202049276469208e-19,1.7436692057672618e-09,0.01835573356705843,6.972879540794383e-13,5.0772031159007e-11
8,1.6873758023993157e-23,1.2051689367779532e-13,2.0436579940444012e-23,4.525555090757142e-07,0.012980813669475838,1.5547724238642444e-30
9,9.044680274227063e-20,1.3395643727649706e-16,9.086963813752406e-13,5.952401932745416e-24,0.013863519554413579,1.2211109345997455e-26
10,3.517471847969668e-11,6.655263268967319e-22,1.3262674746988155e-22,1.0219331850192837e-24,0.016837496147861668,1.5129764523960107e-21
11,2.970230439893645e-12,1.4441560513691127e-39,5.618161257201204e-22,5.901923148229465e-20,0.016058153888062105,1.6726036761782777e-24
12,4.99478108201092e-12,1.3757876379549884e-38,6.862387892687132e-23,2.674983395022252e-25,0.01676410604970904,4.152480636146038e-18
13,3.310513501928125e-11,1.5367634825955332e-20,1.8026126847573147e-16,2.609742956556384e-10,0.01719056506022563,2.2436138496232804e-19
14,3.46127817498517e-19,2.0537758266353104e-37,3.6593826414207406e-30,2.829309487560519e-28,0.005989373262065345,2.6632597793029924e-33
15,0.015843075686063766,0.0005418106291608637,1.5984300293709432e-16,0.0009691311846217827,6.589794806402773e-09,2.3491286865570176e-17
16,0.015953323532637575,1.0282417515777494e-05,2.047148402965811e-26,1.2608612895734881e-26,5.0715572370015534e-18,2.3328038587014045e-21
17,0.0198489453077176,1.871378048514541e-12,2.19922322410281e-15,7.196297796307095e-19,7.726125658038074e-10,1.3973259187128627e-16
18,6.8698458922593515e-09,3.5447947216576928e-09,1.0037903830858945e-28,2.789608995634768e-17,0.015494719595325314,3.688780471114981e-21
19,0.018386716964639588,7.696952085122434e-16,1.8195066600789878e-24,4.084700979507506e-21,3.3080368237813905e-07,1.3411702773333434e-17
20,1.5915029698661064e-07,7.053067390722169e-18,1.1995018481359112e-24,7.639609467790161e-27,0.015189110368741857,1.3731755397533523e-24
21,0.019309319174152358,2.668848594687054e-23,8.386191309331356e-16,5.0022401584718067e-17,2.0132374838404324e-13,3.380607359570994e-14
22,0.01664291844882822,1.7146874743903247e-24,4.218484899030972e-24,3.696497541587215e-08,3.5116566311859153e-22,5.268140245177533e-22
23,0.021439183039190162,6.46125345183179e-24,1.587678979959519e-12,9.571773044295183e-17,8.377388120471742e-13,2.5843035683785235e-19
24,0.014803658076236955,2.2066741740384456e-29,4.496721765503668e-28,8.236278028633274e-28,1.0130878924889747e-26,3.154132763404711e-33
25,0.01617853026715573,4.867830500120878e-40,1.4398444942711615e-26,1.0592799934914776e-31,2.464770570872227e-15,4.6088805571114765e-26
26,0.01634521870720844,2.5452265073052378e-45,1.4749476484592162e-31,2.74895559502871e-29,1.5488357550344255e-17,8.935748753608305e-28
27,0.021124419548062982,2.1835765813149844e-18,7.533115539536896e-17,2.3172300851632393e-17,1.3703043237442557e-13,7.511028110385743e-09
28,0.00949571290420136,1.188994368109955e-31,2.489807798678227e-29,2.1680783967613107e-36,1.0878875733213901e-26,8.23832642238434e-26
29,0.010617334668533858,3.9070837447083357e-31,0.00018786420990111533,3.425624834628232e-28,2.0237459221125337e-32,5.509779581147752e-26
30,0.008486473654906882,2.1824600997680097e-34,3.1881177137876563e-27,2.113580884456167e-25,1.1251634261848366e-27,1.122561513406972e-28
31,0.0016126909710771793,8.732278795122e-25,2.1058813692996993e-15,2.9453962309462966e-19,0.017227936274521034,1.494982331459611e-14
32,0.013900793835354521,4.271026478542503e-36,2.218498692520029e-30,3.531212757519426e-33,1.3528673815650572e-24,1.6388681217820952e-30
33,0.0019413052901754342,2.4904561568521648e-23,6.273580981919594e-19,6.795834602573487e-16,4.4515203132551377e-10,0.01697727700666601
34,1.0129530958325054e-26,2.299567068488772e-31,1.5465319942187063e-38,6.608188378627421e-40,1.580437673641429e-40,0.01206505889075176
35,0.00014044660087170638,5.441152086298182e-22,7.893074350853315e-29,5.6834295760040555e-27,3.3682616834164026e-13,0.01470779325222471
36,4.380890106157342e-09,6.799338169946766e-19,7.311690382654425e-24,2.7891626280540305e-25,1.0305685610527159e-17,0.01749613178366763
37,1.4520315580448527e-08,1.6618629164980705e-25,4.49090747845523e-22,7.903291413830968e-31,4.117805307829231e-17,0.015269542364738717
38,0.018164496971090956,5.2269953524891624e-05,3.026575582086008e-11,5.365470715280939e-12,1.1969903710369378e-10,5.548394973836251e-18
39,1.1038027025699174e-08,5.620801653561497e-31,1.858090916617371e-20,1.3803675153239932e-16,0.014576196105953579,9.558800396214088e-20
40,1.8925793269992914e-30,7.712769633696606e-35,5.872654933005497e-29,0.011577472471881302,6.32700820353993e-25,1.997202135675372e-44
41,5.579058356817839e-24,1.3224710352232818e-12,1.0994254845867334e-20,0.001217642171255476,0.009724800102247405,3.5884055089215505e-18
42,5.673043905836736e-26,7.013600740285273e-13,0.006432239173272998,2.0740065125636247e-18,3.73869245368553e-17,1.41534321611028e-41
43,1.267385095737108e-22,1.4882775505706378e-31,0.0007442725578315972,0.01354438666607681,3.036296667078993e-28,2.1868258059465986e-22
44,2.5151681980902472e-20,4.61003511418632e-28,2.047833438077285e-31,0.012526174484121005,1.032355936093102e-34,4.284555389558724e-31
45,6.002004286816682e-27,1.0859701973376191e-42,2.109326211587064e-28,0.012290560374598502,1.2153147713145516e-32,4.110663094850565e-28
46,9.072231928148233e-15,0.0005221038918454984,0.01697047496695176,0.002902609024111864,1.2238307405647563e-18,8.447991615779683e-20
47,1.9091407814106118e-31,1.748035497708001e-35,0.007097665102975112,5.901491414963586e-56,8.366204595035175e-21,4.854625735199841e-31
48,3.676566583605534e-30,1.1939057001447265e-14,0.010126443472822426,2.8530656323311505e-36,1.1087897554679797e-37,9.266197891116726e-30
49,2.5323221256974256e-13,1.9190779887221193e-20,0.014873436365944374,6.414134637026846e-17,6.2592737240806064e-18,2.605251869591102e-20
50,0.0005718479972696104,1.7451593315801208e-34,0.013912611905057687,2.313442229779934e-13,2.5181047377060144e-24,2.1195368231986457e-19
51,5.38607005772248e-12,2.5141465350559615e-33,0.01785906786670155,5.450978306225758e-18,3.8106932827787576e-20,1.5064834212444923e-15
52,4.994729423661169e-16,2.3888357125659695e-13,0.00919345189883477,1.0334612959318338e-29,3.9642639237736e-16,3.2244094354864865e-21
53,2.2308218057268054e-17,5.680597190354485e-16,0.013779183394774021,3.665264894999964e-24,8.681507219707807e-10,4.540933007615221e-35
54,1.7416521464835782e-15,3.048698204088363e-21,0.016644851367547103,4.557482016192295e-16,4.775674454679024e-20,1.7951769830173714e-23
55,2.1368399480761247e-14,3.113095809898538e-11,0.019451036042305542,7.814527912344614e-15,3.7982634464956364e-19,2.4357282796946545e-25
56,1.4763770519581018e-05,1.386272470516545e-12,0.01783451893545828,4.034933291948437e-15,6.313404543799261e-17,3.517318463480683e-15
57,6.590229228231612e-07,1.2287398789576337e-22,0.013922815710681194,9.135748273642808e-17,2.759951110978613e-17,2.277960700944489e-11
58,1.1992923780711809e-11,1.0295190469220099e-15,4.056161934413202e-05,2.4365428198285347e-21,6.95482372410615e-16,0.016594379415886765
59,1.0377925080253146e-13,1.593270831857712e-23,0.00163641564924734,4.358224422893079e-25,8.53516942542479e-25,0.01206194523486719
60,8.450604260287618e-11,1.9671119617350694e-06,0.015884810548135415,4.8045315730473005e-18,5.191281066074127e-22,1.001068964829673e-05
61,5.279777927243517e-11,1.2015752086825507e-18,0.01719329403250721,6.124647723936707e-20,9.948516772496375e-20,4.1805300843216193e-14
62,1.28442028549813e-10,4.994974506246803e-21,0.0172236619923896,2.4502150644905517e-23,4.18625164706858e-14,1.848639182704888e-18
63,1.5240826023078154e-14,1.4204873237396265e-07,0.016820502064711074,1.6256766829773093e-16,1.0638537535885374e-11,2.8453334468514236e-14
64,1.5110082254499993e-18,0.0012573179424250679,0.010674998255577472,2.3846580496833553e-26,7.202197858964254e-25,1.4204782793710153e-17
65,3.825001121498281e-20,0.013604961375266652,3.7987028036138745e-12,1.014862665551267e-33,1.930987081600613e-32,2.3913185560915425e-33
66,6.2833807508686e-19,7.661385928420995e-11,0.0021367366336202064,1.9374065962790596e-30,2.4953495456974527e-23,0.012809125258002999
67,1.2776718688994916e-13,0.01852637637658098,4.8730465338497616e-05,6.239554482526643e-16,2.731996510748822e-15,0.0020401383932883285
68,1.0255193580694052e-19,0.003625944102992898,1.8454846021075138e-22,1.2350895582777607e-29,4.032807187984976e-31,0.012698697039231821
69,2.076963760806731e-33,0.010131485885656204,9.54161706807903e-38,8.346839812606679e-42,7.205922612730288e-52,1.2813945055411144e-42
70,1.0449516705216068e-56,0.008462802669091564,2.7274165175365847e-52,1.9306791108280342e-78,4.263222158628323e-55,4.098662751033505e-62
71,1.252314933596325e-62,0.006653459759564394,6.191832477065546e-41,2.086148660986472e-63,3.4589276729144546e-64,3.635861710032463e-51
72,2.45518381648905e-46,0.006279250059743685,3.339859026301563e-57,5.1472900529229857e-54,1.884130276857169e-53,4.87894170104937e-34
