chap_num,E,C,F,A,B,D
1,9.02923319122267e-20,5.5202697535475885e-25,2.1367381725223145e-14,0.3858825311485506,2.1243252576706942e-19,1.4343456344041544e-32
2,2.2658489348391224e-17,4.851156794564788e-25,1.8777887177957467e-14,0.38831870628589815,1.8668312870439446e-19,1.2607947134543e-32
3,1.8627791771786395e-16,8.784193948061623e-30,4.051710281306895e-18,0.4059809760316679,9.851894877602495e-34,2.550536567855483e-35
4,7.649853972939235e-17,6.379589473952827e-17,8.103424348051775e-19,0.38931596125450196,1.2943320150381243e-19,3.788586968708873e-05
5,4.905369523227444e-17,7.974486842440815e-17,4.731797482973621e-25,0.38514970756021044,1.617915018797653e-19,4.7357337108860914e-05
6,1.4367191072214329e-18,2.3356237613903515e-18,1.3858822479891828e-26,0.38256675177587696,4.73887400216003e-21,1.3870349780837928e-06
7,1.4021932405448732e-17,5.863662110174535e-17,2.4091023131837924e-29,0.3885724280956995,1.7275089516619538e-10,1.898524459589329e-11
8,1.145667216227792e-07,2.494306352957927e-07,4.3898245524237973e-13,0.40148150320717135,0.0005553949665842553,0.0011975231692972943
9,3.3344335195446608e-06,3.4859195144155266e-27,2.0705330790153986e-10,0.09915350601400462,0.26214611521917613,5.558381257803276e-33
10,1.55606897578925e-06,9.685793882910493e-24,9.66248770207186e-11,0.04627163613986882,0.2840493830349869,1.0720506311638983e-29
11,9.725893081319322e-19,1.8681596313584577e-13,2.9720542668482544e-16,7.659324578479894e-15,0.35008086692824475,3.985991516080024e-15
12,1.047743239565129e-23,4.0064293580463436e-18,2.0702153532409256e-28,8.47904589106181e-15,0.3269934140259564,7.358218331082144e-22
13,1.5357271871416045e-23,7.590146817385248e-20,7.105608481295722e-36,1.0955681452391451e-21,0.382407214653916,2.6951555686646893e-24
14,4.496337459222022e-13,1.2784127939325273e-11,5.0980637158265635e-14,0.030856985731224248,0.3535398709015037,4.824814892535004e-07
15,3.480024562152297e-17,3.6060001120728503e-13,2.709820889848395e-22,0.0820457018593657,0.3013054965259911,1.3859204708215193e-06
16,2.2161736325790178e-16,0.2432647248161098,0.004462108608922345,0.04001961832766789,0.052855070036972165,5.973035482252909e-07
17,5.857118776928694e-19,0.3126607676693978,2.4535391895166594e-09,1.0517569887153006e-16,8.83882346566186e-06,3.146242805958014e-07
18,0.0022897880932151965,0.30233101165965853,6.093360650577518e-11,6.155523521082512e-16,4.751000784075343e-10,2.2616192096549737e-07
19,3.939624795112089e-11,0.26977655041621723,0.015196507139560986,0.0340344213099192,0.017723753713379444,4.72393543340065e-06
20,1.7507090437478014e-14,0.30433708008262145,0.0023818167630901277,0.0056158743210398075,0.02764176851250346,9.15664411440973e-05
21,5.913092080907885e-15,0.26765225133964005,1.4966168450175013e-17,7.507101664983599e-10,0.05089726124802352,0.0001865661579158987
22,1.2104220112030855e-15,0.03216381474325932,2.585020255506776e-18,1.5365948246936452e-10,2.4959299071728966e-05,0.3394308338905965
