chap_num,F,D,G,A,B,E,C
1,6.45486957175867e-28,4.66491945301149e-33,5.2319860373547916e-20,0.025470986224719955,8.531129468680855e-28,8.432390520861796e-34,1.1881544754550739e-24
2,6.454869571758671e-28,4.66491945301149e-33,5.2319860373547916e-20,0.025470986224719952,8.531129468680855e-28,8.432390520861796e-34,1.1881544754550739e-24
3,4.668858612150862e-21,1.6503775209605395e-23,3.2802420298864924e-20,0.024840942051311137,1.5937281101330938e-24,3.642590789486795e-21,7.450051547312103e-25
4,1.2515678724191038e-20,4.4241212528833086e-23,5.2800564765573206e-30,0.023782044280876154,4.2708289457401955e-24,9.76459211635394e-21,2.1638040538925553e-28
5,1.2515678724191038e-20,4.4241212528833086e-23,5.28005647655732e-30,0.023782044280876154,4.2708289457401955e-24,9.76459211635394e-21,2.1638040538925553e-28
6,4.136981730306082e-21,2.2064715940413725e-23,1.74529137179428e-30,0.02334012839603121,8.099266769137027e-17,1.2873501299813158e-12,9.397170982352106e-24
7,8.957538611397627e-29,1.1115070749881665e-23,1.1013175286107327e-36,0.02312193242788902,1.2098279525526256e-16,1.9229792518383232e-12,1.4036917317063297e-23
8,4.123233322703323e-15,1.8959816874961688e-17,2.7655739888048225e-20,0.016270520350573685,0.010046489450568278,1.100419964263212e-13,2.223473417239618e-13
9,2.774193190658501e-15,1.159579338115174e-17,1.692826181991613e-20,0.00914209275681261,0.015234475363822629,2.5115072966731784e-17,1.5187237974619668e-13
10,5.962162476594759e-16,1.427030697620546e-26,3.3197537982686874e-23,2.0580759319520683e-09,0.021469852310238832,2.0115957063941003e-25,3.751909367242235e-14
11,1.7450231638814367e-16,4.190771011039468e-24,2.5275070843357276e-21,6.023636874007663e-10,0.02368175071382457,1.9268908746598597e-20,1.0986464339118142e-14
12,6.321779323137554e-31,3.4398048143857695e-21,1.7726312433624105e-22,1.1327870699561596e-23,0.020206261367166765,1.3566634601641677e-21,3.7076214260464423e-19
13,2.0445508345385344e-25,1.8580332449368662e-20,1.438469992881457e-31,1.5933456362695298e-13,0.02294393177762594,3.6484921791305645e-25,3.294091616047209e-19
14,3.3879283609604816e-24,1.5748183882575168e-21,3.5890850004292377e-26,2.6402822722324526e-12,0.02087830329873094,1.3681372993742267e-21,0.0036835758191934315
15,1.8729280989822957e-31,3.8929349387870257e-25,2.7317456159885306e-25,4.676648174042238e-20,4.660625918199064e-15,1.0409197483045338e-20,0.028038512411978196
16,3.84026657398394e-31,3.5867903821900344e-16,2.0913542809329304e-25,3.580319175865123e-20,3.56805295704748e-15,7.97342804551331e-21,0.027440568729082657
17,1.0265071244094208e-30,1.530029462460084e-15,6.354562544218688e-31,1.8087672207437212e-38,1.362659948850781e-32,1.8852329936685394e-23,0.02548784355487136
18,1.8668239889915634e-13,0.01534653320272275,2.9844113751662733e-25,4.215836530693411e-18,3.9858245392858954e-20,1.0114588109630469e-23,0.007870192565408591
19,1.728236127118758e-20,0.0003577156792692227,1.272899728168847e-16,8.239813312668755e-21,2.4480762561885655e-05,7.262891290639037e-09,0.023063784435560664
20,6.143093868163518e-19,0.01271516641766055,4.524579942729981e-15,2.9288786200157963e-19,0.0008701798328815661,2.5816277223998685e-07,0.010505898720785818
21,2.114257929105325e-20,0.0004376156702152956,1.5572168063035413e-16,1.008027199753616e-20,3.051388171470066e-05,0.020694354302281653,0.000361579688287101
22,1.3383966704419534e-21,9.898566282641641e-16,1.125702542496632e-28,2.8805419816352866e-16,6.211142048355596e-08,0.022112591445501213,2.1988327569322454e-18
23,9.951756537631245e-30,2.6947593323834736e-27,4.159590355416957e-33,2.0293548001367377e-15,1.764333283958645e-30,0.021222190028533042,1.2631189870279302e-33
24,6.755381143203487e-13,0.0013754168146112074,2.3647470053422537e-32,1.7906071767533599e-16,8.657704405647468e-14,0.022856834424232347,5.165490605063876e-09
25,4.4991438561660464e-23,0.005577378275762878,8.217052724848049e-32,1.8032494523848935e-26,3.5107387619643386e-13,0.02021960546557164,2.094630135264434e-08
26,8.345665042612338e-24,0.015447269735239338,1.5181432518086442e-32,8.63090986631422e-27,0.0023860235888319313,0.0043183038239803205,3.865091321024181e-09
27,1.483146799576413e-25,0.016368134781543302,5.796527846103729e-24,2.3231618325364566e-25,0.0016545975475287418,0.001248165080188068,0.0025622521592988303
28,1.9015413941441664e-09,0.020087946312775596,3.555404650162998e-24,1.9678335907200073e-25,6.503477625305937e-10,0.0005157749906845295,0.0024314333447314844
29,4.742667947747337e-08,0.026881916047502667,6.302352380974492e-28,1.4099556801422189e-24,4.6737836301761725e-15,1.7663742394267815e-17,1.3297297116955522e-19
30,4.742667947747338e-08,0.026881916047502667,6.302352380974491e-28,1.4099556801422189e-24,4.6737836301761725e-15,1.7663742394267815e-17,1.3297297116955522e-19
31,4.742667947747338e-08,0.026881916047502667,6.302352380974492e-28,1.409955680142219e-24,4.6737836301761725e-15,1.7663742394267815e-17,1.3297297116955522e-19
32,2.793626325833615e-08,0.026525605842478494,5.48932230301657e-18,4.980706661278581e-09,1.5222638581730056e-14,3.1868968309143475e-10,1.2295462002445156e-13
33,1.0906124874936483e-17,0.026014894548610515,1.3357350936436983e-17,1.2119719542444545e-08,3.0342664012290623e-14,7.754782035377937e-10,2.991893847982401e-13
34,3.5535791266995235e-18,0.028829958006784152,4.351566225214606e-18,3.9478813088679265e-09,3.1716600057274005e-14,2.5260469400939943e-10,9.74768691290411e-14
35,1.5046604904521525e-21,0.03018993798826669,7.98611347038609e-22,7.922139380014698e-20,3.238035970062745e-14,2.620412899972277e-16,2.791730236725957e-17
36,1.7191649164635808e-19,0.02964304484747852,2.285907257702768e-12,7.199964883702803e-20,2.931274700775815e-14,2.372172397700452e-16,3.2354414525124943e-17
37,1.8002962115805702e-18,0.024417177057724913,2.412902104589804e-11,2.9918636338913282e-21,3.49811810120237e-21,9.648710301410616e-21,7.47534862558385e-17
38,5.566041476350151e-18,0.016107129403625277,1.5941317453226038e-11,2.9076903982139772e-18,2.313098586493595e-21,0.00896898857789127,1.2886277010859383e-12
39,1.2865078594483784e-17,5.126055642858525e-17,7.132406989881924e-14,8.537785088696367e-18,1.6208909835844678e-23,0.026353324463433612,3.7861932908779155e-12
40,8.808249912743443e-18,1.50380154654154e-14,1.9550760277263525e-14,0.018163907600366274,1.5726748408537014e-09,0.007223753913834594,1.0378397891042015e-12
41,7.276300620337999e-18,2.0697349486990845e-14,5.921348684724921e-25,0.02502300557532976,2.1665520534837646e-09,1.0882600179848536e-20,5.217624374756522e-21
42,7.276300620337999e-18,2.069734948699084e-14,5.921348684724922e-25,0.02502300557532976,2.1665520534837646e-09,1.0882600179848536e-20,5.2176243747565216e-21
