doc_id,F,D,G,A,B,E,C
0,6.45486957175867e-28,4.66491945301149e-33,5.2319860373547916e-20,0.025470986224719952,8.531129468680855e-28,8.432390520861796e-34,1.1881544754550739e-24
1,1.2515678724191038e-20,4.4241212528833086e-23,5.2800564765573206e-30,0.023782044280876154,4.2708289457401955e-24,9.76459211635394e-21,2.1638040538925553e-28
2,8.957538611397627e-29,1.1115070749881665e-23,1.1013175286107325e-36,0.02312193242788902,1.2098279525526256e-16,1.9229792518383232e-12,1.4036917317063297e-23
3,4.373407029923519e-15,2.0110187112078665e-17,2.933372860035677e-20,0.015854816696444438,0.010656051731838706,4.3556210312082006e-17,2.3583807931085614e-13
4,5.962162476594759e-16,1.427030697620546e-26,3.3197537982686874e-23,2.0580759319520683e-09,0.021469852310238832,2.0115957063941003e-25,3.751909367242235e-14
5,6.210401620081581e-30,5.9189781989277144e-24,3.559635172481813e-21,2.274758899852947e-22,0.0245970190187566,2.7242167058472233e-20,7.445304647437308e-18
6,3.1252581593700425e-33,4.313349331921174e-22,7.448335533238477e-47,5.414306747091988e-34,0.019392699903250918,2.9468009732770095e-29,1.1695670952977032e-31
7,2.017675355664341e-30,1.9507890120155096e-20,1.6925626916623932e-41,7.142508259076794e-40,0.022883516516943835,3.45359417917229e-25,1.25540766036145e-32
8,3.9003374263728516e-24,1.812943785152373e-21,2.744158139960201e-30,3.0396132138064874e-12,0.024036053797648615,7.1716483322224495e-25,6.284113236766756e-18
9,1.8729280989822955e-31,3.8929349387870257e-25,2.7317456159885306e-25,4.676648174042238e-20,4.660625918199064e-15,1.0409197483045338e-20,0.028038512411978193
10,1.0265071244094208e-30,1.530029462460084e-15,6.354562544218688e-31,1.8087672207437212e-38,1.362659948850781e-32,1.8852329936685392e-23,0.02548784355487136
11,2.7780118883803024e-13,0.022837102980241983,4.428314317264021e-25,6.2735662654257345e-18,3.4952268989640273e-22,4.872804776693147e-24,8.011034058844139e-13
12,5.406508716576112e-30,5.826871439581506e-20,3.6108811100018825e-27,1.3769371244677267e-27,1.6668483354370878e-19,2.161404481842761e-23,0.023427302179935727
13,6.143093868163518e-19,0.01271516641766055,4.524579942729981e-15,2.9288786200157963e-19,0.0008701798328815661,2.5816277223998685e-07,0.010505898720785818
14,1.292379973736038e-29,9.326117808161009e-15,1.0605082543368602e-27,1.462738570479014e-27,5.851943463767367e-07,0.02143196564982852,1.7957230787356504e-17
15,1.7799765205923252e-21,1.789539345005434e-22,1.2401358414568888e-32,2.526873069591484e-25,1.171286068111503e-16,0.022376752156937095,3.8951881049392146e-19
16,9.951756537631245e-30,2.694759332383474e-27,4.1595903554169576e-33,2.0293548001367377e-15,1.764333283958645e-30,0.02122219002853304,1.2631189870279302e-33
17,1.015604920152007e-12,1.682889309735325e-21,4.535273026078662e-33,1.768774091723512e-26,3.290988159348344e-21,0.02405142315867551,5.936188849769605e-25
18,4.4991438561660464e-23,0.005577378275762878,8.217052724848049e-32,1.8032494523848935e-26,3.5107387619643386e-13,0.02021960546557164,2.094630135264434e-08
19,5.355570618538833e-26,0.017680602839208463,2.3316192230858266e-35,6.503543994901256e-27,0.0029259267365903735,0.0007201990729633073,6.414194508121693e-22
20,2.7164069729358816e-25,0.01465999620649379,1.3340538351664268e-23,5.26204691700688e-25,1.0479459453040384e-18,0.0019352973101791169,0.0058969479842686315
21,5.390381673428687e-22,0.020774325809599054,1.6280268734380338e-31,3.4654723712682256e-32,1.8758324511302353e-09,2.3381467741509495e-25,0.0024800858227468983
22,8.81701313257358e-28,0.02278837549975815,4.2296020175018957e-38,3.9200188356863047e-29,9.687670374847115e-18,3.898135158435606e-20,4.7125329292709936e-30
23,4.742667947747337e-08,0.026881916047502667,6.302352380974492e-28,1.409955680142219e-24,4.6737836301761725e-15,1.7663742394267815e-17,1.3297297116955522e-19
24,1.0906124874936483e-17,0.02601489454861051,1.3357350936436983e-17,1.2119719542444545e-08,3.0342664012290623e-14,7.754782035377938e-10,2.991893847982401e-13
25,1.5046604904521525e-21,0.03018993798826669,7.986113470386091e-22,7.922139380014698e-20,3.238035970062746e-14,2.620412899972277e-16,2.791730236725957e-17
26,1.8002962115805702e-18,0.024417177057724913,2.412902104589804e-11,2.9918636338913282e-21,3.49811810120237e-21,9.648710301410616e-21,7.47534862558385e-17
27,1.2865078594483784e-17,5.126055642858525e-17,7.132406989881924e-14,8.537785088696367e-18,1.6208909835844678e-23,0.026353324463433612,3.7861932908779155e-12
28,7.276300620337999e-18,2.069734948699084e-14,5.921348684724922e-25,0.02502300557532976,2.1665520534837646e-09,1.0882600179848536e-20,5.217624374756522e-21
29,0.0015662360758185339,1.858511417253907e-26,6.140888576251353e-12,0.024537472133206346,3.0276418271926965e-27,2.5269682583927394e-25,1.6049683091670327e-31
30,0.014081524619911969,1.123512946871703e-21,0.0007618042216879613,0.01266048801749988,8.573536989291613e-23,3.0849936929716372e-24,1.6053610415299292e-08
31,0.02254482909454611,1.1931283737144475e-17,3.011739298064854e-17,1.6848644358831987e-14,9.068820199680493e-12,4.193361788023971e-18,4.3516489242128676e-17
32,0.02249453246783024,0.0014107520658066274,3.099546702170604e-26,2.317355987051532e-11,2.834214542247804e-18,5.1141890739837714e-23,1.0228232078106376e-17
33,0.027505546342901636,1.1289964198709918e-22,3.9329270262636956e-22,4.8030076948984384e-15,0.00019952810412620847,1.4145134893907964e-13,2.107749607818004e-12
34,0.022453933823162905,4.781865738954983e-30,7.588679135829032e-22,1.4833309322073778e-19,2.931640839720384e-29,2.5066583036837467e-23,1.9896914729981115e-32
35,0.027381963485151248,5.554832901758904e-30,3.0716133122505645e-20,9.400141756146577e-11,7.003626918216804e-24,3.6051489491035824e-13,3.849566780659138e-23
36,0.024643708984651028,6.782335474505473e-29,7.314461121405602e-14,4.265950974973859e-19,1.836985166082125e-24,2.6650344653949767e-16,1.5529871281253896e-20
37,0.022942193216630987,1.5832869356475942e-15,3.498239337445107e-22,3.449781930155725e-20,1.4913980582594487e-16,0.0004408917574122068,1.325972565847497e-18
38,0.022199906551108817,1.9975977059369622e-07,1.4745920738189454e-18,1.0589342264865961e-29,6.840786554908413e-06,1.3367464462408352e-12,8.350044787866393e-06
39,0.021910431519293613,1.8687348606618992e-14,3.9274697084454975e-15,3.203529625481319e-20,2.2805968087224133e-19,3.5120148161806275e-19,6.542221408979693e-22
40,0.024323685061724422,8.446949803597962e-12,2.493922708413019e-12,4.1688247318969983e-22,4.2041361412264637e-19,9.674505602925355e-19,7.48496908602863e-20
41,0.027549750089051885,7.155479906185449e-20,2.1615122439268263e-10,7.535596390990774e-11,1.001235945054831e-07,1.4504858478672093e-13,1.9431617756170025e-14
42,0.023144627016814166,2.737002576975098e-26,0.0038180559539434207,5.477182678964415e-21,2.6517065293082064e-27,2.059434469152554e-12,5.574986331756522e-05
