chap_num,G,E,H,A,C,F,D,B
1,1.032458292352434e-20,5.958982670917666e-26,6.578477817857009e-17,0.4091902830218414,8.868749480715681e-18,1.4805877886335499e-28,8.74588065260903e-24,6.732068764651412e-36
2,1.4693075151328167e-17,5.23669020842384e-26,5.781314878894092e-17,0.4117736059594561,7.793749543659236e-18,1.3011239322600328e-28,7.685774450049318e-24,6.32182982554083e-36
3,1.2114301677226182e-16,6.985534360700474e-31,1.883571412947629e-20,0.4305026972571629,2.277991448933916e-36,1.0973552032786686e-33,4.4814914167062796e-30,3.3475975169891126e-36
4,4.635551168533552e-16,1.2593288133559108e-12,3.767294192321865e-21,0.41286764691570743,5.329074229290855e-20,4.634093270985389e-06,7.28651697372121e-27,1.425959592173277e-16
5,5.491581418736285e-16,1.5741610166948884e-12,1.892080332586316e-25,0.40845888433034355,6.661342786613569e-20,5.792616588731736e-06,9.107025844297334e-27,1.7824494902165964e-16
6,1.6084129678307154e-17,4.6105134380185036e-14,5.5416583578150025e-27,0.4056755648849273,1.9510638038359657e-21,1.6965822644946826e-07,2.6725595992707175e-28,5.220563360467062e-18
7,1.503686619895214e-15,2.4126787072350146e-17,6.463769357534504e-28,0.4120426450919463,4.6214286930945156e-10,6.947736212572928e-09,3.8225430956367094e-11,1.596789803991182e-16
8,1.6747989705379725e-08,2.4017498362190684e-16,1.9019890168771278e-13,0.14765781051081003,0.0005573808826789697,2.14015076454135e-08,1.3637560343279383e-11,0.28880449841738565
9,7.707481120440142e-06,4.8687261146847045e-28,8.977379113569227e-11,0.10095801149900294,0.26308326749549943,2.9335218872465485e-31,3.593224483485358e-22,1.5950699263947258e-17
10,3.596824523340836e-06,2.664692691751867e-24,4.189443586332306e-11,0.0471137386995347,0.2827611515309009,4.867861829888674e-24,2.7795916548004905e-22,7.443659656509234e-18
11,2.617650694795978e-16,4.007640485588926e-14,1.3459347515475836e-16,1.0606327097433927e-16,0.34634534125801164,2.0050621646071205e-14,1.7291400298436916e-11,6.703683895711682e-16
12,4.2701868637430206e-24,2.6730501559043964e-17,3.54948202906421e-30,1.174141080465074e-16,0.3235042422291589,6.612803614491309e-20,4.53439605372226e-24,3.0515250889829873e-25
13,6.2583546196119586e-24,2.6069028669532518e-17,5.8075636815056034e-36,8.717582782051336e-23,0.3783267518340764,1.3460080501642887e-22,6.645604022215349e-21,4.460919664414406e-25
14,1.820921479858492e-11,7.28158539344835e-09,2.8680535116988184e-13,0.03565025202748052,0.33216201982539717,7.577069210170736e-07,0.018192432250539098,1.362304878057554e-13
15,4.0067126489168583e-16,3.1993759796505144e-19,5.467391557377958e-23,0.10038686036292488,0.24303210881716245,2.1214843696086096e-06,0.05231334962710576,2.1359647518995188e-19
16,7.028168091438784e-17,8.089554423271614e-06,7.969715063710231e-09,0.017610281046150682,0.04263022236705446,3.7212922549023623e-07,0.382372939546423,1.2879301973251565e-14
17,4.825827552382365e-28,0.10451520928525608,2.5521575515354376e-23,1.8015784555463886e-18,2.1665033734637948e-12,0.03717786442354984,0.26733828707049756,4.547615463855595e-24
18,0.002324032733548618,0.2206887183628757,6.538812321241775e-16,1.4963471894574319e-18,2.05730899087602e-19,0.026724629197311865,0.1266703985773038,8.142694228501956e-19
19,3.266838880321891e-19,0.006030857335126163,9.440692648145022e-10,1.291015023523594e-11,2.8835552604920733e-06,6.39226442599794e-17,0.4401525597695387,0.006136082365457792
20,5.1032534868185295e-20,0.011918714731664927,1.4747634186195965e-10,2.0186213507095623e-12,5.728470652312395e-07,6.290976620133435e-14,0.45078051998677016,0.0009585456889630504
21,1.4035074026579669e-23,4.4184623285894244e-11,3.0437927338825615e-23,1.7261874974518867e-21,2.5327190126668203e-07,1.8700541626194647e-07,0.4337080100425172,5.7746281885373846e-21
22,8.277725669433573e-20,6.374365111425074e-12,6.331079675662462e-24,1.6791144497090933e-20,2.8874692817680966e-13,0.347809491190723,0.044777629184898055,1.805866084399161e-21
23,2.197041051198275e-22,4.203275670180812e-19,6.206143856300119e-28,1.8150971259041947e-05,3.107358945105356e-19,0.38917259342522403,3.519018808919612e-24,9.987845100789198e-23
24,1.0907365800604717e-08,2.2684438342795e-10,4.953011851748836e-26,1.3616470461057903e-07,1.3434383882409135e-09,0.42434157386101146,4.259107346125528e-12,7.862301716123769e-19
25,1.2912984262317781e-21,0.057264242004369165,9.175532876769337e-27,9.908635257811745e-28,6.886296132713491e-09,0.3943350916762013,3.0949825006294373e-09,3.1854222266727636e-30
26,4.1136389687653475e-21,0.25648414559774635,2.923016570236334e-26,4.904552201254583e-25,0.0410384938987198,0.06638160779884499,9.898778576484387e-09,1.0929200934517313e-30
27,1.1856003105449416e-22,0.19374600918820276,2.9675329952466017e-19,1.2962050470707566e-16,0.06089150121029956,0.12027296919181922,5.822307233008698e-11,6.830077204192607e-20
28,5.713342161740514e-18,0.29463165705724814,9.395871033423487e-20,4.01787666168541e-17,2.4164604940572345e-07,0.037264177998404174,0.03843174530657835,3.429428054391911e-16
29,0.03131477455020218,0.35948716834193883,1.092617883538643e-25,5.187281441257103e-27,6.03559047085545e-14,2.439616090130562e-14,1.8100863694200118e-15,1.3559698466843417e-11
30,0.03209764391395723,0.3589416382737439,1.116430359097388e-25,5.196500949326465e-27,4.648695481045039e-14,2.4612213234261808e-14,1.809983266599204e-15,1.3898690928511614e-11
31,0.03209764391395723,0.3589416382737439,1.116430359097388e-25,5.196500949326465e-27,4.64869548104504e-14,2.4612213234261805e-14,1.809983266599204e-15,1.3898690928511614e-11
32,0.00942206296471503,0.39595313065337145,2.789617573324583e-16,0.011538890939934716,1.174293074897315e-06,1.5067281449780406e-13,1.5804104645177705e-09,4.07985056622002e-12
33,1.951167027454331e-09,0.38393149822986217,1.0086026375404784e-17,0.0004170241011591895,4.243982466907419e-08,7.826906039874068e-15,5.71171918487772e-11,1.388979035899034e-14
34,2.0189134623837144e-18,0.4330944518506257,1.3358436475134673e-21,6.156200452711874e-16,9.124534389045018e-09,2.698433467492186e-13,4.382958545220725e-19,2.6799203039805514e-12
35,1.6647770231477929e-18,0.44626035997313546,1.1914994323479137e-09,4.995069132272217e-16,7.380838643994962e-09,2.428430890758961e-13,8.71755095537862e-19,3.5889362129203736e-11
36,7.116798083639164e-20,0.4341773030034216,2.6752534424415417e-09,3.4394185630912034e-18,9.440276850252535e-20,5.670750110271479e-14,1.957336866712968e-18,7.572261480941327e-11
37,1.5154398953035122e-17,0.37344034886360733,1.930296836381997e-05,1.0351654664384131e-18,4.0867803657848876e-16,1.7068492271593226e-14,2.3682951371574293e-13,4.0498661830016277e-11
38,0.15367539068142314,0.24626560216528992,0.007452245731237063,2.2717922439436934e-12,3.951408979105745e-07,0.0002598428066847558,2.3486496413048818e-09,0.00011827536955683877
39,0.13288413158336929,0.09022795670367971,0.011419676535615769,0.01926761280005669,2.7390745956086365e-07,0.14835408327581687,0.005964781769044247,8.147024379750145e-05
40,0.03126285692829695,6.348935252644475e-07,0.007278262261287162,0.17514248248768988,0.004690523713028175,0.17138101837692812,0.006898933121687349,4.7726160214174284e-14
41,2.5660707359339876e-21,1.8923396868173545e-07,8.410105884680313e-25,0.4069310283049028,0.012486929431524357,2.2094674408733984e-21,2.2461511653373536e-22,3.925171962850618e-29
42,0.002559160267425241,1.7309078651931258e-07,8.27751591748605e-25,0.40662790072189775,0.011421693745422753,5.3415603778485256e-20,2.0545363739928126e-22,1.8895488735182431e-16
43,0.029999045357040323,2.2393109847909537e-22,6.855856824792022e-25,0.40337769941523255,2.2681125980363756e-27,6.024591767317679e-19,1.3190061803689293e-32,2.214971179512631e-15
