doc_id,G,E,H,A,C,F,D,B
0,1.032458292352434e-20,5.958982670917666e-26,6.578477817857009e-17,0.4091902830218414,8.868749480715681e-18,1.48058778863355e-28,8.74588065260903e-24,6.732068764651412e-36
1,1.2114301677226182e-16,6.985534360700474e-31,1.883571412947629e-20,0.43050269725716295,2.277991448933916e-36,1.0973552032786686e-33,4.4814914167062796e-30,3.3475975169891126e-36
2,5.491581418736285e-16,1.5741610166948884e-12,1.892080332586316e-25,0.40845888433034355,6.661342786613569e-20,5.792616588731736e-06,9.107025844297334e-27,1.7824494902165964e-16
3,4.089086886540073e-32,1.8608150064996637e-29,4.944282953116459e-34,0.40559158541890183,4.4198507956805964e-26,1.2963833047821068e-18,5.387651400379955e-31,4.435014717550558e-32
4,2.2753899418037014e-15,3.650883628682973e-17,9.781022037542848e-28,0.4153533776033955,6.993180777097738e-10,1.051336687194504e-08,5.784301061699323e-11,2.41627438264326e-16
5,5.368744188421905e-10,2.978320166630328e-16,2.4581768494147054e-19,0.07285905069688475,1.1877695986980694e-09,2.4507159839197916e-08,1.3018977947750184e-12,0.37042316101360323
6,7.707481120440142e-06,4.8687261146847045e-28,8.977379113569227e-11,0.10095801149900294,0.26308326749549943,2.9335218872465485e-31,3.593224483485358e-22,1.5950699263947258e-17
7,8.789439186340171e-16,4.995872783499716e-24,1.2177787051805426e-35,8.460618635833751e-23,0.29997930006187723,9.127240674358099e-24,2.0676629297012315e-22,9.622225186975193e-31
8,2.8376322684559775e-27,8.483564450939013e-14,2.8491390528683226e-16,1.0583613709544606e-21,0.3497689396758251,4.244399166784132e-14,3.660326313161518e-11,1.419067868139951e-15
9,2.6282507084382885e-27,1.230236382938112e-20,1.3953769177022354e-29,4.615803295161483e-16,0.3994014157817424,2.5322014717649246e-19,3.4605431266361877e-29,2.4458437848164716e-27
10,1.9183044055590718e-29,1.8062104024502124e-17,2.044655484562306e-40,8.105780633673595e-30,0.28429850619360447,3.463377823877053e-21,9.148337907127421e-24,3.857502120671851e-28
11,1.7055080865682564e-23,7.103001736875877e-17,1.4908936773866915e-35,1.1050048083945001e-32,0.3239512586788673,6.806152771845939e-31,1.3233213259347275e-26,1.215720933107876e-24
12,3.7953430988817665e-28,8.837767433223865e-21,5.3224551969108445e-37,1.3770449234701758e-22,0.4098437574208536,2.1261783173336543e-22,1.0497506963611465e-20,1.2914946531813993e-30
13,3.201432560774414e-11,1.280213518882777e-08,5.042474516157933e-13,0.0013007322829396712,0.37525825935446827,3.5060855261166935e-08,1.231263709817644e-19,2.3951379769325225e-13
14,4.0067126489168583e-16,3.1993759796505144e-19,5.467391557377958e-23,0.10038686036292488,0.24303210881716245,2.1214843696086096e-06,0.05231334962710576,2.1359647518995185e-19
15,3.91449077493926e-26,5.218405189303078e-10,1.3246665364749947e-08,2.3906793432024336e-06,1.0563003460724401e-28,2.513551131311656e-18,0.4633345278991645,2.140695190162976e-14
16,1.3400857752801739e-31,3.628262266709708e-05,4.043678174221523e-23,8.332701787039473e-30,3.432641708602573e-12,3.0063761032546713e-21,0.4235749483398847,7.077106289232825e-24
17,1.3081061661910045e-27,0.283290261574575,4.160591365275463e-31,4.884279368355951e-18,4.107697622131778e-24,0.10079332132606846,9.546148678931451e-12,2.1937560709899994e-25
18,0.005540949977806651,0.32759497328082077,1.5589656053219998e-15,4.799754150228084e-19,1.1845227003690037e-32,4.577610197183772e-25,2.3017098976068916e-23,1.9413779099831097e-18
19,2.690193525551538e-23,0.02591279959475951,2.0655635801819985e-20,1.196255997451157e-29,6.522231294050691e-19,1.6766893604700204e-24,0.40158187953958746,4.1122428738451306e-27
20,4.2576984048159227e-19,1.5163707141692203e-09,1.230436941801969e-09,1.6826229139924175e-11,3.758233689507804e-06,8.331251251024404e-17,0.45185233277262393,0.007997360682979989
21,1.6188969678694714e-24,0.0181541183370473,2.8204857370249157e-22,2.866437797617868e-15,5.171088169369112e-13,3.796012768417736e-14,0.4459018693983832,1.0556868354114762e-08
22,1.083508935076452e-25,2.965997134310763e-11,3.1553170128489634e-28,1.4915213248042429e-30,5.473572999064333e-07,1.69836884064917e-13,0.4645297464610565,5.755104603147031e-23
23,2.6028906760399705e-23,5.669339826864997e-11,5.665110192005013e-23,3.2127973694177535e-21,2.625569814375048e-12,3.4805619788068353e-07,0.4071640235183659,1.06982319909802e-20
24,1.7430683501257063e-19,2.973291934848249e-13,2.150123739611251e-25,3.5025543384659995e-20,5.547919196978445e-20,0.3794882674030332,2.945496338806087e-14,4.728679950446804e-22
25,2.3068930072210626e-21,4.41343945240974e-18,3.2118321443842814e-39,2.385915641177072e-30,3.26272689236062e-18,0.4033884438948304,2.216443100742721e-23,9.683792480074434e-22
26,1.0161802775641493e-29,1.3474866150097126e-28,6.859422156959909e-28,2.0061599812625312e-05,3.969381478937897e-34,0.3876761881126339,1.5563438406556541e-24,8.457314481623402e-24
27,3.346878685008375e-15,1.4017025775044052e-20,4.568962701706018e-34,9.177965072590068e-25,1.1999680086695736e-26,0.4037578768632129,3.550703368633942e-28,1.8874878318554134e-26
