chunk_80_id,cluster_label,cluster_letter
1,2,A
2,2,A
3,2,A
4,2,A
5,2,A
6,2,A
7,3,B
8,3,B
9,3,B
10,3,B
11,3,B
12,3,B
13,3,B
14,3,B
15,3,B
16,1,C
17,1,C
18,1,C
19,1,C
20,1,C
21,1,C
22,1,C
23,1,C
24,1,C
25,1,C
26,1,C
27,1,C
28,1,C
29,1,C
30,1,C
31,1,C
32,1,C
33,1,C
34,1,C
35,1,C
36,1,C
37,1,C
38,1,C
39,1,C
40,1,C
41,1,C
42,1,C
43,1,C
44,1,C
45,2,A
46,2,A
47,2,A
48,2,A
49,5,D
50,5,D
51,5,D
52,5,D
53,5,D
54,5,D
55,5,D
56,5,D
57,5,D
58,5,D
59,5,D
60,5,D
61,5,D
62,5,D
63,5,D
64,5,D
65,5,D
66,5,D
67,5,D
68,4,E
69,4,E
70,4,E
71,4,E
72,4,E
73,4,E
74,4,E
75,4,E
76,4,E
77,4,E
78,4,E
79,4,E
80,4,E
