term_str,n,gloss
!,4,
',2,
'ek,1,
'ri,1,
'ut,1,
(ch'uti),1,
(xik')?,1,
-,25,
-a,2,
-aji!,10,
-aki!,1,
-amaq',1,
-apa,14,
-apachina,2,
-apachinaq,1,
-aq'aroq,1,
-aq'aroq!,3,
-aqaroq!,3,
-are,14,
-at,4,
-b'alam,1,
-chab'ij,1,
-chak'aqa,1,
-chay,1,
-chi,1,
-chib'ana',1,
-chib'ek,1,
-chib'ij,1,
-chichakonisaj,1,
-chikamisaj,1,
-chikira',1,
-chila',3,
-chiporoj,1,
-chipusu',2,
-chiq'ijila',1,
-chiri',1,
-chita',1,
-chiteleb'a'!,1,
-chitik'oj,1,
-chiwila',1,
-chopon,1,
-chultakib'ana',1,
-chuweq,1,
-ilokab',1,
-in,7,
-ix,3,
-je,4,
-je'atzaqa,1,
-jiya'!,1,
-jo',2,
-ju,1,
-jucha,2,
-jucha'lik?,1,
-jujunal,1,
-jun,1,
-junajpu:,1,
-junal,1,
-jupa,6,
-jusuk',1,
-k'a,1,
-k'ate,1,
-k'ax,1,
-k'eje,2,
-k'o,4,
-kach'awoq!,1,
-kacha',1,
-kanurayij!,1,
-kaqach'akimaj,1,
-kasik'in,1,
-katk'ix,1,
-katk'oje,1,
-katojoq-,1,
-katwalijoq!,1,
-katzijonoq!,1,
-kaxaqi,1,
-kepetoq!,2,
-kik',1,
-kil,1,
-kilitz'!,1,
-kitoq'ob'a,1,
-kixb'ek,2,
-kixch'awoq,1,
-kixcha',1,
-kixk'amowan,1,
-kixku'loq,1,
-kixku'uloq!,1,
-kixpetoq!,1,
-kixtz'ib'anoq,1,
-kojb'e,2,
-la,3,
-laq'ij,1,
-ma,26,
-maja,8,
-mawi,16,
-mi,3,
-mixb'isonik,3,
-mixb'isonik!,1,
-mixeqach'ako!,1,
-mixeqachako!,1,
-mixib'ij,1,
-mixinulik,1,
-mixqach'akoyan,1,
-mixul,1,
-mixutzinik,1,
-nab'e,2,
-naki,56,
-naki?,1,
-oj,5,
-ok'a!,1,
-pujuyu!,1,
-q'ala,3,
-q'ij,1,
-qach'opij,1,
-qak'ulel,1,
-qitzij,8,
-qoyob'ej,1,
-rajawal,1,
-ri,3,
-rumal,1,
-saqarik,1,
-ta,2,
-toq'ob',1,
-toqob',2,
-ujolom,1,
-ukab',1,
-ulew!,1,
-utz,60,
-utz!,2,
-utz-,1,
-wa'e,2,
-wak,1,
-we,5,
-we!,6,
-we-,1,
-web'a,1,
-wuqub'ix,1,
-xa,29,
-xawi,3,
-xax,1,
-xcha,1,
-xcha',1,
-xeqakanaj,1,
-xere,3,
-xikiripat-,1,
-xkaminaqoq,1,
-xkojb'e,1,
-xmakawaj,1,
-xpurpuweq!,1,
-xqaq'iso,1,
-xqil,1,
-yaklin,1,
[]wivinac;inaq,1,
];,1,
a,13,
a',3,
ab'aj,26,
ab'aj;,1,
ab'ajil,1,
ab'anel,1,
ab'anoj!,1,
ab'i,2,
ab'ix,4,
ab'ix:,1,
ab'ixik,4,
ab'ixom,1,
abix,1,
achaq',1,
achb'ilan,1,
achb'ilay,2,
achij,13,
achijab',3,
achijil,1,
achijilal,1,
achinaq,1,
achlab'eq!,1,
achuch,1,
aj,34,
aj;,1,
ajache',2,
ajal,18,
ajam,13,
ajaw,123,
ajaw!,2,
ajaw-,7,
ajaw:,4,
ajaw;,3,
ajawab',113,
ajawab'-,4,
ajawab':,5,
ajawab';,2,
ajawab'?,1,
ajawal,1,
ajawarem,16,
ajawarem:,1,
ajb'atena;,1,
ajb'is,2,
ajb'it,8,
ajb'it:,2,
ajb'ix,4,
ajb'ix;,1,
ajch'ut,1,
ajchoq',1,
ajchoq'e,1,
aji!,3,
ajilam,1,
ajilan,13,
ajilatal,1,
ajk'aj,1,
ajk'ajb',14,
