parte,capit,term_str,n
1,1,a,1
1,1,ab'anel,1
1,1,ajb'is,1
1,1,ajna'oj,1
1,1,ajraxa,2
1,1,al,1
1,1,alay,1
1,1,alom,1
1,1,amaqil;,1
1,1,aq,1
1,1,are,1
1,1,are',1
1,1,b'i,1
1,1,b'isol,1
1,1,b'itol,1
1,1,b'itol;,1
1,1,ch'aqa,1
1,1,che'xik,1
1,1,chi,4
1,1,chik,4
1,1,cho,1
1,1,cho-palo,1
1,1,christianoil,1
1,1,chucha'xik,4
1,1,chuqenel,1
1,1,dios,1
1,1,ewal,1
1,1,ewaxib'al,1
1,1,ilb'al,3
1,1,ilol,1
1,1,iyom,2
1,1,junajpu,2
1,1,k'a'maxik,2
1,1,k'ajol;,1
1,1,k'ajolom,1
1,1,k'aslem,1
1,1,k'aslem';,1
1,1,k'iche',4
1,1,k'is,1
1,1,k'o,1
1,1,k'ol,1
1,1,k'olem,1
1,1,k'ut,1
1,1,k'uxlanel;,1
1,1,k'uxlay,1
1,1,kaj,4
1,1,kaj-ulew,1
1,1,kamul,2
1,1,kib'i',1
1,1,laq,1
1,1,maja,1
1,1,mamom,2
1,1,matzanel,1
1,1,nab'e,1
1,1,nim,1
1,1,ojer,3
1,1,pa,3
1,1,palo,2
1,1,petenaq,1
1,1,popo,1
1,1,puch,4
1,1,q'ukumatz,1
1,1,qamujib'al,1
1,1,rachb'ixik,1
1,1,rachtzijoxik,1
1,1,ramaq',1
1,1,re,3
1,1,rech,3
1,1,retaxik;,1
1,1,ri,2
1,1,ronojel,4
1,1,ruk',1
1,1,rumal,3
1,1,saq,2
1,1,saqil,5
1,1,saqinim,1
1,1,saqirib'al,1
1,1,sis,1
1,1,ta,3
1,1,tepew,1
1,1,tinamit,1
1,1,tz'aqol,2
1,1,tz'uq,2
1,1,tz'uquxik,1
1,1,tzel,1
1,1,tzib'am,1
1,1,tzij,4
1,1,ub'i',2
1,1,uch'ab'al,1
1,1,uchuch,1
1,1,uk'utunisaxik,1
1,1,uk'ux,2
1,1,ukaj,3
1,1,ulew:,1
1,1,ulew;,1
1,1,umej,1
1,1,upa,2
1,1,upam,1
1,1,upe'oxik,1
1,1,uq'alajob'isaxik,1
1,1,uqajaw,1
1,1,utikarib'al,1
1,1,utiw,1
1,1,utzijoxik,3
1,1,uwach,1
1,1,uxe',1
1,1,uxe'nab'al,1
1,1,uyuq,1
1,1,wa'e,1
1,1,waral,2
1,1,wi,3
1,1,wi:,1
1,1,winaq,1
1,1,winaqirem:,1
1,1,wuch',1
1,1,wuj,1
1,1,wujil,1
1,1,xa,1
1,1,xb'an,1
1,1,xchiqak'am,1
1,1,xchiqatikib'a',1
1,1,xchiqatz'ib'aj,2
1,1,xchiqelesaj,1
1,1,xkib'an,1
1,1,xkitzijoj,1
1,1,xmukane,1
1,1,xpiyakok,1
1,1,xukut,1
1,1,xukutaxik,1
1,2,-jupa,1
1,2,ab'aj,1
1,2,ajna'oj,1
1,2,alom,1
1,2,apachinaq,1
1,2,aq'ab',1
1,2,aq'ab'al;,2
1,2,are,3
1,2,are',1
1,2,b'i,2
1,2,b'it!,1
1,2,b'itol,1
1,2,ch'ata,1
1,2,ch'ipi,1
1,2,cha,1
1,2,chawaxoq,2
1,2,che',2
1,2,chel,1
1,2,chi,9
1,2,chik,1
1,2,chikop,1
1,2,chiwinaqir,1
1,2,chuchaxik,1
1,2,chuxoq!,1
1,2,e,7
1,2,etamanel,1
1,2,ja',3
1,2,jama',1
1,2,jul,1
1,2,jun,5
1,2,k'a'm,1
1,2,k'ajolom,1
1,2,k'akachamamoq,1
1,2,k'akalolinik,1
1,2,k'akasilanik,1
1,2,k'akatz'ininoq,1
1,2,k'akotz,1
1,2,k'akotzob'ik,1
1,2,k'aslem,1
1,2,k'aslem:,1
1,2,k'eje,1
1,2,k'ichelaj,1
1,2,k'im,1
1,2,k'o,6
1,2,k'olik,2
1,2,k'olik;,1
1,2,k'ool?,1
1,2,k'u,2
1,2,k'ut,6
1,2,k'ut:,1
1,2,k'ute,1
1,2,kab'an,2
1,2,kab'awil,1
1,2,kachamanik,1
1,2,kaj,8
1,2,kaj:,1
1,2,kamolob'ik,1
1,2,kaqulja,1
1,2,kaqulja;,2
1,2,kar,1
1,2,kasilob'ik,1
1,2,katolona,1
1,2,katz'ininik,1
1,2,katz'inonik,1
1,2,kib',2
1,2,kik'oje'ik,1
1,2,kina'oj;,1
1,2,kitzij,1
1,2,kixnojin,1
1,2,kuk',2
1,2,kumal,1
1,2,la',3
1,2,li'anik,1
1,2,lo,1
1,2,ma,2
1,2,maja',2
1,2,mata,1
1,2,mawi,1
1,2,muqutal,1
1,2,nab'e,2
1,2,nab'e;,1
1,2,naki,3
1,2,nay,1
1,2,nimaq,2
1,2,oq,1
1,2,oxib',1
1,2,pa,4
1,2,palo,2
1,2,puch,4
1,2,puch?,1
1,2,q'alaj,1
1,2,q'equ'm,1
1,2,q'equmal,2
1,2,q'ukumatz,5
1,2,q'uq',1
1,2,qab'it,1
1,2,qatz'aq,1
1,2,raqan,2
1,2,raxa,1
1,2,raxon;,1
1,2,remanik,3
1,2,ri,11
1,2,ri',1
1,2,rib',1
1,2,ronojel,1
1,2,rox,1
1,2,ruk',1
1,2,rumal,1
1,2,saq,2
1,2,saqiroq,2
1,2,saqtetoj,1
1,2,siwan,1
1,2,ta,17
1,2,taj,2
1,2,taj!,2
1,2,taj:,1
1,2,tap,1
1,2,tepew,4
1,2,tz'aq,1
1,2,tz'aqol,1
1,2,tz'ikin,1
1,2,tzij,1
1,2,tzuqul,1
1,2,ub'i',1
1,2,ub'i;,1
1,2,ub'inam,1
1,2,uchan:,1
1,2,uk'ux,3
1,2,ukab',1
1,2,ulaqel,1
1,2,ulew,2
1,2,ulew!,1
1,2,upa,2
1,2,uq'ala'ib'al,1
1,2,uq'ijilab'al,1
1,2,utukel,4
1,2,utz'uqik,1
1,2,utz'uquxik,1
1,2,utzij,1
1,2,utzijoxik,1
1,2,uwach,1
1,2,uwinaqirik,1
1,2,wa,1
1,2,wa'e,2
1,2,waral,2
1,2,wi,7
1,2,winaq,3
1,2,winaq;,1
1,2,winaqirem,1
1,2,winaqiroq:,1
1,2,xa,9
1,2,xax,1
1,2,xch'aw,1
1,2,xe',1
1,2,xe'ul,1
1,2,xeb'isonik,1
1,2,xecha',2
