chunk_60_id,term_str,n
1,-jupa,1
1,a,1
1,ab'aj,1
1,ab'anel,1
1,ajb'is,1
1,ajna'oj,2
1,ajraxa,2
1,al,1
1,alay,1
1,alom,2
1,amaqil;,1
1,apachinaq,1
1,aq,1
1,aq'ab',1
1,aq'ab'al;,2
1,are,3
1,are',2
1,b'i,3
1,b'isol,1
1,b'itol,2
1,b'itol;,1
1,ch'aqa,1
1,ch'ipi,1
1,cha,1
1,chawaxoq,1
1,che',2
1,che'xik,1
1,chi,12
1,chik,5
1,chikop,1
1,cho,1
1,cho-palo,1
1,christianoil,1
1,chucha'xik,4
1,chuchaxik,1
1,chuqenel,1
1,chuxoq!,1
1,dios,1
1,e,7
1,etamanel,1
1,ewal,1
1,ewaxib'al,1
1,ilb'al,3
1,ilol,1
1,iyom,2
1,ja',2
1,jul,1
1,jun,5
1,junajpu,2
1,k'a'm,1
1,k'a'maxik,2
1,k'ajol;,1
1,k'ajolom,2
1,k'akachamamoq,1
1,k'akalolinik,1
1,k'akasilanik,1
1,k'akatz'ininoq,1
1,k'akotz,1
1,k'akotzob'ik,1
1,k'aslem,2
1,k'aslem';,1
1,k'aslem:,1
1,k'eje,1
1,k'iche',4
1,k'ichelaj,1
1,k'im,1
1,k'is,1
1,k'o,7
1,k'ol,1
1,k'olem,1
1,k'olik,2
1,k'olik;,1
1,k'ool?,1
1,k'u,1
1,k'ut,4
1,k'ut:,1
1,k'ute,1
1,k'uxlanel;,1
1,k'uxlay,1
1,kab'an,2
1,kab'awil,1
1,kachamanik,1
1,kaj,11
1,kaj-ulew,1
1,kaj:,1
1,kamolob'ik,1
1,kamul,2
1,kaqulja,1
1,kaqulja;,2
1,kar,1
1,kasilob'ik,1
1,katolona,1
1,katz'ininik,1
1,katz'inonik,1
1,kib',2
1,kib'i',1
1,kik'oje'ik,1
1,kina'oj;,1
1,kitzij,1
1,kixnojin,1
1,kuk',2
1,kumal,1
1,la',3
1,laq,1
1,li'anik,1
1,lo,1
1,ma,2
1,maja,1
1,maja',2
1,mamom,2
1,matzanel,1
1,mawi,1
1,muqutal,1
1,nab'e,3
1,nab'e;,1
1,naki,3
1,nay,1
1,nim,1
1,nimaq,2
1,ojer,3
1,oq,1
1,oxib',1
1,pa,7
1,palo,4
1,petenaq,1
1,popo,1
1,puch,8
1,puch?,1
1,q'alaj,1
1,q'equ'm,1
1,q'equmal,2
1,q'ukumatz,6
1,q'uq',1
1,qamujib'al,1
1,rachb'ixik,1
1,rachtzijoxik,1
1,ramaq',1
1,raqan,2
1,raxa,1
1,raxon;,1
1,re,3
1,rech,3
1,remanik,3
1,retaxik;,1
1,ri,10
1,ri',1
1,ronojel,5
1,rox,1
1,ruk',2
1,rumal,4
1,saq,4
1,saqil,5
1,saqinim,1
1,saqirib'al,1
1,saqiroq,1
1,saqtetoj,1
1,sis,1
1,siwan,1
1,ta,16
1,taj,2
1,tap,1
1,tepew,5
1,tinamit,1
1,tz'aqol,3
1,tz'ikin,1
1,tz'uq,2
1,tz'uquxik,1
1,tzel,1
1,tzib'am,1
1,tzij,5
1,tzuqul,1
1,ub'i',3
1,ub'i;,1
1,ub'inam,1
1,uch'ab'al,1
1,uchan:,1
1,uchuch,1
1,uk'utunisaxik,1
1,uk'ux,5
1,ukab',1
1,ukaj,3
1,ulew,1
1,ulew:,1
1,ulew;,1
1,umej,1
1,upa,4
1,upam,1
1,upe'oxik,1
1,uq'alajob'isaxik,1
1,uqajaw,1
1,utikarib'al,1
1,utiw,1
1,utukel,4
1,utz'uqik,1
1,utz'uquxik,1
1,utzij,1
1,utzijoxik,4
1,uwach,2
1,uwinaqirik,1
1,uxe',1
1,uxe'nab'al,1
1,uyuq,1
1,wa'e,3
1,waral,4
1,wi,10
1,wi:,1
1,winaq,2
1,winaq;,1
1,winaqirem,1
1,winaqirem:,1
1,wuch',1
1,wuj,1
1,wujil,1
1,xa,10
1,xax,1
1,xb'an,1
1,xch'aw,1
1,xchiqak'am,1
1,xchiqatikib'a',1
1,xchiqatz'ib'aj,2
1,xchiqelesaj,1
1,xe',1
1,xe'ul,1
1,xeb'isonik,1
1,xecha',1
1,xena'ojinik,1
1,xeriqo,1
1,xkib'an,1
1,xkik'uxlaj,1
1,xkikuch,1
1,xkina'ojij,1
1,xkitzijoj,1
1,xmukane,1
1,xna'ojixik,1
1,xpe,1
1,xpiyakok,1
1,xq'alaj,2
1,xukut,1
1,xukutaxik,1
1,xul,1
1,yakalik,1
2,-at,1
2,-chib'ij,1
2,-ix,1
2,-kixch'awoq,1
2,-mawi,1
2,-ulew!,1
2,-utz,1
2,-xa,1
2,alom,5
2,are,1
2,at,3
2,b'a,1
2,b'alam,2
2,b'e,1
2,b'it!,1
2,b'itol,2
2,b'itol;,1
2,ch'ata,1
2,ch'ipi,2
2,ch'ob'il,1
2,ch'ob'ol,1
2,ch'uti,1
2,chajal,3
2,chawaxoq,1
2,che',3
2,chel,1
2,chi,13
2,chi',1
2,chik,5
2,chikop,1
2,chiwinaqir,2
2,chu,1
2,chuq'ab',2
2,chuwi,2
2,chuxik!,1
2,e,1
2,ib'inib'al,1
2,ichakab'al,1
2,ichuch,1
2,iqajaw!,1
2,iwib'!,1
2,ix,1
2,ja,1
2,ja',4
2,ja':,1
2,jalajoj,1
2,jama',1
2,je,1
2,jujunal,1
2,junraqan,2
2,jusuk',3
2,jutaq,2
2,juyub',6
2,juyub'-taq'aj;,1
2,juyub':,1
2,k'a'm,2
2,k'a'm!,1
2,k'a'm?,1
2,k'ajolom,2
2,k'ajolom:,2
2,k'ajolom;,1
2,k'ate,1
2,k'echelaj,1
2,k'eje,6
2,k'im,1
2,k'oje,1
2,k'ole,1
2,k'u,5
2,k'ut,15
2,k'ut:,2
2,kacha',1
2,kaj,5
2,kajb'it:,1
2,kajkaj,1
2,kajtz'aq,1
2,kanti,1
2,kaqulja,2
2,kaqulja!,1
2,kaqulja;,1
2,katk'oje',1
2,katwar,1
2,ke'ucha'xik,1
2,kej,6
2,kek'aralajik,1
2,kewachelajik,1
2,kewojonik;,1
2,ki'chelaj,1
2,kib',1
2,kib':,1
2,kib'anoj,1
2,kib'il,2
2,kich'ab'al,1
2,kijujunal,1
2,kinawal,1
2,kipoqo,1
2,kipus,1
2,kitzij,1
2,kixch'awajetaj,1
2,kixch'awoq,1
2,kixcha',1
2,kixja'in,1
2,kixjalatajik,1
2,kixk'iritaj,1
2,kixochochin,1
2,kixpoq,1
2,kixsik'inoq!,1
2,kochoch,2
2,koj,2
2,kojiq'ijila'!,1
2,kojiqajarisaj,1
2,kumal,3
2,kumatz,2
2,kyej,2
2,lib'aj,1
2,lolinik,1
2,ma,2
2,mata,1
2,mawi,5
2,mayul,1
2,mi,1
2,mixatulik,1
2,mixech'awik,1
2,mixixch'awik,1
2,mixsik'inik!,1
2,mixutzin,1
2,mixutzinik,2
2,mixyonolikinik,1
2,molajil!,1
2,na,2
2,nab'e,2
2,nay,1
2,nima,1
2,nima'q,2
2,oj,4
2,on,1
2,pa,7
2,pu,1
2,puch,2
2,puch;,1
2,pupuje'ik,1
2,q'ukumatz:,1
2,qab'i',1
2,qab'i';,1
2,qab'it,2
2,qatz'aq,1
2,qatzak,1
2,rach,1
2,raqan,1
2,raxa,2
2,re,2
2,ri,21
2,ri',2
2,rib',1
2,rochoch,1
2,ronojel,3
2,rumal,3
2,rutzinik,1
2,saqiroq,1
2,saqul;,1
2,siwan,1
2,sochoj,1
2,sutz',1
2,ta,19
2,taj!,2
2,taj:,1
2,taq,1
2,taq'aj,1
2,tz'aq,1
2,tz'aqol,3
2,tz'ikin,7
2,tz'ikin:,2
2,tz'ikin;,1
2,tz'ininik,1
2,ub'anatajik,1
2,ub'e,1
2,ub'ixik,1
2,uchikopil,1
2,uk'ux,5
2,ulaqel,1
2,ulew,7
2,ulew!,1
2,ulew:,1
2,ulew;,1
2,una'ojixik,1
2,uno'jixik,1
2,upachäjil,1
2,upam,1
2,uq'ala'ib'al,1
2,uq'ijilab'al,1
2,uq'isisil,1
2,utz,1
2,utz!-,1
2,uwach,2
2,uwarab'al,1
2,uwinaqil,1
2,uwinaqirik,3
2,uxe',1
2,uyakalib'al,1
2,wa,1
2,waral,1
2,wi,10
2,wi!,1
2,wi;,2
2,winaq,3
2,winaqirik,1
2,winaqiroq:,1
2,xa,11
2,xb'anataj,1
2,xb'inije'ik,1
2,xch'ob'och'ox,1
2,xchutzinik,1
2,xe'ucha'xik,4
2,xe'uchax,2
2,xech'awik,1
2,xecha,1
2,xecha',5
2,xek'oje,1
2,xk'oje,1
2,xk'olo,2
2,xk'utunije'ik,1
2,xkib'ano,1
2,xkib'isoj,1
2,xkich'ik,1
2,xkikot,1
2,xkino'jij,2
2,xkinojij,2
2,xkisipaj,1
2,xkita,1
2,xkitzijoj,1
2,xkoq'ib'ej,1
