term_str,df,dp,dh,sig
!,2,0.025,0.13304820237218407,True
',2,0.025,0.13304820237218407,True
'ek,1,0.0125,0.07902410118609204,False
'ri,1,0.0125,0.07902410118609204,False
'ut,1,0.0125,0.07902410118609204,False
(ch'uti),1,0.0125,0.07902410118609204,False
(xik')?,1,0.0125,0.07902410118609204,False
-,12,0.15,0.4105448391249309,True
-a,2,0.025,0.13304820237218407,True
-aji!,1,0.0125,0.07902410118609204,False
-aki!,1,0.0125,0.07902410118609204,False
-amaq',1,0.0125,0.07902410118609204,False
-apa,13,0.1625,0.42599186122126886,True
-apachina,2,0.025,0.13304820237218407,True
-apachinaq,1,0.0125,0.07902410118609204,False
-aq'aroq,1,0.0125,0.07902410118609204,False
-aq'aroq!,3,0.0375,0.17763620978123273,True
-aqaroq!,3,0.0375,0.17763620978123273,True
-are,13,0.1625,0.42599186122126886,True
-at,4,0.05,0.21609640474436814,True
-b'alam,1,0.0125,0.07902410118609204,False
-chab'ij,1,0.0125,0.07902410118609204,False
-chak'aqa,1,0.0125,0.07902410118609204,False
-chay,1,0.0125,0.07902410118609204,False
-chi,1,0.0125,0.07902410118609204,False
-chib'ana',1,0.0125,0.07902410118609204,False
-chib'ek,1,0.0125,0.07902410118609204,False
-chib'ij,1,0.0125,0.07902410118609204,False
-chichakonisaj,1,0.0125,0.07902410118609204,False
-chikamisaj,1,0.0125,0.07902410118609204,False
-chikira',1,0.0125,0.07902410118609204,False
-chila',3,0.0375,0.17763620978123273,True
-chiporoj,1,0.0125,0.07902410118609204,False
-chipusu',1,0.0125,0.07902410118609204,False
-chiq'ijila',1,0.0125,0.07902410118609204,False
-chiri',1,0.0125,0.07902410118609204,False
-chita',1,0.0125,0.07902410118609204,False
-chiteleb'a'!,1,0.0125,0.07902410118609204,False
-chitik'oj,1,0.0125,0.07902410118609204,False
-chiwila',1,0.0125,0.07902410118609204,False
-chopon,1,0.0125,0.07902410118609204,False
-chultakib'ana',1,0.0125,0.07902410118609204,False
