parte,capit,E,C,F,A,B,D
1,1,7.519332961251237e-22,7.755019568868692e-25,8.929792742871527e-30,0.016068190136090257,1.0838961367126866e-26,5.2986275464858147e-20
1,2,6.513402130333974e-22,7.214021190357215e-25,7.735171648092237e-30,0.01619488617276854,9.38896220208638e-27,4.589781051973736e-20
1,3,2.271834838555758e-24,2.2797032188429197e-24,5.179612434730559e-38,0.017117573456243644,1.5631920417320827e-22,8.278536392084214e-25
1,4,1.202179262525882e-23,1.0470767703802007e-23,1.917854797141527e-38,0.0175567416202549,8.271891211493242e-22,4.38072516289553e-24
1,5,2.914717288660116e-19,1.909884272250846e-20,1.647032531874057e-20,0.015614348754132548,0.0009031563266793929,2.0207539560684103e-24
1,6,3.3616258920395094e-19,2.0055049052917518e-20,1.7300284232042967e-20,0.008275260811145126,0.006699165750773218,9.543199290398065e-26
2,1,7.290715667004777e-20,6.736223785150847e-24,8.657580100112759e-24,1.983824977956665e-21,0.013942089861462375,1.4252839858002345e-29
2,2,4.836059350458858e-21,1.9317974919782257e-22,1.2013517350362345e-24,1.3159042290640323e-22,0.014493736327408168,9.720790730029634e-26
2,3,1.3333049330330153e-25,4.9200838282869984e-24,8.40730817961825e-39,2.3625928299652055e-26,0.015548252682504765,1.2423214794785617e-27
2,4,2.4152153508430296e-25,4.7043924892180014e-24,2.277933846929557e-33,2.3321541817816557e-24,0.015836609093818673,1.1985202393288578e-27
2,5,3.883083387914553e-18,0.011093690600458981,2.147970976648383e-12,7.357150756352441e-11,0.0038295227864214576,2.424239355994644e-17
3,1,1.253212524532756e-20,0.01490267195246562,5.112542274841742e-22,1.893266003227959e-26,1.0963292032133732e-15,4.1666222307109447e-16
3,2,2.414031951903623e-08,0.015511089192590094,1.449006689293446e-16,5.359421362624195e-25,1.4359761619050457e-24,1.7401739603825346e-19
3,3,3.3313640936265247e-07,0.015035457338459518,1.9996292312249514e-15,6.3832186830167094e-24,1.981641953245362e-23,9.377695740975895e-22
3,4,8.848935873697263e-08,0.01564211504900614,1.1960229461071039e-11,2.3918875286433493e-20,5.4642047534244045e-17,2.544255567859845e-22
3,5,2.2807497056315612e-21,0.015436091487119732,1.4193825048438059e-12,2.8390743943867007e-21,2.278192311197308e-13,1.0133959339230655e-20
3,6,3.925642070136698e-16,0.014450006732209593,2.4295504687416914e-25,3.9397034762595686e-25,5.3337481914981765e-19,1.5422849211631119e-18
3,7,7.278458548080987e-17,0.015410079536265775,2.2899405418064714e-27,2.0089211595270107e-26,6.565909787823529e-20,5.064451482078992e-18
3,8,1.1196927522320541e-10,0.006817796749056519,1.3876838032575924e-27,3.331414816161931e-17,1.564498458553931e-15,0.008544487967514525
3,9,6.688717686796538e-28,0.012287842455574531,6.284901153483906e-40,3.512312920555465e-36,1.1064812372229698e-14,7.34033641196897e-11
3,10,6.522385933889143e-23,0.004138298912975894,6.244312009927548e-28,1.903749779419529e-23,5.659751332702972e-16,0.009795220309783324
3,11,2.2807359670299097e-20,0.012923045114907413,1.646589085140799e-28,1.7319797354187735e-33,6.089571824574586e-10,2.552819016319327e-12
3,12,0.0036831032545495035,0.008123144051817535,8.027485636195508e-27,1.71096305199978e-20,1.513815738679439e-11,0.004115191217233059
3,13,9.299462577477159e-15,0.006226310753653661,8.321175385866887e-14,1.2615074996169968e-20,5.090197824892032e-23,0.00986966296547617
3,14,3.684460146649142e-14,2.003800869986079e-21,8.624872413313504e-19,0.009702723394166127,6.52614042573921e-16,0.005072002086568571
4,1,2.83966835563515e-13,6.692169312626389e-32,5.23420778726032e-32,0.016018355229170177,7.48446247720398e-30,1.8147071859690319e-25
4,2,0.0014743672483547065,1.1948640783268118e-26,0.0005786084279922634,0.013162483553168881,1.1371529039243071e-22,2.777703294289019e-22
4,3,0.01547975849133857,1.7138733827375269e-18,1.1360048246598827e-15,8.492644160987606e-16,1.4589497092172095e-21,1.1485294923894976e-19
4,4,0.015433287680323256,1.1032271008131417e-18,7.182554057064095e-25,1.7741360480485006e-16,3.789991850694754e-17,2.138916927202935e-18
4,5,0.00894124776515592,1.7393360384273752e-32,1.93365837759722e-23,1.1480215773656058e-20,1.7638003733046046e-29,0.006080749336272397
4,6,0.010280097654643007,5.236631665300303e-25,8.18004754502568e-18,5.578353052488586e-21,4.313940163624921e-24,0.004802203659162014
