doc_id,E,C,F,A,B,D
0,2.512881915123788e-25,7.081247008159487e-29,3.83627544748182e-18,0.015610950332945413,5.340161180782983e-30,1.3813192848961467e-32
1,7.519332961251237e-22,7.755019568868692e-25,8.929792742871527e-30,0.016068190136090257,1.0838961367126866e-26,5.2986275464858147e-20
2,1.4469607954985666e-32,3.7110566894953995e-25,5.939633631838682e-38,0.017015243010260438,2.176084492337787e-31,8.029103689224868e-32
3,1.2021792625258819e-23,1.0470767703802007e-23,1.9178547971415273e-38,0.0175567416202549,8.271891211493242e-22,4.38072516289553e-24
4,5.209786479624462e-19,3.412978295745126e-20,2.9439711922386527e-20,0.014084831666316399,0.0016143373955138907,1.6241914103063e-25
5,7.290715667004777e-20,6.736223785150847e-24,8.657580100112759e-24,1.983824977956665e-21,0.013942089861462375,1.4252839858002345e-29
6,2.716659177625751e-27,4.242326609646184e-22,1.3804086056495824e-24,4.9217074789702736e-29,0.015300966086407878,2.139763941717214e-25
7,2.8840115072739906e-33,3.479680668955943e-26,4.5907810626651896e-42,1.170227690528717e-33,0.013752292979360817,7.754952900566632e-30
8,2.194220863628186e-25,1.47507752924036e-26,4.244467686741634e-41,3.383652523332471e-33,0.014760664687486392,3.666881403846963e-30
9,6.18904002168728e-28,1.2481734419004299e-23,2.1301881160393e-38,6.004567537233003e-26,0.01676233237157641,3.1517276649583568e-27
10,3.8158120431810194e-25,1.826820649236422e-25,3.602301605678625e-33,3.653147499461496e-24,0.01529839788581999,6.293452675356784e-29
11,5.41990656000221e-18,0.014576264220899285,2.99860550054504e-12,1.027071267092552e-10,0.00023533362272805505,1.356061833011922e-23
12,1.5278394082918555e-20,0.014701690751540732,6.704182793338251e-22,1.9395372573513472e-28,1.437639238176026e-15,5.463194359613291e-16
13,3.710776857914067e-21,0.015548247931194043,3.307501418182996e-31,7.912365604724056e-26,4.0235809382238534e-30,1.8753924185576563e-19
14,3.3313640936265247e-07,0.015035457338459518,1.9996292312249514e-15,6.3832186830167094e-24,1.981641953245362e-23,9.377695740975895e-22
15,2.460565934879174e-20,0.01586154443367194,1.6285546634289694e-11,3.2568074544981537e-20,7.440618521941462e-17,7.258571800935923e-24
16,1.8600577020410247e-22,0.016237485753351225,3.853126971728111e-23,7.9737926594957e-26,4.394965272736033e-13,1.9549249284331388e-20
17,1.0089832752992627e-22,0.014289101277019146,1.0633582557555577e-24,1.3464097203054948e-24,8.265658717120129e-19,6.274257944463224e-28
18,5.012742671686877e-16,0.01449456516595464,1.5766465953169272e-26,1.3021790596085406e-25,4.521834507479789e-19,1.9693792068499173e-18
19,3.681054020569273e-23,0.01556559156629123,7.773212462149317e-31,1.3824196756366674e-27,2.9064318678685567e-24,5.590189786364478e-18
20,4.161689873899297e-10,0.015901489844567664,5.141293624336549e-27,1.238224975714837e-16,4.149839563467304e-28,1.8318180369024095e-12
21,1.6367501768011787e-19,7.447734427295216e-16,7.34809017102156e-30,2.0109577757069136e-26,1.3267365048729138e-17,0.01577799577886313
22,1.6649324329127488e-21,9.547118147651026e-13,8.971476917618457e-30,3.758078061666389e-32,6.393162173893623e-23,0.01598027804237542
23,6.688717686796538e-28,0.012287842455574533,6.284901153483906e-40,3.512312920555465e-36,1.1064812372229698e-14,7.34033641196897e-11
24,1.1132131802339206e-22,3.615087481397783e-14,7.015970017839237e-28,3.293655591731542e-23,1.3028373425739498e-22,0.016946597963085012
25,2.371708626100474e-24,0.00946426224726837,5.902874288619849e-28,1.496575074226736e-33,1.5170228311919823e-24,1.2473551387947748e-22
26,3.1624562653093904e-20,0.014260331092371672,9.609157765843175e-32,1.8229953800801343e-33,8.444012482285994e-10,3.5398278006236795e-12
27,5.181241653792476e-18,0.014508615350917879,1.733187545301406e-29,5.194770370276383e-31,1.7972808449574778e-19,1.1906105419763963e-19
28,0.015033905983725292,0.0014119399770934954,2.375401778010708e-27,3.314305287855585e-24,1.4305111517481154e-13,3.19384685789358e-16
29,5.234176893479158e-21,0.01619583814445562,2.912883990312163e-26,6.983577441145261e-20,1.5057827021580727e-23,2.3889523561394653e-25
30,7.84316562162379e-24,1.587484963126904e-17,9.683947474575642e-29,4.62819439664771e-28,3.9578603310497825e-21,0.016646367472397203
31,3.412591935016472e-27,2.742975846953719e-19,1.2979628439924681e-25,2.2234058326509896e-35,3.2552432766532854e-27,0.01709242453862476
32,2.258989804719797e-14,0.015124976122813539,2.021370922311209e-13,9.467291266744325e-26,1.2362843223633873e-22,2.8576459086656235e-18
33,8.88852196514436e-19,6.279835369829766e-21,2.7275166344432452e-18,6.995610885675802e-20,4.475958334075933e-26,0.01605799870095425
34,4.362567284685035e-15,3.6022501741523134e-23,1.75293080324961e-21,0.01378736359533827,1.159077268493095e-15,1.456758625096276e-21
35,2.83966835563515e-13,6.692169312626389e-32,5.23420778726032e-32,0.016018355229170177,7.48446247720398e-30,1.8147071859690319e-25
36,0.000648004552276933,4.64554076582726e-29,0.0007081859251700233,0.013694995046043492,1.9660115784092984e-33,4.030885117700984e-27
37,0.015806080848351257,1.9923314463136326e-25,1.4811546158842969e-15,1.1069904698966442e-15,1.9021466602058072e-21,4.645911027475793e-21
38,0.014405721127312568,7.354810317421243e-18,9.415207646870706e-33,1.0007114726553003e-18,2.384847035575702e-25,4.775816261869507e-19
39,0.016457709368560447,2.6053816441124038e-23,5.795381931037963e-26,1.5176046680359972e-23,8.897141868588857e-18,9.900921485307811e-18
40,0.01622770457518071,5.422832686395559e-25,1.1950274183893226e-24,2.3081806629849505e-18,1.7261906969524277e-16,7.354261533272874e-27
41,0.014842248671716317,2.9194602040251176e-29,1.3437531078951266e-24,3.853360317180877e-29,3.0713236498118455e-29,2.9884515584131915e-29
42,0.014934260967505305,1.2808620426549976e-28,8.169539015295568e-25,8.466699767284698e-16,2.767724109170353e-23,1.8896985561039775e-23
43,0.015566256510398316,2.60715014286536e-32,3.7057105694435636e-25,1.0429791801154085e-24,2.6643285460946366e-36,4.0377275930930566e-27
44,1.5592896163753407e-05,5.701588366282903e-33,4.488886457749203e-23,2.6945725101261913e-20,4.1401098420482164e-29,0.0142731415288709
45,0.015426703119136095,7.77651447941286e-25,1.2279126171926941e-17,9.187366647618764e-24,6.461601774359971e-24,1.26661234488192e-06
46,1.2806808891498476e-16,4.4176278152188255e-26,2.66792973747863e-29,3.394318674693654e-34,7.382900446448616e-26,0.01456140489585134
47,1.3123802103285687e-06,8.307795947321181e-30,1.0102215092138996e-23,2.46752409199679e-31,8.372573362146984e-30,0.012404264955496668
48,0.015410376375330371,4.7491781698395983e-29,8.876001911326664e-21,7.406707587679994e-31,1.08389526092445e-24,9.540526835524563e-28
49,0.01570694895526059,5.8987156591468735e-27,2.1727595250347462e-21,1.0506176002395521e-24,1.4233359936397702e-24,3.13290509433247e-23
50,0.01684487997462883,8.133620183493707e-29,4.5968944028677025e-16,1.0943386796318723e-20,9.454806453896376e-21,2.5492261553580204e-20
51,0.016512559794947132,7.00208912520668e-30,0.0003223252289126323,9.393236389438801e-32,7.157432865998076e-31,1.904367699856303e-26
52,3.15622737802769e-22,4.048668710346064e-34,0.015551343351011219,2.5051774921644632e-30,8.768843887680994e-31,5.496872512502884e-30
53,6.6766964708386314e-21,6.719767380451984e-32,0.016318964540545634,5.892684011918889e-31,4.5529552027761646e-32,1.7578362357193944e-32
54,2.5839017260431785e-25,4.729131572254903e-26,0.012813027775269027,4.4578061372451473e-35,5.0221829675134055e-34,3.3012728974212388e-24
