parte,capit,D,H,F,A,G,C,E,B
1,1,2.9444254298072295e-73,1.6516606182603598e-28,1.1479852215780761e-74,0.014420270820843323,9.724771954569721e-51,5.886042426713908e-76,1.562077741381739e-56,5.152195632913289e-97
1,2,1.8148049612737419e-40,7.332668251236792e-55,7.285653345488401e-43,0.01638593382888423,2.4773778306847167e-48,3.2846951900223914e-42,6.986309126745736e-40,9.506324139145785e-31
1,3,2.677620760779708e-22,5.605899818710937e-94,4.2278295895552297e-16,0.01724642527502625,1.5469718094358312e-23,1.8446291517344044e-31,6.5206550874297955e-37,0.0015022249950107178
1,4,1.7070396332482158e-45,3.8762275173225465e-97,2.0896501316990388e-69,0.014474543574706277,9.021593457027515e-77,4.284912071954566e-46,1.0297286985839228e-60,1.6534230560067925e-57
1,5,2.8169102587651213e-15,7.0384329236572176e-59,1.4350182227549775e-52,0.017465592931363325,6.411514692079667e-81,1.256999364664105e-29,6.343406242004381e-53,5.527681134302145e-20
1,6,7.250166750472322e-38,1.2086888328745659e-64,7.22559677728663e-48,1.437026808218899e-17,1.9948832770627574e-38,2.59607621144122e-56,1.1469277284914424e-48,0.01815307599454342
2,1,6.493948829036979e-30,3.524613103237759e-66,2.1238054424544194e-47,0.013160080576700655,1.3568454376553888e-33,5.766698231453226e-32,3.600994807683795e-54,3.787044939806382e-09
2,2,2.1233943257978962e-11,8.481355379329672e-05,2.023212744568826e-30,2.0523967922562863e-12,2.0945235098665224e-13,4.158977952982226e-19,2.2228185085584995e-17,0.018176291729440384
2,3,5.0707752249140816e-26,2.2176091116088587e-95,8.843825538528291e-44,2.0167193232393615e-44,1.6803232375878532e-59,1.3956708566817296e-33,8.672416898501048e-55,0.015121732857350453
2,4,1.906262795924623e-26,3.4443375475911397e-101,2.370424523749333e-56,3.973055224268247e-57,1.4120698174600432e-78,2.067282913791753e-48,1.022729384661069e-69,0.016698082024838475
2,5,1.552618522018541e-27,2.30419468892434e-63,3.2252176822497274e-42,1.9231560367957855e-30,1.3302419253184754e-64,2.4217334973952094e-34,5.0895919664781256e-39,0.017649641415991228
3,1,2.303523197676587e-31,4.3844465919804646e-17,2.1836783884656797e-40,1.010412568373423e-11,1.4870781624500597e-48,0.01776923695795503,2.7561622461897975e-27,1.8628451771492854e-34
3,2,2.4669482732905923e-29,6.139805385819499e-51,6.980325636182632e-61,2.45827193387585e-62,2.2788264108749616e-53,0.015424067518359888,5.905785517918745e-41,5.715050124911322e-41
3,3,6.521071289468423e-38,1.4682579607025144e-93,9.110224336319128e-58,3.081220334885003e-51,1.975401927913206e-80,0.013707844038127753,4.829258505780025e-65,9.332156948512582e-51
3,4,1.535276842683399e-23,1.0047072851389155e-42,1.7736529585200849e-34,1.4518611543593112e-42,6.162327478709747e-46,0.01681702998269894,4.6485390714831485e-27,2.6192031127281435e-38
3,5,0.018385663674099918,7.446221769376892e-19,2.7223004792382542e-42,7.425718311716386e-19,5.09369783204779e-31,8.12005945322531e-09,3.28609032004723e-10,1.8152149766952687e-11
3,6,0.014253742995953528,5.594711059399369e-34,1.019530541559004e-49,1.8090306123053992e-32,3.255774409150221e-45,2.575488772287537e-28,1.7636072801463575e-35,8.141008032277599e-29
3,7,0.00011359511539573123,1.4975051034447346e-81,4.717817760405931e-30,8.016775084990251e-45,2.631647989068126e-55,0.016201464395320147,1.013445827992217e-31,4.86320372523682e-19
3,8,0.021179986482835107,2.937091313337058e-54,5.0424181575406584e-17,1.3767193850044512e-23,1.0022356163457002e-45,6.222996016677146e-10,6.421591100982329e-19,3.3984548842737005e-10
3,9,7.906700166651873e-24,3.906992969358706e-78,6.281036155195808e-63,9.839067505454968e-80,1.5229786056663673e-87,3.964604188521137e-23,0.014097592766919085,7.859370558748927e-50
3,10,0.01440155323593327,4.294005985152808e-79,3.5820994405234558e-34,3.15973228616506e-38,0.004082752331017856,6.73042698291698e-15,9.773521518698752e-13,4.159615514725658e-10
3,11,8.766518165003794e-16,7.99654375862523e-69,4.690221623867963e-47,6.842463961765326e-41,2.6818018251872936e-40,0.013623515593324345,6.821137176849959e-41,2.0089824419492466e-24
3,12,0.01559378826294951,1.4842909103371264e-43,1.9166088044543455e-18,7.62612363353693e-24,5.300387436173971e-32,0.005505475472119527,3.8265612326630465e-26,2.3767098036154108e-08
3,13,0.02161317098253396,6.516688512635303e-29,1.5813514155410106e-30,8.471949847483681e-41,7.876939846661268e-45,7.179955781039603e-21,2.9320359773241474e-30,2.379530905145746e-27
3,14,0.020851821583968016,2.2706389097083633e-32,5.9393418249163525e-24,4.676715018358369e-13,6.1969799060049065e-30,5.874291602549626e-22,2.50303064419797e-15,2.837927534182722e-20
4,1,1.376114555462394e-51,1.5019062146042308e-37,1.042782428740841e-40,0.013819670729851114,1.5917463794229343e-57,6.500458594922823e-58,1.1922441158648002e-62,4.077597455959896e-42
4,2,6.874457154714222e-28,2.0318903911827487e-36,0.003044236287689615,0.016646137219208084,2.2934914138732213e-29,7.069043129273735e-45,9.65847091589826e-29,8.67442582836784e-31
4,3,8.728199945761995e-38,0.0007171237000678623,0.011548283672178849,0.006835002763104095,1.6254923731467088e-12,2.997748397249498e-34,5.502719388380741e-07,4.7551283488510615e-43
4,4,0.002042270510539689,4.0784728784889526e-26,0.015345265469853351,0.0008007766145961188,3.0603083980810805e-10,3.237888746658956e-05,0.0009831806594779485,0.0016670105425463922
4,5,1.6429777212141318e-25,5.07186833409787e-30,0.018233622184147202,1.3005425489595078e-15,9.287742141572866e-38,4.70500528603838e-31,1.150762584522892e-27,4.361528246345105e-21
4,6,4.736162433791055e-26,1.2819849397240572e-60,0.017406689429869796,3.5218429396716495e-31,6.849658228042268e-29,1.82993639558257e-47,2.0116535178782678e-22,6.4533236666855616e-24
4,7,7.563421133653756e-28,2.064522687244837e-64,0.013849812089451867,1.0754809715374476e-44,1.3217365449985561e-52,1.0845443533085846e-32,1.356265983999069e-46,6.369868758568015e-40
4,8,0.00028706961934981496,1.974347107601989e-43,0.015520512748662387,4.514837181849574e-58,1.2973048708445891e-59,3.61393817693696e-35,3.5006387335330086e-30,5.799799088437028e-19
4,9,4.732933578409854e-11,1.0744971726636132e-11,0.016211037655750295,2.962006123973663e-40,9.44300480154562e-22,1.1155116190651387e-25,1.2210958465884256e-29,1.50085708133461e-22
4,10,6.855339116675146e-17,6.095542498866859e-58,0.01904983114254677,1.0455915589159741e-25,2.603888322661241e-32,3.827277228550784e-22,1.40589697667617e-16,7.619698622976452e-14
4,11,2.7149978721811985e-28,2.1943591788211514e-14,0.01713950158438397,3.854870780898395e-38,2.1505194805821692e-28,1.0681106239957298e-42,1.5912684233984802e-36,1.4731159716561007e-42
5,1,5.176858770334688e-41,0.001115036966498008,0.016326213878948278,6.089580494183053e-53,4.398324985863565e-24,1.4744925442145442e-47,5.062219404628033e-09,2.6624628551914385e-56
5,2,3.8044458159136166e-13,0.0014064692710782601,0.0013696398639892334,6.725374447842818e-22,0.01903243164784088,9.346106002883805e-28,7.444852590284592e-09,6.047288877531915e-20
5,3,2.8713051116323967e-97,0.013169279300510902,2.7745021183545377e-125,1.0632274064320203e-119,1.5717525563723146e-90,4.190697210596471e-118,6.506884481216737e-49,4.4889019475810823e-113
5,4,3.163718372206465e-136,0.010417607530226237,3.339244972531828e-132,1.0120327540810908e-165,1.5431718786434488e-100,1.5434984739739882e-176,3.2037835001377803e-91,1.8616612842140025e-137
5,5,2.8879010821612337e-178,0.008359996226164986,1.954238663132791e-128,7.537314389158886e-156,6.460792066964818e-100,6.574812680791112e-157,1.0462377531249857e-131,5.962923567850523e-225
5,6,3.591959607169213e-36,1.5499017571725247e-24,1.6397443256731805e-34,1.3671777635665341e-43,0.017699511028703194,3.526792415952351e-49,1.2421463930263296e-26,3.743403231961947e-56
5,7,3.588476998082797e-31,0.0003977000702078367,3.897291077650471e-20,9.735477043043685e-34,0.0004777828240166303,7.713317447276742e-40,0.01781961179281236,3.0942684335914e-27
5,8,1.6634090962556585e-41,9.668190098931388e-17,3.8829828001862266e-20,4.740889892774924e-21,3.0655037941188107e-18,5.643091868871207e-55,0.020311763889968706,1.3687916903007786e-46
5,9,3.1940025880647927e-93,1.442041618998357e-28,6.639394497509475e-43,2.87671951779825e-72,0.013081300164576069,8.142853471651302e-81,1.4160707234530558e-45,5.536733243066215e-97
5,10,9.955249577046333e-113,1.8826706938041996e-05,4.346565317272709e-130,4.0659522187623325e-150,7.793021397388776e-63,1.2899217513232017e-116,0.005702591454704063,1.4907096327498214e-145
5,11,1.555227520549671e-97,0.012542631828466367,2.5812346763762125e-92,3.579649533970725e-104,6.669744912929787e-90,1.33336516132709e-91,3.968256630797781e-55,2.0746421943623015e-112
5,12,1.2308778305284094e-106,1.7088463281132183e-15,3.8157080244190163e-75,1.7311516301862027e-85,0.010128342179437548,4.888231746774794e-97,8.524175514117188e-66,3.0247280581227802e-105
5,13,1.3929524391489795e-101,0.010175149121515256,1.1543269396841577e-111,7.777563220851686e-133,2.5586464480883875e-88,2.2246978959399404e-94,2.2924795879665273e-58,1.3284382890644907e-113
5,14,2.980121271452647e-86,0.011045036022676327,1.0044775627912686e-66,3.4113735298762968e-77,1.3963224818186179e-16,2.395711948129572e-66,6.367670748289837e-66,7.1594706551342164e-90
5,15,1.5658359425094396e-43,0.01332081312229319,4.197277693051741e-44,1.0138044622240224e-38,1.679811477311273e-56,1.3394729226988734e-55,1.6115150151463223e-52,3.4253005653198286e-55
