chap_num,cluster_label,cluster_letter
1,1,A
2,5,B
3,5,B
4,5,B
5,5,B
6,5,B
7,3,C
8,5,B
9,5,B
10,5,B
11,3,C
12,3,C
13,5,B
14,5,B
15,3,C
16,5,B
17,3,C
18,3,C
19,3,C
20,3,C
21,3,C
22,5,B
23,3,C
24,4,D
25,3,C
26,3,C
27,3,C
28,3,C
29,5,B
30,5,B
31,4,D
32,3,C
33,4,D
34,3,C
35,5,B
36,3,C
37,3,C
38,3,C
39,5,B
40,5,B
41,3,C
42,5,B
43,3,C
44,3,C
45,5,B
46,3,C
47,4,D
48,4,D
49,4,D
50,3,C
51,3,C
52,3,C
53,2,E
54,2,E
55,1,A
56,2,E
57,4,D
58,4,D
59,4,D
60,4,D
61,2,E
62,2,E
63,4,D
64,4,D
65,4,D
66,2,E
67,3,C
68,3,C
69,2,E
70,2,E
71,2,E
72,3,C
73,2,E
74,2,E
75,2,E
76,2,E
77,2,E
78,2,E
79,2,E
80,2,E
81,1,A
82,1,A
83,2,E
84,2,E
85,2,E
86,1,A
87,1,A
88,2,E
89,2,E
90,2,E
91,1,A
92,1,A
93,1,A
94,1,A
95,1,A
96,2,E
97,1,A
98,2,E
99,1,A
100,1,A
101,1,A
102,1,A
103,1,A
104,1,A
105,1,A
106,1,A
107,1,A
108,1,A
109,1,A
110,1,A
111,1,A
112,1,A
113,1,A
114,1,A
