term_str,n,gloss
a,1967,
aad,24,
aaron,20,
abandon,9,
abandoned,4,
abase,1,
abated,1,
abates,1,
abee,1,
abide,20,
abides,1,
abiding,15,
ability,4,
ablaze,1,
able,36,
abode,10,
abolish,1,
abolishes,1,
abomination,2,
abominations,3,
abort,1,
about,180,
above,39,
abraham,67,
abrahams,2,
absence,4,
absent,2,
absentees,1,
absolute,7,
absolutely,1,
absorb,2,
absorbed,1,
abstain,2,
abstinence,1,
abundance,4,
abundant,9,
abundantly,3,
abuse,1,
abused,1,
abyss,2,
accelerate,2,
accept,22,
acceptable,1,
acceptance,6,
accepted,16,
accepter,3,
accepting,1,
acceptor,3,
accepts,4,
access,2,
acclaim,1,
accommodated,1,
accompanied,1,
accompany,1,
accomplish,2,
accord,2,
accordance,6,
according,38,
account,32,
accountable,7,
accounts,3,
accumulated,1,
accurate,3,
accursed,1,
accusations,1,
accuse,5,
accused,2,
achieved,2,
achievement,3,
achieves,2,
aching,3,
acknowledge,2,
acquainted,2,
acquired,5,
acquit,1,
acquitted,1,
across,9,
act,19,
acted,3,
acting,1,
action,1,
actions,3,
activities,2,
acts,13,
actual,2,
actually,1,
adam,24,
adamant,1,
adams,1,
add,6,
added,3,
adding,1,
addition,3,
additional,1,
address,4,
addressed,1,
adds,6,
adequate,1,
adhere,5,
adhered,1,
adherents,1,
adheres,1,
adjacent,1,
administer,1,
admire,1,
admit,29,
admits,3,
admittance,1,
admitted,6,
admonish,3,
adopt,5,
adopted,7,
adorned,7,
adornments,1,
adulterer,2,
adultererwhip,1,
adulteress,3,
adultery,8,
adulthood,1,
advance,10,
advanced,3,
advances,1,
advantage,10,
advent,1,
adversaries,2,
adversary,2,
adversity,22,
advice,10,
advisable,1,
advise,5,
advised,5,
adviser,1,
advises,1,
advisor,1,
advocate,11,
advocates,3,
advocating,1,
afar,1,
affair,4,
affairs,5,
affection,6,
affirm,4,
affirms,2,
afflict,8,
afflicted,16,
affliction,5,
afflicts,5,
affluence,1,
affluent,2,
aflame,2,
aforetime,1,
afraid,1,
after,168,
afterwards,11,
again,12,
against,164,
age,13,
agent,1,
aggresses,1,
aggressing,1,
aggression,12,
aggressive,1,
aggressively,1,
aggressor,2,
aggressors,3,
agitate,1,
agitation,1,
ago,1,
agonizing,4,
agony,14,
agree,1,
agreed,3,
agreeing,1,
agreement,5,
ahead,9,
ahmad,1,
aid,6,
aided,2,
aimed,1,
aimlessly,2,
alarm,1,
alas,4,
alerted,1,
alienated,1,
alif,13,
aligners,1,
aligning,1,
alike,5,
alive,8,
all,239,
allat,1,
allegations,4,
allege,4,
allegiance,5,
allegory,1,
allencompassing,1,
allforgiving,2,
allhe,1,
allhearing,6,
allhigh,1,
allies,15,
allif,1,
allinformed,2,
allknowing,20,
allocate,2,
allocated,1,
allot,2,
allow,6,
allowed,4,
allowing,1,
allows,1,
allseeing,4,
allthese,1,
allude,1,
alluring,1,
allwise,2,
ally,7,
almighty,37,
almost,15,
alms,8,
alone,28,
along,11,
alongside,2,
aloudhe,1,
already,21,
also,19,
altars,1,
alter,1,
alteration,1,
altering,1,
alternate,2,
alternatefor,1,
alternates,1,
alternation,5,
alters,1,
although,26,
altogether,14,
altogetherthey,1,
aluzza,1,
always,14,
am,125,
amass,1,
amazingly,1,
ambiguous,1,
ambush,2,
amends,1,
amicably,2,
amid,3,
amidst,6,
amity,1,
among,274,
amongst,2,
ample,1,
amplifies,1,
amplify,1,
amply,1,
amusement,2,
an,237,
analogies,1,
analyzed,3,
ancestors,30,
ancestorsthese,2,
anchorage,1,
anchored,1,
ancient,5,
ancients,26,
and,6853,
angel,11,
angels,76,
angelsthere,1,
anger,4,
angry,8,
animal,4,
animals,18,
animalsexcept,1,
ankles,1,
annihilate,1,
annihilated,6,
annihilating,1,
announce,5,
announced,3,
announcer,1,
announces,1,
announcing,2,
another,129,
anothers,1,
anotherwill,1,
answer,12,
answered,10,
answers,2,
ant,1,
anticipate,1,
anticipated,1,
anticipating,1,
ants,2,
anxiety,1,
anxious,2,
any,153,
anybody,1,
anyone,49,
anything,72,
anythingexcept,1,
anywhere,1,
apart,23,
apes,3,
apologize,2,
apparent,2,
appeal,1,
appealed,4,
appear,16,
appearance,3,
appeared,5,
appetites,1,
appoint,8,
appointed,23,
appointment,8,
appreciate,2,
appreciated,2,
appreciation,1,
appreciative,21,
appreciativeis,1,
apprehend,1,
apprehensive,4,
approach,20,
approached,3,
approaches,7,
approaching,2,
appropriate,2,
approval,12,
approvalthese,1,
approve,4,
approved,3,
approves,2,
arab,1,
arabic,10,
arafat,1,
arbiter,2,
arbitrate,2,
are,1416,
areyou,1,
argue,17,
argued,6,
argues,4,
arguing,3,
argument,10,
argumentative,1,
arguments,2,
arise,3,
ark,10,
arm,3,
armies,4,
armor,1,
arms,2,
army,2,
aroma,1,
arose,1,
around,39,
arraigned,4,
arrange,1,
arrangers,1,
arras,1,
arrayed,1,
arrest,1,
arrive,3,
arrived,7,
arrivedgod,1,
arrives,7,
arrogance,5,
arrogant,30,
arroganthe,1,
arrogantly,6,
as,534,
ascend,6,
ascends,4,
ascension,1,
ascent,3,
ascribe,3,
ascribed,2,
ascribes,1,
ashes,2,
aside,4,
ask,103,
asked,26,
asking,5,
asks,3,
asleep,1,
aspect,1,
aspiring,2,
assail,1,
assailed,1,
assails,1,
assassinate,1,
assault,2,
assaultwe,1,
assembled,1,
assembly,5,
asserted,2,
assessment,1,
assign,5,
assigned,14,
assigns,1,
assist,3,
assistance,3,
assistant,2,
assistants,1,
associate,35,
associated,4,
associates,12,
associating,4,
association,1,
associations,4,
assume,8,
assumed,2,
assumes,1,
assumption,1,
assumptions,8,
assuredly,3,
astray,50,
astrayamong,1,
astrayfor,1,
astraygoes,1,
astraythese,1,
astrayyou,1,
asylum,2,
at,148,
ate,5,
atom,1,
atoms,5,
atone,2,
atonement,3,
attached,2,
attack,5,
attain,13,
attainbe,1,
attained,5,
attainment,2,
attains,3,
attariq,2,
attend,5,
attendants,2,
attended,1,
attention,12,
attractive,2,
attribute,15,
attributed,2,
attributes,6,
attributing,1,
aunts,6,
authorities,1,
authority,28,
authorization,2,
authorized,1,
authors,1,
avail,27,
available,4,
availed,5,
avails,1,
avarice,1,
avenge,2,
avenger,1,
average,1,
aversion,5,
avert,4,
averted,9,
avid,1,
avoid,17,
avoided,1,
avoiding,1,
await,2,
awaiting,1,
awaits,8,
awake,2,
awakened,2,
awarded,1,
aware,75,
away,207,
awaygod,4,
awayhe,1,
awayit,1,
awayknow,1,
awaythen,1,
awaythey,1,
awaywe,2,
awe,8,
awesome,1,
awful,5,
ayn,2,
azar,1,
baal,1,
babylon,1,
back,90,
backbite,1,
backbiter,2,
backbone,1,
backbreaker,1,
backed,2,
backers,1,
backing,1,
backs,20,
backsevil,1,
backslide,1,
bad,26,
badr,1,
bag,3,
baggage,1,
bags,1,
bahirah,1,
baked,3,
balance,5,
balanced,1,
ban,1,
band,4,
banded,1,
banding,1,
banished,2,
bank,2,
banquet,1,
bar,1,
bared,1,
barely,2,
barethey,1,
barred,4,
barren,7,
barrier,9,
barriers,1,
barring,3,
bartered,1,
based,4,
bashful,1,
bashfully,1,
basis,2,
batch,1,
bath,1,
bathed,1,
