chap_num,term_str,n
1,against,1
1,and,1
1,anger,1
1,are,1
1,be,1
1,blessed,1
1,call,1
1,day,1
1,for,1
1,god,1
1,gracious,1
1,guide,1
1,have,1
1,help,1
1,is,2
1,it,1
1,judgment,1
1,lord,1
1,master,1
1,merciful,1
1,misguided,1
1,most,2
1,nor,1
1,not,1
1,of,6
1,path,2
1,praise,1
1,straight,1
1,the,6
1,there,1
1,those,3
1,to,2
1,upon,1
1,us,1
1,we,2
1,who,1
1,whom,1
1,worlds,1
1,worship,1
1,you,3
2,a,140
2,aaron,1
2,abide,3
2,abiding,1
2,able,2
2,abode,1
2,about,19
2,above,4
2,abraham,15
2,absence,1
2,abstinence,1
2,accept,4
2,acceptable,1
2,accepted,2
2,accepter,1
2,acceptor,2
2,access,1
2,accordance,1
2,according,3
2,account,3
2,acquainted,1
2,across,2
2,act,1
2,adam,5
2,adopted,1
2,advantage,1
2,adversaries,1
2,adversity,1
2,advice,1
2,advised,1
2,afflicted,1
2,afflicts,1
2,after,23
2,again,1
2,against,12
2,age,1
2,aggression,4
2,aggressors,1
2,agree,1
2,agreed,1
2,ahead,1
2,alif,1
2,alike,2
2,alive,1
2,all,23
2,allhearing,1
2,allif,1
2,allknowing,1
2,allow,1
2,allowed,1
2,almighty,1
2,almost,2
2,alms,2
2,alone,3
2,along,1
2,alternation,1
2,alters,1
2,although,3
2,am,4
2,ambiguous,1
2,amicably,2
2,among,24
2,amplifies,1
2,an,7
2,ancestors,2
2,and,580
2,angels,10
2,announcing,1
2,another,10
2,anothers,1
2,answer,2
2,any,14
2,anybody,1
2,anyone,3
2,anything,5
2,apart,2
2,apes,1
2,appoint,1
2,appointed,2
2,appreciative,3
2,approach,8
2,approached,1
2,approaches,1
2,approval,2
2,approve,1
2,arafat,1
2,are,95
2,argue,1
2,argued,1
2,argument,1
2,ark,1
2,around,2
2,arrange,1
2,arrogant,2
2,as,46
2,aside,1
2,ask,11
2,asked,1
2,assign,1
2,assigned,1
2,astray,2
2,at,9
2,atone,1
2,attain,3
2,attend,1
2,authority,2
2,avail,2
2,available,1
2,awaits,1
2,aware,10
2,away,11
2,awe,1
2,babylon,1
2,back,5
2,backs,2
2,bad,1
2,bar,1
2,barethey,1
2,bartered,1
2,based,2
2,batters,1
2,be,84
2,bear,1
2,beautified,1
2,became,2
2,because,9
2,become,6
2,becomes,3
2,been,5
2,before,18
2,beggars,1
2,begotten,1
2,behalf,1
2,behavior,1
2,behind,3
2,behinda,1
2,beholders,1
2,being,1
2,believe,43
2,believed,15
2,believers,8
2,believes,4
2,believing,2
2,bellies,1
2,belong,5
2,belongs,3
2,beneath,1
2,benefit,4
2,benefits,1
2,benevolent,1
2,besieged,1
2,best,3
2,bestowed,3
2,bestows,1
2,betray,1
2,better,14
2,between,14
2,beware,5
2,bewildered,1
2,beyond,3
2,bias,1
2,birds,1
2,black,1
2,blame,5
2,blasphemer,1
2,blemish,1
2,blesses,1
2,blessing,2
2,blessings,3
2,blind,1
2,blindthey,1
2,blood,3
2,bones,1
2,book,13
2,both,1
2,bought,1
2,bounteous,1
2,bounty,1
2,bow,1
2,bowed,1
2,break,1
2,breaks,1
2,brethren,1
2,bribes,1
2,bright,1
2,bring,6
2,bringing,2
2,brings,5
2,brought,1
2,burden,4
2,burdened,2
2,burns,1
2,but,102
2,by,30
2,calamity,1
2,calf,4
2,call,10
2,called,1
2,caller,1
2,calling,1
2,calls,5
2,came,5
2,can,8
2,cannot,6
2,capable,3
2,capacity,2
2,capital,1
2,captives,1
2,carried,1
2,carrion,1
2,carry,1
2,case,3
2,cause,10
2,caused,3
2,causes,1
2,cease,3
2,celebrate,1
2,certain,4
2,certainly,1
2,chance,1
2,change,1
2,changes,1
2,changing,1
2,chapter,1
2,charitable,3
2,charities,1
2,charity,12
2,charitythey,1
2,child,2
2,children,8
2,childrenthen,1
2,chooses,2
2,chose,1
2,chosen,2
2,christian,1
2,christians,6
2,circle,1
2,circulating,1
2,clarified,1
2,clarifies,1
2,clean,1
2,clear,13
2,clement,1
2,closed,1
2,clothe,2
2,cloudburst,1
2,clouds,3
2,cognizant,2
2,collapsed,1
2,color,2
2,coloring,2
2,come,18
2,comes,4
2,command,2
2,commanded,2
2,commands,3
2,commerce,2
2,commissioned,1
2,commit,8
2,commits,9
2,committed,1
2,communications,1
2,community,6
2,compassionate,1
2,compelled,1
2,compensate,1
2,compensation,1
2,complete,4
2,completed,1
2,compulsion,1
2,conceal,8
2,conceals,2
2,concerning,1
2,concession,1
2,conclude,1
2,condemn,1
2,condemns,1
2,conduct,1
2,confirm,1
2,confirmation,1
2,confirming,4
2,confirms,1
2,conflict,1
2,confounded,1
2,confronted,1
2,conscious,3
2,consent,1
2,considered,3
2,consign,1
2,consist,1
2,consultation,1
2,consume,2
2,continues,1
2,contract,2
2,contributes,1
2,correctlya,1
2,corrupt,1
2,corruption,4
2,could,3
2,couple,1
2,covenant,5
2,covered,1
2,created,3
2,creation,1
2,creatures,1
2,credit,1
2,creed,1
2,crescents,1
2,criterion,2
2,crops,1
2,crossed,1
2,cucumbers,1
2,cultivation,2
2,curse,3
2,cursed,1
2,cursers,1
2,curses,1
2,dark,1
2,darkness,3
2,darknessthese,1
2,david,1
2,dawn,1
2,day,19
2,days,8
2,dead,4
2,deaf,2
2,deals,1
2,dear,1
2,death,9
2,debt,1
2,debtor,2
2,deceive,2
2,decent,1
2,decides,1
2,declare,1
2,decreed,1
2,decrees,1
2,dedicated,1
2,deeds,4
2,deedsthese,1
2,deep,1
2,defeated,2
2,deferment,1
2,deficient,1
2,degree,1
2,deliberately,1
2,delivered,1
2,demand,1
2,demeaning,1
2,demise,1
2,denial,1
2,deny,2
2,depart,1
2,deplorable,2
2,deposit,1
2,descendants,2
2,designated,1
2,desire,5
2,desires,4
2,desiring,1
2,despicable,1
2,destination,1
2,destiny,2
2,destroying,1
2,deterrent,1
2,devils,3
2,devoted,2
2,devotion,1
2,devout,1
2,dew,1
2,dictate,3
2,did,9
2,die,6
2,died,1
2,dies,1
2,differ,1
2,differed,1
2,differences,2
2,difficult,2
2,dignity,1
2,diminish,1
2,directed,1
2,direction,7
2,directly,1
2,disbelief,2
2,disbelieve,7
2,disbelieved,4
2,disbelievedbut,1
2,disbelieveit,1
2,disbelievers,9
2,disbelieverthose,1
2,disbelieves,1
2,disbelieving,2
2,disclosed,1
2,discord,1
2,disgrace,1
2,dishonest,1
2,dislike,2
2,disobedience,1
2,disobey,1
2,disobeyed,1
2,disown,2
2,disowned,1
2,disperse,3
2,disposed,1
2,dispute,1
2,disputed,3
2,distinct,1
2,distinction,2
2,distinguish,1
2,distinguished,1
2,distort,1
2,divorce,4
2,divorced,2
2,divorcegod,1
2,divorces,2
2,divorcing,1
2,do,105
2,doer,1
2,doers,1
2,does,21
2,doing,1
2,done,2
2,donkey,1
2,doors,1
2,doubled,1
2,doubt,2
2,doubtexcept,1
2,down,17
2,downpour,1
2,dowry,2
2,drank,1
2,dreadful,1
2,drink,3
2,drinkingplace,1
2,drinkit,1
2,drinks,1
2,driven,2
2,drowned,1
2,due,1
2,dumb,2
2,during,8
2,duty,5
2,dwell,2
2,dwellers,1
2,each,4
2,eager,1
2,earn,1
2,earned,7
2,earnestly,1
2,earnings,1
2,earns,1
2,ears,1
2,earth,23
2,ease,3
2,east,4
2,eat,7
2,efforts,1
2,egos,1
2,egypt,1
2,either,3
2,embracing,2
2,endure,1
2,enemies,1
2,enemy,2
2,engagement,1
2,enjoyment,2
2,enough,2
2,enter,6
2,envy,2
2,equals,1
2,equitable,1
2,equitablya,1
2,error,8
2,established,1
2,even,10
2,everlasting,1
2,every,3
2,everything,12
2,evict,1
2,evidence,1
2,evil,4
2,evildoers,2
2,example,3
2,exceeding,1
2,except,23
2,exchange,4
2,exchanges,1
2,exclusion,1
2,exhorted,1
2,expect,1
2,expel,2
2,expelled,1
2,expelling,1
2,explains,2
2,expose,1
2,extends,1
2,eyes,1
2,face,6
2,faces,3
2,fact,4
2,faction,1
2,fails,1
2,fair,3
2,fairly,2
2,fairness,1
2,faith,7
2,faithless,2
2,falls,2
2,falsehood,1
2,family,2
2,fast,4
2,fasting,3
2,father,2
2,fathers,1
2,favor,3
2,favored,2
2,fear,21
2,fearful,1
2,feasible,2
2,features,1
2,feeding,1
2,female,2
2,few,3
2,field,1
2,fight,11
2,fighting,5
2,filled,1
2,final,1
2,find,3
2,fingers,1
2,fire,14
2,firewherein,1
2,firmly,1
2,first,1
2,fled,1
2,flesh,2
2,flow,1
2,flowwith,1
2,focal,1
2,follow,13
2,followed,7
2,followedthese,1
2,following,1
2,follows,1
2,food,2
2,fools,3
2,foot,1
2,foothold,1
2,footsteps,2
2,for,160
2,forbearing,2
2,forbid,1
2,forbidden,3
2,forbids,1
2,forego,2
2,foregoes,1
2,forever,8
2,forget,3
2,forgive,2
2,forgiven,1
2,forgiveness,6
2,forgives,1
2,forgiving,8
2,forgo,1
2,forgotten,1
2,forrejecting,1
2,forsake,1
2,forty,1
2,forward,2
2,forwarded,1
2,fought,3
2,found,1
2,foundations,2
2,four,3
2,free,3
2,freeing,1
2,freely,1
2,friendship,1
2,from,88
2,fruit,2
2,fruits,1
2,fruitswhoever,1
2,fuel,1
2,fulfill,5
2,fulfilled,2
2,full,1
2,fully,2
2,gabriel,1
2,gabrielit,1
2,gain,1
2,gains,1
2,gambling,1
2,garden,4
2,gardens,1
2,garlic,1
2,garment,2
2,gate,1
2,gathered,1
2,gave,7
2,generation,1
2,generations,1
2,generosity,2
2,generous,1
2,give,27
2,given,19
2,gives,4
2,giving,2
2,glorified,1
2,glory,1
2,gnat,1
2,go,4
2,god,248
2,godgod,1
2,gods,32
2,godthose,1
2,goliath,3
2,gone,1
2,good,23
2,goodgod,1
