term_str,df,dp,dh,sig
a,95,0.8333333333333334,0.21919533819482817,True
aad,18,0.15789473684210525,0.42046815990354147,True
aaron,13,0.11403508771929824,0.3572092442833986,True
abandon,8,0.07017543859649122,0.2689747378361222,True
abandoned,4,0.03508771929824561,0.1695750882163067,True
abase,1,0.008771929824561403,0.05993763170319948,False
abated,1,0.008771929824561403,0.05993763170319948,False
abates,1,0.008771929824561403,0.05993763170319948,False
abee,1,0.008771929824561403,0.05993763170319948,False
abide,11,0.09649122807017543,0.32550914342808673,True
abides,1,0.008771929824561403,0.05993763170319948,False
abiding,10,0.08771929824561403,0.3079791157260859,True
ability,4,0.03508771929824561,0.1695750882163067,True
ablaze,1,0.008771929824561403,0.05993763170319948,False
able,25,0.21929824561403508,0.48005127727851243,True
abode,10,0.08771929824561403,0.3079791157260859,True
abolish,1,0.008771929824561403,0.05993763170319948,False
abolishes,1,0.008771929824561403,0.05993763170319948,False
abomination,2,0.017543859649122806,0.10233140375727616,False
abominations,3,0.02631578947368421,0.13810335561693646,False
abort,1,0.008771929824561403,0.05993763170319948,False
about,51,0.4473684210526316,0.5191552480864522,True
above,29,0.2543859649122807,0.5023891364217361,True
abraham,24,0.21052631578947367,0.47324789756707064,True
abrahams,2,0.017543859649122806,0.10233140375727616,False
absence,3,0.02631578947368421,0.13810335561693646,False
absent,2,0.017543859649122806,0.10233140375727616,False
absentees,1,0.008771929824561403,0.05993763170319948,False
absolute,7,0.06140350877192982,0.24718197933991193,True
absolutely,1,0.008771929824561403,0.05993763170319948,False
absorb,2,0.017543859649122806,0.10233140375727616,False
absorbed,1,0.008771929824561403,0.05993763170319948,False
abstain,2,0.017543859649122806,0.10233140375727616,False
abstinence,1,0.008771929824561403,0.05993763170319948,False
abundance,4,0.03508771929824561,0.1695750882163067,True
abundant,8,0.07017543859649122,0.2689747378361222,True
abundantly,3,0.02631578947368421,0.13810335561693646,False
abuse,1,0.008771929824561403,0.05993763170319948,False
abused,1,0.008771929824561403,0.05993763170319948,False
abyss,2,0.017543859649122806,0.10233140375727616,False
accelerate,1,0.008771929824561403,0.05993763170319948,False
accept,14,0.12280701754385964,0.37155694113596427,True
acceptable,1,0.008771929824561403,0.05993763170319948,False
acceptance,4,0.03508771929824561,0.1695750882163067,True
accepted,10,0.08771929824561403,0.3079791157260859,True
accepter,3,0.02631578947368421,0.13810335561693646,False
accepting,1,0.008771929824561403,0.05993763170319948,False
acceptor,2,0.017543859649122806,0.10233140375727616,False
accepts,4,0.03508771929824561,0.1695750882163067,True
