term_str,df,dp,dh,sig
a,60,1.0,0.0,False
aad,16,0.26666666666666666,0.5085041588289383,True
aaron,14,0.23333333333333334,0.48989165716188005,True
abandon,8,0.13333333333333333,0.3875854127478025,True
abandoned,4,0.06666666666666667,0.26045937304056793,True
abase,1,0.016666666666666666,0.09844817659347531,False
abated,1,0.016666666666666666,0.09844817659347531,False
abates,1,0.016666666666666666,0.09844817659347531,False
abee,1,0.016666666666666666,0.09844817659347531,False
abide,13,0.21666666666666667,0.478064356784609,True
abides,1,0.016666666666666666,0.09844817659347531,False
abiding,11,0.18333333333333332,0.4487008124447239,True
ability,3,0.05,0.21609640474436814,True
ablaze,1,0.016666666666666666,0.09844817659347531,False
able,25,0.4166666666666667,0.5262643357640807,True
abode,10,0.16666666666666666,0.430827083453526,True
abolish,1,0.016666666666666666,0.09844817659347531,False
abolishes,1,0.016666666666666666,0.09844817659347531,False
abomination,2,0.03333333333333333,0.1635630198536173,False
abominations,3,0.05,0.21609640474436814,True
abort,1,0.016666666666666666,0.09844817659347531,False
about,55,0.9166666666666666,0.11506997524353753,False
above,30,0.5,0.5,True
abraham,25,0.4166666666666667,0.5262643357640807,True
abrahams,2,0.03333333333333333,0.1635630198536173,False
absence,3,0.05,0.21609640474436814,True
absent,2,0.03333333333333333,0.1635630198536173,False
absentees,1,0.016666666666666666,0.09844817659347531,False
absolute,6,0.1,0.33219280948873625,True
absolutely,1,0.016666666666666666,0.09844817659347531,False
absorb,2,0.03333333333333333,0.1635630198536173,False
absorbed,1,0.016666666666666666,0.09844817659347531,False
abstain,2,0.03333333333333333,0.1635630198536173,False
abstinence,1,0.016666666666666666,0.09844817659347531,False
abundance,4,0.06666666666666667,0.26045937304056793,True
abundant,8,0.13333333333333333,0.3875854127478025,True
abundantly,3,0.05,0.21609640474436814,True
abuse,1,0.016666666666666666,0.09844817659347531,False
abused,1,0.016666666666666666,0.09844817659347531,False
abyss,2,0.03333333333333333,0.1635630198536173,False
accelerate,1,0.016666666666666666,0.09844817659347531,False
accept,16,0.26666666666666666,0.5085041588289383,True
acceptable,1,0.016666666666666666,0.09844817659347531,False
acceptance,5,0.08333333333333333,0.29874687506009634,True
accepted,11,0.18333333333333332,0.4487008124447239,True
accepter,3,0.05,0.21609640474436814,True
accepting,1,0.016666666666666666,0.09844817659347531,False
acceptor,3,0.05,0.21609640474436814,True
accepts,4,0.06666666666666667,0.26045937304056793,True
access,2,0.03333333333333333,0.1635630198536173,False
acclaim,1,0.016666666666666666,0.09844817659347531,False
accommodated,1,0.016666666666666666,0.09844817659347531,False
accompanied,1,0.016666666666666666,0.09844817659347531,False
accompany,1,0.016666666666666666,0.09844817659347531,False
accomplish,2,0.03333333333333333,0.1635630198536173,False
accord,2,0.03333333333333333,0.1635630198536173,False
accordance,3,0.05,0.21609640474436814,True
according,22,0.36666666666666664,0.5307349582227812,True
account,21,0.35,0.5301006104904153,True
accountable,5,0.08333333333333333,0.29874687506009634,True
accounts,3,0.05,0.21609640474436814,True
accumulated,1,0.016666666666666666,0.09844817659347531,False
accurate,3,0.05,0.21609640474436814,True
accursed,1,0.016666666666666666,0.09844817659347531,False
accusations,1,0.016666666666666666,0.09844817659347531,False
accuse,4,0.06666666666666667,0.26045937304056793,True
accused,2,0.03333333333333333,0.1635630198536173,False
achieved,2,0.03333333333333333,0.1635630198536173,False
achievement,3,0.05,0.21609640474436814,True
achieves,2,0.03333333333333333,0.1635630198536173,False
aching,1,0.016666666666666666,0.09844817659347531,False
acknowledge,2,0.03333333333333333,0.1635630198536173,False
acquainted,2,0.03333333333333333,0.1635630198536173,False
acquired,4,0.06666666666666667,0.26045937304056793,True
acquit,1,0.016666666666666666,0.09844817659347531,False
acquitted,1,0.016666666666666666,0.09844817659347531,False
across,8,0.13333333333333333,0.3875854127478025,True
act,16,0.26666666666666666,0.5085041588289383,True
acted,3,0.05,0.21609640474436814,True
acting,1,0.016666666666666666,0.09844817659347531,False
action,1,0.016666666666666666,0.09844817659347531,False
actions,3,0.05,0.21609640474436814,True
activities,2,0.03333333333333333,0.1635630198536173,False
acts,10,0.16666666666666666,0.430827083453526,True
actual,1,0.016666666666666666,0.09844817659347531,False
actually,1,0.016666666666666666,0.09844817659347531,False
adam,9,0.15,0.4105448391249309,True
adamant,1,0.016666666666666666,0.09844817659347531,False
adams,1,0.016666666666666666,0.09844817659347531,False
add,4,0.06666666666666667,0.26045937304056793,True
added,3,0.05,0.21609640474436814,True
adding,1,0.016666666666666666,0.09844817659347531,False
addition,3,0.05,0.21609640474436814,True
additional,1,0.016666666666666666,0.09844817659347531,False
address,3,0.05,0.21609640474436814,True
addressed,1,0.016666666666666666,0.09844817659347531,False
adds,3,0.05,0.21609640474436814,True
adequate,1,0.016666666666666666,0.09844817659347531,False
adhere,4,0.06666666666666667,0.26045937304056793,True
adhered,1,0.016666666666666666,0.09844817659347531,False
adherents,1,0.016666666666666666,0.09844817659347531,False
adheres,1,0.016666666666666666,0.09844817659347531,False
adjacent,1,0.016666666666666666,0.09844817659347531,False
administer,1,0.016666666666666666,0.09844817659347531,False
admire,1,0.016666666666666666,0.09844817659347531,False
admit,16,0.26666666666666666,0.5085041588289383,True
admits,3,0.05,0.21609640474436814,True
admittance,1,0.016666666666666666,0.09844817659347531,False
admitted,5,0.08333333333333333,0.29874687506009634,True
admonish,3,0.05,0.21609640474436814,True
adopt,3,0.05,0.21609640474436814,True
adopted,6,0.1,0.33219280948873625,True
adorned,7,0.11666666666666667,0.3616124952476067,True
adornments,1,0.016666666666666666,0.09844817659347531,False
adulterer,1,0.016666666666666666,0.09844817659347531,False
adultererwhip,1,0.016666666666666666,0.09844817659347531,False
adulteress,1,0.016666666666666666,0.09844817659347531,False
adultery,6,0.1,0.33219280948873625,True
adulthood,1,0.016666666666666666,0.09844817659347531,False
advance,9,0.15,0.4105448391249309,True
advanced,3,0.05,0.21609640474436814,True
advances,1,0.016666666666666666,0.09844817659347531,False
advantage,10,0.16666666666666666,0.430827083453526,True
advent,1,0.016666666666666666,0.09844817659347531,False
adversaries,2,0.03333333333333333,0.1635630198536173,False
adversary,2,0.03333333333333333,0.1635630198536173,False
adversity,16,0.26666666666666666,0.5085041588289383,True
advice,10,0.16666666666666666,0.430827083453526,True
advisable,1,0.016666666666666666,0.09844817659347531,False
advise,4,0.06666666666666667,0.26045937304056793,True
advised,4,0.06666666666666667,0.26045937304056793,True
adviser,1,0.016666666666666666,0.09844817659347531,False
advises,1,0.016666666666666666,0.09844817659347531,False
advisor,1,0.016666666666666666,0.09844817659347531,False
advocate,8,0.13333333333333333,0.3875854127478025,True
advocates,3,0.05,0.21609640474436814,True
advocating,1,0.016666666666666666,0.09844817659347531,False
afar,1,0.016666666666666666,0.09844817659347531,False
affair,3,0.05,0.21609640474436814,True
affairs,5,0.08333333333333333,0.29874687506009634,True
affection,5,0.08333333333333333,0.29874687506009634,True
affirm,3,0.05,0.21609640474436814,True
affirms,2,0.03333333333333333,0.1635630198536173,False
afflict,7,0.11666666666666667,0.3616124952476067,True
afflicted,14,0.23333333333333334,0.48989165716188005,True
affliction,5,0.08333333333333333,0.29874687506009634,True
afflicts,5,0.08333333333333333,0.29874687506009634,True
affluence,1,0.016666666666666666,0.09844817659347531,False
affluent,2,0.03333333333333333,0.1635630198536173,False
aflame,2,0.03333333333333333,0.1635630198536173,False
