chunk_60_id,D,C,E,F,B,A
1,4.702477726233651e-15,4.883069652252451e-18,4.767207774056353e-20,1.2597939657595163e-25,2.8329677470325967e-19,0.018803924868433616
2,5.486881787512061e-15,0.0030243132476862086,1.3526730673091426e-17,7.8792838741514465e-31,0.01595879653283189,6.549077890105166e-12
3,0.0003094833593628562,0.016304322063697817,7.650041563829979e-16,2.1767255174095514e-23,7.959203489149295e-09,0.0013727020013047204
4,5.596916344032938e-15,0.01708306961026471,0.0015304803005600476,4.238595861116182e-12,8.604477174969115e-12,1.100915996202017e-15
5,0.004009633867520135,0.01223767607441446,2.541462410311888e-13,2.1338637576331557e-12,0.0032822054829822404,1.1086238725533634e-09
6,7.963466297501381e-19,0.0003476600235237895,1.858479065083101e-17,6.69415107851888e-30,0.017914521393322516,2.1626393405110683e-21
7,9.877344024331402e-09,0.019044970496565176,5.145275456110266e-13,7.697042250735358e-15,5.902888413706691e-21,7.605679039868927e-17
8,8.75013619090978e-11,0.017469855626309636,8.648134725323534e-17,1.903351400711184e-08,4.587573728237127e-14,2.2522660918976854e-26
9,1.540386645167196e-11,0.017552768488788107,6.3128167484844945e-21,5.86481828711186e-27,9.07339828837493e-19,6.214466665272397e-22
10,4.9134241586091943e-08,0.014442311948850145,3.864502208993018e-16,1.839865957383842e-25,0.005333579877963047,3.99532289585933e-12
11,1.0995514583193362e-18,0.014221083877198204,2.1598714923118567e-11,3.268921206872187e-17,6.652767929489771e-12,0.004673580408080724
12,6.689137665926618e-13,0.01801329172551699,1.0702708892369174e-13,1.1101052530543177e-24,1.1035901293417511e-13,0.0002679647695982319
13,0.01963692716564799,2.4118060962895733e-19,8.049049923806516e-15,2.8645043004483073e-19,2.9712142791610866e-19,1.2639525550886124e-16
14,0.009696108703724626,4.6876555860923485e-20,1.1613404148008692e-13,9.24869575297033e-16,0.007835723919207145,0.002606510015258824
15,6.889289011091402e-20,1.842621389422941e-27,8.355086102232243e-25,1.4640230531788763e-33,4.2098771892912865e-16,0.01880565039639103
16,6.029057169941838e-22,1.5693910764403613e-36,0.01872841190464691,1.8410334818025131e-26,1.467097698803178e-33,6.19971300860019e-27
17,1.0733769089084437e-19,1.249506950756613e-26,1.9862684119572077e-14,1.1594257825313274e-31,5.28587072182759e-26,0.019551407327838784
18,0.0076309011849413685,0.011728137204804114,6.149720758094257e-08,2.526506820418826e-08,3.1989314165803354e-11,2.339336839543387e-13
19,9.827872156279224e-23,0.01713989444943744,3.9339291721372847e-28,8.285689799660544e-28,4.6444839878984876e-26,2.843485504008262e-23
20,2.3535117236361864e-14,0.01758471445121939,6.847988848273948e-21,6.208329340126642e-12,1.3945633717535389e-25,4.593812633196941e-26
21,0.02039172627278203,1.7728458937884154e-18,2.4695421430932773e-15,4.35037635858043e-16,4.654068493416284e-25,2.253957678749101e-18
22,0.00030154124657122026,4.0159375614331295e-22,0.018688042724905374,7.261724480344887e-22,1.0041782573172212e-19,4.1165707606310966e-20
23,4.4993303099334845e-26,1.639807749094306e-33,0.018324156872957992,1.526482364039204e-25,8.644065388210457e-24,1.28615515347022e-38
24,8.374073725066651e-20,6.28308063504383e-14,0.0022375434493649704,1.1054518021679057e-14,0.012625730411528356,5.6334159372292126e-14
25,0.01179280374218739,2.340098185976045e-13,1.7933243829079865e-07,6.805150804764088e-12,0.00913523359508111,1.3843249188384108e-13
26,0.00589669066960089,2.1499512341647516e-17,0.00016753474434887315,0.010379823318638171,0.004387814847941215,1.0960879731085013e-09
27,0.020719246139794943,1.529048820547981e-20,1.0795498855164515e-17,3.858193157698617e-13,1.6724447026098314e-17,6.35534288288437e-10
28,1.196969880928175e-06,0.002992746680012932,6.423860562679385e-14,1.9694033965350313e-20,0.002062886137997534,0.016570730412424406
29,0.0006406682597529934,3.7616528535212407e-23,1.6791234285788248e-11,1.2699257376324719e-05,2.8789602424836293e-10,0.01887263162939581
30,1.4900243351873573e-14,3.617307139229824e-26,7.654176516203214e-24,1.4124308288749734e-17,5.084234602235502e-13,0.019363762012130532
31,1.8783750385321407e-19,2.920058152492052e-31,1.139886566040258e-08,4.701027868182571e-21,0.01833592406742678,2.3446079945827217e-23
32,3.534075393999983e-18,4.2136714218837515e-27,0.009446277647946744,1.7398234498357057e-20,3.545954509575544e-21,0.010099688961616456
33,1.7986576345392625e-13,1.1296701969690797e-35,5.469028625587137e-16,2.303972227302974e-15,0.020422555646248276,6.665081350857665e-24
34,0.012498694205212497,1.6022145475770416e-07,1.9947684718880647e-14,0.009033659429212108,1.1409181663349375e-11,9.688834795114007e-16
