chap_num,verse_num,token_num,token_str,term_str
1,2,0,Praise,praise
1,2,1,be,be
1,2,2,to,to
1,2,3,"God,",god
1,2,4,Lord,lord
1,2,5,of,of
1,2,6,the,the
1,2,7,Worlds.,worlds
1,3,0,The,the
1,3,1,Most,most
1,3,2,"Gracious,",gracious
1,3,3,the,the
1,3,4,Most,most
1,3,5,Merciful.,merciful
1,4,0,Master,master
1,4,1,of,of
1,4,2,the,the
1,4,3,Day,day
1,4,4,of,of
1,4,5,Judgment.,judgment
1,5,0,It,it
1,5,1,is,is
1,5,2,You,you
1,5,3,we,we
1,5,4,"worship,",worship
1,5,5,and,and
1,5,6,upon,upon
1,5,7,You,you
1,5,8,we,we
1,5,9,call,call
1,5,10,for,for
1,5,11,help.,help
1,6,0,Guide,guide
1,6,1,us,us
1,6,2,to,to
1,6,3,the,the
1,6,4,straight,straight
1,6,5,path.,path
1,7,0,The,the
1,7,1,path,path
1,7,2,of,of
1,7,3,those,those
1,7,4,You,you
1,7,5,have,have
1,7,6,"blessed,",blessed
1,7,7,not,not
1,7,8,of,of
1,7,9,those,those
1,7,10,against,against
1,7,11,whom,whom
1,7,12,there,there
1,7,13,is,is
1,7,14,"anger,",anger
1,7,15,nor,nor
1,7,16,of,of
1,7,17,those,those
1,7,18,who,who
1,7,19,are,are
1,7,20,misguided.,misguided
2,1,0,"Alif,",alif
2,1,1,"Lam,",lam
2,1,2,Meem.,meem
2,2,0,This,this
2,2,1,is,is
2,2,2,the,the
2,2,3,Book,book
2,2,4,in,in
2,2,5,which,which
2,2,6,there,there
2,2,7,is,is
2,2,8,no,no
2,2,9,"doubt,",doubt
2,2,10,a,a
2,2,11,guide,guide
2,2,12,for,for
2,2,13,the,the
2,2,14,righteous.,righteous
2,3,0,Those,those
2,3,1,who,who
2,3,2,believe,believe
2,3,3,in,in
2,3,4,the,the
2,3,5,"unseen,",unseen
2,3,6,and,and
2,3,7,perform,perform
2,3,8,the,the
2,3,9,"prayers,",prayers
2,3,10,and,and
2,3,11,give,give
2,3,12,from,from
2,3,13,what,what
2,3,14,We,we
2,3,15,have,have
2,3,16,provided,provided
2,3,17,for,for
2,3,18,them.,them
2,4,0,And,and
2,4,1,those,those
2,4,2,who,who
2,4,3,believe,believe
2,4,4,in,in
2,4,5,what,what
2,4,6,was,was
2,4,7,revealed,revealed
2,4,8,to,to
2,4,9,"you,",you
2,4,10,and,and
2,4,11,in,in
2,4,12,what,what
2,4,13,was,was
2,4,14,revealed,revealed
2,4,15,before,before
2,4,16,"you,",you
2,4,17,and,and
2,4,18,are,are
2,4,19,certain,certain
2,4,20,of,of
2,4,21,the,the
2,4,22,Hereafter.,hereafter
2,5,0,These,these
2,5,1,are,are
2,5,2,upon,upon
2,5,3,guidance,guidance
2,5,4,from,from
2,5,5,their,their
2,5,6,Lord.,lord
2,5,7,These,these
2,5,8,are,are
2,5,9,the,the
2,5,10,successful.,successful
2,6,0,As,as
2,6,1,for,for
2,6,2,those,those
2,6,3,who,who
2,6,4,disbelieve—it,disbelieveit
2,6,5,is,is
2,6,6,the,the
2,6,7,same,same
2,6,8,for,for
2,6,9,"them,",them
2,6,10,whether,whether
2,6,11,you,you
2,6,12,have,have
2,6,13,warned,warned
2,6,14,"them,",them
2,6,15,or,or
2,6,16,have,have
2,6,17,not,not
2,6,18,warned,warned
2,6,19,them—they,themthey
2,6,20,do,do
2,6,21,not,not
2,6,22,believe.,believe
2,7,0,God,god
2,7,1,has,has
2,7,2,set,set
2,7,3,a,a
2,7,4,seal,seal
2,7,5,on,on
2,7,6,their,their
2,7,7,hearts,hearts
2,7,8,and,and
2,7,9,on,on
2,7,10,their,their
2,7,11,"hearing,",hearing
2,7,12,and,and
2,7,13,over,over
2,7,14,their,their
2,7,15,vision,vision
2,7,16,is,is
2,7,17,a,a
2,7,18,veil.,veil
2,7,19,They,they
2,7,20,will,will
2,7,21,have,have
2,7,22,a,a
2,7,23,severe,severe
2,7,24,torment.,torment
2,8,0,Among,among
2,8,1,the,the
2,8,2,people,people
2,8,3,are,are
2,8,4,those,those
2,8,5,who,who
2,8,6,"say,",say
2,8,7,“We,we
2,8,8,believe,believe
2,8,9,in,in
2,8,10,God,god
2,8,11,and,and
2,8,12,in,in
2,8,13,the,the
2,8,14,Last,last
2,8,15,"Day,”",day
2,8,16,but,but
2,8,17,they,they
2,8,18,are,are
2,8,19,not,not
2,8,20,believers.,believers
2,9,0,They,they
2,9,1,seek,seek
2,9,2,to,to
2,9,3,deceive,deceive
2,9,4,God,god
2,9,5,and,and
2,9,6,those,those
2,9,7,who,who
2,9,8,"believe,",believe
2,9,9,but,but
2,9,10,they,they
2,9,11,deceive,deceive
2,9,12,none,none
2,9,13,but,but
2,9,14,"themselves,",themselves
2,9,15,though,though
2,9,16,they,they
2,9,17,are,are
2,9,18,not,not
2,9,19,aware.,aware
2,10,0,In,in
2,10,1,their,their
2,10,2,hearts,hearts
2,10,3,is,is
2,10,4,"sickness,",sickness
2,10,5,and,and
2,10,6,God,god
2,10,7,has,has
2,10,8,increased,increased
2,10,9,their,their
2,10,10,sickness.,sickness
2,10,11,They,they
2,10,12,will,will
2,10,13,have,have
2,10,14,a,a
2,10,15,painful,painful
2,10,16,punishment,punishment
2,10,17,because,because
2,10,18,of,of
