doc_id,token_num,token_str,term_str
0,0,POPOL,popol
0,1,WUJ,wuj
1,0,OJER,ojer
1,1,TAQ,taq
1,2,TZIJ,tzij
2,0,XB'AN,xb'an
2,1,PA,pa
2,2,TINAMIT,tinamit
2,3,"K'ICHE',",k'iche'
3,0,RAMAQ',ramaq'
3,1,K'ICHE',k'iche'
3,2,WINAQ,winaq
5,0,Versión,versin
5,1,crítica,crtica
5,2,y,y
5,3,actualizada,actualizada
6,0,Ajtz'ib'ab',ajtz'ib'ab'
7,0,Nab'e,nab'e
8,0,Are',are'
8,1,uxe',uxe'
8,2,ojer,ojer
8,3,tzij,tzij
8,4,waral,waral
8,5,K'iche',k'iche'
8,6,ub'i'.,ub'i'
9,0,Waral,waral
9,1,xchiqatz'ib'aj,xchiqatz'ib'aj
9,2,wi,wi
10,0,xchiqatikib'a',xchiqatikib'a'
10,1,wi,wi
10,2,ojer,ojer
10,3,tzij,tzij
11,0,utikarib'al,utikarib'al
11,1,uxe'nab'al,uxe'nab'al
11,2,puch,puch
12,0,ronojel,ronojel
12,1,xb'an,xb'an
12,2,pa,pa
12,3,tinamit,tinamit
12,4,K'iche',k'iche'
13,0,ramaq',ramaq'
13,1,K'iche',k'iche'
13,2,winaq,winaq
14,0,are,are
14,1,k'ut,k'ut
14,2,xchiqak'am,xchiqak'am
14,3,wi,wi
15,0,uk'utunisaxik,uk'utunisaxik
15,1,uq'alajob'isaxik,uq'alajob'isaxik
15,2,utzijoxik,utzijoxik
15,3,puch,puch
16,0,ewaxib'al,ewaxib'al
16,1,saqirib'al,saqirib'al
16,2,rumal,rumal
16,3,tz'aqol,tz'aqol
16,4,b'itol,b'itol
17,0,alom,alom
17,1,k'ajolom,k'ajolom
18,0,Jun,jun
18,1,Ajpu,ajpu
18,2,"Wuch',",wuch'
18,3,Jun,jun
18,4,Ajpu,ajpu
18,5,Utiw,utiw
19,0,Saqinim,saqinim
19,1,"Aq,",aq
19,2,Saqinim,saqinim
19,3,"Tzis,",tzis
20,0,Tepew,tepew
20,1,Q'ukumatz,q'ukumatz
21,0,uk'u'x,uk'u'x
21,1,cho,cho
21,2,uk'u'x,uk'u'x
21,3,palo,palo
22,0,ajraxalaq,ajraxalaq
22,1,ajraxatzel,ajraxatzel
23,0,chuchaxik,chuchaxik
23,1,rachb'ixik,rachb'ixik
23,2,rachtzijoxik,rachtzijoxik
23,3,ri,ri
23,4,iyom,iyom
23,5,mamon,mamon
24,0,Xpiyakok,xpiyakok
24,1,Xmukane,xmukane
24,2,ub'i',ub'i'
25,0,matzanel,matzanel
25,1,"ch'uqunel,",ch'uqunel
26,0,kamul,kamul
26,1,iyom,iyom
26,2,kamul,kamul
26,3,mamom,mamom
26,4,chuchaxik,chuchaxik
26,5,pa,pa
26,6,K'iche',k'iche'
26,7,tzij.,tzij
27,0,Ta,ta
27,1,xkitzijoj,xkitzijoj
27,2,ronojel,ronojel
28,0,ruk',ruk'
28,1,xkib'an,xkib'an
28,2,chik,chik
29,0,chi,chi
29,1,saqil,saqil
29,2,k'olem,k'olem
29,3,saqil,saqil
29,4,tzij,tzij
30,0,wa'e,wa'e
30,1,xchiqatz'ib'aj,xchiqatz'ib'aj
30,2,chupan,chupan
30,3,chik,chik
30,4,uch'ab'al,uch'ab'al
30,5,dios,dios
31,0,pa,pa
31,1,kristyano'il,kristyano'il
31,2,chik,chik
32,0,xchiqelesaj,xchiqelesaj
33,0,rumal,rumal
33,1,maja,maja
33,2,b'i,b'i
33,3,chik,chik
33,4,ilb'al,ilb'al
33,5,re,re
33,6,Popo,popo
33,7,Wuj.,wuj
34,0,Ilb'al,ilb'al
34,1,saq,saq
34,2,petenaq,petenaq
34,3,ch'aqa,ch'aqa
34,4,palo.,palo
35,0,Utzijoxik,utzijoxik
35,1,qamujib'al,qamujib'al
36,0,ilb'al,ilb'al
36,1,saq,saq
36,2,k'aslem,k'aslem
36,3,chuchaxik.,chuchaxik
37,0,K'o,k'o
37,1,nab'e,nab'e
37,2,wujil,wujil
37,3,ojer,ojer
37,4,tz'ib'am,tz'ib'am
37,5,puch,puch
38,0,xa,xa
38,1,ewal,ewal
38,2,uwach,uwach
38,3,ilol,ilol
38,4,re,re
38,5,b'isol,b'isol
38,6,re,re
39,0,nim,nim
39,1,upeyoxik,upeyoxik
39,2,utzijoxik,utzijoxik
39,3,puch,puch
40,0,ta,ta
40,1,chik'istz'uk,chik'istz'uk
40,2,ronojel,ronojel
40,3,kaj,kaj
40,4,ulew,ulew
41,0,ukaj,ukaj
