doc_id,token_num,token_str,term_str
0,0,THIS,this
0,1,IS,is
0,2,THE,the
0,3,BEGINNING,beginning
0,4,OF,of
0,5,THE,the
0,6,ANCIENT,ancient
0,7,TRADITIONS,traditions
0,8,of,of
0,9,this,this
0,10,place,place
0,11,called,called
0,12,Quiche,quiche
0,13,HERE,here
0,14,we,we
0,15,shall,shall
0,16,write,write
0,17,We,we
0,18,shall,shall
0,19,begin,begin
0,20,to,to
0,21,tell,tell
0,22,the,the
0,23,ancient,ancient
0,24,stories,stories
0,25,of,of
0,26,the,the
0,27,"beginning,",beginning
0,28,the,the
0,29,origin,origin
0,30,of,of
0,31,all,all
0,32,that,that
0,33,was,was
0,34,done,done
0,35,in,in
0,36,the,the
0,37,citadel,citadel
0,38,of,of
0,39,"Quiche,",quiche
0,40,among,among
0,41,the,the
0,42,people,people
0,43,of,of
0,44,the,the
0,45,Quiche,quiche
0,46,nation,nation
0,47,Here,here
0,48,we,we
0,49,shall,shall
0,50,gather,gather
0,51,the,the
0,52,"manifestation,",manifestation
0,53,the,the
0,54,"declaration,",declaration
0,55,the,the
0,56,account,account
0,57,of,of
0,58,the,the
0,59,sowing,sowing
0,60,and,and
0,61,the,the
0,62,dawning,dawning
0,63,by,by
0,64,the,the
0,65,Framer,framer
0,66,and,and
0,67,the,the
0,68,"Shaper,",shaper
0,69,She,she
0,70,Who,who
0,71,Has,has
0,72,Borne,borne
0,73,Children,children
0,74,and,and
0,75,He,he
0,76,Who,who
0,77,Has,has
0,78,Begotten,begotten
0,79,"Sons,",sons
0,80,as,as
0,81,they,they
0,82,are,are
0,83,called;,called
0,84,along,along
0,85,with,with
0,86,Hunahpu,hunahpu
0,87,Possum,possum
0,88,and,and
0,89,Hunahpu,hunahpu
0,90,"Coyote,",coyote
0,91,Great,great
0,92,White,white
0,93,Peccary,peccary
0,94,and,and
0,95,"Coati,",coati
0,96,Sovereign,sovereign
0,97,and,and
0,98,Quetzal,quetzal
0,99,"Serpent,",serpent
0,100,Heart,heart
0,101,of,of
0,102,Lake,lake
0,103,and,and
0,104,Heart,heart
0,105,of,of
0,106,"Sea,",sea
0,107,Creator,creator
0,108,of,of
0,109,the,the
0,110,Green,green
0,111,Earth,earth
0,112,and,and
0,113,Creator,creator
0,114,of,of
0,115,the,the
0,116,Blue,blue
0,117,"Sky,",sky
0,118,as,as
0,119,they,they
0,120,are,are
0,121,called.,called
1,0,These,these
1,1,collectively,collectively
1,2,are,are
1,3,evoked,evoked
1,4,and,and
1,5,given,given
1,6,expression,expression
1,7,as,as
1,8,the,the
1,9,Midwife,midwife
1,10,and,and
1,11,the,the
1,12,"Patriarch,",patriarch
1,13,whose,whose
1,14,names,names
1,15,are,are
1,16,Xpiyacoc,xpiyacoc
1,17,and,and
1,18,"Xmucane,",xmucane
1,19,the,the
1,20,Protector,protector
1,21,and,and
1,22,the,the
1,23,"Shelterer,",shelterer
1,24,Twice,twice
1,25,Midwife,midwife
1,26,and,and
1,27,Twice,twice
1,28,"Patriarch,",patriarch
1,29,as,as
1,30,they,they
1,31,are,are
1,32,called,called
1,33,in,in
1,34,Quiche,quiche
1,35,traditions.,traditions
2,0,They,they
2,1,gave,gave
2,2,voice,voice
2,3,to,to
2,4,all,all
2,5,things,things
2,6,and,and
2,7,accomplished,accomplished
2,8,their,their
2,9,purpose,purpose
2,10,in,in
2,11,purity,purity
2,12,of,of
2,13,being,being
2,14,and,and
2,15,in,in
2,16,truth,truth
2,17,This,this
2,18,account,account
3,0,we,we
3,1,shall,shall
3,2,now,now
3,3,write,write
3,4,under,under
3,5,the,the
3,6,law,law
3,7,of,of
3,8,God,god
3,9,and,and
3,10,Christianity,christianity
3,11,We,we
3,12,shall,shall
3,13,bring,bring
3,14,it,it
3,15,forth,forth
3,16,because,because
3,17,there,there
3,18,is,is
3,19,no,no
3,20,longer,longer
3,21,the,the
3,22,means,means
3,23,whereby,whereby
3,24,the,the
3,25,Popol,popol
3,26,Vuh,vuh
3,27,may,may
3,28,be,be
3,29,"seen,",seen
3,30,the,the
3,31,means,means
3,32,of,of
3,33,seeing,seeing
3,34,clearly,clearly
3,35,that,that
3,36,had,had
3,37,come,come
3,38,from,from
3,39,across,across
3,40,the,the
3,41,seathe,seathe
3,42,account,account
3,43,of,of
3,44,our,our
3,45,"obscurity,",obscurity
3,46,and,and
3,47,the,the
3,48,means,means
3,49,of,of
3,50,seeing,seeing
3,51,life,life
3,52,"clearly,",clearly
3,53,as,as
3,54,it,it
3,55,is,is
3,56,said.,said
4,0,The,the
4,1,original,original
4,2,book,book
4,3,exists,exists
4,4,that,that
4,5,was,was
4,6,written,written
4,7,"anciently,",anciently
4,8,but,but
4,9,its,its
4,10,witnesses,witnesses
4,11,and,and
4,12,those,those
4,13,who,who
4,14,ponder,ponder
4,15,it,it
4,16,hide,hide
4,17,their,their
4,18,faces,faces
4,19,Great,great
4,20,is,is
4,21,its,its
4,22,performance,performance
4,23,and,and
4,24,its,its
4,25,account,account
4,26,of,of
4,27,the,the
4,28,completion,completion
4,29,and,and
4,30,germination,germination
4,31,of,of
4,32,all,all
4,33,the,the
4,34,sky,sky
4,35,and,and
4,36,earthits,earthits
4,37,four,four
4,38,corners,corners
4,39,and,and
4,40,its,its
4,41,four,four
4,42,sides.,sides
5,0,All,all
5,1,then,then
5,2,was,was
5,3,measured,measured
5,4,and,and
5,5,staked,staked
5,6,out,out
5,7,into,into
5,8,four,four
5,9,"divisions,",divisions
5,10,doubling,doubling
5,11,over,over
5,12,and,and
5,13,stretching,stretching
5,14,the,the
5,15,measuring,measuring
5,16,cords,cords
5,17,of,of
5,18,the,the
5,19,womb,womb
5,20,of,of
5,21,sky,sky
5,22,and,and
5,23,the,the
5,24,womb,womb
5,25,of,of
5,26,earth,earth
5,27,Thus,thus
5,28,were,were
5,29,established,established
5,30,the,the
5,31,four,four
5,32,"corners,",corners
5,33,the,the
5,34,four,four
5,35,"sides,",sides
5,36,as,as
5,37,it,it
5,38,is,is
5,39,"said,",said
5,40,by,by
5,41,the,the
