doc_id,para_num,sent_num
0,0,0
1,1,0
2,2,0
3,2,1
4,2,2
5,2,3
6,2,4
7,3,0
8,4,0
9,4,1
10,4,2
11,4,3
12,5,0
13,5,1
14,5,2
15,5,3
16,5,4
17,5,5
18,6,0
19,6,1
20,6,2
21,6,3
22,7,0
23,7,1
24,7,2
25,7,3
26,7,4
27,7,5
28,7,6
29,7,7
30,7,8
31,7,9
32,7,10
33,8,0
34,8,1
35,8,2
36,8,3
37,8,4
38,8,5
39,9,0
40,9,1
41,9,2
42,9,3
43,9,4
44,9,5
45,9,6
46,9,7
47,9,8
48,9,9
49,10,0
50,10,1
51,10,2
52,11,0
53,11,1
54,11,2
55,12,0
56,12,1
57,12,2
58,12,3
59,12,4
60,12,5
61,12,6
62,12,7
63,12,8
64,12,9
65,12,10
66,12,11
67,12,12
68,12,13
69,12,14
70,12,15
71,12,16
72,12,17
73,13,0
74,13,1
75,13,2
76,13,3
77,13,4
78,13,5
79,13,6
80,13,7
81,13,8
82,13,9
83,13,10
84,13,11
85,13,12
86,14,0
87,14,1
88,14,2
89,14,3
90,14,4
91,14,5
92,14,6
93,14,7
94,14,8
95,14,9
96,14,10
97,14,11
98,15,0
99,15,1
100,15,2
101,15,3
102,15,4
103,15,5
104,15,6
105,15,7
106,15,8
107,15,9
108,15,10
109,15,11
110,15,12
111,15,13
112,15,14
113,16,0
114,17,0
115,17,1
116,17,2
117,17,3
118,17,4
119,17,5
120,17,6
121,17,7
122,17,8
123,17,9
124,17,10
125,17,11
126,17,12
127,17,13
128,17,14
129,17,15
130,17,16
131,17,17
132,17,18
133,18,0
134,18,1
135,18,2
136,18,3
137,18,4
138,18,5
139,18,6
140,18,7
141,19,0
142,19,1
143,19,2
144,19,3
145,19,4
146,19,5
147,19,6
148,19,7
149,19,8
150,19,9
151,19,10
152,19,11
153,19,12
154,19,13
155,19,14
156,19,15
157,19,16
158,19,17
159,19,18
160,19,19
161,19,20
162,19,21
163,19,22
164,19,23
165,19,24
166,19,25
167,19,26
168,20,0
169,21,0
170,21,1
171,21,2
172,21,3
173,21,4
174,21,5
175,21,6
176,21,7
177,21,8
178,21,9
179,21,10
180,21,11
181,21,12
182,21,13
183,22,0
184,22,1
185,22,2
186,22,3
187,22,4
188,22,5
189,22,6
190,22,7
191,22,8
192,22,9
193,22,10
194,22,11
195,22,12
196,22,13
197,22,14
198,22,15
199,22,16
200,22,17
201,22,18
202,23,0
203,23,1
204,23,2
205,23,3
206,23,4
207,23,5
208,23,6
209,23,7
210,23,8
211,23,9
212,23,10
213,23,11
214,23,12
215,23,13
216,24,0
217,25,0
218,25,1
219,25,2
220,25,3
221,25,4
222,25,5
223,25,6
224,25,7
225,25,8
226,25,9
227,25,10
228,25,11
229,25,12
230,25,13
231,25,14
232,25,15
233,25,16
234,25,17
235,25,18
236,26,0
237,26,1
238,26,2
239,26,3
240,26,4
241,26,5
242,27,0
243,27,1
244,27,2
245,27,3
246,27,4
247,27,5
248,27,6
249,27,7
250,27,8
251,27,9
252,27,10
253,28,0
254,28,1
255,28,2
256,28,3
257,28,4
258,28,5
259,28,6
260,29,0
261,29,1
262,29,2
263,29,3
264,29,4
265,29,5
266,29,6
267,30,0
268,30,1
269,31,0
270,31,1
271,31,2
272,31,3
273,31,4
274,31,5
275,31,6
276,31,7
277,31,8
278,31,9
279,31,10
280,31,11
281,31,12
282,31,13
283,31,14
284,31,15
285,31,16
286,31,17
287,31,18
288,31,19
289,31,20
290,31,21
291,31,22
292,31,23
293,31,24
294,31,25
295,31,26
296,31,27
297,31,28
298,31,29
299,31,30
300,31,31
301,31,32
302,32,0
303,33,0
304,34,0
305,35,0
306,35,1
307,35,2
308,35,3
309,35,4
310,35,5
311,35,6
312,35,7
313,36,0
314,36,1
315,36,2
316,36,3
317,36,4
318,36,5
319,36,6
320,36,7
321,36,8
322,36,9
323,36,10
324,37,0
325,37,1
326,37,2
327,37,3
328,37,4
329,37,5
330,37,6
331,37,7
332,37,8
333,37,9
334,37,10
335,38,0
336,38,1
337,39,0
338,39,1
339,40,0
340,40,1
341,40,2
342,40,3
343,40,4
344,40,5
345,40,6
346,40,7
347,40,8
348,40,9
349,40,10
350,41,0
351,41,1
352,41,2
353,41,3
354,42,0
355,42,1
356,42,2
357,42,3
358,42,4
359,42,5
360,42,6
361,42,7
362,42,8
363,42,9
364,42,10
365,42,11
366,42,12
367,42,13
368,43,0
369,43,1
370,43,2
371,44,0
372,45,0
373,46,0
374,46,1
375,46,2
376,47,0
377,47,1
378,47,2
379,47,3
380,47,4
381,47,5
382,48,0
383,48,1
384,48,2
385,49,0
386,49,1
387,50,0
388,50,1
389,50,2
390,51,0
391,51,1
392,51,2
393,51,3
394,51,4
395,51,5
396,51,6
397,51,7
398,51,8
399,51,9
400,51,10
401,51,11
402,51,12
403,52,0
404,53,0
405,53,1
406,53,2
407,53,3
408,54,0
409,54,1
410,54,2
411,54,3
412,54,4
413,54,5
414,55,0
415,55,1
416,55,2
417,55,3
418,55,4
419,56,0
420,56,1
421,56,2
422,56,3
423,56,4
424,57,0
425,57,1
426,57,2
427,57,3
428,58,0
429,58,1
430,58,2
431,58,3
432,58,4
433,58,5
434,58,6
435,58,7
436,59,0
437,59,1
438,59,2
439,59,3
440,59,4
441,59,5
442,59,6
443,59,7
444,59,8
445,59,9
446,60,0
447,61,0
448,61,1
449,61,2
450,61,3
451,61,4
452,61,5
453,61,6
454,61,7
455,61,8
456,61,9
457,61,10
458,61,11
459,62,0
460,62,1
461,62,2
462,62,3
463,62,4
464,62,5
465,62,6
466,62,7
467,62,8
468,62,9
469,62,10
470,62,11
471,62,12
472,63,0
473,64,0
474,64,1
475,64,2
476,64,3
477,64,4
478,64,5
479,64,6
480,64,7
481,64,8
482,64,9
483,65,0
484,65,1
485,65,2
486,65,3
487,65,4
488,65,5
489,65,6
490,65,7
491,65,8
492,65,9
493,65,10
494,65,11
495,66,0
496,66,1
497,66,2
498,66,3
499,66,4
500,67,0
501,67,1
502,67,2
503,67,3
504,67,4
505,67,5
506,67,6
507,67,7
508,67,8
509,67,9
510,68,0
511,68,1
512,68,2
513,69,0
514,69,1
515,69,2
516,69,3
517,69,4
518,69,5
519,70,0
520,70,1
521,70,2
522,70,3
523,70,4
524,70,5
525,70,6
526,70,7
527,70,8
528,70,9
529,70,10
530,70,11
531,70,12
532,71,0
533,71,1
534,71,2
535,71,3
536,72,0
537,73,0
538,73,1
539,73,2
540,73,3
541,73,4
542,74,0
543,74,1
544,74,2
545,74,3
546,75,0
547,75,1
548,75,2
549,75,3
550,75,4
551,75,5
552,75,6
553,75,7
554,76,0
555,76,1
556,77,0
557,78,0
558,78,1
559,79,0
560,79,1
561,79,2
562,80,0
563,81,0
564,81,1
565,81,2
566,81,3
567,81,4
568,81,5
569,81,6
570,82,0
571,82,1
572,82,2
573,82,3
574,82,4
575,83,0
576,83,1
577,83,2
578,83,3
579,84,0
580,85,0
581,85,1
582,85,2
583,85,3
584,86,0
585,86,1
586,86,2
587,86,3
588,86,4
589,86,5
590,86,6
591,86,7
592,87,0
593,87,1
594,87,2
595,87,3
596,87,4
597,87,5
598,87,6
599,87,7
600,87,8
601,87,9
602,87,10
603,87,11
604,87,12
605,88,0
606,88,1
607,88,2
608,88,3
609,88,4
610,89,0
611,89,1
612,89,2
613,89,3
614,89,4
615,89,5
616,89,6
617,90,0
618,91,0
619,92,0
620,92,1
621,93,0
622,93,1
623,93,2
624,94,0
625,95,0
626,95,1
627,96,0
628,97,0
629,97,1
630,98,0
631,98,1
632,98,2
633,98,3
634,99,0
635,99,1
636,100,0
637,101,0
