doc_id,parte,capit,sent_num
0,NAB'E,ARE' UXE' OJER TZIJ WARAL K'ICHE' UB'I',0
1,NAB'E,ARE' UXE' OJER TZIJ WARAL K'ICHE' UB'I',1
2,NAB'E,ARE' UXE' OJER TZIJ WARAL K'ICHE' UB'I',2
3,NAB'E,ARE' UXE' OJER TZIJ WARAL K'ICHE' UB'I',3
4,NAB'E,ARE' UXE' OJER TZIJ WARAL K'ICHE' UB'I',4
5,NAB'E,ARE' UXE' OJER TZIJ WARAL K'ICHE' UB'I',5
6,NAB'E,ARE' UXE' OJER TZIJ WARAL K'ICHE' UB'I',6
7,NAB'E,ARE' UXE' OJER TZIJ WARAL K'ICHE' UB'I',7
8,NAB'E,ARE' UXE' OJER TZIJ WARAL K'ICHE' UB'I',8
9,NAB'E,ARE' UXE' OJER TZIJ WARAL K'ICHE' UB'I',9
10,NAB'E,ARE' UXE' OJER TZIJ WARAL K'ICHE' UB'I',10
11,NAB'E,ARE UTZIJOXIK WA'E,0
12,NAB'E,ARE UTZIJOXIK WA'E,1
13,NAB'E,ARE UTZIJOXIK WA'E,2
14,NAB'E,ARE UTZIJOXIK WA'E,3
15,NAB'E,ARE UTZIJOXIK WA'E,4
16,NAB'E,ARE UTZIJOXIK WA'E,5
17,NAB'E,ARE UTZIJOXIK WA'E,6
18,NAB'E,ARE UTZIJOXIK WA'E,7
19,NAB'E,ARE UTZIJOXIK WA'E,8
20,NAB'E,ARE UTZIJOXIK WA'E,9
21,NAB'E,ARE UTZIJOXIK WA'E,10
22,NAB'E,ARE UTZIJOXIK WA'E,11
23,NAB'E,ARE UTZIJOXIK WA'E,12
24,NAB'E,ARE UTZIJOXIK WA'E,13
25,NAB'E,ARE UTZIJOXIK WA'E,14
26,NAB'E,ARE UTZIJOXIK WA'E,15
27,NAB'E,ARE UTZIJOXIK WA'E,16
28,NAB'E,ARE UTZIJOXIK WA'E,17
29,NAB'E,ARE UTZIJOXIK WA'E,18
30,NAB'E,ARE UTZIJOXIK WA'E,19
31,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,0
32,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,1
33,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,2
34,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,3
35,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,4
36,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,5
37,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,6
38,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,7
39,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,8
40,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,9
41,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,10
42,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,11
43,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,12
44,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,13
45,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,14
46,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,15
47,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,16
48,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,17
49,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,18
50,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,19
51,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,20
52,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,21
53,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,22
54,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,23
55,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,24
56,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,25
57,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,26
58,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,27
59,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,28
60,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,29
61,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,30
62,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,31
63,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,32
64,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,33
65,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,34
66,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,35
67,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,36
68,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,37
69,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,38
70,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,39
