doc_id,parte,capit,sent_num
0,0,1,0
1,0,1,1
2,0,1,2
3,0,1,3
4,0,1,4
5,0,1,5
6,0,1,6
7,1,1,0
8,1,1,1
9,1,1,2
10,1,1,3
11,1,1,4
12,1,1,5
13,1,1,6
14,1,1,7
15,1,1,8
16,1,1,9
17,1,1,10
18,1,1,11
19,1,1,12
20,1,1,13
21,1,1,14
22,1,1,15
23,1,1,16
24,1,1,17
25,1,1,18
26,1,1,19
27,1,1,20
28,1,1,21
29,1,1,22
30,1,1,23
31,1,1,24
32,1,1,25
33,1,1,26
34,1,1,27
35,1,1,28
36,1,1,29
37,1,1,30
38,1,1,31
39,1,1,32
40,1,1,33
41,1,1,34
42,1,1,35
43,1,2,0
44,1,2,1
45,1,2,2
46,1,2,3
47,1,2,4
48,1,2,5
49,1,2,6
50,1,2,7
51,1,2,8
52,1,2,9
53,1,2,10
54,1,2,11
55,1,2,12
56,1,2,13
57,1,2,14
58,1,2,15
59,1,2,16
60,1,2,17
61,1,2,18
62,1,2,19
63,1,2,20
64,1,2,21
65,1,2,22
66,1,2,23
67,1,2,24
68,1,2,25
69,1,2,26
70,1,2,27
71,1,2,28
72,1,2,29
73,1,2,30
74,1,2,31
75,1,2,32
76,1,2,33
77,1,2,34
78,1,2,35
79,1,2,36
80,1,2,37
81,1,2,38
82,1,2,39
83,1,2,40
84,1,2,41
85,1,2,42
86,1,2,43
87,1,2,44
88,1,2,45
89,1,2,46
90,1,2,47
91,1,2,48
92,1,2,49
93,1,2,50
94,1,2,51
95,1,2,52
96,1,2,53
97,1,2,54
98,1,2,55
99,1,2,56
100,1,2,57
101,1,2,58
102,1,2,59
103,1,2,60
104,1,2,61
105,1,2,62
106,1,2,63
107,1,2,64
108,1,2,65
109,1,2,66
110,1,2,67
111,1,2,68
112,1,2,69
113,1,3,0
114,1,3,1
115,1,3,2
116,1,3,3
117,1,3,4
118,1,3,5
119,1,3,6
120,1,3,7
121,1,3,8
122,1,3,9
123,1,3,10
124,1,3,11
125,1,3,12
126,1,3,13
127,1,3,14
128,1,3,15
129,1,3,16
130,1,3,17
131,1,3,18
132,1,3,19
133,1,3,20
134,1,3,21
135,1,3,22
136,1,3,23
137,1,3,24
138,1,3,25
139,1,3,26
140,1,3,27
141,1,3,28
142,1,3,29
143,1,3,30
144,1,3,31
145,1,3,32
146,1,3,33
147,1,3,34
148,1,4,0
149,1,4,1
150,1,4,2
151,1,4,3
152,1,4,4
153,1,4,5
154,1,4,6
155,1,4,7
156,1,4,8
157,1,4,9
158,1,4,10
159,1,4,11
160,1,4,12
161,1,4,13
162,1,4,14
163,1,4,15
164,1,4,16
165,1,4,17
166,1,4,18
167,1,4,19
168,1,5,0
169,1,5,1
170,1,5,2
171,1,5,3
172,1,5,4
173,1,5,5
174,1,5,6
175,1,5,7
176,1,5,8
177,1,5,9
178,1,5,10
179,1,5,11
180,1,5,12
181,1,5,13
182,1,5,14
183,1,5,15
184,1,5,16
185,1,5,17
186,1,6,0
187,1,6,1
188,1,6,2
189,1,6,3
190,1,6,4
191,1,6,5
192,1,6,6
193,1,6,7
194,1,6,8
195,1,6,9
196,1,6,10
197,1,6,11
198,1,6,12
199,1,6,13
200,1,6,14
201,1,6,15
202,1,6,16
203,1,6,17
204,1,6,18
205,1,6,19
206,1,6,20
207,1,6,21
208,1,6,22
209,1,6,23
210,1,6,24
211,1,6,25
212,1,6,26
213,1,6,27
214,1,6,28
215,1,6,29
216,1,6,30
217,1,6,31
218,1,6,32
219,1,6,33
220,1,6,34
221,1,6,35
222,1,6,36
223,1,6,37
224,1,6,38
225,1,6,39
226,1,6,40
227,1,6,41
228,1,6,42
229,1,6,43
230,1,6,44
231,1,6,45
232,1,6,46
233,1,6,47
234,1,6,48
235,1,6,49
236,1,6,50
237,1,6,51
238,1,6,52
239,1,6,53
240,1,6,54
241,1,6,55
242,1,6,56
243,1,6,57
244,1,6,58
245,1,6,59
246,1,6,60
247,1,6,61
248,1,6,62
249,1,6,63
250,1,7,0
251,1,7,1
252,1,7,2
253,1,7,3
254,1,7,4
255,1,7,5
256,1,7,6
257,1,7,7
258,1,7,8
259,1,7,9
