chunk_num,chunk_str,doc_id
0,are' u xe' ojer tzij waral k'iche' u b'i' waral xchiqatz'ib'aj wi xchiqatikib'a' wi ojer tzij u tikarib'al u xe'nab'al puch ronojel xb'an pa tinamit k'iche' ramaq' k'iche' winaq are' k'ut xchiqak'am wi u k'utunisaxik u q'alajob'isaxik u tzijoxik puch awaxib'al saqirib'al rumal tz'aqol b'itol alom k'ajolom ki b'i' junajpu wuch' junajpu utiw saqi nim aq sis tepew q'ukumatz u k'u'x cho u k'u'x palo aj raxa laq aj raxa sel chuchaxik rach b'i'xik rach tzijoxik ri' i'yom mamom xpiyakok xmuqane u b'i' matzanel chuqenel kamul i'yom kamul mamom chuchaxik pa k'iche' tzij ta xkitzijoj ronojel ruk' xkib'an chik chi saqil k'olem saqil tzij wa'e xchiqatz'ib'aj chupan chik u ch'ab'al dios pa christianoil chik xchiqelesaj rumal maja b'i chik ilb'al re popo wuj ilb'al saq petenaq ch'aqa palo u tzijoxik qa mujib'al ilb'al saq k'aslem chuchaxik k'o nab'e wujil ojer tz'ib'am puch xa ewal u wach ilol re b'isol re nim u pe'oxik u tzijoxik puch ta chik'is tz'uk ronojel kaj ulew u kaj tz'ukuxik u kaj xukutaxik retaxik u kaj che'xik u mej k'a'amaxik u yuq k'a'amaxik u pa kaj u pa ulew kaj tz'uk kaj xukut chuchaxik rumal ri tz'aqol b'itol u chuch u qajaw k'aslem winaqirem ab'anel k'u'xlanel alay rech k'u'xlay rech saqil amaq'il saqil al saqil k'ajol aj b'is aj na'oj chirech ronojel atok'ol wi kaj ulew cho palo are' u tzijoxik wa'e k'a katz'ininoq k'a kachamamoq katz'inonik k'a kasilanik k'a kalolinik katolona' puch u pa kaj wa'e k'ut e nab'e tzij nab'e ucha'n maja b'i'oq jun winaq jun chikop tz'ikin kar tap che' ab'aj jul siwan k'im k'eche'laj xa u tukel kaj k'olik mawi q'alaj u wach ulew xa u tukel remanik palo u pa kaj ronojel maja b'i naqi la' kamolob'ik kakotz'ob'ik jun ta kasilob'ik kamal kab'antaj kakotz',1 2
1,kab'antaj pa kaj xma k'o wi naqi la' k'olik yakalik xa remanik ja' xa li'anik palo xa u tukel remanik xma k'o wi naqi la' lo k'olik xa kachamanik katz'ininik chi q'equ'm chi aq'ab' xa u tukel ri tz'aqol b'itol tepew q'ukumatz e alom e k'ajolom k'o pa ja' saqtetoj e k'o wi e muqutal pa q'uq' pa raxon are' u b'i'nam wi ri q'ukumatz e nima'q eta'manel e nima'q aj na'oj chi ki k'oje'ik keje' k'ut xax k'o wi ri kaj k'o nay puch u k'u'x kaj are' u b'i' ri k'ab'awil chuchaxik ta xpe k'ut u tzij waral xul kuk' ri tepew q'ukumatz waral chi q'equ'mal chi aq'ab'al xch'aw ruk' ri tepew q'ukumatz xecha' k'ut ta xena'ojinik ta xeb'isonik xeriqo kib' xkikuch ki tzij ki na'oj ta xkalaj ta xkik'u'xlaj kib' xe' wi saq ta xkalaj puch winaq ta xkina'ojij u tz'ukik u winaqirik che' k'a'am u tz'ukuxik puch k'aslem winaqirem chi q'equ'mal chi aq'ab'al rumal ri' u k'u'x kaj juraqan u b'i' kaqulja juraqan nab'e u kab' k'ut ch'i'pi kaqulja rox chik raxa kaqulja chi e k'u oxib' ri' u k'u'x kaj ta xe'ul kuk' ri tepew q'ukumatz ta xna'ojixik saq k'aslem jupacha ta chawaxoq ta saqiro puch apachinaq tzuqul q'o'l ta chuxoq kixno'jintaj are' ri ja' cheltaj chijamataj chiwinaqir wa' ulew u laqel ta k'u' rib' ch'ata k'ut ta chawaxoq ta saqiroq kaj ulew ma ta k'ut u q'ijilab'al u q'ala'ib'al ri' qa tz'aq qa b'it ta winaqiroq winaq tz'aq winaq b'it xecha' k'ut ta xwinaqir k'u ri ulew kumal xa ki tzij xk'oje' wi u winaqirik chiwinaqir ulew uleuj xecha' lib'aj chi xwinaqirik keje' ri xa sutz' xa may wi u winaqirik chik u pupuje'ik ta xta' pe pa ja' ri juyub' ju suk' nima'q juyub' xuxik xa ki,2 3
2,nawal xa ki pus xb'antaj wi u na'ojixik juyub' taq'aj ju suk' rach winaqirik u k'isisil u pachajil u wach keje' k'ut xki'kot wi ri q'ukumatz utz mi xatulik at u k'u'x kaj at juraqan at pu ch'i'pi kaqulja raxa kaqulja xchutzinik qa tz'aq qa b'it xecha' k'ut nab'e k'ut xwinaqir ulew juyub' taq'aj xch'ob'och'ox u b'e ja' xb'inije'ik k'oleje' raqan xo'l taq juyub' xa ch'ob'ol chik xek'oje' wi ja' ta xk'utunije'ik nima'q juyub' keje' k'ut u winaqirik ulew ri' ta xwinaqirik kumal ri u k'u'x kaj u k'u'x ulew ke'uchaxik ri' k'ut e nab'e xkino'jij xk'olo wi ri kaj xk'olo nay puch ulew chupan ja' keje' k'ut u no'jixik ri' ta xkino'jij ta xkib'isoj rutzinik u b'anatajik kumal ta xkino'jij chik u chikopil juyub' chajal re k'eche'laj ronojel u winaqil juyub' ri kiej tz'ikin koj b'alam kumatz sochoj k'an ti' chajal k'a'am kacha' ri alom k'ajolom xa pa chilolinik ma xa'on chitz'ininik u xe' che' k'a'am k'ate utz chik'oje' chajal re xecha' k'ut ta xkino'jij xkitzijoj puch ju suk'u xwinaqir kiej tz'ikin ta xkisipaj k'ut rochoch kiej tz'ikin at kiej pa b'e ya' pa siwan katwar wi waral katk'oje' wi pa k'im pa saq'ul pa k'eche'laj kipoq'o' wi iwib' kajkaj i b'inib'al i chakab'al chuxik xe'uchaxik ta xkich'ik k'ut kochoch ch'uti tz'ikin nima tz'ikin ix ix tz'ikin chuwi' che' chuwi' k'a'am kixochochin wi kixjain wi chiri' kixpoq' wi kixk'iritaj wi chuq'ab' che' chuq'ab' k'a'am xe'uchaxik kiej tz'ikin ta xkib'ano ki b'anoj ronojel xuk'amo u warab'al u yakalib'al keje' k'ut kochoch wi chikop ri ulew xuya'o alom k'ajolom xutzininaqa chik ronojel ri kiej tz'ikin ta xe'uchax chi k'ut ri kiej tz'ikin rumal tz'aqol b'itol alom k'ajolom kixch'awoq kixsik'inoq mixyonolikinik mixsik'inik kixch'awajetaj chi jujunal chi ju taq ch'ob'il chi ju taq molajil xe'uchaxik ri kiej,3 4 5
3,tz'ikin koj b'alam kumatz chib'ij na k'ut ri qa b'i' kojiq'ijarisaj oj i chuch oj i qajaw kixcha' wa' na k'ut juraqan ch'i'pi kaqulja raxa kaqulja u k'u'x kaj u k'u'x ulew tz'aqol b'itol alom k'ajolom kixch'awoq kojisik'ij kojiq'ijila' xe'uchaxik ma k'u xutzinik xech'awik keje' ta ri' winaq xa kewech'elajik xa kek'aralajik xa kewojonik mawi xwachinik u wach ki ch'ab'al nan ri tz'aqol b'itol mawi mi xutzinik mi xech'awik xecha' chik chi kib'il kib' mawi mi xutzin u b'ixik qa b'i' rumal oj kaj tz'aq oj pu kaj b'it mawi utz xcha' chik chi kib'il kib' ri alom k'ajolom xe'uchax k'ut xa kixjalatajik rumal mawi mi xutzinik mawi mi xixch'awik mi k'u xqajal qa tzij iwecha' i k'uxun i warab'al i yakalib'al xiwech wi mi xe'uxik siwan k'eche'laj rumal mawi xutzin qa q'ijiloxik mawi ix sik'iy qe k'a k'o k'o wi lo q'ijilonel nimanel chiqab'an chik xa chik'am i patan xa i tio'jil chikach'ik ta chuxoq are' k'ut chipatanij xe'uchaxik ta xepixab'axik ch'uti chikop nima chikop k'o chuwach ulew ta xraj k'u kitij chik ki q'ij xraj kitijitob'ej chik xraj pu kinuk' chik q'ijilab'al xma xkita wi ki ch'ab'al chi kib'il kib' xma xnawachir wi k'ut xma xb'anataj wi puch keje' k'ut xech'akataj wi ki tio'jil xkipatanij xeti'ik xekamisaxik ri chikop k'o waral chuwach ulew keje' k'ut u tijtob'exik chik winaq tz'aq winaq b'it kumal tz'aqol b'itol alom k'ajolom xa qa tija' chik mi xyopij rawaxik u saqirik qa b'ana' tzuqul qe q'o'l qe jupacha ta kojsik'ixoq ta kojna'b'ax puch chuwach ulew mi xqatijo chirech ri nab'e qa tz'aq qa b'it mawi mi xutzinik qa q'ijiloxik qa q'ala'ixik puch kumal keje' k'ut qa tija' wi u b'anik aj nim aj xob' tzuqul q'o'l xecha' ta u tz'aqik k'ut u b'anik puch ulew xoq'o'l,5 6
4,u tio'jil xkib'ano ma k'u utz xkilo xa chiyojomanik xa tzub'ulik xa neb'elik xa lub'anik xa wulanik xa pu chi'umarik mawi chi k'olol u jolom xa jun b'enaq wi u wach xa k'u'l u wach mawi chimuqun chirij chich'aw nab'ek maja b'i u na'oj xa ju suk' chi'umar pa ja' mawi ko xecha' chi k'u ri aj tz'aq aj b'it qa wachlab'eq ta chuxoq xa lab'e mawi chib'inik ma pu chipoq'otajik ta chuxoq xa u na'oj chi ri' xecha' ta xkiyoj k'ut xkiyoq' chik ri ki tz'aq ki b'it xecha' chi k'ut jupacha qi chiqab'ano chutzin ta wi chinawachir ta wi q'ijiloy qech sik'iy qech xecha' ta xkina'ojij chik xa qab'ij chike xpiyakok xmuqane junajpu wuch' junajpu utiw kitija' chik u q'ijixik u b'itaxik xe'ucha'n ki kib' aj tz'aq aj b'it ta xkib'ij k'ut chire xpiyakok xmuqane k'ate k'ut u b'ixik ri' chikech ri e nik'wachinel rati't q'ij rati't saq ke'uchaxik kumal ri tz'aqol b'itol are' ki b'i' ri xpiyakok xmuqane xecha' k'u ri juraqan ruk' tepew q'ukumatz ta xkib'ij chirech aj q'ij aj b'it e nik'wachinel xa k'ulu' xa pu churiqo che ta chik chiqawinaq b'itoj chiqawinaq tz'aqoj ta chik tzuqul q'o'l kojsik'ix taj kojna'b'ax taj puch katoq' ta k'ut pa tzij i'yom mamom qati't qa mam xpiyakok xmuqane cha' taj ta chawaxoq ta saqiroq qa sik'ixik qa toq'exik qa na'b'axik rumal winaq tz'aq winaq b'it winaq poy winaq anom chata chuxoq chik'utun i b'i' junajpu wuch' junajpu utiw kamul alom kamul k'ajolom nim aq nima sis aj k'uwal aj yamanik aj ch'ut aj tz'alam aj raxa laq aj raxa sel aj q'ol aj toltecat rati't q'ij rati't saq kixuchaxik rumal qa tz'aq qa b'it chimala' chi ixim chi tz'ite xa chib'anatajik xa pu chel apanoq chiq'ajaj chiqak'otaj puch u chi' u wach,6 7
5,che' xe'uchaxik e aj q'ij k'ate puch u qajik u q'ijilo'xik ri xmalik chi ixim chi tz'ite q'ij b'it xecha' k'u ri jun ati't jun mama' chikech are' ri mama' are' aj tz'ite xpiyakok u b'i' are' k'u ri ati't aj q'ij aj b'it chi raqan xmuqane u b'i' xecha' k'ut ta xkitikib'a' q'ij xa chuk'ulu xa pu churiqo chab'ij kata qa xikin kach'awik katzijon taj xa chuk'ulu ri che' chajawaxik chik'otox puch kumal aj tz'aq aj b'it we are' tzuqul q'o'l ta chawaxoq ta saqiroq at ixim at tz'ite at q'ij at b'it katchokonik kattaqentaj xcha' chire ixim tz'ite q'ij b'it katk'ix la uloq at u k'u'x kaj mak'ajisaj u chi' u wach tepew q'ukumatz xecha' ta xkib'ij k'ut u suk'ulikil utz are' chuxik ri i poy ajam che' chich'awik chitzijon b'a la' chuwach ulew ta chuxoq xecha' k'ut ta xkib'ij ju suk' xb'anik poy ajam che' xe winaq wachinik xe winaq tzijonik puch are' winaqil u wach ulew xe'uxik xepoq'ik xeme'alanik xek'ajolanik ri poy ajam che' ma k'u ja b'i ki k'u'x ma pu ja b'i ki na'oj mawi na'tal kaj tz'aq kaj b'it xaloq' xeb'inik xechakanik mawi xkina'taj chik ri u k'u'x kaj keje' k'ut xepaj chi wi xa u tijtob'exik xa pu u wab'ab'exik chi winaq kech'aw nab'ek xa chaqi'j ki wach ma na sonol kaqan ki q'ab' maja b'i ki kik'el ki komajil maja b'i ki tiqowal ki kab'chiyal chaqi'j q'o'tz k'oj ki wach kapichipoj kaqan ki q'ab' kayeyoj ki tio'jil keje' k'ut mawi xena'w chi wi chuwach tz'aqol b'itol alay kech k'u'xlay kech e nab'e tzatz chi winaq xe'uxik waral chuwach ulew k'ate k'ut ki k'isik chik ki ma'ixik ki k'utuxik puch xekamisax chik poy ajam che' ta xna'ojix ki b'utik rumal u k'u'x kaj nima b'utik xb'anik,7 8
6,xpe pa ki wi' ri e poy e ajam che' tz'ite u tio'jil ri achij ta xajaxik rumal tz'aqol b'itol ixoq sib'aq k'ut u tio'jil ixoq xraj okik rumal tz'aqol b'itol mawi xena'wik ma pu xech'awik chuwach kaj tz'aq kaj b'it b'anol ke winaqirisay kech keje' k'ut ki kamisaxik xeb'utik xpe nima q'ol chila' chi kaj xepe k'otk'ol wach u b'i' xk'otin uloq u b'aq' ki wach xepe kama lotz xqupin ula ki jolom xpe kotz' b'alam xti'ow ki tio'jil xpe tukum b'alam xtukuwik xkich'o'wik ki b'aqil kib'och'il xq'ajixik xmuchu'lixik ki b'aqil k'ajisab'al ki wach rumal mawi ki na'wik chuwach ki chuch chuwach puch ki qajaw ri u k'u'x kaj juraqan u b'i' kumal xq'equ'marik u wach ulew xtikarik q'eqal jab' q'ijil jab' aq'ab'al jab' xok ula ch'uti chikop nima chikop xq'ut ki wach rumal che' ab'aj xch'awik ronojel ki ke'b'al ki xot ki laq ki b'o'j ki tz'i' ki ka' jaruj pa la' ronojel xq'utu ki wach k'ax xib'an chiqe xojiti'o ix chi k'ut xkixqati' chik xcha' ri ki tz'i' kak' chikech are' k'u ri ka' xojk'ok'onik iwumal ju ta q'ij ju ta q'ij xq'eq saqirik amaq'el joli joli juki juki qa wach iwumal are' ta nab'e qa patan chiwach ix ta na winaq wakamik k'ut xchitij qa chuq'ab' xchiqake'j xchiqajok' puch i tio'jil xcha' ri ki ka' chike are' k'u ri ki tz'i' xcha' chik ta xch'awik naqi pa rumal mawi chiya' qa wa xa kojmuqunik xa pu kojikuxij uloq kojitzaq pu uloq yakal ub'i qa che'el iwumal ta kixwa'ik xere kojiwucha'j wi mawi kojch'awik ma ta k'u mi xojk'amik chiwe jupacha mawi mi xixna'wik xixna'w ta k'ut chiwij ta k'ut xojsach wi wakamik k'ut xchitij qa b'aq k'o pa qa chi' xkixqati'o xecha' ri tz'i' chike ta xq'ut ki wach are',8
7,chi k'u ri ki xot ki b'o'j xch'aw chik chike k'ax wa' xib'an chiqe xaq qa chi' xaq qa wach amaq'el oj tzaqal chuwi' q'aq' kojik'ato mawi k'ax xqana'o xchitij k'ut xkixqaporoj xcha' ri ki b'o'j ronojel xq'utu ki wach are' ri ab'aj ri ki xk'ub' chitaninik chipe pa q'aq' taqal chi ki jolom k'ax xb'an chike anilab'ik kemalmalijab' chik keraj aq'anik chuwi' ja xa chiwulij ja ketzaq uloq keraj aq'an chuwi' che' kech'akix uloq ruma che' keraj ok pa jul xa chiyuch jul chikiwach keje' k'ut u kayojik winaq tz'aq winaq b'it e tzixel e tzalatzoxel chi winaq xma'ixik xq'utuxik ki chi' ki wach konojel xcha' k'ut are' retal ri k'oy k'o pa k'eche'laj wakamik are' xk'oje' wi retal rumal xa che' ki tio'jil xkojik rumal aj tz'aq aj b'it are' k'u ri k'oy keje' ri' winaq chiwachinik retal ju le' winaq tz'aq winaq b'it xa poy xa pu ajam che' nan maja b'i q'ij jun k'ut kunimarisaj rib' wuqub' kaqix u b'i' k'o nab'e kaj ulew xa kamoymot u wach q'ij ik' kacha' k'u ri' xa wi xere u saq etal winaq ri xb'utik keje' ri' nawal winaq u k'oje'ik in nim kik'oje' chik chuwi' winaq tz'aq winaq b'it in u q'ij in pu u saq in nay pu rik'il ta chuxoq nim nu saqil in b'inib'al in pu chakab'al rumal winaq rumal puwaq u b'aq' nu wach xa katiltotik chi yamanik raxa k'uwal nay pu we' rax kawakoj chi ab'aj keje' ri' u wa kaj are' k'u ri nu tza'm saq julujuj chi naj keje' ri ik' puwaq k'ut nu q'alib'al k'a saq pak'e u wach ulew ta kinel uloq chuwach nu q'alib'al keje' k'ut in q'ij wi in pu ik' rumal saqil al saqil k'ajol ta chuxoq rumal chi,8 9
8,naj kopon wi nu wach cha' ri wuqub' kaqix ma k'u qitzij are' ta q'ij ri wuqub' kaqix xere kunimarisaj rib' ri u xik' u puwaq xere k'ut tokol wi u wach ri chiku'b'e wi ma na ronojel ta u xe' kaj kopon wi u wach maja' k'ut qi kiloq u wach q'ij ik' ch'umil maja'oq kasaqiroq keje' k'ut kuq'ob'isaj wi rib' ri wuqub' kaqix chi q'ijil chi ik'il xa maja' chik'utunoq chiq'alajob'oq u saqil q'ij ik' xa xurayij nimal ik'owen are ta xb'anik b'utik kumal poy ajam che' keje' k'ut xchiqab'ij chik ta xkamik wuqub' kaqix ta xch'akatajik ta xb'anatajik winaq rumal aj tz'aq aj b'it wa'e u xe' u ch'akatajik u yiqoxik chi puch u q'ij wuqub' kaqix kumal e kaib' k'ajolab' junajpu u b'i' jun xb'alanke u b'i' u kab' xa wi e k'ab'awil rumal itzel xkilo ri nimarisay rib' xraj u b'an chuwach u k'u'x kaj xcha' k'u ri k'ajolab' mawi utz ta chuxoq mawi chik'ase' winaq waral chuwach ulew keje' k'ut chiqatij wub'axik chuwi' recha' chiqawub'aj wi chiri' chiqakoj wi u yab' ta k'isoq u q'inomal u xit u puwaq u k'uwal u yamanik ri kuk'ak'ab'ej keje' k'ut chub'ano ronojel winaq mawi are' chiwinaqir wi q'aq'al ri' xa puwaq ta chuxoq xecha' ri k'ajolab' jujun chi wub' kitelen ki kab' ichal are' k'u ri wuqub' kaqix e kaib' u k'ajol are' nab'e al ri sipakna u kab' al chi k'ut ri kab'raqan chimalmat k'ut u b'i' ki chuch rixoqil ri wuqub' kaqix are' k'u ri sipakna are' chirecha'j ri nima'q juyub' ri chi' q'aq' junajpu pekulya' xkanul makamob' julisnab' chuchaxik u b'i' juyub' xk'olik ta chisaqirik xa jun aq'ab' chiwinaqirik rumal ri sipakna nan rumal chineb'owik ch'uti juyub' nima juyub' rumal xa wi keje' nimarisab'al kib' xkib'ano u k'ajol,9 10
9,wuqub' kaqix in wa' in q'ij xcha' wuqub' kaqix in wa' in b'anol ulew xcha' ri sipakna in chi k'ut kiyojow kaj chinwulij ronojel ulew xcha' ri kab'raqan xa wi u k'ajol wuqub' kaqix xa wi chiri' xkik'am wi ki nimal chirij ki qajaw are' k'ut itzel xkil wi k'ajolab' maja' chib'antajoq qa nab'e chuch qa nab'e qajaw keje' k'ut xno'jix wi ki kamik ki sachik kumal k'ajolab' wa'e k'ute u wub'axik wuqub' kaqix kumal kaib' k'ajolab' xchiqab'ij ki ch'akatajik chi ki jujunal ri nimarisay rib' are' ri wuqub' kaqix jun nima che' ri tapa'l are' k'u recha' ri wuqub' kaqix are' chulo ri u wach tapa'l chaq'an chuwi' che' ju ta q'ij xiloma k'ut recha'b'al kumal ri junajpu xb'alanke kik'ak'alen chi k'ut chuxe' che' ri wuqub' kaqix e matzamoj ulo ri kaib' k'ajolab' pa xaq che' ta xopon k'ut wuqub' kaqix tak'al chuwi' recha' ri tapa'l k'ate k'ut ta xub'axik kumal ri junajpu taqal u b'aq' wub' chu kakate' churaquj u chi' ta xpe chuwi' che' taqal chuwach ulew chimalmat k'ut ri junajpu anim xb'ek qitzij wi xb'e u chapa' k'ate k'ut ta xqupix ula u q'ab' ri junajpu rumal ri wuqub' kaqix ju suk' xtzaq uloq xmejo uloq tza'm u teleb' ta xutzoqopij chi k'ut junajpu ri wuqub' kaqix xa wi utz xkib'ano ma nab'e ki ch'akatajik taj rumal wuqub' kaqix uk'a'am chi k'ut u q'ab' ri junajpu rumal ri wuqub' kaqix ta xb'e chi rochoch nan naqi pa mi xk'amow chila' xcha' k'u ri chimalmat rixoqil wuqub' kaqix naqi pa ri' ri e kaib' k'axtok' mi xikiwub'aj mi xsilib'ataj nu kakate' rumal xa kachuywaj e we' kaq'oxow chik mi nab'e mi xnuk'am uloq chuwi' q'aq' k'ut chixeke wi chitzayab'a' chuwi' q'aq' ta kul ki k'ama chik qitzij chi e k'axtok' xcha',10 11
