term_str,n,p,i,h,df,idf
a,23,0.0007844207223491695,10.316084731276538,0.00809215063672318,10,1.722466024471091
a',12,0.00040926298557347973,11.254684186612394,0.0046061256518996185,6,2.4594316186372973
a'on,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
ab'aj,31,0.0010572627127314893,9.885450376946675,0.010451518082103164,17,0.9569312781081141
ab'ajil,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
ab'anel,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
ab'ix,6,0.00020463149278673987,12.254684186612394,0.0025076943187365493,2,4.044394119358453
ab'ixik,4,0.00013642099519115992,12.83964668733355,0.0017515973789889226,1,5.044394119358453
ab'ixom,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
achaq,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
achb'ilan,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
achb'ilay,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
achij,13,0.00044336823437126976,11.139206969192458,0.004938770526227003,7,2.237039197300849
achijab',3,0.00010231574639336993,13.254684186612394,0.0013561629057616445,3,3.4594316186372973
achijil,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
achijilal,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
achinaq,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
ah,5,0.0001705262439889499,12.517718592446188,0.0021345995348804932,5,2.722466024471091
aj,219,0.007469049486716005,7.064859627732377,0.05276778617623514,25,0.4005379295837288
ajache',2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
ajal,18,0.0006138944783602196,10.669721685891238,0.006550083228608925,4,3.0443941193584534
ajam,13,0.00044336823437126976,11.139206969192458,0.004938770526227003,6,2.4594316186372973
ajaw,137,0.004672419085297227,7.741614604373024,0.03617206782848826,17,0.9569312781081141
ajawab',122,0.004160840353330378,7.908909349770664,0.0329077091733577,19,0.796466605914868
ajawal,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
ajawarem,17,0.0005797892295624297,10.752183846083211,0.006234000388234187,5,2.722466024471091
aji,12,0.00040926298557347973,11.254684186612394,0.0046061256518996185,1,5.044394119358453
ajilam,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
ajilan,13,0.00044336823437126976,11.139206969192458,0.004938770526227003,11,1.584962500721156
ajilatal,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
ak'alab',1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
ak'u'wil,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
akab',2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
akarok,8,0.00027284199038231984,11.83964668733355,0.0032303527675955255,6,2.4594316186372973
aki,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
akul,3,0.00010231574639336993,13.254684186612394,0.0013561629057616445,3,3.4594316186372973
akutek,4,0.00013642099519115992,12.83964668733355,0.0017515973789889226,3,3.4594316186372973
al,13,0.00044336823437126976,11.139206969192458,0.004938770526227003,7,2.237039197300849
ala,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
ala',1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
alachinaq,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
alal,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
alanel,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
alaq,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
alay,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
alib',2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,1,5.044394119358453
alk'u'al,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
alom,17,0.0005797892295624297,10.752183846083211,0.006234000388234187,5,2.722466024471091
alub'ik,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
ama',1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
amaq',125,0.004263156099723747,7.873862402671463,0.03356750453033433,14,1.2370391973008494
amaq'el,4,0.00013642099519115992,12.83964668733355,0.0017515973789889226,2,4.044394119358453
amaq'il,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
ana,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
anab',1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
anilab'ik,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
anim,5,0.0001705262439889499,12.517718592446188,0.0021345995348804932,5,2.722466024471091
anom,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
apa,27,0.0009208417175403295,10.084759185170082,0.009286466969052632,16,1.0443941193584534
apachina,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
apachinaq,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
apanoq,14,0.00047747348316905973,11.032291765275946,0.005267626776503641,14,1.2370391973008494
aponoq,8,0.00027284199038231984,11.83964668733355,0.0032303527675955255,5,2.722466024471091
aq,6,0.00020463149278673987,12.254684186612394,0.0025076943187365493,5,2.722466024471091
aq'ab',68,0.0023191569182497186,8.752183846083211,0.02029768771643731,17,0.9569312781081141
aq'ab'a',1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
aq'ab'al,7,0.00023873674158452987,12.032291765275946,0.00287255012983635,6,2.4594316186372973
aq'ab'il,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
aq'am,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
aq'an,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
aq'anik,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
aq'anoq,13,0.00044336823437126976,11.139206969192458,0.004938770526227003,7,2.237039197300849
aqaj,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,1,5.044394119358453
aqan,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,1,5.044394119358453
are,40,0.0013642099519115991,9.517718592446188,0.012984166423309148,15,1.1375035237499351
are',331,0.011288837352068483,6.468959280526333,0.07302702915501573,33,0.0
astapulul,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
at,59,0.0020122096790696088,8.95700363797171,0.01802336941578837,16,1.0443941193584534
ata,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
ata'n,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
atan,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
ati't,36,0.0012277889567204393,9.669721685891238,0.01187237750049741,5,2.722466024471091
atob',1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
atok'ol,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
atz'iaq,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
atz'iyaq,4,0.00013642099519115992,12.83964668733355,0.0017515973789889226,2,4.044394119358453
awal,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
awasinik,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
awaxib'al,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
awe,6,0.00020463149278673987,12.254684186612394,0.0025076943187365493,1,5.044394119358453
awech,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,1,5.044394119358453
awecha',2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
aweta'm,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
awi,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,1,5.044394119358453
awib',1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
awila,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
awilix,35,0.0011936837079226494,9.710363670388585,0.011591102911346834,9,1.874469117916141
awitzmal,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
awuk',1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
awumal,3,0.00010231574639336993,13.254684186612394,0.0013561629057616445,3,3.4594316186372973
b'a,102,0.003478735377374578,8.167221345362055,0.028411601828959777,22,0.5849625007211562
b'a'tz,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'alam,193,0.006582313017973466,7.2471896500654704,0.04770327077734851,17,0.9569312781081141
b'alami,4,0.00013642099519115992,12.83964668733355,0.0017515973789889226,3,3.4594316186372973
b'alamil,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'alax,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'am,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'an,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'ana,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'ana',2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
b'anatajik,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'anik,4,0.00013642099519115992,12.83964668733355,0.0017515973789889226,3,3.4594316186372973
b'anoj,14,0.00047747348316905973,11.032291765275946,0.005267626776503641,12,1.4594316186372973
b'anol,5,0.0001705262439889499,12.517718592446188,0.0021345995348804932,4,3.0443941193584534
b'aq,24,0.0008185259711469595,10.254684186612394,0.008393725332652278,10,1.722466024471091
b'aq',19,0.0006479997271580096,10.591719173889965,0.006863431134814956,10,1.722466024471091
b'aqil,10,0.0003410524879778998,11.517718592446188,0.0039281465817830865,5,2.722466024471091
b'ate,9,0.0003069472391801098,11.669721685891238,0.003581988853484572,8,2.0443941193584534
b'atena,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'atz',26,0.0008867364687425395,10.139206969192458,0.008990804583711466,5,2.722466024471091
b'atz'a,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'ayatajik,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'e,54,0.001841683435080659,9.084759185170082,0.016731250503024604,16,1.0443941193584534
b'e'al,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'e'el,6,0.00020463149278673987,12.254684186612394,0.0025076943187365493,5,2.722466024471091
b'e'ik,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'ek,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'ele,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'elej,6,0.00020463149278673987,12.254684186612394,0.0025076943187365493,3,3.4594316186372973
b'elejeb',18,0.0006138944783602196,10.669721685891238,0.006550083228608925,5,2.722466024471091
b'enam,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'enaq,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'i,97,0.003308209133385628,8.239733845146423,0.027258762763180077,27,0.289506617194985
b'i',233,0.007946522969885066,6.97546054267927,0.05543065742792777,32,0.044394119358453436
b'i'j,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'i'nam,9,0.0003069472391801098,11.669721685891238,0.003581988853484572,8,2.0443941193584534
b'i'oq,2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,2,4.044394119358453
b'i'xik,3,0.00010231574639336993,13.254684186612394,0.0013561629057616445,2,4.044394119358453
b'ichoq',2,6.821049759557996e-05,13.83964668733355,0.0009440091870900413,1,5.044394119358453
b'ik,3,0.00010231574639336993,13.254684186612394,0.0013561629057616445,3,3.4594316186372973
b'inib'al,5,0.0001705262439889499,12.517718592446188,0.0021345995348804932,5,2.722466024471091
b'inik,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'inowik,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'iq'itajik,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'is,5,0.0001705262439889499,12.517718592446188,0.0021345995348804932,3,3.4594316186372973
b'isol,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'it,35,0.0011936837079226494,9.710363670388585,0.011591102911346834,7,2.237039197300849
b'itaxik,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'itik,4,0.00013642099519115992,12.83964668733355,0.0017515973789889226,2,4.044394119358453
b'itoj,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
b'itol,20,0.0006821049759557996,10.517718592446188,0.007174188187610373,7,2.237039197300849
b'ix,16,0.0005456839807646397,10.83964668733355,0.005915021554426411,10,1.722466024471091
b'ixik,7,0.00023873674158452987,12.032291765275946,0.00287255012983635,5,2.722466024471091
b'iyik,1,3.410524879778998e-05,14.83964668733355,0.0005061098423428107,1,5.044394119358453
