term_str,n,p,i,h,df,idf
a,90,0.003346844669220185,8.222982689163759,0.02752104577831759,25,0.4005379295837288
aa,5,0.00018593581495667696,12.392907690606071,0.0023042853911357094,3,3.4594316186372973
aab,3,0.00011156148897400617,13.129873284772277,0.0014647882136892205,3,3.4594316186372973
aabal,3,0.00011156148897400617,13.129873284772277,0.0014647882136892205,2,4.044394119358453
aahv,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
aal,19,0.0007065560968353724,10.466908272049848,0.007395457854633413,9,1.874469117916141
aanih,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
aaric,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
aate,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,1,5.044394119358453
ab,5,0.00018593581495667696,12.392907690606071,0.0023042853911357094,5,2.722466024471091
abah,27,0.0010040534007660555,9.959948283329965,0.010000319945331487,15,1.1375035237499351
abanel,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
abanoh,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
abi,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,1,5.044394119358453
abix,7,0.00026031014093934774,11.90748086343583,0.0030996380217935666,2,4.044394119358453
abixic,4,0.00014874865196534156,12.714835785493433,0.0018913146830528329,1,5.044394119358453
abixom,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ac,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
aca,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
acaab,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
acab,59,0.002194042616488788,8.832192736131592,0.019378207260115427,15,1.1375035237499351
acaba,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
acabal,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
acah,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,1,5.044394119358453
acahau,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
acalab,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
acam,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
acan,5,0.00018593581495667696,12.392907690606071,0.0023042853911357094,4,3.0443941193584534
acanic,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
acanoc,12,0.00044624595589602467,11.129873284772277,0.004966660942964832,7,2.237039197300849
acaroc,5,0.00018593581495667696,12.392907690606071,0.0023042853911357094,3,3.4594316186372973
acarroc,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
acavitz,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ach,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
achac,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
achbilai,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
achbilan,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ache,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,1,5.044394119358453
achequeleb,10,0.0003718716299133539,11.392907690606071,0.0042366991523580646,6,2.4594316186372973
achih,10,0.0003718716299133539,11.392907690606071,0.0042366991523580646,4,3.0443941193584534
achihab,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
achihal,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
achihil,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
achihilal,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
achinac,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
achuch,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
acuil,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
acul,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
acvachin,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ah,95,0.0035327804841768624,8.144980177162486,0.028774427013887032,20,0.722466024471091
aha,6,0.00022312297794801233,12.129873284772277,0.002706453449430429,4,3.0443941193584534
ahache,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
ahal,8,0.0002974973039306831,11.714835785493433,0.0034851320621749828,3,3.4594316186372973
ahalcana,3,0.00011156148897400617,13.129873284772277,0.0014647882136892205,2,4.044394119358453
ahalmez,3,0.00011156148897400617,13.129873284772277,0.0014647882136892205,2,4.044394119358453
ahalpuh,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahaltocob,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,1,5.044394119358453
aham,8,0.0002974973039306831,11.714835785493433,0.0034851320621749828,3,3.4594316186372973
ahamche,5,0.00018593581495667696,12.392907690606071,0.0023042853911357094,5,2.722466024471091
ahapaluna,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahau,133,0.004945892677847607,7.659553349992244,0.037883328829309754,17,0.9569312781081141
ahauab,115,0.00427652374400357,7.869345734549058,0.03365344388357226,16,1.0443941193584534
ahaual,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahauar,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahauarem,15,0.0005578074448700309,10.807945189884915,0.006028752290665045,5,2.722466024471091
ahavab,4,0.00014874865196534156,12.714835785493433,0.0018913146830528329,2,4.044394119358453
ahavah,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahbatena,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahbit,7,0.00026031014093934774,11.90748086343583,0.0030996380217935666,3,3.4594316186372973
ahbix,5,0.00018593581495667696,12.392907690606071,0.0023042853911357094,3,3.4594316186372973
ahbiz,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahcab,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahcah,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahcahb,12,0.00044624595589602467,11.129873284772277,0.004966660942964832,5,2.722466024471091
ahchoc,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahchoce,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahcot,3,0.00011156148897400617,13.129873284772277,0.0014647882136892205,3,3.4594316186372973
ahe,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahi,12,0.00044624595589602467,11.129873284772277,0.004966660942964832,2,4.044394119358453
ahilam,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahilan,12,0.00044624595589602467,11.129873284772277,0.004966660942964832,11,1.584962500721156
ahilatal,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahlabal,7,0.00026031014093934774,11.90748086343583,0.0030996380217935666,4,3.0443941193584534
ahlo,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,1,5.044394119358453
ahmac,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahnaoh,4,0.00014874865196534156,12.714835785493433,0.0018913146830528329,3,3.4594316186372973
ahnim,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahoxbal,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahpatan,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahpop,31,0.001152802052731397,9.760639475106558,0.011252085222873945,5,2.722466024471091
ahpopcam,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahpopcamha,4,0.00014874865196534156,12.714835785493433,0.0018913146830528329,3,3.4594316186372973
ahpopol,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahpu,95,0.0035327804841768624,8.144980177162486,0.028774427013887032,19,0.796466605914868
ahqiquina,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahqiquinaha,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
ahquibaha,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahquih,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahquix,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahquixb,11,0.0004090587929046893,11.255404166856136,0.004604122042148581,6,2.4594316186372973
ahqun,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahrelebal,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahtinamit,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahtzac,5,0.00018593581495667696,12.392907690606071,0.0023042853911357094,3,3.4594316186372973
ahtzibenai,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahtzic,4,0.00014874865196534156,12.714835785493433,0.0018913146830528329,2,4.044394119358453
ahuchan,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahvqhan,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahxayabah,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahxob,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahzib,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahzibab,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahzic,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahzivan,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ahzu,4,0.00014874865196534156,12.714835785493433,0.0018913146830528329,2,4.044394119358453
al,17,0.0006321817708527017,10.627372944243094,0.006718431447403689,11,1.584962500721156
ala,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
alaba,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
alabilaxic,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
alac,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
alachinac,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
alai,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
alal,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
alanel,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
alay,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
alcual,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
alel,22,0.0008181175858093786,10.255404166856136,0.008390126498487784,5,2.722466024471091
alem,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
alib,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
alibah,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
alibla,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
alixic,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
alom,17,0.0006321817708527017,10.627372944243094,0.006718431447403689,5,2.722466024471091
alubic,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ama,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
amac,116,0.0043137109069949055,7.856854790365861,0.033892200203876385,14,1.2370391973008494
amactan,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
amaquel,4,0.00014874865196534156,12.714835785493433,0.0018913146830528329,3,3.4594316186372973
amaquelab,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
amaquil,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
an,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ana,5,0.00018593581495667696,12.392907690606071,0.0023042853911357094,3,3.4594316186372973
anaal,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
anahal,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,1,5.044394119358453
anal,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,1,5.044394119358453
anam,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
anavi,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
anilabic,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
anim,6,0.00022312297794801233,12.129873284772277,0.002706453449430429,6,2.4594316186372973
anoc,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
anom,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
aon,3,0.00011156148897400617,13.129873284772277,0.0014647882136892205,3,3.4594316186372973
apa,26,0.0009668662377747202,10.01439606735234,0.00968258144922691,15,1.1375035237499351
apachina,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
apachinac,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
apan,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
apanoc,10,0.0003718716299133539,11.392907690606071,0.0042366991523580646,9,1.874469117916141
apetic,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
apon,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
aponoc,8,0.0002974973039306831,11.714835785493433,0.0034851320621749828,6,2.4594316186372973
aqui,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
aqux,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
araroc,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
araxal,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
are,350,0.013015507046967387,6.263624673661105,0.0815242510795949,33,0.0
areba,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
arecut,4,0.00014874865196534156,12.714835785493433,0.0018913146830528329,4,3.0443941193584534
arepu,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
arepuch,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
areri,3,0.00011156148897400617,13.129873284772277,0.0014647882136892205,3,3.4594316186372973
areta,6,0.00022312297794801233,12.129873284772277,0.002706453449430429,4,3.0443941193584534
at,58,0.0021568554534974528,8.85685479036586,0.019102955555435643,15,1.1375035237499351
ata,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ataca,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
atala,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
atalabe,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
atan,3,0.00011156148897400617,13.129873284772277,0.0014647882136892205,3,3.4594316186372973
ate,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
atin,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
atit,36,0.0013387378676880742,9.54491078405112,0.012778133510313502,8,2.0443941193584534
ato,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
atoob,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
atzaca,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
atziac,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
atzih,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
atziiac,3,0.00011156148897400617,13.129873284772277,0.0014647882136892205,2,4.044394119358453
atziyac,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
au,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
auazinic,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
aue,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
auech,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
auetaam,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
auib,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
auilix,3,0.00011156148897400617,13.129873284772277,0.0014647882136892205,3,3.4594316186372973
auiquicab,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
aulix,24,0.0008924919117920493,10.129873284772277,0.009040829974137616,6,2.4594316186372973
auvmal,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
avachinic,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
aval,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ave,5,0.00018593581495667696,12.392907690606071,0.0023042853911357094,1,5.044394119358453
avech,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
avecha,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
avi,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
