term_str,n,p,i,h,df,idf
a,839,0.023455409561084706,5.413935497442765,0.1269860744298149,33,0.0
abajo,3,8.386916410399776e-05,13.541499997161432,0.0011357142854762174,2,4.044394119358453
abandonada,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abandonado,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abandonando,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abandonaran,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abandonaron,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,1,5.044394119358453
abarcar,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abejas,3,8.386916410399776e-05,13.541499997161432,0.0011357142854762174,2,4.044394119358453
abejorros,4,0.00011182555213866368,13.126462497882589,0.0014678739164531828,2,4.044394119358453
abertura,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abierta,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abierto,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.044394119358453
abismo,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
aborrecan,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abra,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abranlas,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abrazaremos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abrazarnos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abriendo,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abrieran,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abrieron,3,8.386916410399776e-05,13.541499997161432,0.0011357142854762174,3,3.4594316186372973
abrimos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abrir,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,1,5.044394119358453
abrumado,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abrumados,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
absoluto,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abuela,75,0.002096729102599944,8.897643807386707,0.01865594871551588,11,1.584962500721156
abuelita,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abuelo,12,0.00033547665641599103,11.541499997161432,0.0038719038290728875,6,2.4594316186372973
abuelos,9,0.0002516074923119933,11.956537496440275,0.003008354416213656,7,2.237039197300849
abundancia,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
abundante,3,8.386916410399776e-05,13.541499997161432,0.0011357142854762174,2,4.044394119358453
ac,13,0.000363433044450657,11.426022779741496,0.00415259424480401,11,1.584962500721156
acab,7,0.00019569471624266145,12.319107575824983,0.002410784261413891,6,2.4594316186372973
acaba,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acababan,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acabado,4,0.00011182555213866368,13.126462497882589,0.0014678739164531828,4,3.0443941193584534
acabando,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acabar,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.044394119358453
acabaremos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acabarn,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acabaron,12,0.00033547665641599103,11.541499997161432,0.0038719038290728875,8,2.0443941193584534
acabaste,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acarreaban,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acaso,11,0.0003075202683813251,11.66703087924529,0.003587848467198719,11,1.584962500721156
acausa,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
accin,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acecharemos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acecho,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
aceptad,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acerc,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acerca,6,0.00016773832820799552,12.541499997161432,0.002103690242744439,5,2.722466024471091
acercaba,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acercan,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acercaron,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.044394119358453
acercndose,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acertadamente,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
achaclboy,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
achih,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.044394119358453
aclare,5,0.0001397819401733296,12.804534402995225,0.0017898426618668192,3,3.4594316186372973
acogern,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acompaaban,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acompaadnos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acompaados,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acompaan,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,1,5.044394119358453
acompaar,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acompaarlos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
aconsejado,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
aconsejaron,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
aconsejaros,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acoplaos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acordaban,4,0.00011182555213866368,13.126462497882589,0.0014678739164531828,4,3.0443941193584534
acordaron,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acostumbraban,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acostumbraron,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
actual,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.044394119358453
acuerde,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
acuerdo,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.044394119358453
aculvinac,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
adelante,3,8.386916410399776e-05,13.541499997161432,0.0011357142854762174,3,3.4594316186372973
adems,6,0.00016773832820799552,12.541499997161432,0.002103690242744439,5,2.722466024471091
adentros,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.044394119358453
adivina,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
adivinacin,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,1,5.044394119358453
adivinos,5,0.0001397819401733296,12.804534402995225,0.0017898426618668192,3,3.4594316186372973
admiraba,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
admiraban,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
admirable,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
admirables,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
admiracin,5,0.0001397819401733296,12.804534402995225,0.0017898426618668192,4,3.0443941193584534
admirada,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
admirar,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
admiraremos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
admirbanse,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
admiremos,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,1,5.044394119358453
adonde,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
adoraban,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
adorada,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
adoradas,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
adoradnos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
adoradores,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.044394119358453
adorados,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.044394119358453
adoraran,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
adoraremos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
adoren,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
adoris,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
adornadas,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
adornos,3,8.386916410399776e-05,13.541499997161432,0.0011357142854762174,3,3.4594316186372973
adrede,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
advertencias,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
advertido,2,5.591277606933184e-05,14.126462497882589,0.0007898497342959233,2,4.044394119358453
advertidos,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
advirtieron,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
afiladas,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
afilado,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
afirme,1,2.795638803466592e-05,15.126462497882589,0.0004228812551826276,1,5.044394119358453
